HCH_012_154_000001	張輔黃福劉俊陳洽李彬柳升梁銘王通張輔，字文弼，河間王玉長子也。
HCH_012_154_000002	燕師起，從父力戰，為指揮同知。
HCH_012_154_000003	玉歿東昌，輔嗣職。
HCH_012_154_000004	從戰夾河、槁城、彰德、靈璧，皆有功。
HCH_012_154_000005	從入京師，封信安伯，祿千石，予世券。
HCH_012_154_000006	妹為帝妃。
HCH_012_154_000007	邱福、朱能言輔父子功俱高，不可以私親故薄其賞。
HCH_012_154_000008	永樂三年進封新城侯，加祿三百石。
HCH_012_154_000009	是時安南黎季犛弒其主，自稱太上皇，立子蒼為帝。
HCH_012_154_000010	其故王之孫陳天平自老撾來奔，季犛佯請歸國。
HCH_012_154_000011	帝遣都督黃中以兵五千送之，前大理卿薛悤為輔。
HCH_012_154_000012	季犛伏兵芹站，殺天平，悤亦死。
HCH_012_154_000013	帝大怒，命成國公朱能為征夷將軍，輔為右副將軍，帥豐城侯李彬等十八將軍，兵八十萬，會左副將軍西平侯沐晟，分道進討。
HCH_012_154_000014	兵部尚書劉俊贊軍事，行部尚書黃福、大理寺卿陳洽給饋餉。
HCH_012_154_000015	四年十月，能卒於軍，輔代領其眾。
HCH_012_154_000016	自憑祥進師，度坡壘關，望祭安南境內山川，檄季犛二十罪。
HCH_012_154_000017	進破隘留、雞陵二關，道芹站，走其伏兵，抵新福。
HCH_012_154_000018	晟軍亦自雲南至，營於白鶴。
HCH_012_154_000019	安南有東、西二都，依宣、洮、沲、富良四江為險，賊緣江南北岸立柵，聚舟其中，築城於多邦隘，城柵橋艦相連九百餘里，兵眾七百萬，欲據險以老輔師。
HCH_012_154_000020	輔自新福移軍三帶州，造船圖進取。
HCH_012_154_000021	會帝聞朱能卒，敕拜輔為將軍，制詞以李文忠代開平王常遇春為比，且言乘冬月瘴癘未興，宜及時滅賊。
HCH_012_154_000022	十二月，輔軍次富良江北，遣驃騎將軍朱榮破賊嘉林江，遂與晟合軍進攻多邦城。
HCH_012_154_000023	佯欲他攻以懈賊，令都督黃中等將死士，人持炬火銅角，夜四鼓，越重濠，雲梯傅其城。
HCH_012_154_000024	都指揮蔡福先登，士蟻附而上，角鳴，萬炬齊舉，城下兵鼓噪繼進，遂入城。
HCH_012_154_000025	賊驅象迎戰。
HCH_012_154_000026	輔以畫獅蒙馬沖之，翼以神機火器。
HCH_012_154_000027	象皆反走，賊大潰。
HCH_012_154_000028	斬其帥二人，追至傘圓山，盡焚緣江木柵，俘斬無算。
HCH_012_154_000029	進克東都，輯吏民，撫降附，來歸者日以萬計。
HCH_012_154_000030	遣別將李彬、陳旭取西都，又分軍破賊援兵。
HCH_012_154_000031	季犛焚宮室倉庫逃入海，三江州縣皆望風降。
HCH_012_154_000032	明年春，輔遣清遠伯王友等濟自註江，悉破籌江、困枚、萬劫、普賴諸寨，斬首三萬七千餘級。
HCH_012_154_000033	賊將胡杜聚舟盤灘江。
HCH_012_154_000034	輔使降將陳封襲走之，盡得其舟。
HCH_012_154_000035	遂定東潮、諒江諸府州。
HCH_012_154_000036	尋擊破季犛舟師於木丸江，斬首萬級，擒其將校百餘人，溺死者無算。
HCH_012_154_000037	追至膠水縣悶海口，還軍。
HCH_012_154_000038	築城咸子關，令都督柳升守之。
HCH_012_154_000039	已，賊由富良江入。
HCH_012_154_000040	輔與晟夾岸迎戰。
HCH_012_154_000041	升等以舟師橫擊，大破之，馘斬數萬，江水為赤，乘勝窮追。
HCH_012_154_000042	時天旱水淺，賊棄舟陸走。
HCH_012_154_000043	官軍至，忽大雨水漲，遂畢渡。
HCH_012_154_000044	五月至奇羅海口，獲季犛及其子蒼，並偽太子諸王將相大臣等，檻送京師。
HCH_012_154_000045	安南平。
HCH_012_154_000046	得府州四十八，縣一百八十，戶三百十二萬。
HCH_012_154_000047	求陳氏後不得，遂設交阯布政司，以其地內屬。
HCH_012_154_000048	自唐之亡，交阯淪於蠻服者四百餘年，至是復入版圖。
HCH_012_154_000049	帝為詔告天下，諸王百官奉表稱賀。
HCH_012_154_000050	六年夏，輔振旅還京師。
HCH_012_154_000051	再賜宴奉天殿，帝為賦《平安南歌》，進封英國公，歲祿三千石，予世券。
HCH_012_154_000052	其年冬，陳氏故臣簡定復叛。
HCH_012_154_000053	命沐晟討之，敗績於生厥江。
HCH_012_154_000054	明年春，復命輔佩征虜將軍印，帥師往討。
HCH_012_154_000055	時簡定已僣稱越上皇，別立陳季擴為皇，勢張甚。
HCH_012_154_000056	輔就叱覽山伐木造舟，招諒江北諸避寇者復業。
HCH_012_154_000057	遂進至慈廉州，破喝門江，克廣威州孔目柵。
HCH_012_154_000058	遇賊咸子關。
HCH_012_154_000059	賊舟六百餘，保江東南岸。
HCH_012_154_000060	輔帥陳旭等以劃船戰，乘風縱火，擒賊帥二百餘人，盡得其舟。
HCH_012_154_000061	追至太平海口。
HCH_012_154_000062	賊將阮景異以三百艘迎敵，復大破之。
HCH_012_154_000063	於是季擴自言陳氏後，遣使求紹封。
HCH_012_154_000064	輔曰：「向者遍索陳王後不應，今詐也。吾奉命討賊，不知其他。」
HCH_012_154_000065	遂遣朱榮、蔡福等以步騎先進，輔帥舟師繼之。
HCH_012_154_000066	自黃江至神投海，會師清化，分道入磊江，獲簡定於美良山中，及其黨送京帥。
HCH_012_154_000067	八年正月進擊賊余黨，斬數千人，築京觀，惟季擴未獲。
HCH_012_154_000068	帝留沐晟討之，召輔班師。
HCH_012_154_000069	謁帝於興和，命練兵宣府、萬全，督運北征。
HCH_012_154_000070	時陳季擴雖請降，實無悛心。
HCH_012_154_000071	乘輔歸，攻剽如故，晟不能制。
HCH_012_154_000072	交人苦中國約束，又數為吏卒侵擾，往往起附賊，乍服乍叛，將帥益玩寇。
HCH_012_154_000073	九年正月，仍命輔與沐晟協力進討。
HCH_012_154_000074	輔至，申軍令。
HCH_012_154_000075	都督黃中素驕，違節度。
HCH_012_154_000076	詰之不遜，斬以徇。
HCH_012_154_000077	將士惕息，無敢不用命者。
HCH_012_154_000078	其年七月破賊帥阮景異於月常江，獲船百餘，生擒偽元帥鄧宗稷等，又捕斬別部賊首數人。
HCH_012_154_000079	以瘴癘息兵。
HCH_012_154_000080	明年八月擊賊於神投海。
HCH_012_154_000081	賊舟四百餘，分三隊，銳甚。
HCH_012_154_000082	輔沖其中堅，賊卻，左右隊叠進，官軍與相鉤連，殊死戰。
HCH_012_154_000083	自卯至巳，大破賊，擒渠帥七十五人。
HCH_012_154_000084	進軍乂安府，賊將降者相繼。
HCH_012_154_000085	十一年冬，與晟會順州，戰愛子江。
HCH_012_154_000086	賊驅象前行。
HCH_012_154_000087	輔戒士卒，一矢落象奴，二矢射象鼻。
HCH_012_154_000088	象奔還，自蹂其眾。
