HCH_012_170_000001	于謙，字廷益，錢塘人。
HCH_012_170_000002	生七歲，有僧奇之曰：「他日救時宰相也。」
HCH_012_170_000003	舉永樂十九年進士。
HCH_012_170_000004	宣德初，授御史。
HCH_012_170_000005	奏對，音吐鴻暢，帝為傾聽。
HCH_012_170_000006	顧佐為都御史，待寮屬甚嚴，獨下謙，以為才勝己也。
HCH_012_170_000007	扈蹕樂安，高煦出降，帝命謙口數其罪。
HCH_012_170_000008	謙正詞嶄嶄，聲色震厲。
HCH_012_170_000009	高煦伏地戰慄，稱萬死。
HCH_012_170_000010	帝大悅。
HCH_012_170_000011	師還，賞賚與諸大臣等。
HCH_012_170_000012	出按江西，雪冤囚數百。
HCH_012_170_000013	疏奏陝西諸處官校為民害，詔遣御史捕之。
HCH_012_170_000014	帝知謙可大任，會增設各部右侍郎為直省巡撫，乃手書謙名授吏部，超遷兵部右侍郎，巡撫河南、山西。
HCH_012_170_000015	謙至官，輕騎徧歷所部，延訪父老，察時事所宜興革，即具疏言之。
HCH_012_170_000016	一歲凡數上，小有水旱，輒上聞。
HCH_012_170_000017	正統六年疏言：「今河南、山西積穀各數百萬。請以每歲三月，令府州縣報缺食下戶，隨分支給。先菽秫，次黍麥，次稻。俟秋成償官，而免其老疾及貧不能償者。州縣吏秩滿當遷，預備糧有未足，不聽離任。仍令風憲官以時稽察。」
HCH_012_170_000018	詔行之。
HCH_012_170_000019	河南近河處，時有衝決。
HCH_012_170_000020	謙令厚築隄障，計里置亭，亭有長，責以督率修繕。
HCH_012_170_000021	並令種樹鑿井，榆柳夾路，道無渴者。
HCH_012_170_000022	大同孤懸塞外，按山西者不及至，奏別設御史治之。
HCH_012_170_000023	盡奪鎮將私墾田為官屯，以資邊用。
HCH_012_170_000024	威惠流行，太行伏盜皆避匿。
HCH_012_170_000025	在官九年，遷左侍郎，食二品俸。
HCH_012_170_000026	初，三楊在政府，雅重謙。
HCH_012_170_000027	謙所奏，朝上夕報可，皆三楊主持。
HCH_012_170_000028	而謙每議事京師，空橐以入，諸權貴人不能無望。
HCH_012_170_000029	及是，三楊已前卒，太監王振方用事，適有御史姓名類謙者，嘗忤振。
HCH_012_170_000030	謙入朝，薦參政王來、孫原貞自代。
HCH_012_170_000031	通政使李錫阿振指，劾謙以久不遷怨望，擅舉人自代。
