HCH_012_177_000001	王翺，字九臯，鹽山人。
HCH_012_177_000002	永樂十三年，初會試貢士於行在。
HCH_012_177_000003	帝時欲定都北京，思得北士用之。
HCH_012_177_000004	翺兩試皆上第，大喜，特召賜食。
HCH_012_177_000005	改庶吉士，授大理寺左寺正，左遷行人。
HCH_012_177_000006	宣德元年，以楊士奇薦，擢御史，時官吏有罪，不問重輕，許運磚還職。
HCH_012_177_000007	翺請犯贓吏但許贖罪，不得復官，以懲貪黷。
HCH_012_177_000008	帝從之。
HCH_012_177_000009	五年巡按四川。
HCH_012_177_000010	松潘蠻竊發，都督陳懷駐成都，相去八百餘里，不能制。
HCH_012_177_000011	翺上便宜五事：請移懷松藩；而松茂軍糧於農隙齊力起運，護以官軍，毋專累百姓，致被劫掠。
HCH_012_177_000012	吏不給由為民蠹，令自首毋隱；州縣土司遍設社學，會川銀場歲運米八千餘石給軍，往返勞費，請令有罪者納粟自贖。
HCH_012_177_000013	詔所司議詳運糧事，而遷蠹吏北京，余悉允行。
HCH_012_177_000014	英宗即位，廷議遣文武大臣出鎮守。
HCH_012_177_000015	擢翺右僉都御史，偕都督武興鎮江西，懲貪抑奸，吏民畏愛。
HCH_012_177_000016	正統二年召還院。
HCH_012_177_000017	四年，處州賊流劫廣信，命翺往捕，盡俘以還。
HCH_012_177_000018	是年冬，松潘都指揮趙諒誘執國師商巴，掠其財，與同官趙得誣以叛。
HCH_012_177_000019	其弟小商巴怒，聚眾剽掠。
HCH_012_177_000020	命翺及都督李安軍二萬征之。
HCH_012_177_000021	而巡按御史白其枉，詔審機進止。
HCH_012_177_000022	翺至，出商巴於獄，遣人招其弟，撫定余黨，而劾誅諒，戍得，復商巴國師。
HCH_012_177_000023	松潘遂平。
HCH_012_177_000024	六年代陳鎰鎮陜西，軍民之借糧不能償者，核免之。
HCH_012_177_000025	七年冬，提督遼東軍務。
HCH_012_177_000026	翺以軍令久馳，寇至，將士不力戰，因諸將庭謁，責以失律罪，命左右曳出斬之。
HCH_012_177_000027	皆惶恐叩頭，願效死贖。
HCH_012_177_000028	翺乃躬行邊，起山海關抵開原，繕城垣，浚溝塹。
HCH_012_177_000029	五里為堡，十里為屯，使烽燧相接。
HCH_012_177_000030	練將士，室鰥寡。
HCH_012_177_000031	軍民大悅。
HCH_012_177_000032	又以邊塞孤遠，軍餉匱，緣俗立法，令有罪得收贖。
HCH_012_177_000033	十餘年間，得谷及牛羊數十萬，邊用以饒。
HCH_012_177_000034	八年以九載滿，進右副都御史。
HCH_012_177_000035	指揮孫璟鞭殺戍卒，其妻女哭之亦死。
HCH_012_177_000036	他卒訴璟殺一家三人。
HCH_012_177_000037	翺曰：「卒死法，妻死夫，女死父，非殺也。」
HCH_012_177_000038	命璟償其家葬{艹}費，璟感激。
HCH_012_177_000039	後參將遼東，追敵三百里，事李秉為名將。
HCH_012_177_000040	十二年與總兵曹義等出塞，擊兀良哈，擒斬百餘人，獲畜產四千六百，進右都御史。
HCH_012_177_000041	十四年，諸將破敵廣平山，進左。
HCH_012_177_000042	脫脫不花大舉犯廣寧，翺方閱兵，寇猝至，眾潰。
HCH_012_177_000043	翺入城自保。
HCH_012_177_000044	或謂城不可守，翺手劍曰：「敢言棄城者斬。」
HCH_012_177_000045	寇退，坐停俸半載。
HCH_012_177_000046	景泰三年，召還掌院事。
HCH_012_177_000047	易儲，加太子太保。
HCH_012_177_000048	潯、梧瑤亂，總兵董興、武毅推委不任事，于謙請以翁信、陳旺易之，而特遣一大臣督軍務，乃以命翺。
HCH_012_177_000049	兩廣有總督自翺始。
HCH_012_177_000050	翺至鎮，將吏詟服，推誠撫諭，瑤人向化，部內無事。
HCH_012_177_000051	明年召入為吏部尚書。
HCH_012_177_000052	初，何文淵協王直掌銓，多私，為言官攻去。
HCH_012_177_000053	翺代，一循成憲。
HCH_012_177_000054	天順改元，直致仕，翺始專部事。
HCH_012_177_000055	石亨欲去翺，翺乞休。
HCH_012_177_000056	已得請，李賢力爭乃留。
HCH_012_177_000057	及賢為亨所逐，亦以翺言留，兩人相得歡甚。
HCH_012_177_000058	帝每用人必咨賢，賢以推翺，以是翺得行其誌。
HCH_012_177_000059	帝眷翺厚，時召對便殿，稱「先生」不名。
HCH_012_177_000060	而翺年幾八十，多忘，嘗令郎談倫隨入。
HCH_012_177_000061	帝問故，翺頓首曰：「臣老矣，所聆聖諭，恐遺誤，令此郎代識之，其人誠謹可信也。」
HCH_012_177_000062	帝喜，吏部主事曹恂已遷江西參議，遇疾還。
HCH_012_177_000063	翺以聞，命以主事回籍。
HCH_012_177_000064	恂怒，伺翺入朝，捽翺胸，摑其面，大聲詬詈。
HCH_012_177_000065	事聞，下詔獄。
HCH_012_177_000066	翺具言恂實病，得斥歸，時服其量。
HCH_012_177_000067	五年加太子少保。
HCH_012_177_000068	成化元年進太子太保，雨雪免朝參。
HCH_012_177_000069	屢疏乞歸，輒慰留，數遣醫視疾。
HCH_012_177_000070	三年，疾甚，乃許致仕。
HCH_012_177_000071	未出都卒，年八十有四。
HCH_012_177_000072	贈太保，謚忠肅。
HCH_012_177_000073	翺在銓部，謝絕請謁，公余恒宿直廬，非歲時朔望謁先祠，未嘗歸私第。
HCH_012_177_000074	每引選，或值召對，侍郎代選。
HCH_012_177_000075	歸雖暮，必至署閱所選，惟恐有不當也。
HCH_012_177_000076	論薦不使人知，曰：「吏部豈快恩怨地耶。」
HCH_012_177_000077	自奉儉素。
HCH_012_177_000078	景帝知其貧，為治第鹽山。
HCH_012_177_000079	孫以蔭入太學，不使應舉，曰：「勿妨寒士路。」
HCH_012_177_000080	婿賈傑官近畿，翺夫人數迎女，傑恚曰：「若翁典銓，移我官京師，反手爾。何往來不憚煩也！」
HCH_012_177_000081	夫人聞之，乘間請翺。
HCH_012_177_000082	翺怒，推案，擊夫人傷面。
HCH_012_177_000083	傑卒不得調。
HCH_012_177_000084	其自遼東還朝也，中官同事者重翺，贐明珠數顆，翺固辭。
HCH_012_177_000085	其人曰：「此先朝賜也，公得毋以贓卻我乎。」
HCH_012_177_000086	不得已，納而藏焉。
HCH_012_177_000087	中官死，召其從子還之。
HCH_012_177_000088	為都御史時，夫人為娶一妾，逾半歲語翺。
HCH_012_177_000089	翺怒曰：「汝何破我家法！」
HCH_012_177_000090	即日具金幣返之。
HCH_012_177_000091	妾終不嫁，曰：「豈有大臣妾嫁他人者？」
HCH_012_177_000092	翺卒，妾往奔喪，其子養之終身。
HCH_012_177_000093	李賢嘗語人曰：「臯陶言九德，王公有其五：亂而敬，擾而毅，簡而廉，剛而塞，強而義也。」
HCH_012_177_000094	然性頗執。
HCH_012_177_000095	嘗有詔舉賢良方正、經明行修及山林隱逸士。
HCH_012_177_000096	至者率下部試，翺黜落，百不取一二。
HCH_012_177_000097	性不喜南士。
HCH_012_177_000098	英宗嘗言：「北人文雅不及南人，顧質直雄偉，緩急當得力。」
HCH_012_177_000099	翺由是益多引北人。
HCH_012_177_000100	晚年徇中官郭聰囑，為都御史李秉所劾，翺自引伏，蓋不無小損雲。
HCH_012_177_000101	子孫世官錦衣千戶。
HCH_012_177_000102	年富，字大有，懷遠人。
HCH_012_177_000103	本姓嚴，訛為年。
HCH_012_177_000104	以會試副榜授德平訓導。
HCH_012_177_000105	年甫逾冠，嚴重如老儒。
HCH_012_177_000106	宣德三年課最，擢吏科給事中。
HCH_012_177_000107	糾正違失，務存大體。
HCH_012_177_000108	帝以六科任重，命科擇二人掌其事，乃以富與賈銓並掌刑科。
HCH_012_177_000109	都御史顧佐等失入死罪十七人，富劾之。
HCH_012_177_000110	帝詰責佐等。
HCH_012_177_000111	英宗嗣位，上言：「永樂中，招納降人，縻以官爵，坐耗國帑，養亂招危，宜遣還故土。府軍前衛幼軍，本選民間子弟，隨侍青宮。今死亡殘疾，僉補為擾。請於二十五所內，以一所補調，勿更累民。軍民之家，規免稅徭，冒僧道者累萬，宜悉遣未度者復業。」
HCH_012_177_000112	議多施行。
HCH_012_177_000113	遷陜西左參政，尋命總理糧儲。
HCH_012_177_000114	陜西歲織綾絹𣯳毼九百餘匹。
HCH_012_177_000115	永樂中，加織駝毼五十匹，富請罷之。
HCH_012_177_000116	官吏諸生衛卒祿廩，率以邊餉減削，富請復其舊。
HCH_012_177_000117	諸邊將校占墾腴田有至三四十頃者，富奏每頃輸賦十二石。
HCH_012_177_000118	都督王禎以為過重，疏爭之。
HCH_012_177_000119	廷議減三之二，遂為定額。
HCH_012_177_000120	又會計歲用，以籌軍餉，言：「臣所部歲收二稅百八十九萬石，屯糧七十餘萬石。其間水旱流移，蠲逋負，大率三分減一，而歲用乃至百八十餘萬，入少出多。今鎮守諸臣不量國計，競請益兵，餉何由給？請減冗卒，汰駑馬，杜侵耗之弊。」
HCH_012_177_000121	帝可其奏。
HCH_012_177_000122	三邊士馬，供億浩繁，軍民疲遠輸，豪猾因緣為奸利。
HCH_012_177_000123	富量遠近，定征科，出入慎鉤考，宿弊以革，民困大蘇。
