HCH_012_179_000001	羅倫章懋黃仲昭莊鄒智舒芬羅倫，字彜正，吉安永豐人。
HCH_012_179_000002	五歲嘗隨母入園，果落，眾競取，倫獨賜而後受。
HCH_012_179_000003	家貧樵牧，挾書誦不輟。
HCH_012_179_000004	及為諸生，誌聖賢學，嘗曰：「舉業非能壞人，人自壞之耳。」
HCH_012_179_000005	知府張瑄憫其貧，周之粟，謝不受。
HCH_012_179_000006	居父母喪，逾大祥，始食鹽酪。
HCH_012_179_000007	成化二年，廷試，對策萬餘言。
HCH_012_179_000008	直斥時弊，名震都下。
HCH_012_179_000009	擢進士第一，授翰林修撰。
HCH_012_179_000010	逾二月，大學士李賢奔喪畢，奉詔還朝。
HCH_012_179_000011	倫詣賢沮之，不聽。
HCH_012_179_000012	乃上疏曰：臣聞朝廷援楊溥故事，起復大學士李賢。
HCH_012_179_000013	臣竊謂賢大臣，起復大事，綱常風化系焉，不可不慎。
HCH_012_179_000014	曩陛下制策有曰：「朕夙夜拳拳，欲正大綱，舉萬目，使人倫明於上，風俗厚於下。」
HCH_012_179_000015	竊謂明人倫，厚風俗，莫先於孝。
HCH_012_179_000016	在禮，子有父母之喪，君三年不呼其門。
HCH_012_179_000017	子夏問：「三年之喪，金革無避，禮歟？」
HCH_012_179_000018	孔子曰：「魯公伯禽有為為之也。今以三年之喪從其利者，吾弗知也。」
HCH_012_179_000019	陛下於賢，以為金革之事起復之歟？
HCH_012_179_000020	則未之有也。
HCH_012_179_000021	以大臣起復之歟？
HCH_012_179_000022	則禮所未見也。
HCH_012_179_000023	夫為人君，當舉先王之禮教其臣；為人臣，當守先王之禮事其君。
HCH_012_179_000024	昔宋仁宗嘗起復富弼矣，弼辭曰：「不敢遵故事以遂前代之非，但當據《禮經》以行今日之是。」
HCH_012_179_000025	仁宗卒從其請。
HCH_012_179_000026	孝宗嘗起復劉珙矣，珙辭曰：「身在草土之中，國無門庭之寇，難冒金革之名，私竊利祿之實。」
HCH_012_179_000027	孝宗不抑其情。
HCH_012_179_000028	此二君者，未嘗以故事強其臣。
HCH_012_179_000029	二臣者。
HCH_012_179_000030	未嘗以故事徇其君。
HCH_012_179_000031	故史冊書之為盛事，士大夫傳之為美談。
HCH_012_179_000032	無他，君能教臣以孝，臣有孝可移於君也。
HCH_012_179_000033	自是而後，無復禮義。
HCH_012_179_000034	王黼、史嵩之、陳宜中、賈似道之徒，皆援故事起復。
HCH_012_179_000035	然天下壞亂，社稷傾危，流禍當時，遺譏後代。
HCH_012_179_000036	無他，君不教臣以孝，臣無孝可移於君也。
HCH_012_179_000037	陛下必欲賢身任天下之事，則賢身不可留，口實可言。
HCH_012_179_000038	宜降溫詔，俾如劉珙得以言事。
HCH_012_179_000039	使賢於天下之事知必言，言必盡。
HCH_012_179_000040	陛下於賢之言聞必行，行必力。
HCH_012_179_000041	賢雖不起復，猶起復也。
HCH_012_179_000042	茍知之而不能盡言，言之而不能力行，賢雖起復無益也。
HCH_012_179_000043	且陛下無謂廟堂無賢臣，庶官無賢士。
HCH_012_179_000044	君，盂也；臣，水也。
HCH_012_179_000045	水之方圓，盂實主之。
HCH_012_179_000046	臣之直佞，君實召之。
HCH_012_179_000047	陛下誠於退朝之暇，親直諒博洽之臣，講聖學君德之要，詢政事得失，察民生利病，訪人才賢否，考古今盛衰。
HCH_012_179_000048	舍獨信之偏見，納逆耳之苦言。
HCH_012_179_000049	則眾賢群策畢萃於朝，又何待違先王之《禮經》，損大臣之名節，然後天下可治哉。
HCH_012_179_000050	臣伏見比年以來，朝廷以奪情為常典，縉紳以起復為美名，食稻衣錦之徒，接踵廟堂，不知此人於天下之重何關耶？
HCH_012_179_000051	且婦於舅姑，喪亦三年；孫於祖父母，服則齊衰。
HCH_012_179_000052	奪情於夫，初無預其妻；奪情於父，初無幹其子。
HCH_012_179_000053	今或舍館如故，妻孥不還，乃號於天下曰：「本欲終喪，朝命不許」，雖三尺童子，臣知其不信也。
HCH_012_179_000054	為人父者所以望其子之報，豈擬至於此哉。
HCH_012_179_000055	為人子者所以報其親之心，豈忍至於此哉。
HCH_012_179_000056	枉己者不能直人，忘親者不能忠君。
HCH_012_179_000057	陛下何取於若人而起復之也。
HCH_012_179_000058	今大臣起復，群臣不以為非，且從而贊之；群臣起復，大臣不以為非，且從而成之。
HCH_012_179_000059	上下成俗，混然同流，率天下之人為無父之歸。
HCH_012_179_000060	臣不忍聖明之朝致綱常之壞、風俗之弊一至此極也。
HCH_012_179_000061	願陛下斷自聖衷，許賢歸家持服。
HCH_012_179_000062	其他已起復者，仍令奔喪，未起復者，悉許終制。
HCH_012_179_000063	脫有金革之變，亦從墨衰之權，使任軍事於外，盡心喪於內。
HCH_012_179_000064	將朝廷端則天下一，大臣法則群臣效，人倫由是明，風俗由是厚矣。
HCH_012_179_000065	疏入，謫福建市舶司副提舉。
HCH_012_179_000066	御史陳選疏救，不報。
HCH_012_179_000067	御史楊瑯復申救，帝切責之。
HCH_012_179_000068	尚書王翺以文彥博救唐介事諷賢，賢曰：「潞公市恩，歸怨朝廷，吾不可以效之。」
HCH_012_179_000069	亡何，賢卒。
HCH_012_179_000070	明年以學士商輅言召復原職，改南京。
HCH_012_179_000071	居二年，引疾歸，遂不復出。
HCH_012_179_000072	倫為人剛正，嚴於律己。
HCH_012_179_000073	義所在，毅然必為，於富貴名利泊如也。
HCH_012_179_000074	裏居倡行鄉約，相率無敢犯。
HCH_012_179_000075	衣食粗惡。
HCH_012_179_000076	或遺之衣，見道堇，解以覆之。
HCH_012_179_000077	晨留客飲，妻子貸粟鄰家，及午方炊，不為意。
HCH_012_179_000078	以金牛山人跡不至，築室著書其中，四方從學者甚眾。
HCH_012_179_000079	十四年卒，年四十八。
HCH_012_179_000080	嘉靖初，從御史唐龍請，追贈左春坊諭德，謚文毅。
HCH_012_179_000081	學者稱一峰先生。
HCH_012_179_000082	方倫為提舉時，御史豐城塗棐巡按福建。
HCH_012_179_000083	司禮中官黃賜，延平人也，請見，棐不可。
HCH_012_179_000084	泉州知府李宗學以受賕為棐所按，訐棐自解，賜從中主其奏。
HCH_012_179_000085	棐、宗學俱被征，詞連倫，當並逮。
HCH_012_179_000086	鎮撫司某曰：「羅先生可至此乎？」
HCH_012_179_000087	即日鞫成上之。
HCH_012_179_000088	倫得免，棐亦復官。
HCH_012_179_000089	塗棐，天順四年進士。
HCH_012_179_000090	成化中嘗言：「祖宗朝，政事必與大臣面議。自先帝幼沖，未能裁決，柄國者慮其缺遺，假簡易之辭，以便宣布。凡視朝奏事，諭旨輒曰：「所司知之」。此一時權宜，非可循為定制。況批答多參以中官，內閣或不與，尤乖祖制。乞復面議，杜蔽壅之弊。」
HCH_012_179_000091	憲宗不能用。
HCH_012_179_000092	終廣東副使。
HCH_012_179_000093	章懋，字德懋，蘭溪人。
HCH_012_179_000094	成化二年會試第一，成進士，改庶吉王。
HCH_012_179_000095	明年冬，授編修。
