HCH_012_191_000001	毛澄汪俊吳一鵬朱希周何孟春豐熙徐文華薛蕙毛澄，字憲清，昆山人。
HCH_012_191_000002	舉弘治六年進士第一。
HCH_012_191_000003	授修撰。
HCH_012_191_000004	預修《會典》成，進右諭德，直講東宮。
HCH_012_191_000005	武宗為太子，以澄進講明晰稱之帝。
HCH_012_191_000006	帝大喜。
HCH_012_191_000007	方秋夜置宴，即徹以賜。
HCH_012_191_000008	武宗立，進左庶子，直經筵。
HCH_012_191_000009	以母憂歸。
HCH_012_191_000010	正德四年，劉瑾摘《會典》小疵貶諸纂修者秩，以澄為侍讀。
HCH_012_191_000011	服闋還朝，進侍講學士。
HCH_012_191_000012	再遷學士，掌院事，歷禮部侍郎。
HCH_012_191_000013	十二年六月拜尚書。
HCH_012_191_000014	其年八月朔，帝微行。
HCH_012_191_000015	澄率侍郎王瓚、顧清等疏請還宮。
HCH_012_191_000016	既又出居庸，幸宣府，久留不返。
HCH_012_191_000017	澄等頻疏諫，悉不報。
HCH_012_191_000018	明年正月，駕旋，命百官戎服郊迎。
HCH_012_191_000019	澄等請用常服，不許。
HCH_012_191_000020	七月，帝自稱威武大將軍朱壽，統六師巡邊。
HCH_012_191_000021	遂幸宣府，抵大同，歷山西至榆林。
HCH_012_191_000022	澄等屢疏馳諫。
HCH_012_191_000023	至十二月，復偕廷臣上疏曰：「去歲正月以來，鑾輿數駕，不遑寧居。今茲之行，又已半歲。宗廟、社稷享祀之禮並系攝行，萬壽、正旦、冬至朝賀之儀悉從簡略。臘朔省牲，闕而不行，遂二年矣。歲律將周，郊禋已卜。皇祖之訓曰：「凡祀天地，精誠則感格，怠慢則禍生。』今六龍遐騁，旋軫無日。萬一冰雪阻違，道途梗塞，元正上日不及躬執玉帛於上帝前，陛下何以自安？且邊地荒寒，隆冬尤甚。臣等處重城，食厚祿，仰思聖體勞頓，根本空虛，遙望清塵，憂心如醉。伏祈趣駕速還，躬親祼享，宗社臣民幸甚。」不報。十四年二月，駕甫還京，即諭禮部：「總督軍務威武大將軍、總兵官、太師、鎮國公朱壽遣往兩畿，瞻東嶽，奉安聖像，祈福安民。」澄等駭愕，復偕廷臣上言：「陛下以天地之子，承祖宗之業，九州四海但知陛下有皇帝之號。今曰『總督軍務、威武大將軍、太師、鎮國公』者，臣等莫知所指。夫出此旨者，陛下也。加此號者，陛下也。不知受此號者何人？如以皇儲未建，欲遍告名山大川，用祈默相，則遣使走幣，足將敬矣。何必躬奉神像，獻寶香，如佛、老所為哉？」因歷陳五不可。亦不報。宸濠反江西，帝南征示威武，駐蹕留都者逾歲。澄屢請回鑾。及駕返通州，用江彬言，將即賜宸濠死。澄據漢庶人故事，
HCH_012_191_000024	請還京告郊廟，獻俘行戮。
HCH_012_191_000025	不從。
HCH_012_191_000026	中官王堂鎮浙江，請建生祠；西番闡化王使者乞額外賜茶九萬斤。
HCH_012_191_000027	澄皆力爭，不聽。
HCH_012_191_000028	王瓊欲陷彭澤，澄獨白其無罪。
HCH_012_191_000029	武宗崩，澄偕大學士梁儲、壽寧侯張鶴齡、駙馬崔元、太監韋霦等迎世宗於安陸。
HCH_012_191_000030	既至，將謁見，有議用天子禮者。
HCH_012_191_000031	澄曰：「今即如此，後何以加？豈勸進、辭讓之禮當遂廢乎？」
HCH_012_191_000032	世宗踐阼甫六日，有旨議興獻王主祀及尊稱。
HCH_012_191_000033	五月七日戊午，澄大會文武群臣，上議曰：「考漢成帝立定陶王為皇太子，立楚孝王孫景為定陶王，奉共王祀。共王者，皇太子本生父也。時大司空師丹以為恩義備至。今陛下入承大統，宜如定陶王故事，以益王第二子崇仁王厚炫繼興王後，襲興王主祀事。又考宋濮安懿王之子入繼仁宗後，是為英宗。司馬光謂濮王宜尊以高官大爵，稱王伯而不名。範鎮亦言：「陛下既考仁宗，若復以濮王為考，於義未當。』乃立濮王園廟，以宗樸為濮國公奉濮王祀。程頤之言曰：「為人後者，謂所後為父母，而謂所生為伯、叔父母，此生人之大倫也。然所生之義，至尊至大，宜別立殊稱。曰皇伯、叔父某國大王，則正統既明，而所生亦尊崇極矣。』今興獻王於孝宗為弟，於陛下為本生父，與濮安懿王事正相等。陛下宜稱孝宗為皇考，改稱興獻王為『皇叔父興獻大王』，妃為『皇叔母興獻王妃』。凡祭告興獻王及上箋於妃，俱自稱『侄皇帝』某，則正統、私親，恩禮兼盡，可以為萬世法。」議上，帝怒曰：「父母可更易若是耶！」命再議。其月二十四日乙亥，澄復會廷臣上議曰：「《禮》為人後者為之子，自天子至庶人一也。興獻王子惟陛下一人，既入繼大統，奉祀宗廟，是以臣等前議欲令崇仁王厚炫主興獻王祀。至於稱號，陛下宜稱為『皇叔父興獻大王』，
HCH_012_191_000034	自稱『侄皇帝』名。
HCH_012_191_000035	以宋程頤之說為可據也。
HCH_012_191_000036	本朝之制，皇帝於宗藩尊行，止稱伯父、叔父，自稱皇帝而不名。
HCH_012_191_000037	今稱興獻王為『皇叔父大王』，又自稱名，尊崇之典已至，臣等不敢復有所議。
HCH_012_191_000038	因錄程頤《代彭思永議濮王禮疏》進覽。
HCH_012_191_000039	帝不從，命博考前代典禮，再議以聞。
HCH_012_191_000040	澄乃復會廷臣上議曰：「臣等會議者再，請改稱興獻王為叔父者，明大統之尊無二也。然加『皇』字於『叔父』之上，則凡為陛下伯、叔諸父皆莫能與之齊矣。加『大』字於『王』之上，則天下諸王皆莫得而並之矣。興獻王稱號既定，則王妃稱號亦隨之，天下王妃亦無以同其尊矣。況陛下養以天下，所以樂其心，不違其誌，豈一家一國之養可同日語哉。此孔子所謂事之以禮者。其他推尊之說，稱親之議，似為非禮。推尊之非，莫詳於魏明帝之詔。稱親之非，莫詳於宋程頤之議。至當之禮，要不出於此。」
HCH_012_191_000041	並錄上魏明帝詔書。
HCH_012_191_000042	當是時，帝銳意欲推崇所生，而進士張璁復抗疏極言禮官之謬。
HCH_012_191_000043	帝心動，持澄等疏久不下。
HCH_012_191_000044	至八月庚辰朔，再命集議。
HCH_012_191_000045	澄等乃復上議曰：「先王制禮，本乎人情。武宗既無子嗣，又鮮兄弟，援立陛下於憲廟諸孫之中。是武宗以陛下為同堂之弟，考孝宗，母慈壽，無可疑矣，可復顧私親哉？」
HCH_012_191_000046	疏入，帝不懌，復留中。
HCH_012_191_000047	會給事中邢寰請議憲廟皇妃邵氏徽號，澄上言：「王妃誕生獻王，實陛下所自出。但既承大統，則宜考孝宗，而母慈壽太后矣。孝宗於憲廟皇妃宜稱皇太妃，則在陛下宜稱太皇太妃。如此，則彜倫既正，恩義亦篤。」
HCH_012_191_000048	疏入，報聞。
HCH_012_191_000049	其月，帝以母妃將至，下禮官議其儀。
HCH_012_191_000050	澄等請由崇文門入東安門，帝不可。
HCH_012_191_000051	乃議由正陽左門入大明東門，帝又不可。
HCH_012_191_000052	澄等執議如初。
HCH_012_191_000053	帝乃自定其儀，悉由中門入。
HCH_012_191_000054	時尊崇禮猶未定，張璁復進《大禮或問》，帝益向之。
HCH_012_191_000055	至九月末，乃下澄等前疏，更令博采輿論以聞。
HCH_012_191_000056	澄等知勢不可已，謀於內閣，加稱興王為『帝』，妃為「後」，而以皇太后懿旨行之。
HCH_012_191_000057	乃疏言：「臣等一得之愚，已盡於前議。茲欲仰慰聖心，使宜於今而不戾乎情，合乎古而無悖乎義，則有密勿股肱在。臣等有司，未敢擅任。」
HCH_012_191_000058	帝遂於十月二日庚辰，以慈壽皇太后旨加興獻王號曰「興獻帝」，妃曰「興國太后」，皇妃邵氏亦尊為「皇太后」，宣示中外。
HCH_012_191_000059	顧帝雖勉從廷議，意猶慊之。
HCH_012_191_000060	十二月十一日己丑，復傳諭加稱皇帝。
HCH_012_191_000061	內閣楊廷和等封還禦批，澄抗疏力爭，又偕九卿喬宇等合諫，帝皆不允。
HCH_012_191_000062	明年，嘉靖改元正月，清寧宮後三小宮災。
HCH_012_191_000063	澄復以為言，會朝臣亦多諫者，事獲止。
HCH_012_191_000064	澄端亮有學行，論事侃侃不撓。
HCH_012_191_000065	帝欲推尊所生，嘗遣中官諭意，至長跪稽首。
HCH_012_191_000066	澄駭愕，急扶之起。
HCH_012_191_000067	其人曰：「上意也。上言『人孰無父母，奈何使我不獲伸』，必祈公易議。」
HCH_012_191_000068	因出囊金畀澄。
HCH_012_191_000069	澄奮然曰：「老臣悖耄，不能隳典禮。獨有一去，不與議已耳。」
HCH_012_191_000070	抗疏引疾至五六上，帝輒慰留不允。
HCH_012_191_000071	二年二月疾甚，復力請，乃許之。
HCH_012_191_000072	舟至興濟而卒。
HCH_012_191_000073	先是，論定策功，加澄太子太傅，蔭錦衣世指揮同知，力辭不受。
HCH_012_191_000074	帝雅敬憚澄，雖數忤旨，而恩禮不衰。
HCH_012_191_000075	既得疾，遣醫診視，藥物之賜時至。
HCH_012_191_000076	其卒也，深悼惜之。
HCH_012_191_000077	贈少傅，謚文簡。
HCH_012_191_000078	汪俊，字抑之，弋陽人。
HCH_012_191_000079	父鳳，進士，貴州參政。
HCH_012_191_000080	俊舉弘治六年會試第一，授庶吉士，進編修。
HCH_012_191_000081	正德中，與修《孝宗實錄》，以不附劉瑾、焦芳，調南京工部員外郎。
HCH_012_191_000082	瑾、芳敗，召復原官。
HCH_012_191_000083	累遷侍讀學士，擢禮部右侍郎。
HCH_012_191_000084	嘉靖元年轉吏部左侍郎。
HCH_012_191_000085	時議興獻王尊號，與尚書喬宇、毛澄輩力爭。
HCH_012_191_000086	澄引疾去，代者羅欽順不至，乃以俊為禮部尚書。
HCH_012_191_000087	是時獻王已加帝號矣，主事桂萼復請稱皇考。
HCH_012_191_000088	章下廷議。
HCH_012_191_000089	三年二月，俊集廷臣七十有三人上議曰：「祖訓『兄終弟及』，指同產言。今陛下為武宗親弟，自宜考孝宗明矣。孰謂與人為後，而滅武宗之統也。《儀禮》傳曰：「為人後者，孰後？後大宗也。』漢宣起民間，猶嗣孝昭。光武中興，猶考孝元。魏明帝詔皇后無子，擇建支子，以繼大宗。孰謂入繼之主與為人後者異也。宋範純仁謂英宗親受詔為子，與入繼不同，蓋言恩義尤篤，尤當不顧私親，非以生前為子者乃為人後，身後入繼者不為人後也。萼言『孝宗既有武宗為之子，安得復為立後。』臣等謂陛下自後武宗而上考孝宗，非為孝宗立後也。又言『武宗全神器授陛下，何忍不繼其統。』臣等謂陛下既稱武宗皇兄矣，豈必改孝宗稱伯，乃為繼其統乎？又言『禮官執者不過前宋《濮議》』。臣等愚昧，所執實不出此。蓋宋程頤之議曰：「雖當專意於正統，豈得盡絕於私恩。故所繼，主於大義；所生，存乎至情。至於名稱，統緒所系，若其無別，斯亂大倫。』殆為今日發也。謹集諸章奏，惟進士張璁、主事霍韜、給事中熊浹與萼議同，其他八十餘疏二百五十餘人，皆如臣等議。」議上，留中。而特旨召桂萼、張璁、席書於南京。越旬有五日，乃下諭曰：「朕奉承宗廟正統，大義豈敢有違。第本生至情，亦當兼盡。其再集議以聞。
HCH_012_191_000090	俊不得已，乃集群臣請加「皇」字，以全徽稱。
HCH_012_191_000091	議上，復留十餘日。
HCH_012_191_000092	至三月朔，乃詔禮官，加稱興獻帝為本「生皇考恭穆獻皇帝」，興國太后為「本生母章聖皇太后」。
HCH_012_191_000093	擇日祭告郊廟，頒詔天下。
HCH_012_191_000094	而別諭建室奉先殿側，恭祀獻皇。
HCH_012_191_000095	俊等復爭曰：「陛下入奉大宗，不得祭小宗，亦猶小宗之不得祭大宗也。昔興獻帝奉藩安陸，則不得祭憲宗。今陛下入繼大統，亦不得祭興獻帝。是皆以禮抑情者也。然興獻帝不得迎養壽安皇太后於藩邸，陛下得迎興國太后於大內，受天下之養，而尊祀興獻帝以天子之禮樂，則人子之情獲自盡矣。乃今聖心無窮，臣等敢不將順，但於正統無嫌，乃為合禮。」
HCH_012_191_000096	帝曰：「朕但欲奉先殿側別建一室，以伸追慕之情耳。迎養藩邸，祖宗朝無此例，何容飾以為詞。其令陳狀。」
HCH_012_191_000097	俊具疏引罪。
HCH_012_191_000098	用嚴旨切責，而趣立廟益急。
HCH_012_191_000099	俊等乃上議曰：「立廟大內，有幹正統。臣實愚昧，不敢奉詔。」
HCH_012_191_000100	帝不納，而令集廷臣大議。
