HCH_012_224_000001	嚴清，字公直，雲南後衛人。
HCH_012_224_000002	嘉靖二十三年進士。
HCH_012_224_000003	除富順知縣。
HCH_012_224_000004	公廉恤民，治聲大起。
HCH_012_224_000005	憂歸，補邯鄲。
HCH_012_224_000006	入為工部主事，歷郎中。
HCH_012_224_000007	董作京師外城，修九陵，吏無所侵牟，工成加俸。
HCH_012_224_000008	連丁內外艱。
HCH_012_224_000009	服除，補兵部，擢保定知府。
HCH_012_224_000010	故事，歲籍民充京師庫役，清罷之。
HCH_012_224_000011	振荒弭盜，人以比前守吳嶽。
HCH_012_224_000012	歷遷易州副使，陜西參政，四川按察使、右布政使。
HCH_012_224_000013	並以清望，薦章十餘上。
HCH_012_224_000014	隆慶二年，以右僉都御史巡撫貴州。
HCH_012_224_000015	未上，改四川。
HCH_012_224_000016	清久宦川中，僚吏憚其風采，相率厲名行，少墨敗者。
HCH_012_224_000017	郡縣卒歲團操成都，清罷之。
HCH_012_224_000018	番人入貢，裁為定額。
HCH_012_224_000019	痛絕強宗悍吏，毀者亦眾。
HCH_012_224_000020	陜西賊流入境，巡按御史王廷瞻劾清縱寇。
HCH_012_224_000021	大學士趙貞吉言：「賊起鄖、陜，貽害川僥，即有罪，當罪守土臣，不宜專責巡撫。臣蜀人，深知清約己愛人，省事任怨。今蜀地歲荒民流，方倚清如父母，奈何棄之！任事臣欲為國家利小民，必得罪豪右。論者不察，動以深文求之。頃海瑞既去，若清復罷，是任事之臣皆不免彈擊，惟全軀保位為得計矣。」
HCH_012_224_000022	疏奏，不允，命解官聽調。
HCH_012_224_000023	清遂不出。
HCH_012_224_000024	萬歷二年，起撫山西。
HCH_012_224_000025	未赴，改貴州。
HCH_012_224_000026	歷兩京大理卿，三遷刑部尚書。
HCH_012_224_000027	張居正當國，尚書不附麗者獨清。
HCH_012_224_000028	居正既卒，籍馮保家，得廷臣饋遺籍，獨無清名，神宗深重焉。
HCH_012_224_000029	會吏部尚書梁夢龍罷，即以清代。
HCH_012_224_000030	日討故實，辨官材，自丞佐下皆親署，無一幸進者。
HCH_012_224_000031	中外師其廉儉，書問幾絕。
HCH_012_224_000032	甫半歲，得疾歸。
HCH_012_224_000033	帝數問閣臣：「嚴尚書病愈否？」
HCH_012_224_000034	十五年，兵部缺尚書，用楊博故事，特詔起補。
HCH_012_224_000035	遣使趣行，而清疾益甚，不能赴。
HCH_012_224_000036	又三年卒。
HCH_012_224_000037	贈太子太保，謚恭肅。
HCH_012_224_000038	清初拜尚書，不能具服色，束素犀帶以朝。
HCH_012_224_000039	或嘲之曰：「公釋褐時，七品玳瑁帶猶在耶？」
HCH_012_224_000040	清笑而已。
HCH_012_224_000041	宋纁，字伯敬，商丘人。
HCH_012_224_000042	嘉靖三十八年進士。
HCH_012_224_000043	授永平推官。
HCH_012_224_000044	擢御史，出視西關，按應天諸府。
HCH_012_224_000045	隆慶改元，再按山西。
HCH_012_224_000046	俺答陷石州，將士捕七十七人，當斬。
HCH_012_224_000047	纁訊得其誣，釋者殆半。
HCH_012_224_000048	靜樂民李良雨化為女，纁言此陽衰陰盛之象，宜進君子退小人，以挽氣運。
HCH_012_224_000049	帝嘉納之。
HCH_012_224_000050	擢順天府丞，尋以右僉都御史巡撫保定諸府。
HCH_012_224_000051	核缺伍，汰冗兵，罷諸道援兵防禦，省餉無算。
HCH_012_224_000052	萬歷初，與張居正不合，引疾歸。
HCH_012_224_000053	居正卒，廷臣交薦，以故官撫保定。
HCH_012_224_000054	獲鹿諸縣饑，先振後以聞。
HCH_012_224_000055	帝以近畿宜俟命，令災重及地遠者便宜振貸，餘俱奏聞。
HCH_012_224_000056	尋遷南京戶部右侍郎。
HCH_012_224_000057	召還部，進左，改督倉場。
HCH_012_224_000058	請減額解贖銀，民壯弓兵諸役已裁者，勿征民間工食。
HCH_012_224_000059	十四年，遷戶部尚書。
HCH_012_224_000060	民壯工食已減半，復有請盡蠲者，纁因並歷日諸費奏裁之。
HCH_012_224_000061	有司征賦懼缺額，鞭撻取盈，纁請有司考成，視災傷為上下。
HCH_012_224_000062	山西連歲荒，賴社倉獲濟，纁請推行天下，以紙贖為糴本，不足則勸富人，或令民輸粟給冠帶。
HCH_012_224_000063	又言：「邊儲大計，最重屯田、鹽策。近諸邊年例銀增至三百六十一萬，視弘治初八倍，宜修屯政，商人墾荒中鹽。」
HCH_012_224_000064	帝皆稱善。
HCH_012_224_000065	聖節賞賚，詔取部帑銀二十萬兩，纁執奏，不從。
HCH_012_224_000066	潞王將之國，復取銀三十萬兩市珠寶，纁亦力爭，乃減三之一。
HCH_012_224_000067	故事，金花銀歲進百萬兩，帝即位之六年，增二十萬，遂以為常。
HCH_012_224_000068	纁三請停加額，終不許。
HCH_012_224_000069	纁為戶部五年，值四方多災。
HCH_012_224_000070	為酌盈虛，籌緩急，奏報無需時，上下賴之。
HCH_012_224_000071	而都御史吳時來以吏部尚書楊巍年老求去，忌纁名出己上，兩疏劾，纁因杜門乞休，帝不許。
HCH_012_224_000072	及巍去，卒以纁代之。
HCH_012_224_000073	巍在部，不能止吏奸，且遇事輒請命政府。
HCH_012_224_000074	纁絕請寄，獎廉抑貪，罪黠吏百餘人，於執政一無所關白。
HCH_012_224_000075	會文選員外郎缺官，纁擬起鄒元標。
HCH_012_224_000076	奏不下，再疏趣之。
HCH_012_224_000077	大學士申時行遂擬旨切責，斥元標南京。
HCH_012_224_000078	頃之，以序班盛名昭註官有誤，時行劾奏之。
HCH_012_224_000079	序班劉文潤遷詹事府錄事，時行又劾文潤由輸粟進，不當任清秩。
HCH_012_224_000080	時殿閣中書無不以貲進者，時行獨爭一錄事。
HCH_012_224_000081	纁知其意，五疏乞休。
HCH_012_224_000082	福建僉事李琯言：「時行庇巡撫秦燿，而纁議罷之。仇主事高桂，而纁議用之。以故假小事齮龁，使不得安其位。」
HCH_012_224_000083	帝不納琯言，亦不允纁請。
HCH_012_224_000084	無何，纁卒官。
HCH_012_224_000085	詔贈太子太保，謚莊敬。
HCH_012_224_000086	纁凝重有識，議事不茍。
HCH_012_224_000087	石星代為戶部，嘗語纁曰：「某郡有奇羨，可濟國需。」
HCH_012_224_000088	纁曰：「朝廷錢穀，寧蓄久不用，勿使搜括無余。主上知物力充羨，則侈心生矣。」
HCH_012_224_000089	星憮然。
HCH_012_224_000090	有郎言漕糧宜改折，纁曰：「太倉之儲，寧紅腐不可匱絀，一旦不繼，何所措手？」
HCH_012_224_000091	中外陳奏，帝多不省，或直言指斥，輒曰「此沽名耳」，不罪。
HCH_012_224_000092	於慎行稱帝寬大，纁愀然曰：「言官極論得失，要使人主動心；縱罪及言官，上意猶有所儆省。概置勿問，則如痿痹不可療矣。」
HCH_012_224_000093	後果如其言。
HCH_012_224_000094	陸光祖，字與繩，平湖人。
HCH_012_224_000095	祖淞，父杲，皆進士。
HCH_012_224_000096	淞，光祿卿。
HCH_012_224_000097	杲，刑部主事。
HCH_012_224_000098	光祖年十七，與父同舉於鄉。
HCH_012_224_000099	尋登嘉靖二十六年進士，除浚縣知縣。
HCH_012_224_000100	兵部尚書趙錦檄畿輔民築塞垣，光祖言不便。
HCH_012_224_000101	錦怒，劾之。
HCH_012_224_000102	光祖言於巡撫，請輸雇值，民乃安。
HCH_012_224_000103	郡王奪民產，光祖裁以法。
HCH_012_224_000104	遷南京禮部主事，請急歸。
HCH_012_224_000105	補祠祭主事，歷儀制郎中。
HCH_012_224_000106	嚴訥為尚書，雅重光祖，議無不行。
HCH_012_224_000107	及訥改吏部，調光祖驗封郎中，改考功。
HCH_012_224_000108	王崇古、張瀚、方逢時、王一鶚掛物議，力雪之。
HCH_012_224_000109	既而改文選，益務汲引人才，登進耆碩幾盡。
HCH_012_224_000110	又破格擢廉能吏王化、江東、邵元善、張澤、李珙、郭文通、蔡琮、陳永、謝侃。
HCH_012_224_000111	或由鄉舉貢士，或起自書吏。
HCH_012_224_000112	由是下僚競勸，訥亦推心任之，故光祖得行其誌。
HCH_012_224_000113	左侍郎朱衡銜光祖，有後言，御史孫丕揚遂以專擅劾光祖。
HCH_012_224_000114	時已遷太常少卿，坐落職閑住。
HCH_012_224_000115	大學士高拱掌吏部，謀傾徐階。
HCH_012_224_000116	階賓客皆避匿，光祖獨為排解。
HCH_012_224_000117	及拱罷，楊博代為吏部，義之，特起南京太僕少卿。
HCH_012_224_000118	未上，擢本寺卿。
HCH_012_224_000119	又就進大理卿。
HCH_012_224_000120	半道丁父艱。
HCH_012_224_000121	萬歷五年，起故官。
HCH_012_224_000122	張居正以奪情杖言者，光祖遺書規之。
HCH_012_224_000123	及王用汲劾居正，居正將中以危禍，光祖時入為大理卿，力解得免。
HCH_012_224_000124	居正與光祖同年相善，欲援為助，光祖無詭隨。
HCH_012_224_000125	及遷工部右侍郎，以議漕糧改折懺居正，御史張一鯤論之，光祖遽引歸。
HCH_012_224_000126	十一年冬，薦起南京兵部右侍郎。
HCH_012_224_000127	甫旬日，召為吏部。
HCH_012_224_000128	悉引居正所擯老成人，布九列。
HCH_012_224_000129	李植、江東之力求居正罪，光祖言居正輔翼功不可泯，與言路左。
HCH_012_224_000130	植輩以丁此呂故攻尚書楊巍，光祖右巍詆言者。
HCH_012_224_000131	言者遂群攻光祖，乃由左侍郎出為南京工部尚書。
HCH_012_224_000132	御史周之翰劾光祖附宗人炳得清華，帝不問。
HCH_012_224_000133	御史楊有仁遂劾光祖受賕請屬，巍力保持之，事得寢，光祖竟引疾去。
HCH_012_224_000134	十五年，起南京刑部尚書，就改吏部。
HCH_012_224_000135	率同官劾東廠太監張鯨，且乞宥李沂。
HCH_012_224_000136	已，言國本未定，由鯨構謀，請除之以安宗社。
HCH_012_224_000137	及帝召還鯨，復率同官極諫。
HCH_012_224_000138	入為刑部尚書。
HCH_012_224_000139	帝嘗書其名禦屏。
HCH_012_224_000140	吏部尚書宋纁卒，遂用光祖代，而以趙錦代光祖。
HCH_012_224_000141	御史王之棟言二人不當用。
HCH_012_224_000142	帝怒，貶之棟雜職。
HCH_012_224_000143	時部權為內閣所奪，纁力矯之，遂遭挫，光祖不為懾。
HCH_012_224_000144	嘗以事與大學士申時行迕。
HCH_012_224_000145	時行不悅，光祖卒無所徇。
HCH_012_224_000146	時行謝政，特旨用趙誌臯、張位，時行所密薦也。
HCH_012_224_000147	光祖言，輔臣當廷推，不當內降。
HCH_012_224_000148	帝命不為後例。
HCH_012_224_000149	二十年，大計外吏，給事中李春開、王遵訓、何偉、丁應泰，御史劉汝康皆先為外吏，有物議，悉論黜之。
HCH_012_224_000150	又舉許孚遠、顧憲成等二十二人，時論翕然稱焉。
HCH_012_224_000151	頃之，以推用饒伸、萬國欽懺旨，文選郎王教以下盡逐。
HCH_012_224_000152	光祖謂事由己，引罪乞休，為郎官祈宥，不許。
HCH_012_224_000153	及會推閣臣，廷臣循故事，首光祖名。
HCH_012_224_000154	詔報曰：「卿前請廷推，推固宜首卿。」
HCH_012_224_000155	光祖知不能容，日懷去誌。
HCH_012_224_000156	無何，以王時槐、蔡悉、王樵、沈節甫老成魁艾，特推薦之，給事中喬胤遂劾光祖及文選郎鄒觀光。
HCH_012_224_000157	光祖遂力求去，許馳驛。
HCH_012_224_000158	在籍五年卒。
HCH_012_224_000159	贈太子太保，謚莊簡。
HCH_012_224_000160	光祖清強有識，練達朝章。
HCH_012_224_000161	每議大政，一言輒定。
HCH_012_224_000162	初官禮部，將擢尚寶少卿，力讓時槐。
