HCH_012_228_000001	魏學曾，字惟貫，涇陽人。
HCH_012_228_000002	嘉靖三十二年進士。
HCH_012_228_000003	除戶部主事，遷郎中。
HCH_012_228_000004	中官為商人請支芻糧銀巨萬，學曾持不可，乃已。
HCH_012_228_000005	尋擢光祿少卿，進右僉都御史，巡撫遼東。
HCH_012_228_000006	隆慶初，土蠻大入永平。
HCH_012_228_000007	學曾入駐山海，檄諸將王治道等追擊至義院口，大捷。
HCH_012_228_000008	進右副都御史。
HCH_012_228_000009	學曾乃易置將吏，招納降附，厘屯田二千餘頃，數破敵，被賞賚。
HCH_012_228_000010	以疾去。
HCH_012_228_000011	起兵部右侍郎，提督神樞營。
HCH_012_228_000012	旋改吏部，轉左侍郎。
HCH_012_228_000013	穆宗崩，大學士高拱欲去馮保，屬言官論劾。
HCH_012_228_000014	學曾遺書大學士張居正曰：「外人皆言公與保有謀，遺詔亦出公手。今日之事，不宜復護此閹。」
HCH_012_228_000015	居正怒。
HCH_012_228_000016	及拱被逐，舉朝失色，學曾獨大言曰：「上踐阼伊始，輒逐顧命大臣，且詔出何人，不可不明示百官。」
HCH_012_228_000017	要諸大臣詣居正邸爭之。
HCH_012_228_000018	諸大臣多不往，居正亦辭以疾。
HCH_012_228_000019	自是益忤。
HCH_012_228_000020	出為南京右都御史。
HCH_012_228_000021	未上，給事中宗弘暹希居正指劾之。
HCH_012_228_000022	詔以故官候調，學曾遂歸。
HCH_012_228_000023	居正歿逾年，起南京戶部右侍郎。
HCH_012_228_000024	召為右都御史，督倉場。
HCH_012_228_000025	尋以南京戶部尚書致仕。
HCH_012_228_000026	萬歷十八年，順義王扯撦力克西赴青海，火落赤、真相犯洮河，副總兵李奎、李聯芳先後被殺。
HCH_012_228_000027	朝命尚書鄭洛經略七鎮，兼領總督，洛固辭總督。
HCH_012_228_000028	明年春，閣臣王錫爵薦學曾。
HCH_012_228_000029	起兵部尚書，總督陜西、延、寧、甘肅軍務。
HCH_012_228_000030	時洛專主款，學曾至，與議不合，陜西巡撫葉夢熊助之。
HCH_012_228_000031	初，順義王封，夢熊以諫沮坐得罪，學曾亦為高拱言不便。
HCH_012_228_000032	至是，撦力克助叛，學曾、夢熊欲遂討之，詆洛玩寇。
HCH_012_228_000033	會撦力克東歸，火落赤諸部亦徙去，學曾奏撦力克雖歸，陰留精兵二萬於嘉峪，欲助火落赤、真相。
HCH_012_228_000034	其說本采諸道路，朝士乃爭附和之。
HCH_012_228_000035	錫爵意悔，具疏言狀，又遺書責夢熊。
HCH_012_228_000036	而兵部尚書石星以順義既東，宣、大事急，召洛還定撫議，置學曾疏不問。
HCH_012_228_000037	未幾，河套部長土昧明安入市畢，要請增賞。
HCH_012_228_000038	學曾令總兵官杜桐、神木參將張剛、孤山遊擊李紹祖出不意擊斬明安，俘馘四百八十餘級，奪馬畜器械稱是。
HCH_012_228_000039	學曾以功加太子少保。
HCH_012_228_000040	而明安子擺言太聲言復仇，號召諸部。
HCH_012_228_000041	明年，哱拜反，遂煽諸部為亂。
HCH_012_228_000042	拜，西部人也。
HCH_012_228_000043	嘉靖中得罪其部長，父兄皆見殺，拜跳脫來降，驍勇屢立戰功。
HCH_012_228_000044	前督撫王崇古、石茂華先後奏加副總兵，遂多畜亡命。
HCH_012_228_000045	子承恩，拜夢妖物入妻施脅而生，狼形梟啼，性狠戾。
HCH_012_228_000046	拜老，承恩襲父爵。
HCH_012_228_000047	十九年，洮、河告警，御史周弘禴舉承恩及指揮土文秀、拜義子哱雲等。
HCH_012_228_000048	巡撫黨馨檄文秀西援，拜謁經略鄭洛，願與子承恩從出師。
HCH_012_228_000049	馨惡其自薦，抑損之，拜以故心怨。
HCH_012_228_000050	至金城，見諸鎮兵皆出其下。
HCH_012_228_000051	比賊退，取道塞外還，寇騎遇之皆辟易，遂有輕中外心。
HCH_012_228_000052	馨數裁拜，且按承恩罪箠之二十，雲、文秀亦以他故怨馨。
