HCH_012_257_000001	張鶴鳴董漢儒趙彥王洽梁廷棟熊明遇張鳳翼陳新甲馮元飆張鶴鳴，字元平，潁州人。
HCH_012_257_000002	中萬歷十四年會試，父病，馳歸。
HCH_012_257_000003	越六年，始成進士。
HCH_012_257_000004	除歷城知縣，移南京兵部主事。
HCH_012_257_000005	累官陜西右參政，分巡臨、鞏，以才略聞。
HCH_012_257_000006	再遷右僉都御史，巡撫貴州。
HCH_012_257_000007	自楊應龍平後，銷兵太多，苗仲所在為寇。
HCH_012_257_000008	鶴鳴言：「仲賊乃粵西瑤種，流入黔中。自貴陽抵滇，人以三萬計，砦以千四百七十計，分即為民，合即為盜。又有紅苗，環銅仁、石阡、思州、思南四郡，數幾十萬，而鎮遠、清平間，大江、小江、九股諸種，皆應龍遺孽，眾萬餘。臣部卒止萬三千，何以禦賊？」
HCH_012_257_000009	因列上增兵增餉九議。
HCH_012_257_000010	合諸土兵剿洪邊十二馬頭，大破紅苗，追剿猱坪。
HCH_012_257_000011	賊首老蠟雞據峰巔仰天窩，窩有九井，地平衍，容數千人，下通三道，各列三關，老蠟雞僭王號。
HCH_012_257_000012	鶴鳴奪其關，老蠟雞授首，撫降余眾而還。
HCH_012_257_000013	尋發兵擊平定廣、威平、安籠諸賊，威名甚著。
HCH_012_257_000014	遷兵部右侍郎，總督陜西三邊軍務。
HCH_012_257_000015	未上，轉左侍郎，佐理部事。
HCH_012_257_000016	時兵事亟，兵部增設二侍郎，而鶴鳴與祁伯裕、王在晉並臥家園不赴。
HCH_012_257_000017	至天啟元年，遼陽破，兵事益亟。
HCH_012_257_000018	右侍郎張經世督援師出關，部中遂無侍郎。
HCH_012_257_000019	言官請趣鶴鳴等，章數十上，帝乃克期令兵部馬上督催，鶴鳴等始履任。
HCH_012_257_000020	至則論平苗功，進本部尚書，視侍郎事。
HCH_012_257_000021	尚書王象乾出督薊、遼軍務，鶴鳴遂代其位。
HCH_012_257_000022	給事中韋蕃請留象乾，出鶴鳴督師。
HCH_012_257_000023	忤旨，謫外。
HCH_012_257_000024	時熊廷弼經略遼東，性剛負氣，好謾罵，淩轢朝士。
HCH_012_257_000025	鶴鳴與相失，事多齟齬，獨喜巡撫王化貞。
HCH_012_257_000026	化貞本庸才，好大言，鶴鳴主之，所奏請無不從，令無受廷弼節度。
HCH_012_257_000027	中外皆知經、撫不和，必誤封疆，而鶴鳴信化貞愈篤，卒致疆事大壞。
HCH_012_257_000028	二年正月，廷議經、撫去留。
HCH_012_257_000029	給事中惠世揚、周朝瑞議以鶴鳴代廷弼，其他多言經、撫宜並任，鶴鳴獨毅然主撤廷弼，專任化貞。
HCH_012_257_000030	議甫上，化貞已棄廣寧遁。
HCH_012_257_000031	鶴鳴內慚，且懼罪，乃自請行邊，詔加太子太保，賜蟒玉及尚方劍。
HCH_012_257_000032	鶴鳴憚行，逗遛十七日，始抵山海關。
HCH_012_257_000033	至則無所籌畫，日下令捕間諜，厚啖蒙古炒花、宰賽諸部而已。
HCH_012_257_000034	初，廣寧敗書聞，廷臣集議兵事。
HCH_012_257_000035	鶴鳴盛氣詈廷弼自解。
HCH_012_257_000036	給事中劉弘化首論之，坐奪俸。
HCH_012_257_000037	御史江秉謙、何薦可繼劾，並貶官。
HCH_012_257_000038	廷臣益憤。
HCH_012_257_000039	御史謝文錦，給事中惠世揚、周朝瑞、蕭良佐、侯震旸、熊德陽等交章極論，請用世宗戮丁汝夔、神宗逮石星故事，與化貞並按。
HCH_012_257_000040	鶴鳴抵言廷弼僨疆事，由故大學士劉一燝、尚書周嘉謨黨庇不令出關所致，因詆言者為一燝鷹犬。
HCH_012_257_000041	且曰：「祖宗故事，大司馬不以封疆蒙功罪。」
HCH_012_257_000042	於是朝瑞等復合疏劾之，御史周宗文亦列其八罪。
HCH_012_257_000043	帝不問。
HCH_012_257_000044	鶴鳴遷延數月，謝病歸。
HCH_012_257_000045	六年春，魏忠賢勢大熾，起鶴鳴南京工部尚書。
HCH_012_257_000046	尋以安邦彥未滅，鶴鳴先有平苗功，改兵部尚書，總督貴州、四川、雲南、湖廣、廣西軍務，賜尚方劍。
HCH_012_257_000047	功未就，莊烈帝嗣位。
HCH_012_257_000048	給事中瞿式耜、胡永順、萬鵬以鶴鳴由忠賢進，連章擊之。
HCH_012_257_000049	鶴鳴求去，詔加太子太師，乘傳歸。
HCH_012_257_000050	崇禎八年，流賊陷潁州，執鶴鳴，倒懸於樹，罵賊死，年八十五。
HCH_012_257_000051	弟鶴騰，字元漢，舉萬歷二十三年進士。
HCH_012_257_000052	歷官雲南副使。
HCH_012_257_000053	行誼醇篤，譽過其兄。
HCH_012_257_000054	城陷被執，罵不絕口而死。
HCH_012_257_000055	董漢儒，開州人。
HCH_012_257_000056	萬歷十七年進士。
HCH_012_257_000057	授河南府推官，入為戶部主事。
HCH_012_257_000058	疏陳減織造、裁冒濫諸事。
HCH_012_257_000059	且曰：「邇來九閽三殿間，惟聞縱酒、淫刑、黷貨。時事可憂，不止國計日絀已也。」
HCH_012_257_000060	不報。
HCH_012_257_000061	朝鮮再用兵，以郎中出理餉務。
HCH_012_257_000062	尋遷山東僉事，進副使，歷湖廣左右布政使，所在有聲。
HCH_012_257_000063	四十年，就拜右副都御史，巡撫其地。
HCH_012_257_000064	帝賜福王莊田，責湖廣四千四百餘頃，漢儒以無所得田，請歲輸萬金代租，不聽。
HCH_012_257_000065	楚宗五十餘人，訐假王事獲罪，囚十載，漢儒力言，王，假也，請釋系者。
HCH_012_257_000066	又為滿朝薦、卞孔時等乞宥。
HCH_012_257_000067	俱不報。
HCH_012_257_000068	憂歸。
HCH_012_257_000069	光宗立，召拜工部右侍郎。
HCH_012_257_000070	旋改兵部，總督宣府、大同、山西軍務。
HCH_012_257_000071	天啟改元，遼陽失，簡精卒二千入衛，詔褒之。
HCH_012_257_000072	明年秋，以左侍郎協理戎政。
HCH_012_257_000073	未上，擢兵部尚書。
HCH_012_257_000074	時遼地盡亡，漢儒請逮治諸降將劉世勛等二十九人家屬，立誅逃將蔡汝賢等，報可。
HCH_012_257_000075	毛文龍居海外，屢以虛言誑中朝，登萊巡撫袁可立每代為奏請。
HCH_012_257_000076	漢儒言文龍計畫疏，虛聲未可長恃；又請誅逃將管大藩、張思任、孟淑孔等，語甚切。
HCH_012_257_000077	帝命逮治思任等，而大藩卒置不問。
HCH_012_257_000078	諸鎮援遼軍多逃逸，有出塞投插部者，漢儒請捕獲立誅，同伍相擒捕者重賞；且給餉以時，則逃者自少。
HCH_012_257_000079	帝亦嘉納。
HCH_012_257_000080	奄人王體乾、宋晉、魏忠賢等十二人有舊勞，命所蔭錦衣官皆予世襲。
HCH_012_257_000081	漢儒據祖制力爭，帝不從。
HCH_012_257_000082	給事中程註、御史汪泗論等合疏諫，給事中朱大典、周之綱，御史宋師襄、胡良機特疏繼之，卒不納。
HCH_012_257_000083	漢儒旋以母喪歸。
HCH_012_257_000084	後忠賢大橫，漢儒服闋，遂不召。
HCH_012_257_000085	追敘甘肅功，即家進太子太保，蔭子錦衣百戶。
HCH_012_257_000086	卒贈少保，謚肅敏。
HCH_012_257_000087	汪泗論，字自魯，休寧人。
HCH_012_257_000088	祖垍，嘉靖中進士，歷官福建兵備僉事，分守福寧。
HCH_012_257_000089	倭犯同安，垍釋重囚七人為軍鋒，擊倭卻之。
HCH_012_257_000090	捷聞，賚金幣。
HCH_012_257_000091	泗論中萬歷三十八年進士。
HCH_012_257_000092	授漳浦知縣，調福清，有惠政，清屯田，繕城堡。
HCH_012_257_000093	征擢御史，首請杜內批以嚴履霜之漸，又請召還科臣楊漣等以作士氣。
HCH_012_257_000094	巡按江西，敦重持大體，奸宄肅然。
HCH_012_257_000095	宗人祿不給，疏以橋稅贖鍰存留接濟。
HCH_012_257_000096	歷太僕寺少卿。
HCH_012_257_000097	嘗識黃道周於諸生中，人服其精鑒。
HCH_012_257_000098	趙彥，膚施人。
HCH_012_257_000099	萬歷十一年進士。
HCH_012_257_000100	授行人，屢遷山西左布政使。
HCH_012_257_000101	光宗嗣位，以右僉都御史巡撫山東。
HCH_012_257_000102	遼陽既失，彥請增兵戍諸島，特設大將登州，登、萊設鎮，自此始。
HCH_012_257_000103	天啟二年，廣寧復失。
HCH_012_257_000104	彥以山東南北咽喉，列上八事，詔多允行。
HCH_012_257_000105	先是，薊州人王森得妖狐異香，倡白蓮教，自稱聞香教主。
HCH_012_257_000106	其徒有大小傳頭及會主諸號，蔓延畿輔、山東、山西、河南、陜西、四川。
HCH_012_257_000107	森居灤州石佛莊，徒黨輸金錢稱朝貢，飛竹籌報機事，一日數百里。
HCH_012_257_000108	萬歷二十三年，有司捕系森，論死，用賄得釋。
HCH_012_257_000109	乃入京師，結外戚中官，行教自如。
HCH_012_257_000110	後森徒李國用別立教，用符咒召鬼。
HCH_012_257_000111	兩教相仇，事盡露。
HCH_012_257_000112	四十二年，森復為有司所攝，越五歲，斃於獄。
HCH_012_257_000113	其子好賢及鉅野徐鴻儒、武邑於弘誌輩踵其教，徒黨益眾。
HCH_012_257_000114	至是，好賢見遼東盡失，四方奸民思逞，與鴻儒等約是年中秋並起兵。
HCH_012_257_000115	會謀泄，鴻儒遂先期反，自號中興福烈帝，稱大成興勝元年，用紅巾為識。
HCH_012_257_000116	五月戊申陷鄆城，俄陷鄒、滕、嶧，眾至數萬。
HCH_012_257_000117	時承平久，郡縣無守備，山東故不置重兵。
HCH_012_257_000118	彥任都司楊國棟、廖棟，而檄所部練民兵，增諸要地守卒。
HCH_012_257_000119	請留京操班軍及廣東援遼軍，以備征調。
HCH_012_257_000120	薦起故大同總兵官楊肇基為山東總兵官，討賊。
HCH_012_257_000121	賊乘肇基未至，襲兗州，為滋陽知縣楊炳所卻。
HCH_012_257_000122	棟等擊敗賊，復鄆城。
HCH_012_257_000123	其別部犯鉅野，知縣趙延慶固守不下，國棟兵至，敗之，又敗其犯兗州者。
HCH_012_257_000124	遂偕棟等合攻鄒縣。
HCH_012_257_000125	兵潰，遊擊張榜戰死，賊遂圍曲阜、郯城。
HCH_012_257_000126	旋敗去，遂復嶧縣。
HCH_012_257_000127	七月，彥視師兗州。
HCH_012_257_000128	甫出城，遇賊萬餘，彥縋入城。
HCH_012_257_000129	肇基急迎戰，而令國棟及棟夾擊，大敗之橫河。
HCH_012_257_000130	時賊精銳聚鄒、滕中道，彥欲攻鄒、滕。
