HCH_012_262_000001	傅宗龍，字仲綸，昆明人。
HCH_012_262_000002	萬歷三十八年進士。
HCH_012_262_000003	除銅梁知縣，調巴縣，行取，入為戶部主事。
HCH_012_262_000004	久之，授御史。
HCH_012_262_000005	天啟元年，遼陽破，帝下募兵之令，宗龍請行。
HCH_012_262_000006	一月餘，得精卒五千。
HCH_012_262_000007	明年，安邦彥反，圍貴陽，土寇蜂起。
HCH_012_262_000008	請發帑金濟滇將士，開建昌，通由蜀入滇之路，別設偏沅巡撫，罷湖廣退怯總兵薛來允。
HCH_012_262_000009	帝多采納之。
HCH_012_262_000010	又上疏自請討賊，言：「為武定、尋甸患者，東川土酋祿千鐘。為沾益、羅平患者，賊婦設科及其黨李賢輩。攻圍普安，為滇、黔門戶患者，龍文治妻及其黨尹二。困安南，據關索嶺者，沙國珍及羅應魁輩。困烏撒者，安效良。臣皆悉其生平，非臣敵。臣願以四川巡按兼貴州監軍，滅此群醜。」
HCH_012_262_000011	帝大喜，下所司議。
HCH_012_262_000012	會宗龍以疾歸，不果行。
HCH_012_262_000013	四年正月，貴州巡撫王三善為降賊陳其愚所紿，敗歿。
HCH_012_262_000014	其夏即家起宗龍巡按其地，兼監軍。
HCH_012_262_000015	初，部檄滇撫閔洪學援黔，以不能過盤江而止。
HCH_012_262_000016	宗龍既被命，洪學令參政謝存仁、參將袁善及土官普名聲、沙如玉等以兵五千送之。
HCH_012_262_000017	宗龍直渡盤江，戰且行，寇悉破。
HCH_012_262_000018	乃謝遣存仁、善，以名聲等土兵七百人入貴陽，擒斬其愚，軍民大快。
HCH_012_262_000019	宗龍盡知黔中要害及土酋逆順，將士勇怯。
HCH_012_262_000020	巡撫蔡復一倚信之，請敕宗龍專理軍務，設中軍旗鼓，裨將以下聽賞罰，可之。
HCH_012_262_000021	宗龍乃條上方略，又備陳黔中艱苦，請大發餉金，亦報可。
HCH_012_262_000022	初，三善令監軍道臣節制諸將，文武不和，進退牽制。
HCH_012_262_000023	宗龍反其所為，令監軍給芻糧，核功罪，不得專進止。
HCH_012_262_000024	由是諸將用命，連破賊汪家沖、蔣義寨，直抵織金。
HCH_012_262_000025	五年正月，總理魯欽敗績於陸廣河。
HCH_012_262_000026	宗龍上言：「不合滇、蜀，則黔不能平賊；不專總督任，則不能合滇、蜀兵。請召還朱燮元，以復一兼督四川，開府遵義，而移蜀撫駐永寧，滇撫駐沾益，黔撫駐陸廣，沅撫駐偏橋，四面並進，發餉二百萬金給之。更設黔、蜀巡撫。」
HCH_012_262_000027	帝以復一新敗，令解官，即以燮元代，而命尹同臯撫蜀，王瑊撫黔，沅撫閔夢得移鎮，一如宗龍議。
HCH_012_262_000028	陸廣敗後，諸苗復蠢動。
HCH_012_262_000029	復一、宗龍謀，討破烏粟、螺螄、長田諸叛苗，大破平越賊，毀其砦百七十，賊黨漸孤。
HCH_012_262_000030	宗龍乃條上屯守策，言：蜀以屯為守，黔則當以守為屯。
HCH_012_262_000031	蓋安酋土地半在水外，仡佬、龍仲、蔡苗諸雜種，緩急與相助。
HCH_012_262_000032	賊有外藩，我無邊蔽，黔兵所以分力愈詘。
HCH_012_262_000033	臣謂以守為屯者，先發兵據河，奪賊所恃。
HCH_012_262_000034	然後撫剿諸種，隨渡口大小，置大小寨，深溝高壘，置烽墩炮臺。
HCH_012_262_000035	小渡則塞以木石，使一粟不入水內，一賊不出水外，賊無如我何。
HCH_012_262_000036	又令沿河兵習水戰，當賊耕耨時，頻出奇兵，渡河擾之。
HCH_012_262_000037	賊不敢附河而居，而後我可以議屯也。
HCH_012_262_000038	屯之策有二：一曰清衛所原田，一曰割逆賊故壤，而以衛所之法行之。
HCH_012_262_000039	蓋黔不患無田，患無人。
HCH_012_262_000040	客兵聚散無常，不能久駐，莫若仿祖制，盡舉屯田以授有功，因功大小，為官高下，自指揮至總、小旗，畀以應得田為世業，而禁其私賣買。
HCH_012_262_000041	不待招徠，戶口自實。
HCH_012_262_000042	臣所謂以守為屯者如此。
HCH_012_262_000043	然兵當用四萬八千人，餉當歲八十餘萬，時當閱三年，如此而後賊可盡滅也。
HCH_012_262_000044	部議從之。
HCH_012_262_000045	復一卒，王瑊代，事悉倚辦。
HCH_012_262_000046	宗龍乃漸剪水外逆黨，將大興屯田。
HCH_012_262_000047	邦彥懼，謀沮之，六年三月，大舉渡河入寇。
HCH_012_262_000048	宗龍擊破邦彥趙官屯，斬老蟲添，威名大著。
HCH_012_262_000049	當是時，大帥新亡，全黔震動，燮元遠在蜀，瑊擁虛位，非宗龍，黔幾殆。
HCH_012_262_000050	詔加太僕少卿。
HCH_012_262_000051	憂歸。
HCH_012_262_000052	崇禎三年起故官。
HCH_012_262_000053	用孫承宗薦，擢右僉都御史，巡撫順天。
HCH_012_262_000054	未幾，拜兵部右侍郎兼僉都御史，總督薊、遼、保定軍務。
HCH_012_262_000055	用小故奪官矣。
HCH_012_262_000056	居久之，十年十月流寇大入蜀，陷蜀三十餘州縣，帝拊髀而思宗龍曰：「使宗龍撫蜀，賊安至是哉！」
HCH_012_262_000057	趣即家起宗龍。
HCH_012_262_000058	宗龍至蜀，代王維章與總兵羅尚文禦卻賊。
HCH_012_262_000059	十二年五月，以楊嗣昌薦，召為兵部尚書，去蜀。
HCH_012_262_000060	宗龍自定黔亂後，凡十有四年，輒起用，用不久輒遷去。
HCH_012_262_000061	八月至京，入見帝。
HCH_012_262_000062	宗龍為人伉直任氣，不能從諛承意。
HCH_012_262_000063	帝憤中樞失職，嗣昌以權詭得主知。
HCH_012_262_000064	宗龍樸忠，初入見，即言民窮財盡。
HCH_012_262_000065	帝頗然之，顧豤言不已，遂怫然曰：「卿當整理兵事爾。」
HCH_012_262_000066	既退，語嗣昌曰：「何哉？宗龍善策黔，而所言卑卑，皆他人唾余，何也？」
HCH_012_262_000067	自是所奏請，多中格。
HCH_012_262_000068	熊文粲既罷，宗龍乃言：「向者賊流突東西，嗣昌故建分剿之策。今則流突者各止其所，臣請收勢險節短之效。總理止轄楚、豫，秦督兼轄四川，鳳督兼轄安慶，各率所轄撫鎮，期十二月成功。」
HCH_012_262_000069	因薦湖廣巡撫方孔炤堪代文燦。
HCH_012_262_000070	帝不用，用嗣昌督師。
HCH_012_262_000071	嗣昌既督師，上章請兵食，不悉應，劾中樞不任。
HCH_012_262_000072	宗龍亦劾嗣昌徒耗敝國家，不能報效，以氣淩廷臣。
HCH_012_262_000073	會薊遼總督洪承疇請用劉肇基為團練總兵官，中官高起潛又揭肇基恇怯，宗龍不即覆。
HCH_012_262_000074	帝遂發怒，責以抗旨，令對狀。
HCH_012_262_000075	奏上，復以戲視封疆下吏。
HCH_012_262_000076	法司擬戍邊，不許，欲置之死。
HCH_012_262_000077	在獄二年矣，十四年春，嗣昌死，尚書陳新甲薦其才，帝未有以應也，良久曰：「樸忠，吾以夙負用之，宜盡死力。」
HCH_012_262_000078	遂釋之出獄，以兵部右侍郎兼右僉都御史代丁啟睿，總督陜西三邊軍務。
HCH_012_262_000079	當是之時，李自成有眾五十萬，自陷河、洛，犯開封，羅汝才復自南陽趨鄧、淅，與合兵。
HCH_012_262_000080	帝命宗龍專辦自成。
HCH_012_262_000081	議盡括關中兵餉以出，然屬郡旱蝗，已不能應。
HCH_012_262_000082	九月四日，以川、陜兵二萬出關，次新蔡，與保督楊文嶽兵會。
HCH_012_262_000083	賀人龍、李國奇將秦兵，虎大威將保兵，共結浮橋，東渡汝，合兵趨項城。
HCH_012_262_000084	五日，兩軍畢渡，走龍口。
HCH_012_262_000085	自成、汝才亦結浮橋於上流，將趨汝寧。
HCH_012_262_000086	覘兩督兵至，盡伏精銳於林中，陽驅諸賊自浮橋西渡。
HCH_012_262_000087	人龍使後騎覘賊，還報曰：「賊向汝矣，結浮橋將渡矣。」
HCH_012_262_000088	宗龍、文嶽夜會諸將於龍口，詰朝將戰。
HCH_012_262_000089	六日，兩軍並進，中道一騎馳而告曰：「賊畢渡矣。」
