HCH_012_304_000001	明太祖既定江左，鑒前代之失，置宦者不及百人。
HCH_012_304_000002	迨末年頒《祖訓》，乃定為十有二監及各司局，稍稱備員矣。
HCH_012_304_000003	然定制，不得兼外臣文武銜，不得御外臣冠服，官無過四品，月米一石，衣食於內庭。
HCH_012_304_000004	嘗鐫鐵牌置宮門曰：「內臣不得干預政事，預者斬。」
HCH_012_304_000005	敕諸司不得與文移往來。
HCH_012_304_000006	有老閹供事久，一日從容語及政事，帝大怒，即日斥還鄉。
HCH_012_304_000007	嘗用杜安道為御用監。
HCH_012_304_000008	安道，外臣也，以鑷工侍帝數十年，帷幄計議皆與知，性縝密不泄，過諸大臣前一揖不啟口而退。
HCH_012_304_000009	太祖愛之，然亡他寵異，後遷出為光祿寺卿。
HCH_012_304_000010	有趙成者，洪武八年以內侍使河州市馬。
HCH_012_304_000011	其後以市馬出者，又有司禮監慶童等，然皆不敢有所干竊。
HCH_012_304_000012	建文帝嗣位，御內臣益嚴，詔出外稍不法，許有司械聞。
HCH_012_304_000013	及燕師逼江北，內臣多逃入其軍，漏朝廷虛實。
HCH_012_304_000014	文皇以為忠於己，而狗兒輩復以軍功得幸，即位後遂多所委任。
HCH_012_304_000015	永樂元年，內官監李興奉敕往勞暹羅國王。
HCH_012_304_000016	三年，遣太監鄭和帥舟師下西洋。
HCH_012_304_000017	八年，都督譚青營有內官王安等。
HCH_012_304_000018	又命馬靖鎮甘肅，馬騏鎮交阯。
HCH_012_304_000019	十八年置東廠，令刺事。
HCH_012_304_000020	蓋明世宦官出使、專征、監軍、分鎮、刺臣民隱事諸大權，皆自永樂間始。
HCH_012_304_000021	初，太祖制，內臣不許讀書識字。
HCH_012_304_000022	後宣宗設內書堂，選小內侍，令大學士陳山教習之，遂為定制。
HCH_012_304_000023	用是多通文墨，曉古今，逞其智巧，逢君作奸。
HCH_012_304_000024	數傳之後，勢成積重，始於王振，卒於魏忠賢。
HCH_012_304_000025	考其禍敗，其去漢、唐何遠哉。
HCH_012_304_000026	雖間有賢者，如懷恩、李芳、陳矩輩，然利一而害百也。
HCH_012_304_000027	今摭其有關成敗者，作《宦官傳》。
HCH_012_304_000028	鄭和，雲南人，世所謂三保太監者也。
HCH_012_304_000029	初事燕王於藩邸，從起兵有功。
HCH_012_304_000030	累擢太監。
HCH_012_304_000031	成祖疑惠帝亡海外，欲蹤跡之，且欲耀兵異域，示中國富強。
HCH_012_304_000032	永樂三年六月，命和及其儕王景弘等通使西洋。
HCH_012_304_000033	將士卒二萬七千八百餘人，多賫金幣。
HCH_012_304_000034	造大舶，修四十四丈、廣十八丈者六十二。
HCH_012_304_000035	自蘇州劉家河泛海至福建，復自福建五虎門揚帆，首達占城，以次遍歷諸番國，宣天子詔，因給賜其君長，不服則以武懾之。
HCH_012_304_000036	五年九月，和等還，諸國使者隨和朝見。
HCH_012_304_000037	和獻所俘舊港酋長。
HCH_012_304_000038	帝大悅，爵賞有差。
HCH_012_304_000039	舊港者，故三佛齊國也，其酋陳祖義，剽掠商旅。
HCH_012_304_000040	和使使招諭，祖義詐降，而潛謀邀劫。
HCH_012_304_000041	和大敗其眾，擒祖義，獻俘，戮於都市。
HCH_012_304_000042	六年九月，再往錫蘭山。
HCH_012_304_000043	國王亞烈苦柰兒誘和至國中，索金幣，發兵劫和舟。
HCH_012_304_000044	和覘賊大眾既出，國內虛，率所統二千餘人，出不意攻破其城，生擒亞烈苦柰兒及其妻子官屬。
HCH_012_304_000045	劫和舟者聞之，還自救，官軍復大破之。
HCH_012_304_000046	九年六月獻俘於朝。
HCH_012_304_000047	帝赦不誅，釋歸國。
HCH_012_304_000048	是時，交阯已破滅，郡縣其地，諸邦益震詟，來者日多。
HCH_012_304_000049	十年十一月，復命和等往使，至蘇門答剌。
HCH_012_304_000050	其前偽王子蘇幹剌者，方謀弒主自立，怒和賜不及己，率兵邀擊官軍。
HCH_012_304_000051	和力戰，追擒之喃渤利，並俘其妻子，以十三年七月還朝。
HCH_012_304_000052	帝大喜，賚諸將士有差。
HCH_012_304_000053	十四年冬，滿剌加、古裏等十九國咸遣使朝貢，辭還。
HCH_012_304_000054	復命和等偕往，賜其君長。
HCH_012_304_000055	十七年七月還。
HCH_012_304_000056	十九年春復往，明年八月還。
HCH_012_304_000057	二十二年正月，舊港酋長施濟孫請襲宣慰使職，和賫敕印往賜之。
HCH_012_304_000058	比還，而成祖已晏駕。
HCH_012_304_000059	洪熙元年二月，仁宗命和以下番諸軍守備南京。
HCH_012_304_000060	南京設守備，自和始也。
HCH_012_304_000061	宣德五年六月，帝以踐阼歲久，而諸番國遠者猶未朝貢，於是和、景弘復奉命歷忽魯謨斯等十七國而還。
HCH_012_304_000062	和經事三朝，先後七奉使，所歷占城、爪哇、真臘、舊港、暹羅、古裏、滿剌加、渤泥、蘇門答剌、阿魯、柯枝、大葛蘭、小葛蘭、西洋瑣裏、瑣裏、加異勒、阿撥把丹、南巫裏、甘把裏、錫蘭山、喃渤利、彭亨、急蘭丹、忽魯謨斯、比剌、溜山、孫剌、木骨都束、麻林、剌撒、祖法兒、沙裏灣泥、竹步、榜葛剌、天方、黎伐、那孤兒，凡三十餘國。
HCH_012_304_000063	所取無名寶物，不可勝計，而中國耗廢亦不貲。
HCH_012_304_000064	自宣德以還，遠方時有至者，要不如永樂時，而和亦老且死。
HCH_012_304_000065	自和後，凡將命海表者，莫不盛稱和以誇外番，故俗傳三保太監下西洋，為明初盛事云。
HCH_012_304_000066	當成祖時，銳意通四夷，奉使多用中貴。
HCH_012_304_000067	西洋則和、景弘，西域則李達，迤北則海童，而西番則率使侯顯。
HCH_012_304_000068	侯顯者，司禮少監。
HCH_012_304_000069	帝聞烏思藏僧尚師哈立麻有道術，善幻化，欲致一見，因通迤西諸番。
HCH_012_304_000070	乃命顯賫書幣往迓，選壯士健馬護行。
HCH_012_304_000071	元年四月奉使，陸行數萬里，至四年十二月始與其僧偕來，詔駙馬都尉沐昕迎之。
HCH_012_304_000072	帝延見奉天殿，寵賚優渥，儀仗鞍馬什器多以金銀為之，道路烜赫。
HCH_012_304_000073	五年二月建普度大齋於靈谷寺，為高帝、高後薦福。
HCH_012_304_000074	或言卿雲、天花、甘露、甘雨、青鳥、青獅、白象、白鶴及舍利祥光，連日畢見，又聞梵唄天樂自空而下。
HCH_012_304_000075	帝益大喜，廷臣表賀，學士胡廣等咸獻《聖孝瑞應歌》詩。
HCH_012_304_000076	乃封哈立麻萬行具足十方最勝圓覺妙智慧善普應祐國演教如來大寶法王西天大善自在佛，領天下釋教，給印誥制如諸王，其徒三人亦封灌頂大國師，再宴奉天殿。
HCH_012_304_000077	顯以奉使勞，擢太監。
HCH_012_304_000078	十一年春復奉命，賜西番尼八剌、地湧塔二國。
HCH_012_304_000079	尼八剌王沙的新葛遣使隨顯入朝，表貢方物。
HCH_012_304_000080	詔封國王，賜誥印。
HCH_012_304_000081	十三年七月，帝欲通榜葛剌諸國，復命顯率舟師以行，其國即東印度之地，去中國絕遠。
HCH_012_304_000082	其王賽佛丁遣使貢麒麟及諸方物。
HCH_012_304_000083	帝大悅，錫予有加。
HCH_012_304_000084	榜葛剌之西，有國曰沼納樸兒者，地居五印度中，古佛國也，侵榜葛剌。
HCH_012_304_000085	賽佛丁告於朝。
HCH_012_304_000086	十八年九月命顯往宣諭，賜金幣，遂罷兵。
HCH_012_304_000087	宣德二年二月復使顯賜諸番，遍歷烏斯藏、必力工瓦、靈藏、思達藏諸國而還。
HCH_012_304_000088	途遇寇劫，督將士力戰，多所斬獲。
HCH_012_304_000089	還朝，錄功升賞者四百六十餘人。
HCH_012_304_000090	顯有才辨，強力敢任，五使絕域，勞績與鄭和亞。
HCH_012_304_000091	金英者，宣宗朝司禮太監也，親信用事。
HCH_012_304_000092	宣德七年賜英及範弘免死詔，辭極褒美。
HCH_012_304_000093	英宗立，與興安並貴幸。
HCH_012_304_000094	及王振擅權，英不敢與抗。
HCH_012_304_000095	正統十四年夏旱，命英理刑部、都察院獄囚，築壇大理寺。
HCH_012_304_000096	英張黃蓋中坐，尚書以下左右列坐。
HCH_012_304_000097	自是六年一審錄，制皆如此。
HCH_012_304_000098	其秋，英宗北狩，中外大震。
HCH_012_304_000099	郕王使英、安等召廷臣問計。
HCH_012_304_000100	侍讀徐呈倡議南遷，安叱之，令扶呈出，大言曰：「敢言遷者斬！」
HCH_012_304_000101	遂入告太后，勸郕王任于謙治戰守。
HCH_012_304_000102	或曰叱呈者，英也。
HCH_012_304_000103	也先入寇，至德勝門，景帝敕安與李永昌同于謙、石亨總理軍務。
HCH_012_304_000104	永昌，亦司禮近侍也。
HCH_012_304_000105	景泰元年十一月，英犯贓罪，下獄論死。
HCH_012_304_000106	帝令禁錮之，終景帝世廢不用，獨任安。
HCH_012_304_000107	也先遣使議和，請迎上皇，廷議報使。
HCH_012_304_000108	帝不懌，令安出，呼群臣曰：「公等欲報使，孰可者？孰為文天祥、富弼！」
HCH_012_304_000109	詞色俱厲。
HCH_012_304_000110	尚書王直面折之，安語塞。
HCH_012_304_000111	及遣都給事中李寔往，敕書不及迎上皇。
HCH_012_304_000112	寔驚，走白內閣，遇安。
HCH_012_304_000113	安復詬曰：「若奉黃紙詔行耳，他何預！」
HCH_012_304_000114	及易儲諸，人遂疑安預謀矣。
HCH_012_304_000115	安有廉操，且知于謙賢，力護之。
HCH_012_304_000116	或言帝任謙太過，安曰：「為國分憂如于公者，寧有二人！」
HCH_012_304_000117	英宗復辟，蓋磔景帝所用太監王誠、舒良、張永、王勤等，謂其與黃厷構邪議，易太子，且與于謙、王文謀立外藩。
HCH_012_304_000118	於是給事、御史皆言安與誠、良等為黨，宜同罪。
HCH_012_304_000119	帝宥之，但奪職。
HCH_012_304_000120	是時，中官坐誅者甚眾，安僅獲免云。
HCH_012_304_000121	安佞佛，臨歿，遺命舂骨為灰，以供浮屠。
HCH_012_304_000122	范弘，交阯人，初名安。
HCH_012_304_000123	永樂中，英國公張輔以交童之美秀者還，選為奄，弘及王瑾、阮安、阮浪等與焉。
HCH_012_304_000124	占對嫻雅，成祖愛之，教令讀書，涉經史，善筆劄，侍仁宗東宮。
HCH_012_304_000125	宣德初，為更名，累遷司禮太監，偕英受免死詔，又偕英及御用太監王瑾同賜銀記。
HCH_012_304_000126	正統時，英宗眷弘，嘗目之曰蓬來吉士。
HCH_012_304_000127	十四年從征，歿於土木，喪歸，葬香山水安寺，弘建也。
HCH_012_304_000128	而王瑾至景泰時始卒。
HCH_012_304_000129	瑾，初名陳蕪。
HCH_012_304_000130	宣宗為皇太孫時，朝夕給事。
HCH_012_304_000131	及即位，賜姓名。
HCH_012_304_000132	從征漢王高煦還，參預四方兵事，賞賚累巨萬，數賜銀記曰「忠肝義膽」，曰「金貂貴客」，曰「忠誠自勵」，曰「心跡雙清」。
HCH_012_304_000133	又賜以兩宮人，官其養子王椿。
HCH_012_304_000134	其受寵眷，英、弘莫逮也。
HCH_012_304_000135	阮安有巧思，奉成祖命營北京城池宮殿及百司府廨，目量意營，悉中規制，工部奉行而已。
HCH_012_304_000136	正統時，重建三殿，治楊村河，並有功。
HCH_012_304_000137	景泰中，治張秋河，道卒，囊無十金。
HCH_012_304_000138	阮浪至景帝時，為御用監少監。
HCH_012_304_000139	英宗居南宮，浪入侍，賜鍍金繡袋及鍍金刀。
HCH_012_304_000140	浪以贈門下皇城使王瑤。
HCH_012_304_000141	錦衣衛指揮盧忠者，險人也，見瑤袋刀異常制，醉瑤而竊之，以告尚衣監高平。
HCH_012_304_000142	平令校尉李善上變，言浪傳上皇命，以袋刀結瑤謀復位。
HCH_012_304_000143	景帝下浪、瑤詔獄，忠證之，浪、瑤皆磔死，詞終不及上皇。
HCH_012_304_000144	英宗復辟，磔忠及平，而贈浪太監。
HCH_012_304_000145	王振，蔚州人。
HCH_012_304_000146	少選入內書堂。
HCH_012_304_000147	侍英宗東宮，為局郎。
HCH_012_304_000148	初，太祖禁中官預政。
HCH_012_304_000149	自永樂後，漸加委寄，然犯法輒置極典。
HCH_012_304_000150	宣宗時，袁琦令阮巨隊等出外采辦。
HCH_012_304_000151	事覺，琦磔死，巨隊等皆斬。
HCH_012_304_000152	又裴可烈等不法，立誅之。
HCH_012_304_000153	諸中官以是不敢肆。
HCH_012_304_000154	及英宗立，年少。
HCH_012_304_000155	振狡黠得帝歡，遂越金英等數人掌司禮監，導帝用重典禦下，防大臣欺蔽。
HCH_012_304_000156	於是大臣下獄者不絕，而振得因以市權。
HCH_012_304_000157	然是時，太皇太后賢，方委政內閣。
HCH_012_304_000158	閣臣楊士奇、楊榮、楊溥，皆累朝元老，振心憚之未敢逞。
HCH_012_304_000159	至正統七年，太皇太后崩，榮已先卒，士奇以子稷論死不出，溥老病，新閣臣馬愉、曹鼐勢輕，振遂跋扈不可制。
HCH_012_304_000160	作大第皇城東，建智化寺，窮極土木。
HCH_012_304_000161	興麓川之師，西南騷動。
HCH_012_304_000162	侍講劉球因雷震上言陳得失，語刺振。
HCH_012_304_000163	振下球獄，使指揮馬順支解之。
HCH_012_304_000164	大理少卿薛瑄、祭酒李時勉素不禮振。
HCH_012_304_000165	振摭他事陷瑄幾死，時勉至荷校國子監門。
HCH_012_304_000166	御史李鐸遇振不跪，謫戍鐵嶺衛。
HCH_012_304_000167	駙馬都尉石璟詈其家閹，振惡賤己同類，下璟獄。
HCH_012_304_000168	怒霸州知州張需禁飭牧馬校卒，逮之，並坐需舉主王鐸。
HCH_012_304_000169	又械戶部尚書劉中敷，侍郎吳璽、陳常於長安門。
HCH_012_304_000170	所忤恨，輒加罪謫。
HCH_012_304_000171	內侍張環、顧忠、錦衣衛卒王永心不平，以匿名書暴振罪狀。
HCH_012_304_000172	事發，磔於市，不覆奏。
HCH_012_304_000173	帝方傾心向振，嘗以先生呼之。
HCH_012_304_000174	賜振敕，極褒美。
HCH_012_304_000175	振權日益積重，公侯勛戚呼曰翁父。
HCH_012_304_000176	畏禍者爭附振免死，賕賂輳集。
HCH_012_304_000177	工部郎中王祐以善諂擢本部侍郎，兵部尚書徐晞等多至屈膝。
HCH_012_304_000178	其從子山、林至蔭都督指揮。
HCH_012_304_000179	私黨馬順、郭敬、陳官、唐童等並肆行無忌。
HCH_012_304_000180	久之，構釁瓦剌，振遂敗。
HCH_012_304_000181	瓦剌者，元裔也。
HCH_012_304_000182	十四年，其太師也先貢馬，振減其直，使者恚而去。
HCH_012_304_000183	秋七月，也先大舉入寇，振挾帝親征。
HCH_012_304_000184	廷臣交諫，弗聽。
HCH_012_304_000185	至宣府，大風雨，復有諫者，振益虓怒。
HCH_012_304_000186	成國公朱勇等白事，咸膝行進。
HCH_012_304_000187	尚書鄺埜、王佐忤振意，罰跪草中。
HCH_012_304_000188	其黨欽天監正彭德清以天象諫，振終弗從。
