HCH_013_004_000001	元順帝至正十三年夏五月，泰州張士誠起兵，陷高郵。
HCH_013_004_000002	士誠，白駒場亭民，為鹽場綱司牙儈，與弟士德、士信俱以販鹽，緣為奸利。
HCH_013_004_000003	性輕財好施，頗得眾心。
HCH_013_004_000004	至是，因亂，與其黨李伯昇、潘原明、呂珍等十八人，聚兵陷泰州。
HCH_013_004_000005	十四年冬十一月，元右丞相脫脫圍高郵，張士誠引兵逆戰，脫脫奮擊，大破之。
HCH_013_004_000006	士誠不能支，與呂珍、潘原明等十八騎突圍出走，脫脫遂克高郵。
HCH_013_004_000007	十五年春三月，元竄脫脫于雲南，尋殺之。
HCH_013_004_000008	十六年春二月，張士誠陷平江。
HCH_013_004_000009	脫脫既竄，士誠亡命，復聚眾渡海，攻陷平江，遂掠松江、湖州、常州諸郡，皆下之。
HCH_013_004_000010	九月，徐達圍常州。
HCH_013_004_000011	初，常州奔牛壩人陳保二聚眾，以黃帕裹首，號黃包軍。
HCH_013_004_000012	湯和等下鎮江，保二降，至是，復叛歸張士誠，誘執詹、李二將去。
HCH_013_004_000013	乙亥，太祖遣楊憲通好於士誠，書略曰：「近聞足下兵由通州，遂有吳郡。昔隗囂據天水以稱雄，今足下據姑蘇以自王，吾深為足下喜。吾與足下東西境也，睦隣守圍，保境息民，古人所貴，吾甚慕焉。自今以後，通使往來，毋惑于交搆之言，以生邊釁。」
HCH_013_004_000014	士誠得書，以太祖比之隗囂，不悅，拘留憲不還。
HCH_013_004_000015	尋誘我斥堠，以舟師攻鎮江，徐達等禦之，敗其軍于龍潭。
HCH_013_004_000016	又寇宜興，耿君用以鎧騰柵，中槊死，宜興入于士誠。
HCH_013_004_000017	太祖聞之，使諭徐達曰：「張士誠起於負販，譎詐多端。今來寇鎮江，是其交已變，當速出軍攻毘陵，先機進取，沮其詐謀。」
HCH_013_004_000018	于是達帥師攻常州，進薄其壘。
HCH_013_004_000019	士誠遣其弟張九六以數萬眾來援。
HCH_013_004_000020	達曰：「張九六狡而善鬬，使其勝，鋒不可當，吾當以計取之。」
HCH_013_004_000021	乃去城十八里，設伏以待，仍命總管趙均用率鐵騎為奇兵，達親督師與九六戰。
HCH_013_004_000022	鋒既交，均用鐵騎橫衝其陣，陣亂，九六策馬走，遇伏，馬蹶，為先鋒刁國寶、王虎子所獲。
