HCH_013_053_000001	世宗嘉靖五年夏四月，姚鏌督師討田州指揮岑猛。
HCH_013_053_000002	按：廣西諸土族，岑氏為大，自稱漢岑彭後。
HCH_013_053_000003	明初，元安撫總管岑伯顏以田州歸附。
HCH_013_053_000004	高帝嘉其誠，設田州府，令伯顏為知府。
HCH_013_053_000005	子孫世襲，三傳為岑溥。
HCH_013_053_000006	溥二子：長猇，次即猛。
HCH_013_053_000007	弘治六年，猇以失愛弒溥，土目黃驥、李蠻發兵殺猇。
HCH_013_053_000008	嗣位未定，而驥與蠻搆釁。
HCH_013_053_000009	驥以猛奔梧州，督府奏以猛襲其父官。
HCH_013_053_000010	慮蠻方命，乃檄思恩知府岑濬以兵衞猛入田州。
HCH_013_053_000011	濬，猛族也，亦土官，兵力方雄兩江。
HCH_013_053_000012	洎至田州，李蠻拒猛不納，驥復以猛奔思恩，濬留之不遣。
HCH_013_053_000013	十一年，都御史鄧廷瓚檄濬歸猛，濬不從。
HCH_013_053_000014	以兵徵之，濬始釋猛，督府納之田州，遂與濬仇釁。
HCH_013_053_000015	十五年十月，濬襲攻陷田州，偽以其族子洪守之，猛走免。
HCH_013_053_000016	十八年，都御史潘蕃奏發兵討濬，戮之，并誅洪。
HCH_013_053_000017	改思恩為流官知府，兼攝田州。
HCH_013_053_000018	降猛福建平海所千戶。
HCH_013_053_000019	正德初，猛賂劉瑾，得復為田州府同知，領府事。
HCH_013_053_000020	猛撫揖遺民，兵威復振，稍蠶食傍郡自廣。
HCH_013_053_000021	嘗自言督府，有調發，願立功，冀復故秩。
HCH_013_053_000022	督府使至田州，猛厚賂之，眾譽猛籍甚。
HCH_013_053_000023	會江西盜起，都御史陳金檄猛討之。
HCH_013_053_000024	猛兵大肆侵掠，所至民徒村落避之。
HCH_013_053_000025	賊平，金疏猛功，稍遷指揮同知。
HCH_013_053_000026	猛冀復知府秩，授官不愜初意，遂怨望驕蹇。
HCH_013_053_000027	督府使又不得曩者厚賂，多譖猛不法。
HCH_013_053_000028	猛亦持兵力，淩轢鄰府日甚。
HCH_013_053_000029	或言猛反者，都御史盛應期惴猛，冀得猛重賂，猛遂出不遜語。
HCH_013_053_000030	應期怒，疏猛反狀，請討之。
HCH_013_053_000031	未報，應期去，都御史姚鏌代，遽再疏請征猛，制曰：「可。」
HCH_013_053_000032	至是，鏌遣都指揮沈希儀、張經、李璋、張佑、程鑒等五將軍帥兵八萬分道進，而令參議胡堯元為監軍，督之。
HCH_013_053_000033	九月，岑猛奔歸順州，知州岑璋誅之。
HCH_013_053_000034	初，猛聞大軍至，令其下毋交兵，裂帛書寃狀，陳軍門乞憐察之。
HCH_013_053_000035	鏌不聽，督兵益急。
HCH_013_053_000036	沈希儀擊斬猛長子邦彥，諸軍繼入，猛懼，謀出奔。
HCH_013_053_000037	猛婦翁岑璋，歸順州知州也。
HCH_013_053_000038	以其女失愛於猛，素憾之。
HCH_013_053_000039	欲乘間擒猛自為功，乃誘猛走歸順。
HCH_013_053_000040	先是，軍門令諸土官，有能擒猛者，賜千金，爵一級，畀其半地；黨惡者，移兵誅之。
HCH_013_053_000041	又恐璋為猛婦翁，或黨猛，召希儀問計，希儀知璋以女失愛，故憾猛，對曰：「俟旬日，當得實以復。」
HCH_013_053_000042	希儀察其部下千戶趙臣者，雅善璋，乃召臣問曰：「聞岑璋與猛有隙，吾欲遣說之，藉令破猛如何？」
HCH_013_053_000043	臣曰：「璋多智善疑，直語之必不信，當以計說之。」
HCH_013_053_000044	希儀曰：「計將安出？」
