HCH_013_056_000001	世宗嘉靖五年秋七月，妖人李福達坐死。
HCH_013_056_000002	福達，山西代州崞縣人，一名午。
HCH_013_056_000003	初與妖賊王良謀反，事發，戍山丹衞。
HCH_013_056_000004	逃還，改名五，竄居陝西洛川縣。
HCH_013_056_000005	與季父越同倡白社妖術，為彌勒佛教，誘愚民。
HCH_013_056_000006	嘯聚數千人，大掠鄜州、洛川諸處，殺掠亡算。
HCH_013_056_000007	已而官兵追勦，捕得越及其黨何蠻漢等誅之。
HCH_013_056_000008	福達跳去，占籍徐溝縣。
HCH_013_056_000009	變姓名為張寅，賄縣中大姓以為同宗，編立宗譜，塗人耳目。
HCH_013_056_000010	已，又挾重貲入京，竄入匠籍，輸粟為山西太原衞指揮。
HCH_013_056_000011	其子大仁、大義、大禮俱補匠役。
HCH_013_056_000012	以燒煉術往來武定侯郭勛。
HCH_013_056_000013	後仍往同戈鎮，其仇薛良首發之。
HCH_013_056_000014	福達懼，逸入京。
HCH_013_056_000015	官司捕其二子按繫之，福達窘，乃自詣獄置對。
HCH_013_056_000016	先後鞫訊者，代州知州杜蕙、胡偉，證之者李景全等。
HCH_013_056_000017	具獄上布政司李璋、按察司徐文華等，復上巡按御史張英，皆如訊。
HCH_013_056_000018	獨巡撫畢昭謂：「福達果張寅，為仇家誣所致。」
HCH_013_056_000019	反其獄，以居民戚廣等為證，坐良罪。
HCH_013_056_000020	獄未竟，昭乞侍養去。
HCH_013_056_000021	會御史馬錄按山西，復窮治之，傳爰書如前訊。
HCH_013_056_000022	勛為遺書囑免，錄不從，擬福達謀反，妻子緣坐。
HCH_013_056_000023	飛章劾勛黨逆賊，并上其手書。
HCH_013_056_000024	帝下之都察院，席書亦助勛為福達地。
HCH_013_056_000025	大理寺評事杜鸞上言劾勛及書，乞將二人先正國法，徐命多官集議福達之罪。
HCH_013_056_000026	不報。
HCH_013_056_000027	都察院覆奏李福達罪狀，宜行山西撫、按官移獄三司會鞫。
HCH_013_056_000028	先是，御史馬錄咨於徐溝鄉紳給事中常泰，泰言：「寅為福達不疑。」
HCH_013_056_000029	又咨於讞獄郎中劉仕。
HCH_013_056_000030	仕，鄜人也，其言如泰。
HCH_013_056_000031	錄復檄取鄜、洛父老識福達者辨之，俱以為真福達也。
HCH_013_056_000032	乃檄布政使李璋、按察使李珏、僉事章綸、都指揮使馬豸雜鞫之，福達對簿無異辭。
HCH_013_056_000033	遂附爰書上錄，錄乃會巡撫、都御史江潮上言：「福達聚眾數千，殺人巨萬，雖潛踪匿形而罪跡漸露，變易姓氏而惡貌仍前，論以極刑，尚有餘辜。武定侯勛納結匪人，請囑無忌。雖妖賊反狀未必明知，而術客私干，不為避拒，亦宜抵法，薄示懲艾。」
HCH_013_056_000034	章復下都察院。
HCH_013_056_000035	冬十一月，左都御史聶賢等覆奏：「李福達逆跡昭灼，律應磔死。」
HCH_013_056_000036	帝從之，錮獄待決。
HCH_013_056_000037	因詰責郭勛，令自輸罪。
HCH_013_056_000038	勛懼乞恩，因為福達代辨。
HCH_013_056_000039	帝置不問。
HCH_013_056_000040	勛又令福達子大仁具奏，求雪父寃。
HCH_013_056_000041	章下，聶賢與原訊御史高世魁知為勛指，奏寢其議。
HCH_013_056_000042	勛謂大仁曰：「苟弗解，爾曹姑亡命，勿蹈叢戮也。」
HCH_013_056_000043	於是給事中劉琦、程輅、王科、沈漢、秦祐、鄭自璧，御史高世魁、鄭一鵬，南京御史姚鳴鳳、潘壯、戚雄各劾勛「交通逆賊，明受賄賂。福達既應伏誅，勛無可赦之理」。
HCH_013_056_000044	給事中常泰亦上言：「勛以輸罪為名，實代福達求理，論以知情何辭？勛為福達居間，畫令大仁等事急亡命，論以故縱何辭？」
HCH_013_056_000045	給事中張逵等亦上言：「凡謀反大逆，宜服上刑。知情故縱，亦從重典。今勛移書請託，黨護叛逆，不宜輕貸。」
HCH_013_056_000046	聶賢亦奏勛當連坐。
HCH_013_056_000047	帝不從。
HCH_013_056_000048	勛亦累自訴，具以議禮觸眾怒為言。
HCH_013_056_000049	帝信之。
HCH_013_056_000050	尋命錦衣千戶戴偉移取福達獄詞及囚佐，下鎮撫司羈候會鞫。
HCH_013_056_000051	給事中常泰、秦祐，御史任孚、邵豳，郎中劉仕復交章劾勛。
HCH_013_056_000052	江潮、馬錄仍會疏極言「福達不枉，乞問如律」。
HCH_013_056_000053	勛乃與張總、桂萼等合謀為蜚語，謂「廷臣內外交結，借事陷勛，漸及議禮諸臣，逞志自快」。
HCH_013_056_000054	帝深信其說，而外廷不知也。
HCH_013_056_000055	帝命速取福達至京鞫問，刑部尚書顏頤壽，侍郎王啓、劉玉，左都御史聶賢，副都御史張閏、劉文莊，大理寺卿湯沐，少卿徐文華、顧佖，寺丞毛伯溫、汪淵及錦衣衞、鎮撫司各官會鞫福達於京畿道，對簿無異辭，奏請論磔。
HCH_013_056_000056	帝不從，命會九卿大臣鞫於闕廷。
HCH_013_056_000057	時告者薛良、眾證李景全等共指福達，福達語塞。
HCH_013_056_000058	畢昭引證薛良之誣者，戚廣也。
HCH_013_056_000059	訊之，復云：「我曩未就吏訊，安得此言！」
