HCH_013_071_000001	熹宗天啓元年秋八月，魏忠賢矯殺前太監王安。
HCH_013_071_000002	魏忠賢初名進忠，河間肅寧人也。
HCH_013_071_000003	少黠慧無籍，好酒善啗，喜馳馬，能右手執弓，左手彀弦，射多奇中。
HCH_013_071_000004	目不識丁，然亦有膽力，能決斷，顧猜狠自用，喜事尚諛。
HCH_013_071_000005	嘗與年少賭博不讎，走匿市肆中，諸少年追窘之，恚甚，因而自宮。
HCH_013_071_000006	萬曆十七年，隸司禮監掌東廠太監孫暹。
HCH_013_071_000007	時熹宗爲皇太孫，忠賢謹事之，導之宴游，甚得皇太孫歡心。
HCH_013_071_000008	孝和王后，太孫生母也。
HCH_013_071_000009	忠賢夤入宮，辦膳。
HCH_013_071_000010	其介紹引進者魏朝，朝故屬太監王安名下。
HCH_013_071_000011	安素剛正，主持一宮事，魏朝日譽忠賢，安善視之。
HCH_013_071_000012	朝初與太孫乳媼客氏私，卽所稱爲對食者。
HCH_013_071_000013	然朝以侍安，又承事太孫，多不暇，忠賢乘間亦通焉。
HCH_013_071_000014	客氏者，故定興民侯二妻也。
HCH_013_071_000015	年十八進宮，又一年而嫠，生子國興。
HCH_013_071_000016	光宗踐祚，册太孫爲東宮，忠賢得充東宮典膳，客氏力也。
HCH_013_071_000017	光宗升遐，東宮暫居慈慶。
HCH_013_071_000018	給諫楊漣疏參及忠賢，忠賢無措，泣求魏朝於王安，力營救之，遂與李選侍宮中李進忠爲一人，外廷不知也。
HCH_013_071_000019	忠賢深德朝，結爲兄弟，而兩人皆客氏私人。
HCH_013_071_000020	上卽位數月，一夕，忠賢與朝爭擁客氏於乾清宮煖閣，醉詈而囂，聲達御前，時上已寢，漏將丙夜，俱跪御榻前，聽上令。
HCH_013_071_000021	客氏久厭朝儇薄，而喜忠賢憨猛。
HCH_013_071_000022	上逆知之，乃退朝而與忠賢。
HCH_013_071_000023	忠賢卒矯旨發朝鳳陽，縊殺之。
HCH_013_071_000024	自是得專客氏，而尾大不掉之患成焉。
HCH_013_071_000025	初，帝之立也，王安與諸大臣同受顧命，見忠賢侵權，欲重懲之，奏之帝。
HCH_013_071_000026	會御史方震孺上疏，請逐客氏，帝乃令客氏出宮。
HCH_013_071_000027	忠賢發安鞠問，安詰責，令其自新。
HCH_013_071_000028	忠賢得釋，客氏夤緣復入宮，將甘心於安焉。
HCH_013_071_000029	時安奉旨掌司禮監，辭未赴。
HCH_013_071_000030	王體乾卽欲起攘之，因忠賢以危言動客氏曰：「爾我比西李何如？勢在騎虎，無貽後悔！」
HCH_013_071_000031	西李者，李選侍也。
HCH_013_071_000032	忠賢遂嗾給事霍繼華劾之，又令劉朝、田詔等上疏辨寃，客氏從中附和之。
HCH_013_071_000033	於是矯旨革安職，而以體乾掌司禮監。
HCH_013_071_000034	忠賢必欲殺安，遂以劉朝提督南海子，而降安爲南海淨軍，勒令自裁。
HCH_013_071_000035	方光宗居青宮時，憂讒畏譏，幾三十年。
