HCH_013_076_000001	熹宗天啓七年六月，海寇鄭芝龍等犯閩山、銅山、中左等處。
HCH_013_076_000002	芝龍，泉州南安縣石井巡司人也。
HCH_013_076_000003	芝龍父紹祖，爲泉州庫吏。
HCH_013_076_000004	蔡善繼爲泉州太守，府治後衙，與庫隔一街相望。
HCH_013_076_000005	芝龍時十歲，戲投石子，誤中善繼額，善繼擒治之，見其姿容秀麗，笑曰：「法當貴而封。」
HCH_013_076_000006	遂釋之。
HCH_013_076_000007	不數年，芝龍與其弟芝虎流入海島顏振泉黨中爲盜。
HCH_013_076_000008	後振泉死，衆盜無所統，欲推擇一人爲長，不能定，因共禱於天。
HCH_013_076_000009	貯米一斛，以劍插米中，使各當劍拜，拜而劍躍動者，天所授也。
HCH_013_076_000010	次至芝龍，再拜，劍躍出於地，衆咸異之，推爲魁。
HCH_013_076_000011	縱橫海上，官兵莫能抗。
HCH_013_076_000012	始議招撫，以蔡善繼嘗有恩於芝龍，因量移泉州道，以書招之。
HCH_013_076_000013	芝龍感恩，爲約降。
HCH_013_076_000014	及善繼受降之日，坐戟門，令芝龍兄弟囚首自縛請命。
HCH_013_076_000015	芝龍素德善繼，屈意下之，而芝虎一軍皆譁，竟叛去。
HCH_013_076_000016	六年春，遂據海島，截商粟。
HCH_013_076_000017	閩中洊饑，望海米不至，於是求食者多往投之。
HCH_013_076_000018	七月，劫商民船，勢浸大。
HCH_013_076_000019	其黨謀攻廣東海豐嵌頭村以爲穴。
HCH_013_076_000020	芝龍乃入閩，泊於漳浦之白鎭，時六年十二月也。
HCH_013_076_000021	巡撫朱一馮遣都司洪先春率舟師擊之，而以把總許心素、陳文廉爲策應，鏖戰一日，勝負未決。
HCH_013_076_000022	會海潮夜生，心素、文廉船漂泊失道。
HCH_013_076_000023	賊暗度上山，詐爲鄕兵，出先春後。
HCH_013_076_000024	先春腹背受敵，遂大敗，身被數刃。
HCH_013_076_000025	然芝龍故有求撫之意，欲微達於我兵，乃舍先春不追，獲盧遊擊不殺。
HCH_013_076_000026	又自舊鎭進至中左所，督帥俞咨臯戰敗，縱之走。
HCH_013_076_000027	中左人開城門求不殺，芝龍約束麾下，竟不侵擾。
HCH_013_076_000028	警報至泉州，知府王猷知其詳，乃曰：「芝龍之勢如此，而不追、不殺、不焚掠，似有歸罪之萌。今勦難猝滅，撫或可行，不若遣人往諭，退舟海外，仍許立功贖罪，有功之日，優以爵秩。」
HCH_013_076_000029	興泉道鄧良知從之，遣人諭意。
HCH_013_076_000030	懷宗崇禎元年春正月，工科給事顏繼祖劾福建總兵俞咨臯下獄。
HCH_013_076_000031	初，巡撫朱欽相招撫海寇楊六、楊七等，鄭芝龍求返內地，楊六紿其金不爲通，遂流劫海上。
HCH_013_076_000032	繼祖上言：「海盜鄭芝龍生長於泉，聚徒數萬，劫富施貧，民不畏官而畏盜。總兵俞咨臯招撫之議，實飽賊囊。舊撫朱欽相聽其收海盜楊六、楊七以爲用。夫撫寇之後，必散於原籍。而咨臯招之海，卽置之海，今日受撫，明日爲寇。昨歲中左所之變，楊六、楊七杳然無踪，咨臯始縮舌無辭，故閩帥不可不去也。」
HCH_013_076_000033	疏入，逮咨臯下於理。
HCH_013_076_000034	三月，禁漳、泉人販海。
HCH_013_076_000035	芝龍縱掠福建、浙江海上。
HCH_013_076_000036	六月，兵部議招海盜鄭芝龍。
HCH_013_076_000037	九月，鄭芝龍降於巡撫熊文燦。
HCH_013_076_000038	工科給事顏繼祖言：「芝龍旣降，當責其報效。」
HCH_013_076_000039	從之。
HCH_013_076_000040	二年春二月，海盜李魁奇伏誅。
HCH_013_076_000041	魁奇本鄭芝龍同黨，芝龍忌之，擊斬粵中。
HCH_013_076_000042	夏四月，廣東副總兵陳廷對約鄭芝龍勦盜，芝龍戰不利，歸閩。
HCH_013_076_000043	不數日，寇大至，犯中左所近港，芝龍又敗，寇夜薄中左所。
HCH_013_076_000044	四年春正月，上召廷臣及各省監司於平臺，問福建布政使吳暘、陸之祺：「海寇備禦若何？」
HCH_013_076_000045	暘曰：「海寇與陸寇不同，故權撫之。但官兵狃撫爲安，賊又因撫益恣，致數年未息。」
HCH_013_076_000046	上曰：「前撫李魁奇，何又殺之？」
HCH_013_076_000047	暘曰：「魁奇非鄭芝龍比，卽撫終不爲我用。今鍾斌雖撫亦反側，不可保也。」
HCH_013_076_000048	上問：「實計安在？」
HCH_013_076_000049	祺曰：「海上官兵肯出死力，有司團練鄉兵，多設火器，以守爲戰，勦之不難。」
HCH_013_076_000050	上問巡撫熊文燦，暘曰：「文燦才膽俱優，但視賊太易，故前有吉了之敗。」
HCH_013_076_000051	祺曰：「鍾斌與鄭芝龍勢不兩立，七月間斌擾福州，撫臣計誘往泉州。前聞撫臣同芝龍討賊，戮其兄，賊遁去。」
HCH_013_076_000052	問廣東布政使陸問禮，對曰：「廣東海寇俱自福建至，舟大而多火器，兵船難近。但守海門，勿令登陸，則不爲害。」
HCH_013_076_000053	五年冬十一月，海盜劉香老犯福建小埕，遊擊鄭芝龍擊走之。
HCH_013_076_000054	六年夏六月，海盜劉香老犯長樂。
HCH_013_076_000055	七年夏四月，海盜劉香老犯海豐。
HCH_013_076_000056	十二月，總督兩廣熊文燦奏：「道將信賊自陷。」
HCH_013_076_000057	時文燦令守道洪雲蒸、巡道康承祖、參將夏之木、張一傑往謝道山招劉香老被執。
HCH_013_076_000058	上以賊渠受撫，自當聽其輸誠，豈有登舟往撫之理。
HCH_013_076_000059	弛備長寇，尚稱未知，督臣節制何事？
HCH_013_076_000060	命巡按御史確覈以聞。
HCH_013_076_000061	已，令文燦戴罪自效。
HCH_013_076_000062	八年夏四月，福建遊擊鄭芝龍合粵兵擊劉香老於田尾遠洋。
HCH_013_076_000063	香老脅兵備道洪雲蒸出船止兵，雲蒸大呼曰：「我矢死報國，亟擊勿失。」
HCH_013_076_000064	遂遇害。
HCH_013_076_000065	香老勢蹙，自焚溺死，康承祖、夏之木、張一傑脫歸。
HCH_013_076_000066	八月，香老家屬六十餘人，部屬千餘人至黃華，降於溫處參軍。
HCH_013_076_000067	十三年秋八月，加福建參將鄭芝龍署總兵。
HCH_013_076_000068	芝龍旣俘劉香老，海氛頗息，又以海利交通朝貴，寖以大顯。
HCH_013_076_000069	十六年冬十一月，設南贛兵三千，以副總兵鄭鴻逵統之。
HCH_013_076_000070	十七年春正月，前兵科都給事中曾應遴薦副總兵鄭鴻逵緩急可用，詔益南贛兵二千，命鴻逵鎭守。
HCH_013_076_000071	踰年，鴻逵以舟師守鎭江，我大清兵南下，潰歸，鄭芝龍降。
