HCH_014_005_000001	珤处曰：天子四日休于濩泽，于是射鸟猎兽。
HCH_014_005_000002	丁丑，天子□雨乃至，𨝋父自圃郑来谒，留昆归玉百枚，陖翟致赂，良马百驷，归毕之珤，以诘其成。
HCH_014_005_000003	陖子𠷎胡□东牡，见许男于洧上。
HCH_014_005_000004	𨝋父以天子命辞曰：“去兹羔，用玉帛见。
HCH_014_005_000005	”许男不敢辞，还取束帛加璧，□毛公举币玉。
HCH_014_005_000006	是日也，天子饮许男于洧上。
HCH_014_005_000007	天子曰：“朕非许邦而恤百姓□也。
HCH_014_005_000008	咎氏宴饮毋有礼。
HCH_014_005_000009	许男不敢辞。
HCH_014_005_000010	”升坐于出尊，乃用宴乐。
HCH_014_005_000011	天子赐许男骏马十六。
HCH_014_005_000012	许男降，再拜空首，乃升平坐。
HCH_014_005_000013	及暮，天子遣许男归。
HCH_014_005_000014	癸亥，天子乘鸟舟，龙浮于大沼。
HCH_014_005_000015	夏庚午，天子饮于洧上。
HCH_014_005_000016	乃遗𨝋父如圃郑。
HCH_014_005_000017	用□诸侯。
HCH_014_005_000018	辛未，天子北还，钓于渐泽，食鱼于桑野。
HCH_014_005_000019	丁丑，天子里圃田之路，东至于房，西至于□丘，南至于桑野，北盖经林。
HCH_014_005_000020	煮□之薮，南北五十□十虞，东虞曰兔台，西虞曰栎丘，南虞曰□富丘，北虞曰相其御虞曰□来十虞所□辰。
HCH_014_005_000021	天子次于军丘，以畋于薮□。
HCH_014_005_000022	知甲寅，天子作居范宫，以观桑者，乃饮于桑中。
HCH_014_005_000023	天子命桑虞，出□桑者，用禁暴民。
HCH_014_005_000024	仲夏甲申，天子□所。
HCH_014_005_000025	庚寅，天子西游，乃宿于𨝋。
HCH_014_005_000026	壬辰，𨝋公饮天子酒，乃歌天之诗。
HCH_014_005_000027	天子命歌《南山有𢅇》。
HCH_014_005_000028	乃绍宴乐。
HCH_014_005_000029	丁酉，天子作台，以为西居。
HCH_014_005_000030	壬寅。
HCH_014_005_000031	天子东至于雀梁。
HCH_014_005_000032	甲辰，浮于荥水。
HCH_014_005_000033	乃奏广乐。
HCH_014_005_000034	季夏庚□，休于范宫。
HCH_014_005_000035	仲秋丁巳，天子射鹿于林中，乃饮于孟氏。
HCH_014_005_000036	爰舞白鹤二八，还宿于雀梁。
HCH_014_005_000037	季秋辛巳，天子司戎于□来虞人次御。
HCH_014_005_000038	孟冬，鸟至，王口弋。
HCH_014_005_000039	仲冬丁酉，天子射兽，休于深萑，得麇麕豕鹿四百有二十，得二虎九狼，乃祭于先王，命庖人熟之。
HCH_014_005_000040	戊戌，天子西游，射于中□方落草木鲜，命虞人掠林除薮，以为百姓材。
HCH_014_005_000041	是日也，天子北入于邴，与井公博，三日而决。
HCH_014_005_000042	辛丑塞，至于台，乃大暑除，天子居于台以听天下之，远方□之数而众从之，是以选扐，乃载之神人□之能数也，乃左右望之。
HCH_014_005_000043	天子乐之，命为□而时□焉□其名曰□公去乘人□犹□有虎在乎葭中。
HCH_014_005_000044	天子将至，七萃之士高奔戎请生搏虎，必全之，乃生搏虎而献之。
HCH_014_005_000045	天子命之为柙，而畜之东虢，是曰虎牢。
HCH_014_005_000046	天子赐奔戎畋马十驷，归之太牢。
HCH_014_005_000047	奔戎再拜䭫首。
HCH_014_005_000048	丙辰，天子北游于林中，乃大受命而归。
HCH_014_005_000049	斋仲秋甲戌，天子东游，次于雀梁，□蠹书于羽林。
HCH_014_005_000050	季秋□乃宿于<户方>。
HCH_014_005_000051	毕人告戎，曰：陖翟来侵。
HCH_014_005_000052	天子使孟{余心}如毕讨戎，霍侯旧告薨。
HCH_014_005_000053	天子临于军丘，狩于薮。
HCH_014_005_000054	季冬甲戌，天子东游，饮于留祈。
HCH_014_005_000055	射于丽虎。
HCH_014_005_000056	读书于菞丘，□献酒于天子，乃奏广乐。
HCH_014_005_000057	天子遗其灵鼓，乃化为黄蛇。
HCH_014_005_000058	是日，天子鼓道其下而鸣，乃树之桐，以为鼓则神且鸣，则利于戎，以为琴则利□于黄泽。
HCH_014_005_000059	天子东游于黄泽，宿于曲洛，废□使宫乐谣，曰黄之池，其马歕沙，皇人威仪，黄之泽。
HCH_014_005_000060	其马歕玉，皇人受穀。
HCH_014_005_000061	丙辰，天子南游于黄□室之丘，以观夏后启之所居。
