HCH_015_018_000001	天符瑞命，遐哉邈矣。
HCH_015_018_000002	靈篇祕圖，固以蘊金匱而充石室，炳契決，陳緯候者，方策未書。
HCH_015_018_000003	啟覺天人之期，扶奬帝王之運，三五聖業，神明大寶，二謀協贊，罔不由茲。
HCH_015_018_000004	夫流火赤雀，實紀周祚，雕雲素靈，發祥漢氏，光武中興，皇符為盛，魏膺當塗之讖，晉有石瑞之文，史筆所詳，亦唯舊矣。
HCH_015_018_000005	齊氏受命，事殷前典。
HCH_015_018_000006	黃門郎蘇偘撰聖皇瑞應記，永明中庾溫撰瑞應圖，其餘眾品，史注所載。
HCH_015_018_000007	今詳錄去取，以為志云。
HCH_015_018_000008	老子河洛讖曰：「年曆七七水滅緒，風雲俱起龍麟舉。」
HCH_015_018_000009	宋水德王，義熙十四年，元熙二年，永初三年，景平一年，元嘉三十年，孝建三年，大明八年，永光一年，泰始七年，泰豫一年，元徽四年，昇明三年，凡七十七年，故曰七七也。
HCH_015_018_000010	易曰：「雲從龍，風從虎。」
HCH_015_018_000011	關尹云：「龍不知其乘風雲而上天也。」
HCH_015_018_000012	讖又曰：「肅草成，道德懷書備出身，形法治吳出南京。」
HCH_015_018_000013	上即姓諱也。
HCH_015_018_000014	南京，南徐州治京口也。
HCH_015_018_000015	讖又曰：「墥堨河梁塞龍淵，消除水災泄山川。」
HCH_015_018_000016	墥堨河梁，為路也，路即道也。
HCH_015_018_000017	淵塞者，譬路成也。
HCH_015_018_000018	即太祖諱也。
HCH_015_018_000019	消水災，言除宋氏患難也。
HCH_015_018_000020	讖又曰：「上參南斗第一星，下立草屋為紫庭。神龍之崗梧桐生，鳳鳥舒翼翔且鳴。」
HCH_015_018_000021	南斗第一星，吳分也。
HCH_015_018_000022	草屋，蕭字也。
HCH_015_018_000023	又簫管之器，像鳳鳥翼也。
HCH_015_018_000024	讖又曰：「蕭為二士，天下大樂。」
HCH_015_018_000025	二士，主字也。
HCH_015_018_000026	讖又曰：「天子何在草中宿。」
HCH_015_018_000027	宿，肅也。
HCH_015_018_000028	尚書中候儀明篇曰：「仁人傑出，握表之象，曰角姓，合音之于。」
HCH_015_018_000029	蘇偘云：「蕭，角姓也。又八音之器有簫管也。」
HCH_015_018_000030	史臣曰：案晉光祿大夫何禎解音之于為曹字，謂魏氏也。
HCH_015_018_000031	王隱晉書云：「卯金音于，亦為魏也。」
HCH_015_018_000032	候書章句，本無銓序，二家所稱，既有前釋，未詳偘言為何推據。
HCH_015_018_000033	孝經鉤命決曰：「誰者起，視名將。」
HCH_015_018_000034	君者羣也，理物為雄，優劣相次以期興，將，太祖小諱也。
HCH_015_018_000035	征西將軍蕭思話見之曰：「此我家諱也。」
HCH_015_018_000036	王子年歌曰：「金刀治世後遂苦，帝王昏亂天神怒，災異屢見戒人主，三分二叛失州土，三王九江一在吳，餘悉稚小早少孤，一國二主天所驅。」
HCH_015_018_000037	金刀，劉也。
HCH_015_018_000038	三分二叛，宋明帝世也。
HCH_015_018_000039	三王九江者，孝武於九江興，晉安王子勛雖不終，亦稱大號，後世祖又於九江基霸迹，此三王也。
HCH_015_018_000040	一在吳，謂齊氏桑梓，亦寄治南吳也。
HCH_015_018_000041	一國二主，謂太祖符運潛興，為宋氏驅除寇難。
HCH_015_018_000042	歌又曰：「三禾摻摻林茂孳，金刀利刃齊刈之。」
HCH_015_018_000043	刈，翦也。
HCH_015_018_000044	詩云：「實始翦商。」
HCH_015_018_000045	歌又曰：「欲知其姓草肅肅。糓中最細低頭熟。鱗身甲體永興福。」
HCH_015_018_000046	糓，道；熟，成：又諱也。
HCH_015_018_000047	太祖體有龍鱗，斑駮成文，始謂是黑歷，治之甚至而文愈明。
HCH_015_018_000048	伏羲亦鱗身也。
HCH_015_018_000049	金雄記曰：「鑠金作刀在龍里，占睡上人相須起。」
HCH_015_018_000050	又云：「當復有作肅入草。」
HCH_015_018_000051	蕭字也。
HCH_015_018_000052	易云：「聖人作之。」
HCH_015_018_000053	記又云：「草門可憐乃當悴，建號不成易運沸。」
HCH_015_018_000054	詩云不時，時也。
HCH_015_018_000055	不成，成也。
HCH_015_018_000056	建號，建元號也。
HCH_015_018_000057	易運，革命也。
HCH_015_018_000058	讖曰：「周文王受命，千五百歲，河雒出聖人，受命於己未，至丙子為十八周，旅布六郡東南隅，四國安定可久留。」
HCH_015_018_000059	案周滅殷後七百八十年，秦四十九年，漢四百二十五年，魏四十五年，晉百五十年，宋六十年，至建元元年，千五百九年也。
HCH_015_018_000060	武進縣彭山，舊塋在焉。
HCH_015_018_000061	其山崗阜相屬數百里，上有五色雲氣，有龍出焉。
HCH_015_018_000062	宋明帝惡之，遣相墓工高靈文占視，靈文先與世祖善，還，詭荅云：「不過方伯。」
HCH_015_018_000063	退謂世祖曰：「貴不可言。」
HCH_015_018_000064	帝意不已，遣人於墓左右校獵，以大鐵釘長五六尺釘墓四維，以為厭勝。
HCH_015_018_000065	太祖後改樹表柱，柱忽龍鳴，響震山谷，父老咸志之云。
HCH_015_018_000066	會稽剡縣刻石山，相傳為名，不知文字所在。
HCH_015_018_000067	昇明末，縣民兒襲祖行獵，忽見石上有文凡三處，苔生其上，字不可識。
HCH_015_018_000068	刊苔去之，大石文曰：「此齊者，黃公之化氣也。」
HCH_015_018_000069	立石文曰：「黃天星，姓蕭字某甲，得賢帥，天下太平。」
HCH_015_018_000070	小石文曰：「刻石者誰？會稽南山李斯刻秦望之封也。」
HCH_015_018_000071	益州齊后山，父老相傳，其名亦不知所起。
HCH_015_018_000072	昇明三年，有沙門玄暢於山丘立精舍，其日，太祖受禪日也。
HCH_015_018_000073	嵩高山，昇明三年四月，滎陽人〔尹午〕於山東南澗見天雨石，墜地石開，有璽在其中，方三寸。
HCH_015_018_000074	其文曰：「戊丁之人與道俱，肅然入草應天符。」
HCH_015_018_000075	又曰：「皇帝興運。」
HCH_015_018_000076	午〔奉璽〕詣雍州刺史蕭赤斧，〔赤斧〕表獻之。
HCH_015_018_000077	史臣案：昔大人見臨洮而銅人鑄，臨洮生董卓而銅人毀，有卓而世亂，世亂而卓亡，如有似也。
HCH_015_018_000078	晉末嵩高山出玉璧三十二，宋氏以為受命之祥。
HCH_015_018_000079	今此山出璽，而水德云謝，終始之徵，亦有類也。
HCH_015_018_000080	元徽四年，太祖從南郊，望氣者陳安寶見太祖身上黃紫氣屬天，安寶謂親人王洪範曰：「我少來未嘗見軍上有如此氣也。」
HCH_015_018_000081	太祖年十七，萬乘青龍西行逐日，日將薄山乃止，覺而恐懼，家人問占者，云「至貴之象也」。
HCH_015_018_000082	蘇偘云：「青，木色。日暮者，宋氏末運也。」
HCH_015_018_000083	泰始七年，明帝遣前淮南太守孫奉伯往淮陰監元會。
HCH_015_018_000084	奉伯與太祖同寢，夢上乘龍上天，於下捉龍腳不得。
HCH_015_018_000085	覺謂太祖曰：「兖州當大庇生民，弟不見也。」
HCH_015_018_000086	奉伯卒於宋。
