HCH_015_032_000001	王琨，琅邪臨沂人也。
HCH_015_032_000002	祖薈，晉衞將軍。
HCH_015_032_000003	父懌，不慧，侍婢生琨，名爲崑崙。
HCH_015_032_000004	懌後娶南陽樂玄女，無子，改琨名，立以爲嗣。
HCH_015_032_000005	琨少謹篤，爲從伯司徒謐所愛。
HCH_015_032_000006	宋永初中，武帝以其娶桓脩女，除郎中，駙馬都尉，奉朝請。
HCH_015_032_000007	元嘉初，從兄侍中華有權寵，以門戶衰弱，待琨如親，數相稱薦。
HCH_015_032_000008	爲尚書儀曹郎，州治中。
HCH_015_032_000009	累至左軍諮議，領錄事，出爲宣城太守，司徒從事中郎，義興太守。
HCH_015_032_000010	歷任皆廉約。
HCH_015_032_000011	還爲北中郎長史，黃門郎，寧朔將軍，東陽太守。
HCH_015_032_000012	孝建初，遷廷尉卿，竟陵王驃騎長史，加臨淮太守，轉吏部郎。
HCH_015_032_000013	吏曹選局，貴要多所屬請，琨自公卿下至士大夫，例爲用兩門生。
HCH_015_032_000014	江夏王義恭嘗屬琨用二人，後復遣屬琨，答不許。
HCH_015_032_000015	出爲持節、都督廣交二州軍事、建威將軍、平越將軍、平越中郎將、廣州刺史。
HCH_015_032_000016	南土沃實，在任者常致巨富，世云「廣州刺史但經城門一過，便得三千万」也。
HCH_015_032_000017	琨無所取納，表獻祿俸之半。
HCH_015_032_000018	州鎮舊有鼓吹，又啓輸還。
HCH_015_032_000019	及罷任，孝武知其清，問還資多少？
HCH_015_032_000020	琨曰：「臣買宅百三十萬，餘物稱之。」
HCH_015_032_000021	帝悅其對。
HCH_015_032_000022	爲廷尉，加給事中，轉寧朔將軍長史、歷陽內史。
HCH_015_032_000023	上以琨忠實，徙爲寵子新安王東中郎長史，加輔國將軍，遷右衞將軍，度支尚書。
HCH_015_032_000024	出爲永嘉王左軍、始安王征虜二府長史，加輔國將軍、廣陵太守，皆孝武諸子。
HCH_015_032_000025	泰始元年，遷度支尚書，尋加光祿大夫。
HCH_015_032_000026	初，從兄華孫長襲華爵爲新建侯，嗜酒多諐失。
HCH_015_032_000027	琨上表曰：「臣門姪不休，從孫長是故左衞將軍嗣息，少資常猥，猶冀晚進。頃更昏酣，業身無檢。故衞將軍華忠肅奉國，善及世祀；而長負釁承封，將傾基緒。嗣小息佟閑立保退，不乖素風，如蒙拯立，則存亡荷榮，私祿更搆。」
HCH_015_032_000028	出爲冠軍將軍、吳郡太守，遷中領軍。
HCH_015_032_000029	坐在郡用朝舍錢三十六萬營餉二宮諸王及作絳襖奉獻軍用，左遷光祿大夫，尋加太常及金紫，加散騎常侍。
HCH_015_032_000030	廷尉虞龢議社稷合爲一神，琨案舊糾駮。
HCH_015_032_000031	時龢深被親寵，朝廷多琨強正。
HCH_015_032_000032	明帝臨崩，出爲督會稽東陽新安臨海永嘉五郡軍事、左軍將軍、會稽太守，常侍如故。
HCH_015_032_000033	坐誤竟囚，降號冠軍。
HCH_015_032_000034	元徽中，遷金紫光祿，弘訓太僕，常侍如故。
HCH_015_032_000035	本州中正，加特進。
HCH_015_032_000036	從帝卽位，進右光祿大夫，常侍餘如故。
HCH_015_032_000037	從帝遜位，琨陪位及辭廟，皆流涕。
HCH_015_032_000038	太祖卽位，領武陵王師，加侍中，給親信二十人。
HCH_015_032_000039	時王儉爲宰相，屬琨用東海郡迎吏。
HCH_015_032_000040	琨謂信人曰：「語郎，三臺五省，皆是郎用人；外方小郡，當乞寒賤，省官何容復奪之。」
HCH_015_032_000041	遂不過其事。
HCH_015_032_000042	琨性旣古慎，而儉嗇過甚，家人雜事，皆手自操執。
HCH_015_032_000043	公事朝會，必夙夜早起，簡閱衣裳，料數冠幘，如此數四，世以此笑之。
HCH_015_032_000044	尋解王師。
HCH_015_032_000045	建元四年，太祖崩，琨聞國諱，牛不在宅，去臺數里，遂步行入宮。
HCH_015_032_000046	朝士皆謂琨曰：「故宜待車，有損國望。」
HCH_015_032_000047	琨曰：「今日奔赴，皆應爾。」
HCH_015_032_000048	遂得病，卒。
HCH_015_032_000049	贈左光祿大夫，餘如故。
HCH_015_032_000050	年八十四。
HCH_015_032_000051	張岱字景山，吳郡吳人也。
HCH_015_032_000052	祖敞，晉度支尚書，父茂度，宋金紫光祿大夫。
HCH_015_032_000053	岱少與兄太子中舍人寅、新安太守鏡、征北將軍永、弟廣州刺史辨俱知名，謂之張氏五龍。
HCH_015_032_000054	鏡少與光祿大夫顏延之隣居，顏談議飲酒，喧呼不絕；而鏡靜翳無言聲。
HCH_015_032_000055	後延之於籬邊聞其與客語，取胡牀坐聽，辭義清玄，延之心服，謂賔客曰：「彼有人焉。」
HCH_015_032_000056	由此不復酣呌。
HCH_015_032_000057	寅、鏡名最高，永、辨、岱不及也。
HCH_015_032_000058	郡舉岱上計掾，不行，州辟從事。
HCH_015_032_000059	累遷南平王右軍主簿，尚書水部郎。
HCH_015_032_000060	出補東遷令。
HCH_015_032_000061	時殷沖爲吳興，謂人曰：「張東遷親貧須養，所以栖遲下邑。然名器方顯，終當大至。」
HCH_015_032_000062	隨王誕於會稽起義，以岱爲建威將軍，輔國長史，行縣事。
HCH_015_032_000063	事平，爲司徒左西曹。
HCH_015_032_000064	母年八十，籍注未滿，岱便去官從實還養，有司以岱違制，將欲糾舉。
HCH_015_032_000065	宋孝武曰：「觀過可以知仁，不須案也。」
HCH_015_032_000066	累遷撫軍諮議參軍，領山陰令，職事閑理。
HCH_015_032_000067	巴陵王休若爲北徐州，未親政事，以岱爲冠軍諮議參軍，領彭城太守，行府、州、國事。
HCH_015_032_000068	後臨海王爲征虜廣州，豫章王爲車騎揚州，晉安王爲征虜南兖州，岱歷爲三府諮議、三王行事，與典籤主帥共事，事舉而情得。
HCH_015_032_000069	或謂岱曰：「主王旣幼，執事多門，而每能緝和公私，云何致此？」
HCH_015_032_000070	岱曰：「古人言一心可以事百君。我爲政端平，待物以禮，悔吝之事，無由而及。明闇短長，更是才用之多少耳。」
HCH_015_032_000071	入爲黃門郎，遷驃騎長史，領廣陵太守。
HCH_015_032_000072	新安王子鸞以盛寵爲南徐州，割吳郡屬焉。
HCH_015_032_000073	高選佐史，孝武帝召岱謂之曰：「卿美效夙著，兼資宦已多。今欲用卿爲子鸞別駕，總刺史之任，無謂小屈，終當大伸也。」
HCH_015_032_000074	帝崩，累遷吏部郎。
HCH_015_032_000075	明帝初，四方反，帝以岱堪幹舊才，除使持節、督西豫州諸軍事、輔國將軍、西豫州刺史。
HCH_015_032_000076	尋徙爲冠軍將軍、北徐州刺史，都督北討諸軍事，竝不之官。
HCH_015_032_000077	泰始末，爲吳興太守。
HCH_015_032_000078	元徽中，遷使持節、督益寧二州軍事、冠軍將軍、益州刺史。
HCH_015_032_000079	數年，益土安其政。
HCH_015_032_000080	徵侍中，領長水校尉，度支尚書，領左軍，遷吏部尚書。
