HCH_015_034_000001	虞玩之字茂瑤，會稽餘姚人也。
HCH_015_034_000002	祖宗，晉庫部郎。
HCH_015_034_000003	父玫，通直常侍。
HCH_015_034_000004	玩之少閒刀筆，汎涉書史，解褐東海王行參軍，烏程令。
HCH_015_034_000005	路太后外親朱仁彌犯罪，依法錄治。
HCH_015_034_000006	太后怨訴孝武，坐免官。
HCH_015_034_000007	泰始中，除晉熙國郎中令，尚書起部郎，通直郎。
HCH_015_034_000008	元徽中，爲右丞。
HCH_015_034_000009	時太祖參政，與玩之書曰：「張華爲度支尚書，事不徒然。今漕藏有闕，吾賢居右丞，已覺金粟可積也。」
HCH_015_034_000010	玩之上表陳府庫錢帛，器械役力，所懸轉多，興用漸廣，慮不支歲月。
HCH_015_034_000011	朝議優報之。
HCH_015_034_000012	遷安成王車騎錄事，轉少府。
HCH_015_034_000013	太祖鎮東府，朝野致敬，玩之猶躡屐造席。
HCH_015_034_000014	太祖取屐視之，訛黑斜銳，蒵斷，以芒接之。
HCH_015_034_000015	問曰：「卿此屐已幾載？」
HCH_015_034_000016	玩之曰：「初釋褐拜征北行佐買之，著已二十年，貧土竟不辦易。」
HCH_015_034_000017	太祖善之，引爲驃騎諮議參軍。
HCH_015_034_000018	霸府初開，賓客輻湊，太祖留意簡接，玩之與樂安任遐，俱以應對有席上之美，齊名見遇。
HCH_015_034_000019	遐字景遠，好學，有義行，兼與太祖素游，褚淵、王儉竝見親愛。
HCH_015_034_000020	官至光祿大夫，永元初卒。
HCH_015_034_000021	玩之遷驍騎將軍，黃門郎，領本部中正。
HCH_015_034_000022	上患民間欺巧，及卽位，敕玩之與驍騎將軍傅堅意檢定簿籍。
HCH_015_034_000023	建元二年，詔朝臣曰：「黃籍，民之大紀，國之治端。自頃氓俗巧偽，爲日已久，至乃竊注爵位，盜易年月，增損三狀，貿襲萬端。或戶存而文書已絕，或人在而反託死叛，停私而云隸役，身強而稱六疾。編戶齊家，少不如此。皆政之巨蠹，教之深疵。比年雖卻籍改書，終無得實。若約之以刑，則民偽已遠；若綏之以德，則勝殘未易。卿諸賢竝深明治體，可各獻嘉謀，以振澆化。又臺坊訪募，此制不近，優刻素定，閒劇有常。宋元嘉以前，茲役恆滿，大明以後，樂補稍絕。或緣寇難頻起，軍蔭易多，民庶從利，投坊者寡。然國經未變，朝紀恆存，相揆而言，隆替何速！此急病之洪源，晷景之切患，以何科算，革斯弊邪？」
HCH_015_034_000024	玩之上表曰：「宋元嘉二十七年八條取人，孝建元年書籍，衆巧之所始也。元嘉中，故光祿大夫傅隆，年出七十，猶手自書籍，躬加隱校。隆何必有石建之愼，高柔之勤，蓋以世屬休明，服道脩身故耳。今陛下日旰忘食，未明求衣，詔逮幽愚，謹陳妄說。古之共治天下，唯良二千石，今欲求治取正，其在勤明令長。凡受籍，縣不加檢合，但封送州，州檢得實，方卻歸縣。吏貪其賂，民肆其姦，姦彌深而卻彌多，賂愈厚而答愈緩。自泰始三年至元徽四年，揚州等九郡四號黃籍，共卻七萬一千餘戶。于今十一年矣，而所正者猶未四萬。神州奧區，尚或如此，江、湘諸部，倍不可念。愚謂宜以元嘉二十七年籍爲正。民惰法旣久，今建元元年書籍，宜更立明科，一聽首悔，迷而不反，依制必戮。使官長審自檢校，必令明洗，然後上州，永以爲正。若有虛昧，州縣同咎。今戶口多少，不減元嘉，而板籍頓闕，弊亦有以。自孝建已來，入勳者衆，其中操干戈衛社稷者，三分殆無一焉。勳簿所領而詐注辭籍，浮遊世要，非官長所拘錄，復爲不少。尋蘇峻平後，庾亮就溫嶠求勳簿，而嶠不與，以爲陶侃所上，多非實錄。尋物之懷私，無世不有，宋末落紐，此巧尤多。又將位旣衆，舉卹爲祿，實潤甚微，而人領數萬，如此二條，天下合役之身，
HCH_015_034_000025	已據其太半矣。
HCH_015_034_000026	又有改注籍狀。
HCH_015_034_000027	詐入仕流，昔爲人役者，今反役人。
HCH_015_034_000028	又生不長髮，便謂爲道人，塡街溢巷，是處皆然。
HCH_015_034_000029	或抱子幷居，竟不編戶，遷徙去來，公違土斷。
HCH_015_034_000030	屬役無滿，流亡不歸，寧喪終身，疾病長臥。
HCH_015_034_000031	法令必行，自然競反。
HCH_015_034_000032	又四鎮戍將，有名寡實，隨才部曲，無辨勇懦，署位借給，巫媼比肩，彌山滿海，皆是私役。
HCH_015_034_000033	行貨求位，其塗甚易，募役卑劇，何爲投補？
HCH_015_034_000034	坊吏之所以盡，百里之所以單也。
HCH_015_034_000035	今但使募制明信，滿復有期，民無逕路，則坊可立表而盈矣。
HCH_015_034_000036	爲治不患無制，患在不行，不患不行，患在不久。
HCH_015_034_000037	上省玩之表，納之。
HCH_015_034_000038	乃別置板籍官，置令史，限人一日得數巧，以防懈怠。
HCH_015_034_000039	於是貨賂因緣，籍注雖正，猶強推卻，以充程限。
HCH_015_034_000040	至世祖永明八年，謫巧者戍緣淮各十年，百姓怨望。
HCH_015_034_000041	世祖乃詔曰：「夫簡貴賤，辨尊卑者，莫不取信於黃籍。豈有假器濫榮，竊服非分。故所以澄革虛妄，式允舊章。然釁起前代，過非近失，旣往之諐，不足追咎。自宋昇明以前，皆聽復注。其有謫役邊疆，各許還本。此後有犯，嚴加翦治。」
HCH_015_034_000042	玩之以久宦衰疾，上表告退，曰：「臣聞負重致遠，力窮則困，竭誠事君，智盡必傾，理固然也。四十仕進，七十懸車，壯則驅馳，老宜休息。臣生於晉，長於宋，老於齊，世歷三代，朝市再易。臣以宋元嘉二十八年爲王府行佐，於茲三十年矣。自頃以來，衰耗漸篤。爲性不懶惰，而倦怠頓來。耳目本聰明，而聾矒轉積。腳不支身，喘不緒氣。景刻不推，朝晝不保。大功兄弟，四十有二人，通塞壽夭，唯臣獨存。朝露末光，寧堪長久！且知足不辱，臣已足矣。稟命饑寒，不求富貴，銅山由命，臣何恨焉，久甘之矣。直道事人，不免縲紲，屬遇聖明，知其非罪，臣之幸厚矣。授命於道消之晨，效節於百揆之日，臣忠之效也。降慶於文明之初，荷澤於天飛之運，臣命之偶也。不謀巧宦而位至九卿，德慙李陵而忝居門下。堯舜無窮，臣亦通矣。年過六十，不爲夭矣。榮期之三樂，東平之一善，臣俱盡之矣。經昏踐亂，涉艱履危，仰聖德以求全，憑賢輔以申節，未嘗厭屈於勳權，畏溺於狐鼠，臣立身之本，於斯不虧。在其壯也，當官不讓；及其衰矣，豪露靡因。伏願慈臨，賜臣骸骨。非爲希高慕古，愛好泉林，特以丁運孤貧，養禮多闕，風樹之感，夙自纏心。庶天假其辰，得二三年間，掃守丘墓，以此歸全，始終之報遂矣。」
HCH_015_034_000043	上省玩之表，許之。
HCH_015_034_000044	玩之於人物好臧否。
HCH_015_034_000045	宋末，王儉舉員外郎孔襜使虜，玩之言論不相饒，襜、儉竝恨之。
HCH_015_034_000046	至是玩之東歸，儉不出送，朝廷無祖餞者。
HCH_015_034_000047	玩之歸家起大宅，數年卒。
HCH_015_034_000048	其後員外郎孔瑄就儉求會稽五官，儉方盥，投皂莢於地，曰：「卿鄉俗惡。虞玩之至死煩人。」
HCH_015_034_000049	孔襜字世遠，玩之同郡人，好典故學。
HCH_015_034_000050	與王儉至交。
HCH_015_034_000051	昇明中爲齊臺尚書儀曹郎，太祖謂之曰：「卿儀曹才也。」
HCH_015_034_000052	儉爲宰相，襜嘗謀議帷幕，每及選用，頗失鄉曲情。
HCH_015_034_000053	儉從容啓上曰：「臣有孔襜，猶陛下之有臣也。」
HCH_015_034_000054	永明中爲太子家令，卒。
HCH_015_034_000055	時人呼孔襜、何憲爲王儉三公。
HCH_015_034_000056	憲字子思，廬江人也。
HCH_015_034_000057	以強學見知。
HCH_015_034_000058	母鎮北長史王敷之女，聰明有訓識。
HCH_015_034_000059	憲爲本州別駕。
HCH_015_034_000060	永明十年，使于虜中。
HCH_015_034_000061	劉休字弘明，沛郡相人也。
HCH_015_034_000062	祖徽，正員郎。
HCH_015_034_000063	父超，九眞太守。
HCH_015_034_000064	休初爲駙馬都尉，奉朝請，宋明帝湘東國常侍。
HCH_015_034_000065	好學諳憶，不爲帝所知。
HCH_015_034_000066	襲祖封南鄉侯。
HCH_015_034_000067	友人陳郡謝儼同丞相義宣反，休坐匿之，被繫尚方七年，孝武崩，乃得出。
HCH_015_034_000068	隨弟欽爲羅縣。
HCH_015_034_000069	泰始初，諸州反，休筮明帝當勝，靜處不預異謀。
HCH_015_034_000070	數年，還投吳喜爲輔師府錄事參軍。
HCH_015_034_000071	喜稱其才，進之明帝，得在左右。
HCH_015_034_000072	板桂陽王征北參軍。
HCH_015_034_000073	帝頗有好尚，尤嗜飲食。
HCH_015_034_000074	休多藝能，爰及鼎味，問無不解。
HCH_015_034_000075	後宮孕者，帝使筮其男女，無不如占。
HCH_015_034_000076	帝素肥，痿不能御內，諸王妓妾懷孕，使密獻入宮，生子之後，閉其母於幽房，前後十數。
HCH_015_034_000077	順帝，桂陽王休範子也。
HCH_015_034_000078	蒼梧王亦非帝子，陳太妃先爲李道兒妾，故蒼梧微行，嘗自稱爲李郎焉。
HCH_015_034_000079	帝憎婦人妒，尚書右丞榮彥遠以善棊見親，婦妒傷其面，帝曰：「我爲卿治之，何如？」
HCH_015_034_000080	彥遠率爾應曰：「聽聖旨。」
HCH_015_034_000081	其夕，遂賜藥殺其妻。
HCH_015_034_000082	休妻王氏亦妒，帝聞之，賜休妾，敕與王氏二十杖。
HCH_015_034_000083	令休於宅後開小店，使王氏親賣掃帚皂莢以辱之。
HCH_015_034_000084	其見親如此。
HCH_015_034_000085	尋除員外郎，領輔國司馬、中書通事舍人，帶南城令。
HCH_015_034_000086	除尚書中兵郎，給事中，舍人、令如故。
HCH_015_034_000087	除安成王撫軍參軍，出爲都水使者，南康相。
HCH_015_034_000088	休善言治體，而在郡無異績。
HCH_015_034_000089	還爲正員郎，邵陵王南中郎錄事、建威將軍、新蔡太守。
HCH_015_034_000090	隨轉左軍府，加鎮蠻護軍，將軍、太守如故。
HCH_015_034_000091	遷諮議，司馬，進寧朔將軍，鎮蠻護軍、太守如故。
HCH_015_034_000092	徙尋陽太守，將軍、司馬如故。
HCH_015_034_000093	後遷長史。
HCH_015_034_000094	沈攸之難，世祖挾晉熙邵陵二王軍府鎮盆城，休承奉軍費，事寧，仍遷邵陵王安南長史，除黃門郎，寧朔將軍，前軍長史，齊臺散騎常侍。
HCH_015_034_000095	建元初，爲御史中丞。
HCH_015_034_000096	頃之，休啓曰：「臣自塵榮南憲，星晷交春，謬聞弱奏，劾無空月。豈唯不能使蕃邦斂手，豪右屏氣，乃遣聽已暴之辜，替網觸羅之鳥。而猶以此，里失鄉黨之和，朝絕比肩之顧，覆背騰其喉唇，武人厲其觜吻。怨之所聚，勢難久堪；議之所裁，孰懷其允？臣竊尋宋世載祀六十，歷職斯任者五十有三，校其年月，不過盈歲。于臣叨濫，宜請骸骨。」
HCH_015_034_000097	上曰：「卿職當國司，以威裁爲本，而忽憚世誚。卿便應辭之事始，何可獲惰晚節邪？」
HCH_015_034_000098	宋末，上造指南車，以休有思理，使與王僧虔對共監試。
HCH_015_034_000099	元嘉世，羊欣受子敬正隸法，世共宗之，右軍之體微古，不復見貴。
HCH_015_034_000100	休始好此法，至今此體大行。
HCH_015_034_000101	四年，出爲豫章內史，加冠軍將軍。
HCH_015_034_000102	卒，年五十四。
HCH_015_034_000103	沈沖字景綽，吳興武康人也。
HCH_015_034_000104	祖宣，新安太守。
HCH_015_034_000105	父懷文，廣陵太守。
HCH_015_034_000106	沖解褐衛尉五官，轉揚州主簿。
HCH_015_034_000107	宋大明中，懷文有文名，沖亦涉獵文義。
HCH_015_034_000108	轉西陽王撫軍法曹參軍，尋舉秀才，還爲撫軍正佐，兼記室。
HCH_015_034_000109	及懷文得罪被繫，沖兄弟行謝，情哀貌苦，見者傷之。
HCH_015_034_000110	柳元景欲救懷文，言于帝曰：「沈懷文三子塗炭不可見，願陛下速正其罪。」
HCH_015_034_000111	帝竟殺之。
HCH_015_034_000112	元景爲之嘆息。
HCH_015_034_000113	沖兄弟以此知名。
HCH_015_034_000114	泰始初，以母老家貧，啓明帝得爲永興令。
HCH_015_034_000115	遷巴陵王主簿，除尚書殿中郎。
HCH_015_034_000116	元徽中，出爲晉安王安西記室參軍，還爲司徒主簿，山陰令，轉司徒錄事參軍。
HCH_015_034_000117	世祖爲江州，沖爲征虜長史、尋陽太守，甚見委遇。
HCH_015_034_000118	世祖還都，使沖行府、州事。
HCH_015_034_000119	遷領軍長史。
HCH_015_034_000120	建元初，轉驃騎諮議參軍，領錄事，未及到任，轉黃門郎，仍遷太子中庶子。
HCH_015_034_000121	世祖在東宮，待以恩舊。
HCH_015_034_000122	及卽位，轉御史中丞，侍中。
HCH_015_034_000123	冠軍廬陵王子卿爲郢州，以沖爲長史、輔國將軍、江夏內史，行府、州事。
HCH_015_034_000124	隨府轉爲安西長史、南郡內史，行荊州府事，將軍如故。
HCH_015_034_000125	永明四年，徵爲五兵尚書。
HCH_015_034_000126	沖與兄淡、淵名譽有優劣，世號爲「𦝫鼓兄弟。」
HCH_015_034_000127	淡、淵竝歷御史中丞，兄弟三人皆爲司直，晉、宋未有也。
HCH_015_034_000128	中丞案裁之職，被憲者多結怨。
HCH_015_034_000129	淵永明中彈吳興太守袁彖，建武中彖從弟昂爲中丞，到官數日，奏彈淵子繢父在僦白幰車，免官禁錮。
HCH_015_034_000130	沖母孔氏在東，鄰家失火，疑爲人所焚爇，大呼曰：「我三兒皆作御史中丞，與人豈有善者！」
HCH_015_034_000131	世祖方欲任沖，沖西下至南州而卒。
HCH_015_034_000132	時年五十一。
HCH_015_034_000133	上甚惜之。
