HCH_009_001_000001	金之先，出靺鞨氏。
HCH_009_001_000002	靺鞨本號勿吉。
HCH_009_001_000003	勿吉，古肅慎地也。
HCH_009_001_000004	元魏時，勿吉有七部：曰粟末部，曰伯咄部，曰安車骨部，曰拂湼部，曰號室部，曰黑水部，曰白山部。
HCH_009_001_000005	隋稱靺鞨，而七部並同。
HCH_009_001_000006	唐初，有黑水靺鞨、粟末靺鞨，其五部無聞。
HCH_009_001_000007	粟末靺鞨始附高麗，姓大氏。
HCH_009_001_000008	李勣破高麗，粟末靺鞨保東牟山。
HCH_009_001_000009	後為渤海，稱王，傳十餘世。
HCH_009_001_000010	有文字、禮樂、官府、制度。
HCH_009_001_000011	有五京、十五府、六十二州。
HCH_009_001_000012	黑水靺鞨居肅慎地，東瀕海，南接高麗，亦附于高麗。
HCH_009_001_000013	嘗以兵十五萬眾助高麗拒唐太宗，敗于安市。
HCH_009_001_000014	開元中，來朝，置黑水府，以部長為都督、刺史，置長史監之。
HCH_009_001_000015	賜都督姓李氏，名獻誠，領黑水經略使。
HCH_009_001_000016	其後渤海盛強，黑水役屬之，朝貢遂絕。
HCH_009_001_000017	五代時，契丹盡取渤海地，而黑水靺鞨附屬于契丹。
HCH_009_001_000018	其在南者籍契丹，號熟女直；其在北者不在契丹籍，號生女直。
HCH_009_001_000019	生女直地有混同江、長白山，混同江亦號黑龍江，所謂「白山、黑水」是也。
HCH_009_001_000020	金之始祖諱函普，初從高麗來，年已六十餘矣。
HCH_009_001_000021	兄阿古廼好佛，留高麗不肯從，曰：「後世子孫必有能相聚者，吾不能去也。」
HCH_009_001_000022	獨與弟保活里俱。
HCH_009_001_000023	始祖居完顏部僕幹水之涯，保活里居耶懶。
HCH_009_001_000024	其後胡十門以曷蘇館歸太祖，自言其祖兄弟三人相別而去，蓋自謂阿古廼之後。
HCH_009_001_000025	石土門、迪古乃，保活里之裔也。
HCH_009_001_000026	及太祖敗遼兵于境上，獲耶律謝十，乃使梁福、斡答刺招諭渤海人曰：「女直、渤海本同一家。」
HCH_009_001_000027	蓋其初皆勿吉之七部也。
HCH_009_001_000028	始祖至完顏部，居久之，其部人嘗殺它族之人，由是兩族交惡，鬨鬭不能解。
HCH_009_001_000029	完顏部人謂始祖曰：「若能為部人解此怨，使兩族不相殺，部有賢女，年六十而未嫁，當以相配，仍為同部。」
HCH_009_001_000030	始祖曰：「諾。」
HCH_009_001_000031	廼自往諭之曰：「殺一人而鬭不解，損傷益多。曷若止誅首亂者一人，部內以物納償汝，可以無鬭而且獲利焉。」
HCH_009_001_000032	怨家從之。
HCH_009_001_000033	乃為約曰：「凡有殺傷人者，徵其家人口一、馬十偶、牸牛十、黃金六兩，與所殺傷之家，即兩解，不得私鬭。」
HCH_009_001_000034	曰：「謹如約。」
HCH_009_001_000035	女直之俗，殺人償馬牛三十自此始。
HCH_009_001_000036	既備償如約，部眾信服之，謝以青牛一，并許歸六十之婦。
HCH_009_001_000037	始祖乃以青牛為聘禮而納之，并得其貲產。
HCH_009_001_000038	後生二男，長曰烏魯，次曰斡魯，一女曰注思板，遂為完顏部人。
HCH_009_001_000039	天會十四年，追諡景元皇帝，廟號始祖。
HCH_009_001_000040	皇統四年，號其藏曰光陵。
HCH_009_001_000041	五年，增諡始祖懿憲景元皇帝。
HCH_009_001_000042	子德帝，諱烏魯。
HCH_009_001_000043	天會十四年，追諡德皇帝。
HCH_009_001_000044	皇統四年，號其藏曰熙陵。
