HCH_009_005_000001	廢帝海陵庶人亮，字元功，本諱迪古乃，遼王宗幹第二子也。
HCH_009_005_000002	母大氏。
HCH_009_005_000003	天輔六年壬寅歲生。
HCH_009_005_000004	天眷三年，年十八，以宗室子爲奉國上將軍，赴梁王宗弼軍前任使，以爲行軍萬戶，遷驃騎上將軍。
HCH_009_005_000005	皇統四年，加龍虎衛上將軍，爲中京留守，遷光祿大夫。
HCH_009_005_000006	爲人僄急，多猜忌，殘忍任數。
HCH_009_005_000007	初，熙宗以太祖嫡孫嗣位，亮意以爲宗幹太祖長子，而己亦太祖孫，遂懷覬覦。
HCH_009_005_000008	在中京，專務立威，以厭伏小人。
HCH_009_005_000009	猛安蕭裕傾險敢決，亮結納之，每與論天下事。
HCH_009_005_000010	裕揣知其意，因勸海陵舉大事，語在《裕傳》。
HCH_009_005_000011	七年五月，召爲同判大宗正事，加特進。
HCH_009_005_000012	十一月，拜尚書左丞，務攬持權柄，用其腹心爲省台要職，引蕭裕爲兵部侍郎。
HCH_009_005_000013	一日因召對，語及太祖創業艱難，亮因嗚咽流涕，熙宗以爲忠。
HCH_009_005_000014	八年六月，拜平章政事。
HCH_009_005_000015	十一月，拜右丞相。
HCH_009_005_000016	九年正月，兼都元帥。
HCH_009_005_000017	熙宗使小底大興國賜亮生日，悼后亦附賜禮物，熙宗不悅，杖興國百，追其賜物，海陵由此不自安。
HCH_009_005_000018	三月，拜太保、領三省事，益邀求人譽，引用勢望子孫，結其歡心。
HCH_009_005_000019	四月，學士張鈞草詔忤旨死，熙宗問：「誰使爲之？」
HCH_009_005_000020	左丞相宗賢對曰：「太保實然。」
HCH_009_005_000021	熙宗不悅，遂出爲領行台尚書省事。
HCH_009_005_000022	過中京，與蕭裕定約而去。
HCH_009_005_000023	至良鄉，召還。
HCH_009_005_000024	海陵莫測所以召還之意，大恐。
HCH_009_005_000025	既至，復爲平章政事，由是益危迫。
HCH_009_005_000026	熙宗嘗以事杖左丞唐括辯及右丞相秉德，辯及與大理卿烏帶謀廢立，而烏帶先此謀告海陵。
HCH_009_005_000027	他日，海陵與辯語及廢立事，曰：「若舉大事，誰可立者？」
HCH_009_005_000028	辯曰：「胙王常勝乎？」
HCH_009_005_000029	問其次，曰：「鄧王子阿懶。」
HCH_009_005_000030	亮曰：「阿懶屬疏，安得立？」
