HCH_009_041_000001	金制，天子之儀衛，一曰立仗，二曰行仗。
HCH_009_041_000002	其衛士，曰護衛、曰親軍、曰弩手，曰控鶴、曰傘子、曰長行。
HCH_009_041_000003	立仗則有殿庭內仗、殿庭外仗，凡大禮、大朝會則用之。
HCH_009_041_000004	其朔望常朝，弩手百人分立兩階而已。
HCH_009_041_000005	行仗則有法駕、大駕、黃麾仗，凡行幸及郊廟祀享則用之。
HCH_009_041_000006	其非大禮遠出，則有常行儀衛、宮中導從焉。
HCH_009_041_000007	大抵模仿宋制，錯綜增損而用之。
HCH_009_041_000008	其宿衛則見《兵志》云。
HCH_009_041_000009	初，國制，凡朔望常朝日，殿下列衛士，簾下置甲兵。
HCH_009_041_000010	正隆元年，海陵去甲兵，惟存錦衣弩手百人，分立兩階。
HCH_009_041_000011	其儀，都副點檢，公服偏帶。
HCH_009_041_000012	常朝則展紫。
HCH_009_041_000013	左右衛將軍、宿直將軍，展紫，金束帶，各執玉、水晶及金飾骨朵。
HCH_009_041_000014	左右親衛，盤裹紫襖，塗金束帶，骨朵，佩兵械。
HCH_009_041_000015	供禦弩手、傘子百人，並金花交腳襆頭，塗金銅鈒襯花束帶，骨朵。
HCH_009_041_000016	左右班執儀物內侍二十人，展紫，塗金束帶。
HCH_009_041_000017	朝參日，弩手、傘子直於殿門外，分兩面排立。
HCH_009_041_000018	司辰報時畢，皇帝御殿坐，鳴鞭，閣門報班齊。
HCH_009_041_000019	執擎儀物內侍分降殿階，南向立。
HCH_009_041_000020	點檢司起居，弩手、傘子於殿門外北面山呼聲喏，訖，即於殿門外東西相向排立。
HCH_009_041_000021	都點檢以次三員升殿，都點檢在東近南，左副又少南，右副在西，東向對立。
HCH_009_041_000022	左右衛將軍在殿下東西對立。
HCH_009_041_000023	省臣隨班起居畢，左右司侍郎從宰執奏事。
HCH_009_041_000024	殿中侍御史隨班起居畢，東西對立于左右衛將軍之北，少前。
HCH_009_041_000025	修起居注分殿陛東西對立於殿欄外副階下，以俟。
HCH_009_041_000026	奏事畢，皇帝還閣，侍衛者乃退。
HCH_009_041_000027	凡遇大禮、大朝會，則有內外立仗。
HCH_009_041_000028	熙宗皇統元年正月，上冊寶，立仗一千一百八十人。
HCH_009_041_000029	自是以後，至海陵時，俱用三千人。
HCH_009_041_000030	世宗大定七年，上冊寶，頗損其數，且以天德、貞元不設車輅，遂並去之。
HCH_009_041_000031	是後，或減至二千，或一千、或八百、或六百人。
HCH_009_041_000032	天德二年，海陵立後，發冊勤政殿，設黃麾細仗，用前六部，攝官七十一，擎執六百七十八人。
HCH_009_041_000033	受冊泰和殿，用後六部，攝官三十六，擎執三百二十二人。
HCH_009_041_000034	大定八年正月，冊皇太子于大安殿，用黃麾半仗二千二百六十五人，奉表于仁政殿用黃麾細仗一千四百二人。
HCH_009_041_000035	二十七年，冊皇太孫，亦如之。
HCH_009_041_000036	大定八年，黃麾半仗，攝官一百七十五人，擎執二千八十一人，編排職掌九人。
HCH_009_041_000037	殿庭內仗。
HCH_009_041_000038	以中心東西相向一重，並面北旗幟為中道。
HCH_009_041_000039	左行，自北西向排列。
HCH_009_041_000040	黃麾幡一首，執者三人。
HCH_009_041_000041	碧襴官一，大雉扇二。
HCH_009_041_000042	碧襴官一，中雉扇六，碧襴官一，小雉扇六。
HCH_009_041_000043	碧襴官一，硃團扇六。
HCH_009_041_000044	碧襴官一，睥睨四。
HCH_009_041_000045	碧襴官一，紅大傘一。
HCH_009_041_000046	碧襴官一，紫方傘二。
HCH_009_041_000047	碧襴官一，華蓋一。
HCH_009_041_000048	右行，東向列者，並同。
HCH_009_041_000049	面北，第一行，牙門旗八，共二十四人，分左右。
HCH_009_041_000050	留中道。
HCH_009_041_000051	第二行，監門校尉十二，分左右。
HCH_009_041_000052	第三行，長壽幢一，押旗大將軍一，居中，次東五方龍旗十五，次西五方鳳旗十五。
HCH_009_041_000053	第四行，自內而東，青龍旗五，紅龍旗二十。
HCH_009_041_000054	自內而西，青龍旗五，紅龍旗二十。
HCH_009_041_000055	第五行，同上，又君王萬歲旗一，五人居中。
HCH_009_041_000056	日旗一，五人在左。
HCH_009_041_000057	月旗一，五人在右。
