HCH_009_054_000001	凡吏部選授之制，自太宗天會十二年，始法古立官，至天眷元年，頒新官制。
HCH_009_054_000002	及天德四年，始以河南、北選人並赴中京，吏部各置局銓注。
HCH_009_054_000003	又命吏部尚書蕭賾定河南、北官通注格，以諸司橫班大解、並大將軍合注差人，依年例一就銓注，餘求仕人分四季擬授，遂為定制。
HCH_009_054_000004	貞元二年，命擬注時，依舊令，求仕官明數謂面授也，不許就本鄉，若衰病年老者毋授繁劇處。
HCH_009_054_000005	世宗大定元年，敕從八品以下除授，不須奏聞。
HCH_009_054_000006	又制，求仕官毋入權門，違者追一官降除，有所饋獻而受之者，奏之。
HCH_009_054_000007	二年，詔隨季選人，如無過或有功酬者，依格銓注。
HCH_009_054_000008	有廉能及汙濫者，約量升降，呈省。
HCH_009_054_000009	七年，命有司，自今每季求仕人到部，令本部體問，政跡出眾者，及贓汙者，申省核實以聞，約量升擢懲斷，年老者勿授縣令。
HCH_009_054_000010	又謂宰臣曰：「隨朝官能否，大率可知。若外路轉運司幕官以至縣令，但驗資考，其中縱有忠勤廉潔者，無路而進，是此人終身不敢望三品矣，豈進賢退不肖之道哉！自今通三考視其能否，以定升降為格。」
HCH_009_054_000011	又曰：「今用人之法甚弊，其有不求聞達者，人仕雖久，不離小官，至三四十年不離七品者。而新進者結朝貴，致顯達，此豈示激勸之道。卿等當審於用人，以革此弊。」
HCH_009_054_000012	時清州防禦使常德輝上言：「吏部格法，止敘年勞，是以雖有才能，拘於法而不得升，以致人材多滯下位。又刺史縣令親民之職，多不得人，乞加體察，然後公行廉問，庶使有懼心。且今酒稅使尚選能者，況承流宣化之官，可不擇乎？自今宜以能吏當任酒使者授親民之職。」
HCH_009_054_000013	從之。
HCH_009_054_000014	十年，上謂宰臣曰：「守令以下小官，能否不能遍知。比聞百姓或請留者，類皆不聽。凡小官得民悅，上官多惡之，能承事上官者，必不得民悅。自今民願留者，許直赴部，告呈省。遣使覆實，其績果善可超升之，如丞簿升縣令之類，以示激勸。」
HCH_009_054_000015	二十六年，以闕官，敕：「見行格法合降資歷內，三降兩降各免一降，一降者勿降。省令譯史合得縣令資歷內，免錄事及下縣令各一任。密院令史三考以上者，同前免之。台、部、宗正府、統軍司令譯史，合曆縣令任數，免下令一任。外路右職文資諸科，合曆縣令亦免一任。當過檢法知法，三考得錄事者，已後兩除一差。」
HCH_009_054_000016	明昌三年，上曰：「舊制，每季到部求仕人，識字者試以書判，不識字者問以疑難三事，體察言行相副者。其令自今隨季部人並令依條試驗。」
HCH_009_054_000017	宰執奏曰：「既體察知與所舉相同，又試中書判，若不量與升除，無以示勸。」
HCH_009_054_000018	遂定制，若隨朝及外路六品以上官則隨長任用，外路正七品官擬升六品縣令一等除授，任滿合降者免降，從七品以下於各等資歷內減兩任擬注，以後體察相同即依已升任使，若體察不同者本等注授，若見任縣令升中上令者、並掌錢穀及丁憂去者，候解由到部。
HCH_009_054_000019	諸局分人亦候將來出職日准上擬注。
HCH_009_054_000020	猛安謀克擬依前提刑司保舉到升任例，施行時嘗令隨門戶減一資歷。
HCH_009_054_000021	明昌七年，敕複令如舊。
HCH_009_054_000022	泰和元年，上以縣令見守闕，近者十四月，遠者十六月，又以縣令丞簿員闕不相副，敕省臣：「右選官見格，散官至明威者注縣令，宣武者注丞簿，雖曾犯選格及虧永者亦注，是無別也。」
HCH_009_054_000023	遂定制，曾犯選格及虧永者，廣威注令，明威注丞簿。
