HCH_009_098_000001	完顏匡，本名撒速，始祖九世孫。
HCH_009_098_000002	事豳王允成，為其府教讀。
HCH_009_098_000003	大定十九年，章宗年十餘歲，顯宗命詹事烏林答願擇德行淳謹、才學該通者，使教章宗兄弟。
HCH_009_098_000004	閱月，願啟顯宗曰：「豳王府教讀完顏撒速、徐王府教讀僕散訛可二人，可使教皇孫兄弟。」
HCH_009_098_000005	顯宗曰：「典教幼子，須用淳謹者。」
HCH_009_098_000006	已而召見于承華殿西便殿。
HCH_009_098_000007	顯宗問其年，對曰：「臣生之歲，海陵自上京遷中都，歲在壬申。」
HCH_009_098_000008	顯宗曰：「二十八歲爾，詹事乃雲三十歲何也？」
HCH_009_098_000009	匡曰：「臣年止如此，詹事謂臣出入宮禁，故增其歲言之耳。」
HCH_009_098_000010	顯宗顧謂近臣曰：「篤實人也。」
HCH_009_098_000011	命擇日，使皇孫行師弟子禮。
HCH_009_098_000012	七月丁亥，宣宗、章宗皆就學，顯宗曰：「每日先教漢字，至申時漢字課畢，教女直小字，習國朝語。」
HCH_009_098_000013	因賜酒及彩幣。
HCH_009_098_000014	頃之，世宗詔匡、訛可俱充太子侍讀。
HCH_009_098_000015	寢殿小底駝滿九住問匡曰：「伯夷、叔齊何如人？」
HCH_009_098_000016	匡曰：「孔子稱夷、齊求仁得仁。」
HCH_009_098_000017	九住曰：「汝輩學古，惟前言是信。夷、齊輕去其親，不食周粟餓死首陽山，仁者固如是乎？」
HCH_009_098_000018	匡曰：「不然，古之賢者行其義也，行其道也。伯夷思成其父之志以去其國，叔齊不苟從父之志亦去其國。武王伐紂，夷、齊叩馬而諫。紂死，殷為周，夷、齊不食周粟，遂餓而死。正君臣之分，為天下後世慮至遠也，非仁人而能若是乎！」
HCH_009_098_000019	是時，世宗如春水，顯宗從，二人者馬上相語遂後。
HCH_009_098_000020	顯宗遲九住至，問曰：「何以後也？」
HCH_009_098_000021	九住以對，顯宗歎曰：「不以女直文字譯經史，何以知此。主上立女直科舉，教以經史，乃能得其淵奧如此哉。」
HCH_009_098_000022	稱善者良久，謂九住曰：「《論語》'知之為知之，不知為不知，是知也'。汝不知不達，務辯口以難人。由是觀之，人之學、不學，豈不相遠哉。」
HCH_009_098_000023	顯宗嘗謂中侍局都監蒲察查刺曰：「入殿小底完顏訛出、侍讀完顏撒速，與我同族，汝知之乎？」
HCH_009_098_000024	對曰：「不知也。」
HCH_009_098_000025	顯宗曰：「撒速，始祖九世孫。訛出，保活裏之世也。始祖兄弟皆非常人，汝何由知此。」
HCH_009_098_000026	顯宗命匡作《睿宗功德歌》，教章宗歌之，其詞曰：「我祖睿宗，厚有陰德。國祚有傳，儲嗣當立。滿朝疑懼，獨先啟策。徂征三秦，震驚來附。富平百萬，望風奔僕。靈恩光被，時雨春暘。神化周浹，春生冬藏。」
HCH_009_098_000027	蓋取宗翰與睿宗定策立熙宗，及平陝西大破張浚于富平也。
HCH_009_098_000028	二十三年三月萬春節，顯宗命章宗歌此詞侑觴，世宗愕然曰：「汝輩何因知此？」
HCH_009_098_000029	顯宗奏曰：「臣伏讀《睿宗皇帝實錄》，欲使兒子知創業之艱難，命侍讀撒速作歌教之。」
HCH_009_098_000030	世宗大喜，顧謂諸王侍臣曰：「朕念睿宗皇帝功德，恐子孫無由知，皇太子能追念作歌以教其子，嘉哉盛事，朕之樂豈有量哉。卿等亦當誦習，以不忘祖宗之功。」
HCH_009_098_000031	命章宗歌數四，酒行極歡，乙夜乃罷。
HCH_009_098_000032	二十五年，匡中禮部策論進士。
HCH_009_098_000033	是歲，世宗在上京，顯宗監國。
HCH_009_098_000034	三月甲辰，禦試，前一日癸卯，讀卷官吏部侍郎李晏、棣州防禦使把內刺、國史院編修官夾谷衡、國子助教尼龐古鑒進稟，策題問「契敷五教，皋陶明五刑，是以刑措不用，比屋可封。今欲興教化，措刑罰，振紀綱，施之萬世，何術可致？」
HCH_009_098_000035	匡已試，明日入見，顯宗問對策雲何，匡曰：「臣熟觀策問敷教、措刑兩事，不詳'振紀綱'一句，只作兩事對，策必不能中。」
HCH_009_098_000036	顯宗命匡誦所對策，終篇，曰：「是亦當中。」
HCH_009_098_000037	匡曰：「編修衡、助教鑒長於選校，必不能中。」
HCH_009_098_000038	已而匡果下第。
HCH_009_098_000039	顯宗惜之，謂侍臣曰：「我只欲問教化、刑罰兩事，乃添振紀綱一句，命刪去，李晏固執不可，今果誤人矣。」
HCH_009_098_000040	謂侍正石敦寺家奴、唐括曷答曰：「侍讀二十一年府試不中，我本不欲侍讀再試，恐傷其志，今乃下第，使人意不樂。」
HCH_009_098_000041	是歲初取止四十五人，顯宗命添五人，僕散訛可中在四十五人，後除書畫直長。
HCH_009_098_000042	匡與訛可俱為侍讀，匡被眷遇特異，顯宗謂匡曰：「汝無以訛可登第怏怏，但善教金源郡王，何官不可至哉。」
HCH_009_098_000043	是歲，顯宗薨，章宗判大興尹，封原王，拜右丞相，立為皇太孫。
HCH_009_098_000044	匡仍為太孫侍讀。
HCH_009_098_000045	二十八年，匡試詩賦，漏寫詩題下注字，不取，特賜及第，除中都路教授，侍讀如故。
HCH_009_098_000046	章宗即位，除近侍局直長，曆本局副使、局使，提點太醫院，遷翰林直學士。
HCH_009_098_000047	使宋，上令權更名弼，以避宋祖諱，事載《本紀》。
HCH_009_098_000048	遷秘書監，仍兼太醫院、近侍局事，再兼大理少卿。
HCH_009_098_000049	遷簽書樞密院事，兼職如故。
HCH_009_098_000050	承安元年，行院於撫州。
HCH_009_098_000051	河北西路轉運使溫昉行六部事，主軍中饋餉，屈意事匡，以馬幣為獻，及私以官錢佐匡宴會費，監察禦史姬端修劾之，上方委匡以邊事，遂寢其奏。
HCH_009_098_000052	三年，入奏邊事，居五日，還軍。
HCH_009_098_000053	尋入守尚書左丞，兼修國史，進《世宗實錄》。
HCH_009_098_000054	章宗立提刑司，專糾察黜陟，當時號為外台，匡與司空襄，參政揆奏：「息民不如省官，聖朝舊無提刑司，皇統、大定間每數歲一遣使廉察，郡縣稱治。自立此官，冀達下情，今乃是非混淆，徒煩聖聽。自古無提點刑獄專薦舉之權者，若陛下不欲遽更，不宜使兼採訪廉能之任。歲遣監察體究，仍不時選使廉訪。」
HCH_009_098_000055	上從其議，於是監察體訪之使出矣。
HCH_009_098_000056	初，匡行院於撫州，障葛將攻邊境，會西南路通事黃摑按出使烏都碗部知其謀，奔告行院為之備，迎擊障葛，敗其兵。
HCH_009_098_000057	按出與八品職，遷四官。
HCH_009_098_000058	匡遷三官。
HCH_009_098_000059	匡奏乞以所遷三官讓其兄奉禦賽一，上嘉其義，許之。
HCH_009_098_000060	改樞密副使，授世襲謀克。
HCH_009_098_000061	宋主相韓侂胄。
HCH_009_098_000062	侂胄嘗再為國使，頗知朝廷虛實。
HCH_009_098_000063	及為相，與蘇師旦倡議復仇，身執其咎，繕器械，增屯戍，初未敢公言征伐，乃使邊將小小寇鈔以嘗試朝廷。
HCH_009_098_000064	泰和五年正月，入確山界奪民馬。
HCH_009_098_000065	三月，焚平氏鎮，剽民財物，掠鄧州白亭巡檢家貲，持其印去。
HCH_009_098_000066	遂平縣獲宋人王俊，唐州獲宋諜者李忤，俊襄陽軍卒，忤建康人。
HCH_009_098_000067	俊言宋人於江州、鄂、嶽屯大兵，貯甲仗，修戰艦，期以五月入寇。
HCH_009_098_000068	忤言侂胄謂大國西北用兵連年，公私困竭，可以得志，命修建康宮，勸宋主都建康節制諸道。
HCH_009_098_000069	河南統軍司奏請益兵為之備。
HCH_009_098_000070	詔平章政事僕散揆為河南宣撫使，籍諸道兵，括戰馬，臨洮、德順、秦、鞏各置弓手四千人。
HCH_009_098_000071	詔揆遺書宋人曰：「奈何興兵？」
HCH_009_098_000072	宋人辭曰：「盜賊也。邊臣不謹，今黜之矣。」
HCH_009_098_000073	宋人將啟邊釁，太常卿趙之傑、知大興府承暉、中丞孟鑄皆曰：「江南敗衄之餘，自救不暇，恐不敢敗盟。」
HCH_009_098_000074	匡曰：「彼置忠義保捷軍，取先世開寶、天禧紀元，豈忘中國者哉。」
HCH_009_098_000075	大理卿畏也曰：「宋兵攻圍城邑，動輒數千，不得為小寇。」
HCH_009_098_000076	上問參政思忠，思忠極言宋人敗盟有狀、與匡、畏也合，上以為然。
HCH_009_098_000077	及河南統軍使紇石烈子仁使宋還，奏宋主修敬有加，無他志。
HCH_009_098_000078	上問匡曰：「於卿何如？」
HCH_009_098_000079	匡曰：「子仁言是。」
HCH_009_098_000080	上愕然曰：「卿前議雲何，今乃中變邪？」
HCH_009_098_000081	匡徐對曰：「子仁守疆圉，不妄生事，職也。《書》曰'有備無患'，在陛下宸斷耳。」
HCH_009_098_000082	於是罷河南宣撫司，僕散揆還朝。
HCH_009_098_000083	六年二月，宋人陷散關，取泗州、虹縣、靈璧。
HCH_009_098_000084	四月，複詔僕散揆行省事於汴，制諸軍。
HCH_009_098_000085	頃之，以匡為右副元帥。
HCH_009_098_000086	揆請匡先取光州，還軍懸瓠，與大軍合勢南下。
HCH_009_098_000087	匡奏：「僕散揆大軍渡淮，宋人聚兵襄、沔以窺唐、鄧，汴京留兵頗少，有掣肘之患，請出唐、鄧。」
HCH_009_098_000088	從之。
HCH_009_098_000089	遣前鋒都統烏古論慶壽以騎八千攻棗陽，遣左翼提控完顏江山以騎五千取光化，右翼都統烏古孫兀屯取神馬坡，皆克之。
HCH_009_098_000090	匡軍次白虎粒，都統完顏按帶取隨州，烏古論慶壽扼赤岸，斷襄、漢路。
HCH_009_098_000091	宋隨州將雷大尉遁去，遂克隨州。
HCH_009_098_000092	於是宋鄧城、樊城戍兵皆潰。
HCH_009_098_000093	賜詔獎諭，戒諸軍毋虜掠、焚壞城邑。
HCH_009_098_000094	匡進兵圍德安，分遣諸將徇下安陸、應城、雲夢、漢川、荊山等縣，副統蒲察攻宜城縣取之。
HCH_009_098_000095	十二月，敗宋兵二萬人於信陽之東，詔曰：「卿總師出疆屢捷，殄寇撫降，日辟土宇。彼恃漢、江以為險阻，箠馬而渡，如涉坦途，荊、楚削平，不為難事，雖天佑順，亦卿籌畫之效也。益宏遠圖，以副朕意。」
HCH_009_098_000096	匡進所獲女口百人。
HCH_009_098_000097	詔匡權尚書右丞，行省事，右副元帥如故。
HCH_009_098_000098	吳曦以蜀、漢內附，詔匡先取襄陽以遮罩蜀、漢。
HCH_009_098_000099	完顏福海破宋援襄陽兵于白石峪，遂取穀城縣。
HCH_009_098_000100	僕散揆得疾，遂班師，至蔡，疾革，詔右丞相宗浩代之。
HCH_009_098_000101	七年二月，揆薨。
HCH_009_098_000102	匡久圍襄陽，士卒疲疫，會宗浩至汴，匡乃放軍朝京師，轉左副元帥，賜宴於天香殿，還軍許州。
HCH_009_098_000103	九月，宗浩薨，匡為平章政事，兼左副元帥，封定國公，代宗浩總諸軍，行省於汴京。
HCH_009_098_000104	初，僕散揆初至汴，既定河南諸盜，乃購得韓侂胄族人元靚，使行間于宋。
HCH_009_098_000105	元靚渡淮，宋督視江、淮兵馬事丘灊奏之宋主。
HCH_009_098_000106	是時，宋主、侂胄見兵屢敗以為憂，欲乞盟無以為請，得密奏，即命遣人護元靚北歸，因請議和。
HCH_009_098_000107	密使其屬劉佑送元靚申和議於揆，揆曰：「稱臣割地，獻首禍之臣，然後可。」
HCH_009_098_000108	宋主因密諭丘灊，使歸罪邊將以請焉。
HCH_009_098_000109	及宗浩代揆，方信孺至，宗浩以方信孺輕佻不可信，移書宋人，果欲請和當遣硃致和、吳琯、李大性、李璧來。
HCH_009_098_000110	侂胄得報大喜過望，乃召張岩于建康，罷為福建觀察使，歸罪蘇師旦，貶之嶺南。
HCH_009_098_000111	是時，李璧已為參政，不可遣。
HCH_009_098_000112	硃致知、吳琯已死，李大性知福州，道遠不能遽至。
HCH_009_098_000113	乃遣左司郎中王柟來，至濠州，匡使人責以稱臣等數事，柟以宋主、侂胄情實為請，依靖康二年正月請和故事，世為伯侄國，增歲幣為三十萬兩、匹、犒軍錢三百萬貫，蘇師旦等俟和議定當函首以獻。
HCH_009_098_000114	柟至汴，以侂胄書上元帥府，匡複詰之，柟懇請曰：「此事實出朝旨，非行人所專。」
HCH_009_098_000115	匡察其不妄，乃具奏。
HCH_009_098_000116	章宗詔匡移書宋人，當函侂胄首贖淮南地，改犒軍錢為銀三百萬兩。
HCH_009_098_000117	於是，宋吏部侍郎史彌遠定計殺韓柟胄，彌遠知國政，和好自此成矣。
HCH_009_098_000118	於是，廷議諸軍已取關隘不可與。
HCH_009_098_000119	王柟以宋參政錢象祖書來，略曰：竊惟昔者修好之初，蒙大金先皇帝許以畫淮為界。
HCH_009_098_000120	今大國遵先皇帝聖意，自盱眙至唐、鄧畫界仍舊，是先皇帝惠之于始，今皇帝全之于後也。
HCH_009_098_000121	然東南立國，吳、蜀相依，今川、陝關隘，大國若有之，則是撤蜀之門戶，不能保蜀，何以固吳？
HCH_009_098_000122	已增歲幣至三十萬，通謝為三百萬貫，以連歲師旅之餘，重以喪禍，豈易辦集。
HCH_009_098_000123	但邊隙既開和議，區區悔艾之實，不得不黽勉遵承。
HCH_009_098_000124	又蒙聖畫改輸銀三百萬兩，在本朝宜不敢固違，然傾國資財，竭民膏血，恐非大金皇帝棄過圖新，兼愛南北之意也。
HCH_009_098_000125	主上仁慈寬厚，謹守信誓，豈有意於用兵。
HCH_009_098_000126	止緣侂胄啟釁生事，迷國罔上，以至地斯。
HCH_009_098_000127	是以奮發英斷，大正國典，朋附之輩，誅斥靡貸。
HCH_009_098_000128	今大國欲使斬送侂胄，是未知其已死也。
HCH_009_098_000129	侂胄實本庸愚，怙權輕信，有誤國事，而致侂胄誤國者，蘇師旦也。
HCH_009_098_000130	師旦既貶，侂胄尚力庇之，囑方信孺妄言已死，近推究其事，師旦已行斬首。
HCH_009_098_000131	儻大國終惠川、陝關隘，所畫銀兩悉力祗備，師旦首函亦當傳送，以謝大國。
HCH_009_098_000132	本朝與大國通好以來，譬如一家叔侄，本自協和，不幸奴婢交鬥其間，遂成嫌間。
HCH_009_098_000133	一旦猶子翻然改悟，斥逐奴隸，引咎謝過，則前日之嫌便可銷釋，奚必較錙銖毫末，反傷骨肉之恩乎？
HCH_009_098_000134	惟吳、蜀相為首尾，關隘系蜀安危，望敢備奏，始終主盟，使南北遂息肩之期，四方無兵革之患，不勝通國至願。
HCH_009_098_000135	是時，陝西宣撫司請增新得關隘戍兵萬人。
HCH_009_098_000136	王柟狀稟，如蒙歸川、陝關隘，韓侂胄首必當函送，遵上國之命。
HCH_009_098_000137	匡奏曰：「關隘之事，臣初亦惑之，今當增戍萬人，壁壘之役，饋餫之勞，費用必廣。祖宗所以取者，以關隘僅能自保耳，非有益於戰也。設能入寇，縱之平地，以鐵騎蹂之，無一得脫。彼哀祈不已者，以前日負固尚且摧覆，今遂失之，是無一日之安也。必謂兵力得之不可還賜，則漢上諸郡皆膏腴耕桑之地，棗陽、光化歸順之民數萬戶，較之陝右輕重可知，獨在陛下決之耳。」
HCH_009_098_000138	詔報曰：「侂胄渠魁，既請函首，宋之悔服，可謂誠矣。」
HCH_009_098_000139	匡乃遣王柟還，複書曰：「宋國負渝盟之罪，自陳悔艾，主上德度如天，不忍終絕，優示訓諭，許以更成，所以覆護鎮撫之恩，至深至厚。昨奉聖訓，如能斬送韓侂胄，徐議還淮南地。來書言韓侂胄已死，將以蘇師旦首易之，飾辭相紿如此。至於犒軍銀兩欲俟歸關隘然後祗備，是皆有咈聖訓。及王柟狀稟，如蒙歸還川、陝關隘，其韓侂胄首必當函送。聖訓令斬送侂胄首者，本欲易淮南地，陝西關隘不預焉。王柟所陳亦非元畫事理，不敢專決，具奏。奉旨'朕以生靈為念，已貰宋罪，關隘區區豈足深較，既能函送韓侂胄首，陝西關隘可以還賜'。今恩訓如此，其體大國寬仁矜恤曲從之意，追修誓書，齎遣通謝人使赴闕。」
HCH_009_098_000140	王柟之歸也，匡要以先送叛亡驅掠，然後割賜淮南、川、陝，及彼誓書草本有犯廟諱字及文義有不如體制者，諭令改之。
HCH_009_098_000141	宋人以叛亡驅掠散在州縣，一旦拘刷，未易聚集。
HCH_009_098_000142	今已四月，農事已晚，邊民連歲流離失所，扶攜道路，即望複業，過此農時，遂失一歲之望。
HCH_009_098_000143	歲幣犒軍物多，非旬月可辦。
HCH_009_098_000144	錢象祖複以書來，略曰：「竊見大金皇帝前日聖旨，如能斬送韓侂胄首，沿淮之地並依皇統、大定已畫為定。又睹今來聖旨，既能送侂胄首，陝西關隘可並還賜。以此仰見聖慈寬大，初無必待發遣驅掠官兵，然後退兵交界之語。誓書草本添改處，先次錄本齎呈，並將侂胄首函送，及管押納合、道僧、李全家口一併發還。欲望上體大金皇帝畫定聖旨，先賜行下沿邊及陝西所屬，候侂胄首至界上，即便抽回軍馬，歸還淮南及川、陝關隘地界。所有驅掠官兵，留之何益，見已從實刷勘，發還，其使人禮物歲幣等已起發至真、揚間，伺候嘉報，迤邐前去界首，以俟取接。」
HCH_009_098_000145	匡得錢象祖書，即具奏，詔報曰：「朕以生靈之故，已從所請，稱臣割地，尚且闊略，區區小節，何足深較。其侂胄、師旦首函及諸叛亡至濠州，即聽通謝人使入界，軍馬即當徹還，川、陝關隘，俟歲幣犒軍銀綱至下蔡，畫日割賜。」
HCH_009_098_000146	匡得詔書，即以諭宋人，使如詔書從事。
HCH_009_098_000147	泰和八年閏四月乙未，宋獻韓侂胄、蘇師旦首函至元帥府，匡遣平南撫軍上將軍紇石烈貞以，侂胄、師旦首函露布以聞。
HCH_009_098_000148	五月丁未，遣戶部尚書高汝礪、禮部尚書張行簡奏告天地，武衛軍都指揮使徒單鏞奏告太廟，禦史中丞孟鑄告社稷。
HCH_009_098_000149	是日，上禦應天門，立黃麾仗，受宋馘。
HCH_009_098_000150	尚書省奏露布，親王百官起居上表稱賀。
HCH_009_098_000151	獻馘廟社，以露布頒中外。
HCH_009_098_000152	竿侂胄、師旦首並二人畫像于通衢，百姓縱觀，然後漆其首，藏之軍器庫。
HCH_009_098_000153	丙辰，匡朝京師，進官兩階，賜玉帶、金一百兩、銀一千五百兩，重幣三十端。
HCH_009_098_000154	罷元帥府仍為樞密院。
HCH_009_098_000155	六月癸酉，宋通謝使許弈、吳衡等入見。
HCH_009_098_000156	癸未，以宋人請和詔天下。
HCH_009_098_000157	十一月丙辰，章宗崩，匡受遺詔，立衛紹王。
HCH_009_098_000158	其遺詔略曰：「皇叔衛王，承世宗之遺體，鐘厚慶於元妃，人望所歸，歷數斯在。今朕上體太祖皇帝傳授至公之意，付畀寶祚，即皇帝位於柩前。載惟禮經有嫡立嫡、無嫡立庶，今朕之內人見有娠者兩位，已詔皇帝，如其中有男當立為儲貳，如皆是男子，擇可立者立之。」
HCH_009_098_000159	丁巳，衛紹王即位。
HCH_009_098_000160	戊午，章宗內人范氏胎氣有損。
HCH_009_098_000161	大安元年四月，平章政事僕散端、左丞孫即康奏：「承禦賈氏產期已出三月，有人告元妃李氏令賈氏詐稱有身。」
HCH_009_098_000162	詔元妃李氏、承禦賈氏皆賜死。
HCH_009_098_000163	初，章宗大漸，匡與元妃俱受遺詔立衛王，匡欲專定策功，遂構殺李氏。
HCH_009_098_000164	數日，匡拜尚書令，封申王。
HCH_009_098_000165	大安元年十二月，薨。
HCH_009_098_000166	匡事顯宗，深被恩遇。
HCH_009_098_000167	自章宗幼年，侍講讀最親幸，致位將相，怙寵自用，官以賄成。
HCH_009_098_000168	承安中，撥賜家口地土，匡乃自占濟南、真定、代州上腴田，百姓舊業輒奪之，及限外自取。
HCH_009_098_000169	上聞其事，不以為罪，惟用安州邊吳泊舊放圍埸地、奉聖州在官閒田易之，以向自占者悉還百姓。
HCH_009_098_000170	宣宗嘗謂侍臣曰：「撒速往年嘗受人玉吐鶻，然後與之官，此豈宰相所為哉？」
HCH_009_098_000171	完顏綱，本名元奴，字正甫。
HCH_009_098_000172	明昌中，為奉禦，累官左拾遺。
HCH_009_098_000173	詔三叉口置捺缽。
HCH_009_098_000174	綱上疏諫，疏中有雲：「賊出沒其間」，詔尚書省詰問，所言不實，章宗以綱諫官，不之罪。
HCH_009_098_000175	遷刑部員外郎，綱言：「諸犯死罪除名移推相去二百里，並犯徒罪連逮二十人以上者並令就問，曾經所屬按察司審讞者移推別路，官亦依上就問。凡告移推之人皆已經本路按察審訖，即當移推別路。按察司部分廣闊，如上京路移推臨潢路，最近亦往復二三千里，北京留守司移推西北路招討司，最近亦須數月。乞依舊制，令移推官司追取其人歸問。」
HCH_009_098_000176	從之。
HCH_009_098_000177	故事，使夏國者夏人饋贈禮物，視書幾道以為多寡。
HCH_009_098_000178	泰和元年，綱為賜夏主生日使，章宗命齎三詔，左司員外郎孫椿年奏詔為一道，尋自陳首，上責宰臣曰：「椿年忽略，卿等奈何不奏也。」
HCH_009_098_000179	轉工部郎中，上言：「太府監官兼尚食局官，乞於少府監依此例，注能幹官一員兼儀鸞局官，儀鸞局官一員兼少府監官，相須檢治。」
HCH_009_098_000180	從之。
HCH_009_098_000181	四年，詔綱與喬宇、宋元吉編類陳言文字，綱等奏：「凡闕涉宮庭及大臣者摘進，其餘以省台六部各為一類。」
HCH_009_098_000182	凡二十卷。
HCH_009_098_000183	遷同簽宣徽院事。
