HCH_009_106_000001	張暐，字明仲，莒州日照縣人。
HCH_009_106_000002	博學該通。
HCH_009_106_000003	登正隆五年進士。
HCH_009_106_000004	調陳留主簿、淄州酒稅副使，課增羨，遷昌樂令。
HCH_009_106_000005	改永清令，補尚書省令史，除太常博士，兼國子助教。
HCH_009_106_000006	丁父憂，服除，調山東東路轉運副使，入為太常丞，兼左贊善大夫。
HCH_009_106_000007	章宗封原王，兼原王府文學。
HCH_009_106_000008	章宗冊為皇太孫，複為左贊善，轉左諭德，兼太常丞，充宋國報諭使。
HCH_009_106_000009	至盱眙，宋人請赴宴，暐曰：「大行在殯，未可。」
HCH_009_106_000010	及受賜，不舞蹈，宋人服其知禮。
HCH_009_106_000011	使還，遷太常少卿，兼修起居注。
HCH_009_106_000012	改禮部郎中，修起居注如故。
HCH_009_106_000013	遷右諫議大夫，兼禮部侍郎。
HCH_009_106_000014	明昌二年，太傅徒單克甯薨，章宗欲親為燒飯，是時，孝懿皇后梓宮在殯，暐奏：「仰惟聖慈，追念勳臣，恩禮隆厚，孰不感勸。太祖時享，尚且權停，若為大臣燒飯，禮有未安。今已降恩旨，聖意至厚，人皆知之，乞俯從典禮，則兩全矣。」
HCH_009_106_000015	章宗從之。
HCH_009_106_000016	上封事者言提刑司可罷，暐上疏曰：「陛下即位，因民所利，更法立制，無慮數十百條。提刑之設，政之大者，若為浮議所搖，則內外無所取信。唐開元中，或請選擇守令，停採訪使，姚崇奏'十道採訪猶未盡得人，天下三百餘州，縣多數倍，安得守令皆稱其職？'然則提刑之任，誠不可罷，擇其人而用之，生民之大利，國家之長策也。」
HCH_009_106_000017	因舉漢刺史六條以奏。
HCH_009_106_000018	上曰：「卿言與朕意合。」
HCH_009_106_000019	拜禮部尚書。
HCH_009_106_000020	孫即康鞫治鎬王永中事，還奏，有詔複訊，群臣舉暐及兵部侍郎烏古論慶裔。
HCH_009_106_000021	上使參知政事馬琪諭暐曰：「百官舉閱實鎬王事，要勿屈抑其人，亦不可虧損國法。」
HCH_009_106_000022	上因謂宰臣曰：「鎬王視永蹈為輕。」
HCH_009_106_000023	馬琪曰：「人臣無將。」
