HCH_010_013_000001	八年春正月辛巳，如臺湖。
HCH_010_013_000002	庚寅，詔決滯獄。
HCH_010_013_000003	庚子，如沈子濼。
HCH_010_013_000004	二月丁未朔，于闐、回鶻各遣使來貢。
HCH_010_013_000005	壬申，女直遣使來貢。
HCH_010_013_000006	三月丁丑，李繼遷遣使來貢。
HCH_010_013_000007	庚辰，太白、熒惑鬥，凡十有五次。
HCH_010_013_000008	乙酉，城杏堝，以宋俘實之。
HCH_010_013_000009	辛丑，置宜州。
HCH_010_013_000010	夏四月丙午朔，嚴州刺史李壽英有惠政，民請留，從之。
HCH_010_013_000011	庚戌，女直遣使來貢。
HCH_010_013_000012	庚午，以歲旱，諸部艱食，振之。
HCH_010_013_000013	五月戊子，以宋降卒分隸諸軍。
HCH_010_013_000014	庚寅，女直宰相阿海來貢，封順化王。
HCH_010_013_000015	丙申，清暑胡土白山。
HCH_010_013_000016	詔括民田。
HCH_010_013_000017	六月丙午，以北面林牙磨魯古為北院大王。
HCH_010_013_000018	阿薩蘭回鶻於越、達剌幹各遣使來貢。
HCH_010_013_000019	甲寅，月掩天駟第一星。
HCH_010_013_000020	丙辰，女直遣使來貢。
HCH_010_013_000021	秋七月庚辰，改南京熊軍為神軍。
HCH_010_013_000022	詔東京路諸宮分提轄司，分置定霸、保和、宣化三縣，白川州置洪理，儀坤州置廣義，遼西州置長慶，乾州置安德各一縣。
HCH_010_013_000023	省遂、媯、松、饒、寧、海、瑞、玉、鐵裏、奉德等十州，及玉田、遼豐、松山、弘遠、懷清、雲龍、平澤、平山等八縣，以其民分隸他郡。
HCH_010_013_000024	八月乙卯，以黑白羊祭天地。
HCH_010_013_000025	九月乙亥，北女直四部請內附。
HCH_010_013_000026	壬辰，李繼遷獻宋俘。
HCH_010_013_000027	冬十月丙午，以大敗宋軍，復遣使來告。
HCH_010_013_000028	己酉，阻卜等遣使來貢。
HCH_010_013_000029	是月，駐蹕大王川。
HCH_010_013_000030	十一月庚寅，以吐谷渾民饑，振之。
HCH_010_013_000031	丁酉，太白晝見。
HCH_010_013_000032	十二月癸卯，李繼遷下宋麟、鄜等州，遣使來告。
