HCH_010_018_000001	興宗神聖孝章皇帝，諱宗真，字夷不堇，小字只骨。
HCH_010_018_000002	聖宗長子，母曰欽哀皇蕭氏。
HCH_010_018_000003	上始生，齊天皇后取養之。
HCH_010_018_000004	幼而聰明，長而魁偉，龍顏日角，豁達大度。
HCH_010_018_000005	善騎射，好儒術，通音律。
HCH_010_018_000006	三歲封梁王。
HCH_010_018_000007	太平元年，冊為皇太子。
HCH_010_018_000008	十年六月，判北南院樞密使事。
HCH_010_018_000009	十一年夏六月己卯，聖宗崩，即皇帝位於柩前。
HCH_010_018_000010	壬午，尊母元妃蕭氏為皇太后。
HCH_010_018_000011	甲申，遣使告哀於宋及夏、高麗。
HCH_010_018_000012	是年，禦宣政殿放進士劉貞等五十七人。
HCH_010_018_000013	辛卯，大赦，改元景福。
HCH_010_018_000014	乙未，奉大行皇帝梓宮，殯於永安山太平殿。
HCH_010_018_000015	辛丑，皇太后賜駙馬蕭鉏不裏、蕭匹敵死，圍場都太師女直著骨裏、右祗候郎君詳穩蕭延留等七人皆棄市，籍其家，遷齊天皇后於上京。
HCH_010_018_000016	秋七月丙午朔，皇太后率皇族大臨於太平殿。
HCH_010_018_000017	高麗遣使吊慰。
HCH_010_018_000018	上召晉王蕭普古等飲博，夜分乃罷。
HCH_010_018_000019	丁未，擊鞠。
HCH_010_018_000020	戊申，以耶律韓八為左夷離畢，特末裏為左祗候郎君詳穩，橫帳郎君樂古權右祗候郎君祥穩。
HCH_010_018_000021	己酉，以耶律鄭留為於厥迪烈都詳穩，高八為右皮室詳穩。
HCH_010_018_000022	庚戌，賑薊州民饑。
HCH_010_018_000023	癸丑，詔寫大行皇帝御容。
HCH_010_018_000024	甲寅，錄囚。
HCH_010_018_000025	以觀察姚居信為上將軍。
HCH_010_018_000026	建慶州於慶陵之南，徙民實之，充奉陵邑。
HCH_010_018_000027	乙卯，以比歲豐稔，罷給東京統軍司糧。
HCH_010_018_000028	丁巳，上謁大行皇帝御容，哀慟久之。
HCH_010_018_000029	因詔寫北府宰相蕭孝先、南府宰相蕭孝穆像於御容殿。
HCH_010_018_000030	以蕭阿姑軫為東京留守。
HCH_010_018_000031	丁卯，謁太平殿，焚先帝所禦弓矢。
HCH_010_018_000032	幸晉王普古第視疾。
HCH_010_018_000033	辛未，錄囚。
HCH_010_018_000034	壬申，上謁神主帳，時奧隈蕭氏始入宮，亦命拜之。
HCH_010_018_000035	八月壬午，遷大行皇帝梓宮於菆塗殿。
HCH_010_018_000036	九月戊申，躬視慶陵。
HCH_010_018_000037	庚戌，問安於皇太后。
HCH_010_018_000038	辛亥，宋遣王隨、曹儀致祭，王鬷、許懷信、梅詢、張綸來慰兩宮，範諷、孫繼業賀即位，孔道輔、魏昭文賀皇太吊後冊禮。
HCH_010_018_000039	戊午，焚弧矢、鞍勒於菆塗殿。
HCH_010_018_000040	庚申，夏國遣使來慰。
HCH_010_018_000041	庚午，以宋使吊祭，喪服臨菆塗殿。
HCH_010_018_000042	甲戌，遣御史中丞耶律翥、司農卿張確、詳穩耶律勵、四方館使高維翰謝宋吊慰。
HCH_010_018_000043	冬十月戊寅，宰臣呂德懋薨。
HCH_010_018_000044	癸未，殺鉏不裏黨彌勒奴、觀音奴等。
HCH_010_018_000045	丙戌，遣工部尚書高德順、崇祿卿李可封致先帝遺物於宋；以右領軍衛上將軍耶律遜、少府監馬憚充皇太后謝宋使；右監門衛上將軍耶律元載、引進使魏永充皇帝謝宋使。
HCH_010_018_000046	丁酉，夏國遣使來賻。
HCH_010_018_000047	戊戌，以蕭革、趙為果、耶律郁、馬保業充來歲賀宋正旦使副。
HCH_010_018_000048	閏月辛亥，謁菆塗殿，閱玄宮器。
HCH_010_018_000049	有司請以生辰為永壽節，皇太后生辰為應聖節，從之。
HCH_010_018_000050	辛酉，閱新造鎧甲。
HCH_010_018_000051	丁卯，振黃龍府饑民。
HCH_010_018_000052	十一月壬辰，上率百僚奠於菆塗殿。
HCH_010_018_000053	出大行皇帝服御、玩好焚之。
HCH_010_018_000054	縱五坊鷹鶻。
HCH_010_018_000055	甲午，葬文武大孝宣皇帝於慶陵。
HCH_010_018_000056	乙未，祭天地。
HCH_010_018_000057	問安皇太后。
HCH_010_018_000058	丙申，謁慶陵，以遺物賜群臣，名其山曰慶雲，殿曰望仙。
HCH_010_018_000059	十二月癸丑，至自慶陵。
HCH_010_018_000060	皇太后聽政，帝不親庶務，群臣表請，不從。
HCH_010_018_000061	是歲，以興平公主下嫁夏國王李德昭子元昊，以元昊為夏國公、駙馬都尉。
HCH_010_018_000062	重熙元年春正月壬申朔，皇太后禦正殿，受帝與群臣朝。
HCH_010_018_000063	宋遣任布、王遵範、陳琰、王克善來賀。
HCH_010_018_000064	乙亥，宋遣鄭向、郭遵範來賀永壽節。
HCH_010_018_000065	丁丑，如雪林。
HCH_010_018_000066	二月，大蒐。
HCH_010_018_000067	三月壬申朔，尚父、漆水郡王敵烈復為惕隱。
HCH_010_018_000068	是春，皇太后誣齊天皇后以罪，遣人即上京行弒。
HCH_010_018_000069	後請具浴以就死，許之。
HCH_010_018_000070	有頃，後崩。
HCH_010_018_000071	夏四月乙巳，清暑別輦鬥。
HCH_010_018_000072	秋七月，獵平地松林。
HCH_010_018_000073	以蕭達溥、王英秀、蕭麓、張素羽充來歲賀宋正旦生辰使。
HCH_010_018_000074	八月丙午，駐蹕剌河源。
HCH_010_018_000075	皇子洪基生。
HCH_010_018_000076	冬十月己酉，幸中京。
HCH_010_018_000077	十一月己卯，帝率群臣上皇太后尊號曰法天應運仁德章聖皇太后；群臣上皇帝尊號曰文武仁聖昭孝皇帝。
HCH_010_018_000078	大赦，改元重熙。
HCH_010_018_000079	癸未，宋遣劉隨、王德本來賀應聖節。
HCH_010_018_000080	以楊佶為翰林承旨。
HCH_010_018_000081	丙戌，夏國遣使來賀。
HCH_010_018_000082	辛卯，五國酋長來貢。
HCH_010_018_000083	夏國王李德昭薨，冊其子夏國公元昊為夏國王。
HCH_010_018_000084	十二月庚戌，宋遣胥偃、王從益、崔暨、張懷誌來賀來歲正旦；又遣楊日嚴、王克纂來賀永壽節。
HCH_010_018_000085	以北大王耶律求翰同平章事。
HCH_010_018_000086	是年，放進士劉師貞等五十七人。
HCH_010_018_000087	二年春正月庚辰，東幸。
HCH_010_018_000088	乙酉，夏國遣使來貢。
HCH_010_018_000089	壬辰，女直詳穩臺押率所部來貢。
HCH_010_018_000090	宋遣曹琮來告母後劉氏哀，章得象、安繼昌來饋母後遺物。
HCH_010_018_000091	即遣興聖宮使耶律壽寧、給事中知制誥李奎充祭奠使；天德軍節度使耶律卿寧、大理卿和道亨、河西軍節度使耶律嵩、引進使馬世卿充兩宮吊慰。
HCH_010_018_000092	秋七月甲子朔，以耶律寔、高升、耶律迪、王惟允充兩宮賀宋生辰使副，以耶律師古、劉五常充賀宋來歲正旦使副。
HCH_010_018_000093	八月丁酉，幸溫泉宮。
HCH_010_018_000094	乙卯，遣使閱諸路禾稼。
HCH_010_018_000095	冬十一月甲申，宋遣劉寶、符忠、李昭述、張茂實等來謝慰奠。
HCH_010_018_000096	十二月乙未，宋遣丁度、王繼凝來賀應聖節。
HCH_010_018_000097	乙酉，禁夏國使沿路私市金、鐵。
HCH_010_018_000098	甲寅，宋遣章頻、李懿、王沖睦、張緯、李纮、李繼一來賀永壽節及來歲正旦。
HCH_010_018_000099	庚申，以北府宰相蕭孝先為樞密使。
HCH_010_018_000100	三年春正月丁卯，宋使章頻卒，詔有司賻贈，命近侍護喪以歸。
HCH_010_018_000101	辛卯，如春水。
HCH_010_018_000102	二月壬辰朔，以北院樞密使蕭普古為東京留守。
HCH_010_018_000103	戊申，耶律大師奴有侍繈褓恩，詔入屬籍。
HCH_010_018_000104	夏四月甲寅，振耶迷只部。
HCH_010_018_000105	五月庚申朔，清暑沿柳湖。
HCH_010_018_000106	是月，皇太后還政於上，躬守慶陵。
HCH_010_018_000107	六月己亥，以蕭普古為南院樞密使。
HCH_010_018_000108	秋七月戊子朔，上始親政，以耶律庶徵、劉六符、耶律睦、薄可久充賀宋來歲正旦使副。
HCH_010_018_000109	壬辰，如秋山。
HCH_010_018_000110	冬十月已未，駐蹕中會川。
HCH_010_018_000111	十二月，宋遣段少連、杜仁贊來賀來歲正旦，楊偕、李守忠來賀永壽節。
HCH_010_018_000112	四年春正月庚寅，如耶迷只裏。
HCH_010_018_000113	三月乙酉朔，立皇后蕭氏。
HCH_010_018_000114	夏四月甲寅朔，如涼陘。
HCH_010_018_000115	五月庚子，清暑散水源。
HCH_010_018_000116	六月癸丑朔，皇子寶信奴生。
HCH_010_018_000117	以耶律信、呂士宗、蕭袞、郭揆充賀宋生辰及來歲正旦使副。
HCH_010_018_000118	秋七月壬午朔，獵於黑嶺。
HCH_010_018_000119	九月乙酉，駐蹕長寧澱。
HCH_010_018_000120	冬十月，如王子城。
HCH_010_018_000121	十一月壬午，改南京總管府為元帥府。
HCH_010_018_000122	乙酉，行柴冊禮於白嶺，大赦。
HCH_010_018_000123	加尚父耶律信寧、政事令耶律求翰耆宿贊翊功臣。
HCH_010_018_000124	十二月癸丑，詔諸軍炮、弩、弓、劍手以時閱習。
HCH_010_018_000125	庚申，宋遣鄭戩、柴貽範、楊日華、張士禹來賀永壽節及正旦。
HCH_010_018_000126	五年春正月甲申，如魚兒濼。
HCH_010_018_000127	樞密使蕭延寧請改國舅乙室小功帳敞史為將軍，從之。
HCH_010_018_000128	夏四月庚申，以潞王查葛為南府宰相，崇德宮使耶律馬六為惕隱。
HCH_010_018_000129	甲子，幸後弟蕭無曲第，曲水泛觴賦詩。
HCH_010_018_000130	丁卯，頒新定條制。
HCH_010_018_000131	己巳，上與大臣分朋擊鞠。
HCH_010_018_000132	五月甲午，南幸。
HCH_010_018_000133	丁未，如胡土白山清暑。
HCH_010_018_000134	庚申，幸北院大王高十行帳拜奧，賜銀絹。
HCH_010_018_000135	壬戌，詔修南京宮闕府署。
HCH_010_018_000136	秋七月辛丑，錄囚。
HCH_010_018_000137	耶律把八誣其弟韓哥謀殺己，有司奏當反坐。
HCH_010_018_000138	臨刑，其弟泣訴：「臣惟一兄，乞貸其死。」
HCH_010_018_000139	上憫而從之。
HCH_010_018_000140	九月癸巳，獵黃花山，獲熊三十六，賞獵人有差。
HCH_010_018_000141	冬十月丁未，幸南京。
HCH_010_018_000142	辛亥，曲赦析津府境內囚。
HCH_010_018_000143	壬子，禦元和殿，以《日射三十六熊賦》、《幸燕詩》試進士於廷，賜馮立、趙徽四十九人進士第。
HCH_010_018_000144	以馮立為右補闕，趙徽以下皆為太子中舍，賜緋衣、銀魚，遂大宴。
HCH_010_018_000145	禦試進士自此始。
HCH_010_018_000146	宋遣宋郊、王世文來賀永壽節。
HCH_010_018_000147	甲子，宰臣張儉等請幸禮部貢院，歡飲至暮而罷，賜物有差。
HCH_010_018_000148	以耶律祥、張素民、耶律甫、王澤充賀宋生辰正旦使副。
HCH_010_018_000149	六年春正月丁丑，西幸。
HCH_010_018_000150	三月戊寅，以秦王蕭孝穆為北院樞密使，徙封吳王；晉王蕭孝先為南京留守。
HCH_010_018_000151	夏四月，獵野狐嶺。
HCH_010_018_000152	閏月，獵龍門縣西山。
HCH_010_018_000153	五月己酉，清暑炭山。
