HCH_010_022_000001	八年春正月癸丑，如鴨子河。
HCH_010_022_000002	二月，駐蹕納葛濼。
HCH_010_022_000003	三月戊申朔，楚王蕭革致仕，進封鄭國王。
HCH_010_022_000004	夏五月，吾獨婉惕隱屯禿葛等乞歲貢馬、駝，許之。
HCH_010_022_000005	六月丙子朔，駐蹕拖古烈。
HCH_010_022_000006	辛丑，以右夷離畢奚馬六為奚六部大王。
HCH_010_022_000007	是月，禦清涼殿放進士王鼎等九十三人。
HCH_010_022_000008	秋七月甲子，射熊於外室剌。
HCH_010_022_000009	冬十月甲戌朔，駐蹕獨盧金。
HCH_010_022_000010	十二月庚辰，以知北院樞密使事蕭圖古辭為北院樞密使。
HCH_010_022_000011	癸未，幸西京。
HCH_010_022_000012	戊子，以皇太后行再生禮，曲赦西京囚。
HCH_010_022_000013	九年春正月辛亥，幸鴛鴦濼。
HCH_010_022_000014	辛未，禁民鬻銅。
HCH_010_022_000015	三月辛未，宋主禎殂，以侄曙為子嗣位。
HCH_010_022_000016	夏五月丙午，以隋王仁先為南院樞密使，徙封許王。
HCH_010_022_000017	是月，清暑曷裏狘。
HCH_010_022_000018	秋七月丙辰，如太子山。
HCH_010_022_000019	戊午，皇太叔重元與其子楚國王涅魯古及陳國王陳六、同知北院樞密使事蕭胡睹、衛王貼不、林牙涅剌溥古、統軍使蕭叠裏得、駙馬都尉參及弟術者、圖骨、旗鼓拽剌詳穩耶律郭九、文班太保奚叔、內藏提點烏骨、護衛左太保敵不古、按答、副宮使韓家奴、寶神奴等凡四百人，誘脅弩手軍犯行宮。
HCH_010_022_000020	時南院樞密使許王仁先、知北樞密院事趙王耶律乙辛、南府宰相蕭唐古、北院宣徽使蕭韓家奴、北院樞密副使蕭惟信、敦睦宮使耶律良等率宿衛士卒數千人禦之。
HCH_010_022_000021	涅魯古躍馬突出，將戰，為近侍詳穩渤海阿廝、護衛蘇射殺之。
HCH_010_022_000022	己未，族逆黨家。
HCH_010_022_000023	庚申，重元亡入大漠，自殺。
HCH_010_022_000024	辛酉，詔諭諸道。
HCH_010_022_000025	壬戌，以仁先為北院樞密使，進封宋王，加尚父，耶律乙辛南院樞密使，蕭韓家奴殿前都點檢，封荊王。
HCH_010_022_000026	蕭惟信、耶律馮家奴並加太子太傅。
HCH_010_022_000027	宿衛官蕭乙辛、回鶻海鄰、裏、耶律撻不也、阿廝、宮分人急裏哥、霞抹、乙辛、只魯並加上將軍。
HCH_010_022_000028	諸護衛及士卒、庖夫、弩手、傘子等三百餘人，各授官有差。
HCH_010_022_000029	耶律良密告重元變，命籍橫帳夷離堇房，為漢人行宮都部署。
HCH_010_022_000030	癸亥，貼不訴為重元等所脅，詔削爵為民，流鎮州。
HCH_010_022_000031	戊辰，以黑白羊祭天。
HCH_010_022_000032	八月庚午朔，遣使安撫南京吏民。
HCH_010_022_000033	癸酉，以永興宮使耶律塔不也有定亂動，為同知點檢司事。
HCH_010_022_000034	冬十月戊辰朔，幸興王寺。
HCH_010_022_000035	庚午，以六院部太保耶律合術知南院大王事。
HCH_010_022_000036	是月，駐蹕藕絲澱。
HCH_010_022_000037	十一月辛丑，以南院宣徽使蕭九哥為北府宰相。
HCH_010_022_000038	己未，追封故富春郡王耶律義先為許王。
HCH_010_022_000039	是歲，封皇子浚為梁王。
HCH_010_022_000040	十年春正月己亥，北幸。
HCH_010_022_000041	二月，禁南京民決水種粳稻。
HCH_010_022_000042	秋七月壬申，詔決諸路囚。
HCH_010_022_000043	辛巳，禁僧尼私詣行在，妄述禍福取財物。
HCH_010_022_000044	九月壬寅，幸懷州，謁太宗、穆宗廟。
HCH_010_022_000045	冬十月壬辰朔，駐蹕中京。
HCH_010_022_000046	戊午，禁民私刊印文字。
HCH_010_022_000047	十一月甲子，定吏民衣服之制。
HCH_010_022_000048	辛未，禁六齋日屠殺。
HCH_010_022_000049	丁丑，詔求乾文閣所闕經籍，命儒臣校讎。
HCH_010_022_000050	庚辰，以彰國軍節度使韓謝十為惕隱。
HCH_010_022_000051	詔南京不得私造御用彩緞，私貨鐵，及非時飲酒。
HCH_010_022_000052	命南京三司，每歲春秋以官錢饗將士。
HCH_010_022_000053	十二月癸巳，以北院大王蕭兀古匿為契丹行宮都部署。
HCH_010_022_000054	是歲，南京、西京大熟。
HCH_010_022_000055	咸雍元年春正月辛酉朔，文武百僚加上尊號曰聖文神武全功大略廣智聰仁睿孝天佑皇帝。
HCH_010_022_000056	改元，大赦。
HCH_010_022_000057	冊梁王浚為皇太子，內外官賜級有差。
HCH_010_022_000058	甲子，如魚兒濼。
HCH_010_022_000059	庚寅，詔諸遇正旦、重午、冬至，別表賀東宮。
HCH_010_022_000060	三月丁亥，以知興中府事楊績知樞密院事。
HCH_010_022_000061	夏四月辛卯，以知樞密院事張嗣復疾，改知興中府事。
HCH_010_022_000062	庚子，清暑拖古烈。
HCH_010_022_000063	五月辛巳，夏國遣使來貢。
HCH_010_022_000064	秋七月丙子，以皇太后射獲熊，賞賚百官有差。
HCH_010_022_000065	八月丙申，客星犯天廟。
HCH_010_022_000066	詔諸路備盜賊，嚴火禁。
HCH_010_022_000067	九月乙亥，駐蹕藕絲澱。
HCH_010_022_000068	丁丑，左夷離畢慥古為孟父敞穩。
HCH_010_022_000069	冬十月丁亥朔，幸醫巫閭山。
HCH_010_022_000070	己亥，皇太后射獲虎，大宴群臣，令各賦詩。
HCH_010_022_000071	十一月壬戌，有星如鬥，逆行，隱隱有聲。
HCH_010_022_000072	十二月甲午，以遼王仁先為南京留守，徙封晉王。
HCH_010_022_000073	辛亥，以南京留守蕭惟信為左夷離畢。
HCH_010_022_000074	壬子，熒惑與月並行，自旦至午。
HCH_010_022_000075	二年春正月丁巳，如鴨子河。
HCH_010_022_000076	宋賀正使王嚴卒，以禮送還。
HCH_010_022_000077	癸未，幸山榆澱。
HCH_010_022_000078	二月甲午，詔武定軍節度使姚景行，問以治道，拜南院樞密使。
HCH_010_022_000079	三月辛巳，以東北路詳穩耶律韓福奴為北院大王。
HCH_010_022_000080	壬午，彗星見於西方。
HCH_010_022_000081	夏四月，霖雨。
HCH_010_022_000082	五月乙亥，駐蹕拖古烈。
HCH_010_022_000083	辛巳，以戶部使劉詵為樞密副使。
HCH_010_022_000084	六月丙戌，回鶻來貢。
HCH_010_022_000085	甲辰，阻卜來貢。
HCH_010_022_000086	秋七月癸丑朔，以西北路招討使蕭術者為北府宰相，左夷離畢蕭惟信南院樞密使，同知南院樞密使事耶律白惕隱。
HCH_010_022_000087	丙辰，南院樞密使姚景行致仕。
HCH_010_022_000088	庚申，錄囚。
HCH_010_022_000089	辛酉，景行復前職。
HCH_010_022_000090	丁卯，如藕絲澱。
HCH_010_022_000091	以歲旱，遣使振山後貧民。
HCH_010_022_000092	九月壬子朔，日有食之。
HCH_010_022_000093	以參知政事韓孚為樞密副使。
HCH_010_022_000094	冬十二月壬午，以知樞密院事楊績為南院樞密使，樞密副使劉詵參知政事。
HCH_010_022_000095	戊子，僧守志加守司徒。
HCH_010_022_000096	丁酉，以西京留守合術為南院大王。
HCH_010_022_000097	辛丑，以蕭術者為武定軍節度使。
HCH_010_022_000098	是年，禦永安殿，放進士張臻等百一人。
HCH_010_022_000099	三年春正月辛亥，如鴨子河。
HCH_010_022_000100	甲子，禦安流殿釣魚。
HCH_010_022_000101	三月癸亥，宋主曙殂，子頊嗣位，遣使告哀；即遣右護衛太保蕭撻不也、翰林學士陳覺第吊祭。
HCH_010_022_000102	閏月丁亥，扈駕軍營火，賜錢、粟及馬有差。
HCH_010_022_000103	辛卯，駐蹕春州北澱。
HCH_010_022_000104	乙巳，以蕭兀古匿為北府宰相。
HCH_010_022_000105	夏五月壬辰，駐蹕納葛濼。
HCH_010_022_000106	壬寅，賜隨駕官諸工人馬。
HCH_010_022_000107	六月戊申，有司奏新城縣民楊從謀反，偽署官吏。
HCH_010_022_000108	上曰：「小人無知，此兒戲爾。」
HCH_010_022_000109	獨流其首惡，餘釋之。
HCH_010_022_000110	庚戌，宋遣使饋其先帝遺物。
HCH_010_022_000111	辛亥，宋以即位，遣陳襄來報，即遣知黃龍府事蕭圖古辭、中書舍人馬鉉往賀。
HCH_010_022_000112	壬戌，南府宰相韓王蕭唐古致仕。
HCH_010_022_000113	壬申，以廣德軍節度使耶律蕊奴為南府宰相，度支使趙徽參知政事。
HCH_010_022_000114	秋七月辛丑，熒惑晝見，凡三十五日。
HCH_010_022_000115	九月戊戌，詔給諸路囚糧。
HCH_010_022_000116	癸卯，幸南京。
HCH_010_022_000117	冬十一月壬辰，夏國遣使進回鶻僧、金佛、《梵覺經》。
HCH_010_022_000118	十二月丁未，以參知政事劉詵為樞密副使，東北路詳穩高八南院大王，樞密直學士張孝傑參知政事。
HCH_010_022_000119	己酉，以張孝傑同知樞密院事。
HCH_010_022_000120	丁巳，行再生禮，赦死罪以下。
HCH_010_022_000121	是月，夏國王李諒祚薨。
HCH_010_022_000122	是歲，南京旱、蝗。
HCH_010_022_000123	四年春正月甲戌朔，日有食之。
HCH_010_022_000124	丙子，如鴛鴦濼。
HCH_010_022_000125	辛巳，改易州兵馬使為安撫使。
HCH_010_022_000126	丁亥，獵炭山。
HCH_010_022_000127	辛卯，遣使振西京饑民。
HCH_010_022_000128	二月甲辰朔，詔元帥府募軍。
HCH_010_022_000129	壬子，夏國王李諒祚子秉常遣使告哀。
HCH_010_022_000130	癸丑，頒行《御製華嚴經贊》。
HCH_010_022_000131	丁卯，北行。
HCH_010_022_000132	三月丙子，遣使夏國吊祭。
HCH_010_022_000133	甲申，振應州饑民。
HCH_010_022_000134	乙酉，詔南京除軍行地，餘皆得種稻。
HCH_010_022_000135	庚寅，振朔州饑民。
HCH_010_022_000136	乙未，夏國李秉常遣使獻其父諒祚遺物。
HCH_010_022_000137	夏四月戊午，阿薩蘭回鶻遣使來貢。
HCH_010_022_000138	五月丙戌，駐蹕拖古烈。
HCH_010_022_000139	六月壬子，西北路雨谷，方三十里。
HCH_010_022_000140	丙寅，以北院林牙耶律趙三為北院大王，右夷離畢蕭素颯中京留守。
HCH_010_022_000141	秋七月壬申，置烏古敵烈部都統軍司。
HCH_010_022_000142	丙子，獵黑嶺。
HCH_010_022_000143	是月，南京霖雨，地震。
