HCH_010_025_000001	三年春正月乙卯，如魚兒濼。
HCH_010_025_000002	甲戌，出錢粟振南京貧民，仍復其租賦。
HCH_010_025_000003	己卯，大雪。
HCH_010_025_000004	二月丙戌，發粟振中京饑。
HCH_010_025_000005	甲辰，以民多流散，除安泊逃戶征償法。
HCH_010_025_000006	三月乙卯，高麗遣使來貢。
HCH_010_025_000007	己未，免錦州貧民租一年。
HCH_010_025_000008	甲戌，免上京貧民租如錦州。
HCH_010_025_000009	庚辰，女直貢良馬。
HCH_010_025_000010	夏四月戊子，賜中京貧民帛，及免諸路貢輸之半。
HCH_010_025_000011	丙申，賜隈烏古部貧民帛。
HCH_010_025_000012	庚子，如涼陘。
HCH_010_025_000013	甲辰，南府宰相王績薨。
HCH_010_025_000014	乙巳，詔出戶部司粟，振諸路流民及義州之饑。
HCH_010_025_000015	五月庚申，海雲寺進濟民錢千萬。
HCH_010_025_000016	秋七月丙辰，獵黑嶺。
HCH_010_025_000017	丁巳，出雜帛賜興聖宮貧民。
HCH_010_025_000018	庚午，大雨，罷獵。
HCH_010_025_000019	丁，秦越國王阿璉薨。
HCH_010_025_000020	九月乙亥，駐蹕匣魯金。
HCH_010_025_000021	冬十月庚辰，以參知政事王經為三司使。
HCH_010_025_000022	壬辰，罷節度使已下官進珍玩。
HCH_010_025_000023	癸卯，追封秦越國王阿璉為秦魏國王。
HCH_010_025_000024	十一月甲寅，以惕隱耶律坦同知南京留守事，遼興軍節度使耶律王九為南府宰相。
HCH_010_025_000025	十二月己卯朔，以樞密直學士呂嗣立參知政事。
HCH_010_025_000026	四年春正月庚戌，如混同江。
HCH_010_025_000027	甲寅，太白晝見。
HCH_010_025_000028	甲子，五國部長來貢。
HCH_010_025_000029	庚午，免上京逋逃及貧戶稅賦。
HCH_010_025_000030	甲戌，以上京、南京饑，許良人自鬻。
HCH_010_025_000031	丁丑，曲赦西京役徒。
HCH_010_025_000032	二月己丑，如魚兒濼。
HCH_010_025_000033	甲午，曲赦春州役徒，終身者皆五歲免。
HCH_010_025_000034	己亥，如春州。
HCH_010_025_000035	赦泰州役徒。
HCH_010_025_000036	三月己丑，免高麗歲貢。
HCH_010_025_000037	己巳，振上京及平、錦、來三州饑。
HCH_010_025_000038	夏四月己卯，振蘇、吉、復、淥、鐵五州貧民，並免其租稅。
HCH_010_025_000039	甲申，振慶州貧民。
HCH_010_025_000040	乙酉，減諸路常貢服御物。
HCH_010_025_000041	丁酉，立入粟補官法。
HCH_010_025_000042	癸卯，西幸。
HCH_010_025_000043	召樞密直學士耶律儼講《尚書·洪範》。
HCH_010_025_000044	五月辛亥，命燕國王延禧寫《尚書·五子之歌》。
HCH_010_025_000045	乙卯，振祖州貧民。
HCH_010_025_000046	丁巳，詔免役徒，終身者五歲免之。
HCH_010_025_000047	己未，振春州貧民。
HCH_010_025_000048	丙寅，禁挾私引水犯田。
HCH_010_025_000049	六月庚辰，駐蹕散水原。
HCH_010_025_000050	丁亥，命燕國王延禧知中丞司事，以同知南院樞密使事耶律聶裏知右夷離畢，知右夷離畢事耶律那也同知南院樞密使事。
HCH_010_025_000051	庚寅，北院樞密使耶律頗德致仕。
HCH_010_025_000052	秋七月戊申，曲赦奉聖州役徒。
