HCH_010_026_000001	壽隆元年春正月己亥，如混同江。
HCH_010_026_000002	庚戌，西南面招討司奏拔思母來侵，蕭阿魯帶等擊破之。
HCH_010_026_000003	乙卯，振奉聖州貧民。
HCH_010_026_000004	二月戊辰，賜左、右二皮室貧民錢。
HCH_010_026_000005	癸酉，高麗遣使來貢。
HCH_010_026_000006	乙亥，駐蹕魚兒濼。
HCH_010_026_000007	三月丙午，賜東北路貧民絹。
HCH_010_026_000008	夏四月丁卯，斡特剌奏討耶睹刮捷。
HCH_010_026_000009	乙亥，女直遣使來貢。
HCH_010_026_000010	庚寅，錄西北路有功將士。
HCH_010_026_000011	五月乙未朔，左夷離畢耶律吐朵為惕隱，南京宣徽使耶律特末為北院大王。
HCH_010_026_000012	癸卯，贈陣亡者官。
HCH_010_026_000013	丁巳，駐蹕特禮嶺。
HCH_010_026_000014	六月己巳，以知奚六部大王事回裏不為本部大王，權參知政事趙孝嚴為漢人行宮都部署，圍場都管撒八以討阻卜功，加鎮國大將軍。
HCH_010_026_000015	癸巳，阻卜長禿裏底及圖木葛來貢。
HCH_010_026_000016	秋七月庚子，阻卜長猛達斯等來貢。
HCH_010_026_000017	癸卯，獵沙嶺。
HCH_010_026_000018	癸丑，頗里八部來附，進方物。
HCH_010_026_000019	甲寅，斡特剌奏磨古斯捷。
HCH_010_026_000020	九月甲寅，祠木葉山。
HCH_010_026_000021	丙辰，詔西京炮人、弩人教西北路漢軍。
HCH_010_026_000022	冬十月甲子，駐蹕藕絲淀。
HCH_010_026_000023	甲戌，以北面林牙耶律大悲奴為右夷離畢。
HCH_010_026_000024	癸未，以參知政事王師儒為樞密副使，漢人行宮都部署趙孝嚴參知政事。
HCH_010_026_000025	壬辰，錄討阻卜有功將士。
HCH_010_026_000026	十一月丙申，女直遣使進馬。
HCH_010_026_000027	己亥，以都統斡特剌為西北路招討使，封漆水郡王。
HCH_010_026_000028	甲辰，夏國進貝多葉佛經。
HCH_010_026_000029	庚申，高麗王昱疾，命其叔颙權知國事。
HCH_010_026_000030	十二月癸亥朔，以知北院樞密使事耶律阿思為北院樞密使。
HCH_010_026_000031	是年，放進士陳衡甫等百三十人。
HCH_010_026_000032	二年春正月甲午，如春水。
HCH_010_026_000033	癸卯，西南面招討司討拔思母，破之。
HCH_010_026_000034	乙卯，駐蹕瑟尼思。
HCH_010_026_000035	辛酉，市牛給烏古、敵烈、隈烏古部貧民。
HCH_010_026_000036	二月癸亥，振達麻裏別古部。
HCH_010_026_000037	夏四月己卯，振西北邊軍。
HCH_010_026_000038	六月辛酉，駐蹕撒裏乃。
HCH_010_026_000039	秋七月甲午，阻卜來貢。
HCH_010_026_000040	丙午，獵赤山。
HCH_010_026_000041	八月乙丑，頗裏八部進馬。
HCH_010_026_000042	九月丙午，徙烏古敵烈部於烏納水，以扼北邊之沖。
HCH_010_026_000043	冬十月戊辰，駐蹕藕絲淀。
HCH_010_026_000044	庚辰，高麗遣使來貢。
HCH_010_026_000045	十二月己未，斡特剌討梅裏急，破之。
HCH_010_026_000046	壬戌，南府宰相耶律鐸魯斡致仕。
HCH_010_026_000047	癸亥，蕭撻不也為北府宰相，耶律大悲奴殿前都點檢。
HCH_010_026_000048	乙亥，夏國獻宋俘。
HCH_010_026_000049	三年春正月丁亥，如春水。
HCH_010_026_000050	壬寅，烏古部節度使耶律陳家奴以功加尚書右僕射。
