HCH_010_029_000001	保大元年春正月丁酉朔，改元，肆赦。
HCH_010_029_000002	初，金人興兵，郡縣所失幾半。
HCH_010_029_000003	上有四子：長趙王，母趙昭容；次晉王，母文妃；次秦王、許王，皆元妃生。
HCH_010_029_000004	國人知晉王之賢，深所屬望。
HCH_010_029_000005	元妃之兄樞密使蕭奉先恐秦王不得立，潛圖之。
HCH_010_029_000006	文妃姊妹三人：長適耶律撻曷里，次文妃，次適余睹。
HCH_010_029_000007	一日，其姊若妹俱會軍前，奉先諷人誣駙馬蕭昱及余睹等謀立晉王，事覺，昱、撻曷里等伏誅，文妃亦賜死；獨晉王未忍加罪。
HCH_010_029_000008	余睹在軍中，聞之大懼，即率千餘騎叛入金。
HCH_010_029_000009	上遣知奚王府事蕭遐買、北府宰相蕭德恭、太常袞耶律諦里姑、歸州觀察使蕭和尚奴、四軍太師蕭幹將所部兵追之，及諸閭山縣。
HCH_010_029_000010	諸將議曰「主上信蕭奉先言，奉先視吾輩蔑如也。余睹乃宗室豪俊，常不肯為奉先下。若擒余睹，他日吾党皆余睹也！不若縱之。」
HCH_010_029_000011	還，即紿曰：「追襲不及。」
HCH_010_029_000012	奉先既見余睹之亡，恐後日諸校亦叛，遂勸驟加爵賞，以結眾心。
HCH_010_029_000013	以蕭遐買為奚王，蕭德恭試中書門下平章事兼判上京留守事，耶律諦里姑為龍虎衛上將軍，蕭和尚奴金吾衛上將軍，蕭幹鎮國大將軍。
HCH_010_029_000014	二月，幸鴛鴦濼。
HCH_010_029_000015	夏五月，至曷里。
HCH_010_029_000016	秋七月，獵炭山。
HCH_010_029_000017	九月，至南京。
HCH_010_029_000018	冬十一月癸亥，以西京留守趙王習泥烈為惕隱。
HCH_010_029_000019	二年春正月乙亥，金克中京，進下澤州。
HCH_010_029_000020	上出居庸關，至鴛鴦濼。
HCH_010_029_000021	聞余睹引金人婁室孛堇奄至，蕭奉先曰：「余睹乃王子班之苗裔，此來欲立甥晉王耳。若為社稷計，不惜一子，明其罪誅之，可不戰而余睹自回矣。」
HCH_010_029_000022	上遂賜晉王死，素服三日，耶律撒八等皆伏誅。
HCH_010_029_000023	王素有人望，諸軍聞其死，無不流涕，由是人心解體。
HCH_010_029_000024	余睹引金人逼行宮，上率衛兵五千餘騎幸雲中，遺傳國璽于桑乾河。
HCH_010_029_000025	二月庚寅朔，日有食之，既。
HCH_010_029_000026	甲午，知北院大王事耶律馬哥、漢人行宮都部署蕭特末並為都統，太和宮使耶律補得副之，將兵屯鴛鴦濼。
