HCH_010_051_000001	皇帝親征儀：常以秋冬，應敵制變或無時。
HCH_010_051_000002	將出師，必先告廟。
HCH_010_051_000003	乃立三神主祭之：曰先帝，曰道路，曰軍旅。
HCH_010_051_000004	刑青牛白馬以祭天地。
HCH_010_051_000005	其祭，常依獨樹；無獨樹，即所舍而行之。
HCH_010_051_000006	或皇帝服介胄，祭諸先帝宮廟，乃閱兵。
HCH_010_051_000007	將行，牝牡麃各一為𥜒祭。
HCH_010_051_000008	將臨敵，結馬尾，祈拜天地而後入。
HCH_010_051_000009	下城克敵，祭天地，牲以白黑羊。
HCH_010_051_000010	班師，以所獲牡馬、牛各一祭天地。
HCH_010_051_000011	出師以死囚，還師以一諜者，植柱縛其上，於所向之方亂射之，矢集如猬，謂之「射鬼箭」。
HCH_010_051_000012	臘儀：臘，十二月辰日。
HCH_010_051_000013	前期一日，詔司豬官選豬地。
HCH_010_051_000014	其日，皇帝、皇后焚香拜日畢，設圍，命豬夫張左右翼。
HCH_010_051_000015	司豬官奏成列，皇帝、皇后升舉，敵烈麻都以酒二尊盤饗奉進，北南院大王以下進馬及衣。
HCH_010_051_000016	皇帝降輿，祭東畢，乘馬入圍中。
HCH_010_051_000017	皇太子、親王率群官進酒，分兩翼而行。
HCH_010_051_000018	皇帝始獲兔，群臣進酒上壽，各賜以酒。
HCH_010_051_000019	至中食之次，親王、大臣各進所獲。
HCH_010_051_000020	及酒訖，賜群臣飲，還宮。
HCH_010_051_000021	應歷元年冬，漢遣使來賀，自是遂以為常儀。
HCH_010_051_000022	統和中，罷之。
HCH_010_051_000023	出軍儀：制見《兵志》。
HCH_010_051_000024	常朝起居儀：昧爽，臣僚朝服入朝，各依幕次。
HCH_010_051_000025	內侍奏「班齊」。
HCH_010_051_000026	先引京官班於三門外，當直舍人放起居，再拜，各祗候。
HCH_010_051_000027	次依兩府以下文武官，於丹墀內面殿立，豎班諸司並供奉官，於東西道外相向立定。
HCH_010_051_000028	當直閣使副贊放起居，再拜，各祗候。
HCH_010_051_000029	退還幕次，公服。
HCH_010_051_000030	帝升殿坐，兩府並京官丹墀內聲喏，各祗候。
HCH_010_051_000031	教坊司同北班起居畢，奏事。
HCH_010_051_000032	燕京嘉寧殿，西京同文殿。
HCH_010_051_000033	朝服，襆頭、袍笏；公服，紫衫、帽。
HCH_010_051_000034	正座儀：皇帝升殿坐，警聲絕。
HCH_010_051_000035	契丹、漢人殿前班畢，各依位侍立。
HCH_010_051_000036	次教坊班畢，卷退。
HCH_010_051_000037	京官班入拜畢，揖於右橫街西，依位班立。
HCH_010_051_000038	次武班入拜畢，依位立。
HCH_010_051_000039	文班入拜畢，依位立。
HCH_010_051_000040	北班入，起居畢，於左橫街東序班立。
HCH_010_051_000041	次兩府班入，鞠躬，通宰臣某官已下起居，拜畢，引上殿奏事。
HCH_010_051_000042	已上六班起居，並七拜。
HCH_010_051_000043	內有不帶節度使、班首止通名，亦七拜。
HCH_010_051_000044	卷班與常朝同。
HCH_010_051_000045	直院有旨入文班。
HCH_010_051_000046	留守司、三司、統軍司、制置司謂之京官；都部署司、宮使、副宮使、都承以下令史，北面主事以下隨駕諸司為武官；館、閣、大理寺，堂後以下，御史臺、隨駕閑員、令史、司天臺、翰林、醫官院為文官。
HCH_010_051_000047	天慶二年冬，教坊並服袍。
HCH_010_051_000048	臣僚接見儀：皇帝御座，奏見榜子畢，臣僚左入，鞠躬。
HCH_010_051_000049	通文武百僚宰臣某官以下祗候見。
HCH_010_051_000050	引面殿鞠躬，起居，凡七拜。
HCH_010_051_000051	引班首出班，謝宣諭，五拜。
HCH_010_051_000052	各祗候畢，可矮墩以上引近前，問「聖躬萬福」。
HCH_010_051_000053	傳宣問「跋涉不易」，鞠躬。
HCH_010_051_000054	引班舍人贊各祗候畢，引右上，準備宣問。
HCH_010_051_000055	其餘臣僚並於右侍立。
HCH_010_051_000056	宣答云：「卿等久居鄉邑，來奉乘輿。時屬霜寒，或云炎蒸，諒多勞止。卿各平安好。想宜知悉。」
HCH_010_051_000057	問聖體儀：皇帝行幸，車駕至捺缽，坐禦帳。
HCH_010_051_000058	臣僚公服，問「聖躬萬福。」
HCH_010_051_000059	贊再拜，各祗候。
HCH_010_051_000060	奏事。
HCH_010_051_000061	宣徽以下常服，教坊與臣僚同。
HCH_010_051_000062	保大元年夏，特旨通名再拜，不稱宰臣。
HCH_010_051_000063	車駕還京儀：前期一日，宣徽以下橫班，諸司、閣門並公服，於宿帳祗候。
HCH_010_051_000064	至日詰旦，皇帝乘玉輅，閣門宣諭軍民訖，導駕。
HCH_010_051_000065	時相以下進至內門，閣副勘箭畢，通事舍人鞠躬，奏「臣宜放仗」。
HCH_010_051_000066	禮畢。
HCH_010_051_000067	勘箭儀：皇帝乘玉輅，至內門。
HCH_010_051_000068	北南臣僚於輅前對班立。
HCH_010_051_000069	勘箭官執雌箭，門中立。
HCH_010_051_000070	東上閣門使詣車前，執雄箭在車左立，勾勘箭官進。
HCH_010_051_000071	勘箭官揖進，至車約五步，面車立。
HCH_010_051_000072	閣使言「受箭行勘」。
HCH_010_051_000073	勘箭官拜跪，受箭，舉手勘訖，鞠躬，奏「內外勘同」。
HCH_010_051_000074	閣使言「準敕行勘」。
HCH_010_051_000075	勘箭官平立，退至門中舊位立，當胸執箭，贊「軍將門仗官近前」。
HCH_010_051_000076	門仗官應聲開門，舉聲兩邊齊出，並列左右，立。
HCH_010_051_000077	勘箭官舉右手贊「呈箭，」次贊「內出喚仗禦箭一隻，準敕付左金吾仗行勘。」
HCH_010_051_000078	贊「合不合」，應「合、合、合」；贊「同不同」，應「同、同、同」。
HCH_010_051_000079	訖。
