HCH_010_059_000001	契丹舊俗，其富以馬，其強以兵。
HCH_010_059_000002	縱馬於野，弛兵於民。
HCH_010_059_000003	有事而戰，彍騎介夫，卯命辰集。
HCH_010_059_000004	馬逐水草，人仰湩酪，挽強射生，以給日用，糗糧芻茭，道在是矣。
HCH_010_059_000005	以是制勝，所向無前。
HCH_010_059_000006	及其有國，內建宗廟朝廷，外置郡縣牧守，制度日增，經費日廣，上下相師，服御浸盛，而食貨之用斯為急矣。
HCH_010_059_000007	於是五京及長春、遼西、平州置鹽鐵、轉運、度支、錢帛諸司，以掌出納。
HCH_010_059_000008	其制數差等雖不可悉，而大要散見舊史。
HCH_010_059_000009	若農穀、租賦、鹽鐵、貿易、坑冶、泉幣、羣牧，逐類採摭，緝而為篇，以存一代食貨之略。
HCH_010_059_000010	初，皇祖勻德實為大迭烈府夷離菫，喜稼穡，善畜牧，相地利以教民耕。
HCH_010_059_000011	仲父述瀾為于越，飭國人樹桑麻，習組織。
HCH_010_059_000012	太祖平諸弟之亂，弭兵輕賦，專意於農。
HCH_010_059_000013	嘗以戶口滋繁，糺轄疎遠，分北大濃兀為二部，程以樹藝，諸部效之。
HCH_010_059_000014	太宗會同初，將東獵，三剋奏減輜重，疾趨北山取物，以備國用，無害農務。
HCH_010_059_000015	尋詔有司勸農桑，教紡績。
HCH_010_059_000016	以烏古之地水草豐美，命甌昆石烈居之，益以海勒水之善地為農田。
HCH_010_059_000017	三年，詔以諧里河、臚朐河近地，賜南院歐菫突呂、乙斯勃、北院溫納河剌三石烈人，以事耕種。
HCH_010_059_000018	八年，駐蹕赤山，宴從臣，問軍國要務。
HCH_010_059_000019	左右對曰：「軍國之務，愛民為本。民富則兵足，兵足則國強。」
HCH_010_059_000020	上深然之。
HCH_010_059_000021	是年，詔徵諸道兵，仍戒敢有傷禾稼者以軍法論。
HCH_010_059_000022	應曆間，雲州進嘉禾，時謂重農所召。
HCH_010_059_000023	保寧七年，漢有宋兵，使來乞糧，詔賜粟二十萬斛助之。
HCH_010_059_000024	非經費有餘，其能若是？
HCH_010_059_000025	聖宗乾亨五年詔曰：「五稼不登，開帑藏而代民稅；螟蝗為災，罷徭役以恤饑貧。」
HCH_010_059_000026	統和三年，帝嘗過藳城，見乙室奧隗部下婦人迪輦等黍過熟未穫，遣人助刈。
HCH_010_059_000027	太師韓德讓言，兵後逋民棄業，禾稼棲畝，募人穫之，以半給穫者。
HCH_010_059_000028	政事令室昉亦言，山西諸州給軍興，民力凋敝，田穀多躪於邊兵，請復今年租。
HCH_010_059_000029	六年，霜旱，災民饑，詔三司，舊以稅錢折粟，估價不實，其增以利民。
HCH_010_059_000030	又徙吉避寨居民三百戶于檀、順、薊三州，擇沃壤，給牛、種穀。
HCH_010_059_000031	十三年，詔諸道置義倉。
HCH_010_059_000032	歲秋，社民隨所穫，戶出粟庤倉，社司籍其目。
HCH_010_059_000033	歲儉，發以振民。
HCH_010_059_000034	十五年，詔免南京舊欠義倉粟，仍禁諸軍官非時畋牧妨農。
HCH_010_059_000035	開泰元年，詔曰：「朕惟百姓徭役煩重，則多給工價；年穀不登，發倉以貸；田園蕪廢者，則給牛、種以助之。」
HCH_010_059_000036	太平初幸燕，燕民以年豐進土產珍異。
HCH_010_059_000037	上禮高年，惠鰥寡，賜酺連日。
HCH_010_059_000038	九年，燕地饑，戶部副使王嘉請造船，募習海漕者，移遼東粟餉燕，議者稱道險不便而寢。
HCH_010_059_000039	興宗即位，遣使閱諸道禾稼。
HCH_010_059_000040	是年，通括戶口，詔曰：「朕於早歲，習知稼穡。力辦者廣務耕耘，罕聞輸納；家食者全虧種植，多至流亡。宜通檢括，普遂均平。」
