HCH_010_102_000001	蕭奉先，天祚元妃之兄弟也。
HCH_010_102_000002	外寬內忌。
HCH_010_102_000003	因元妃為上眷倚，累官樞密使，封蘭陵郡王。
HCH_010_102_000004	天慶二年，上幸混同江釣魚。
HCH_010_102_000005	故事，生女直酋長在千里內者皆朝行在。
HCH_010_102_000006	適頭魚宴，上使諸酋次第歌舞為樂，至阿骨打，但端立直視，辭以不能。
HCH_010_102_000007	再三旨諭，不從。
HCH_010_102_000008	上密謂奉先曰：「阿骨打跋扈若此，可托以邊事誅之。」
HCH_010_102_000009	奉先曰：「彼粗人，不知禮義，且無大過，殺之傷向化心。設有異志，蕞爾小國，亦何能為！」
HCH_010_102_000010	上乃止。
HCH_010_102_000011	四年，阿骨打起兵犯寧江州，東北路統軍使蕭撻不也戰失利。
HCH_010_102_000012	上命奉先弟嗣先為都統，將番、漢兵往討，屯出河店。
HCH_010_102_000013	女直乃潛渡混同江，乘我師未備來襲。
HCH_010_102_000014	嗣先敗績，軍將往往遁去。
HCH_010_102_000015	奉先懼弟被誅，乃奏「東征潰軍逃罪，所至劫掠，若不肆赦，將嘯聚為患」。
HCH_010_102_000016	從之。
HCH_010_102_000017	嗣先詣闕待罪，止免官而已。
HCH_010_102_000018	由是士無鬥志，遇敵輒潰，郡縣所失日多。
HCH_010_102_000019	初，奉先誣耶律余睹結駙馬蕭昱謀立其甥晉王，事覺，殺昱。
HCH_010_102_000020	余睹在軍中聞之，懼，奔女直。
HCH_010_102_000021	保大二年，余睹為女直監軍，引兵奄至，上憂甚。
HCH_010_102_000022	奉先曰：「余睹乃王子班之苗裔，此來實無亡遼心，欲立晉王耳。若以社稷計，不惜一子，誅之，可不戰而退。」
HCH_010_102_000023	遂賜晉王死。
HCH_010_102_000024	中外莫不流涕，人心益解體。
HCH_010_102_000025	當女直之兵未至也，奉先逢迎天祚，言：「女直雖能攻我上京，終不能遠離巢穴。」
HCH_010_102_000026	而一旦越三千里直搗雲中，計無所出，惟請播遷夾山。
HCH_010_102_000027	天祚方悟，顧謂奉先曰：「汝父子誤我至此，殺之何益！汝去，毋從我行。恐軍心忿怒，禍必及我。」
HCH_010_102_000028	奉先父子慟哭而去，為左右執送女直兵。
HCH_010_102_000029	女直兵斬其長子昂，送奉先及次子昱於其國主。
HCH_010_102_000030	道遇我兵，奪歸，天祚並賜死。
HCH_010_102_000031	李處溫，析津人。
HCH_010_102_000032	伯父儼，大康初為將作少監，累官參知政事，封漆水郡王，雅與北樞密使蕭奉先友舊。
HCH_010_102_000033	執政十餘年，善逢迎取媚，天祚又寵任之。
HCH_010_102_000034	儼卒，奉先薦處溫為相。
HCH_010_102_000035	處溫因奉先有援已力，傾心阿附，以固權位，而貪汙尤甚，凡所接引，類多小人。
HCH_010_102_000036	保大初，金人陷中京，諸將莫能支。
HCH_010_102_000037	天祚懼，奔夾山，兵勢日迫。
HCH_010_102_000038	處溫與族弟處能、子奭，外假怨軍聲援，結都統蕭幹謀立魏國王淳，召番、漢官屬詣魏王府勸進。
HCH_010_102_000039	魏國王將出，奭乃持赭袍衣之，令百官拜舞稱賀。
HCH_010_102_000040	魏王固辭不得，遂稱天錫皇帝。
HCH_010_102_000041	以處溫守太尉，處能直樞密院，奭為少府少監，左企弓以下及親舊與其事者，賜官有差。
HCH_010_102_000042	會魏國王病，自知不起，密授處溫番漢馬步軍都元帥，意將屬以後事。
HCH_010_102_000043	及病亟，蕭幹等矯詔南面宰執入議，獨處溫稱疾不對，陰聚勇士為備，紿雲奉密旨防他變。
HCH_010_102_000044	魏國王卒，蕭幹擁契丹兵，宣言當立王妃蕭氏為太后，權主軍國事，眾無敢異者。
HCH_010_102_000045	幹以後命，召處溫至，時方多難，未欲即誅，但追毀元帥劄子。
HCH_010_102_000046	處能懼及禍，落發為僧。
HCH_010_102_000047	尋有永清人傅遵說隨郭藥師入燕，被擒，具言處溫嘗遺易州富民趙履仁書達宋將童貫，欲挾蕭後納土歸宋。
