HCH_011_003_000001	普通元年春正月乙亥朔，改元，大赦天下。
HCH_011_003_000002	賜文武勞位，孝悌力田爵一級，尤貧之家，勿收常調，鰥寡孤獨，並加贍卹。
HCH_011_003_000003	丙子，日有蝕之。
HCH_011_003_000004	己卯，以司徒臨川王宏爲太尉、揚州刺史，安右將軍、監揚州蕭景爲安西將軍、郢州刺史。
HCH_011_003_000005	尚書左僕射王暕以母憂去職，金紫光祿大夫王份爲尚書左僕射。
HCH_011_003_000006	庚子，扶南、高麗國各遣使獻方物。
HCH_011_003_000007	二月壬子，老人星見。
HCH_011_003_000008	癸丑，以高麗王世子安爲寧東將軍、高麗王。
HCH_011_003_000009	三月丙戌，滑國遣使獻方物。
HCH_011_003_000010	夏四月甲午，河南王遣使獻方物。
HCH_011_003_000011	六月丁未，以護軍將軍韋叡爲車騎將軍。
HCH_011_003_000012	秋七月己卯，江、淮、海並溢。
HCH_011_003_000013	辛卯，以信威將軍卲陵王綸爲江州刺史。
HCH_011_003_000014	八月庚戌，老人星見。
HCH_011_003_000015	甲子，新除車騎將軍韋叡卒。
HCH_011_003_000016	九月乙亥，有星晨見東方，光爛如火。
HCH_011_003_000017	冬十月辛亥，以宣惠將軍長沙王深業爲護軍將軍。
HCH_011_003_000018	辛酉，以丹陽尹晉安王綱爲平西將軍、益州刺史。
HCH_011_003_000019	二年春正月甲戌，以南徐州刺史豫章王綜爲鎮右將軍。
HCH_011_003_000020	新除益州刺史晉安王綱改爲徐州刺史。
HCH_011_003_000021	辛巳，輿駕親祠南郊。
HCH_011_003_000022	詔曰：「春司御氣，虔恭報祀，陶匏剋誠，蒼璧禮備，思隨乾覆，布茲亭育。凡民有單老孤稚，不能自存，主者郡縣咸加收養，贍給衣食，每令周足，以終其身。又於京師置孤獨園，孤幼有歸，華髮不匱。若終年命，厚加料理。尤窮之家，勿收租賦。」
HCH_011_003_000023	戊子，大赦天下。
HCH_011_003_000024	二月辛丑，輿駕親祠明堂。
HCH_011_003_000025	三月庚寅，大雪，平地三尺。
HCH_011_003_000026	夏四月乙卯，改作南北郊。
HCH_011_003_000027	丙辰，詔曰：「夫欽若昊天，歷象無違。躬執耒耜，盡力致敬，上協星鳥，俯訓民時，平秩東作，義不在南。前代因襲，有乖禮制，可於震方，簡求沃野，具茲千畝，庶允舊章。」
HCH_011_003_000028	五月癸卯，琬琰殿火，延燒後宮屋三千間。
HCH_011_003_000029	丁巳，詔曰：「王公卿士，今拜表賀瑞，雖則百辟體國之誠，朕懷良有多愧。若其澤漏川泉，仁被動植，氣調玉燭，治致太平，爰降嘉祥，可無慚德；而政道多缺，淳化未凝，何以仰叶辰和，遠臻冥貺？此乃更彰寡薄，重增其尤。自今可停賀瑞。」
HCH_011_003_000030	六月丁卯，信威將軍、義州刺史文僧明以州叛入于魏。
HCH_011_003_000031	秋七月丁酉，假大匠卿裴邃節，督衆軍北討。
HCH_011_003_000032	甲寅，老人星見。
HCH_011_003_000033	魏荊州刺史桓叔興帥衆降。
HCH_011_003_000034	八月丁亥，始平郡中石鼓村地自開成井，方六尺六寸，深三十二丈。
HCH_011_003_000035	冬十一月，百濟、新羅國各遣使獻方物。
HCH_011_003_000036	十二月戊辰，以鎮東大將軍百濟王餘隆爲寧東大將軍。
HCH_011_003_000037	三年春正月庚子，以尚書令袁昂爲中書監，吳郡太守王暕爲尚書左僕射，尚書左僕射王份爲右光祿大夫。
HCH_011_003_000038	庚戌，京師地震。
HCH_011_003_000039	己未，以宣毅將軍廬陵王續爲雍州刺史。
HCH_011_003_000040	三月乙卯，巴陵王蕭屏薨。
HCH_011_003_000041	夏四月丁卯，汝陰王劉端薨。
HCH_011_003_000042	五月壬辰朔，日有蝕之，旣。
HCH_011_003_000043	癸巳，赦天下。
HCH_011_003_000044	並班下四方，民所疾苦，鹹卽以聞，公卿百僚各上封事，連率郡國舉賢良、方正、直言之士。
HCH_011_003_000045	秋八月辛酉，作二郊及籍田並畢，班賜工匠各有差。
HCH_011_003_000046	甲子，老人星見。
HCH_011_003_000047	婆利、白題國各遣使獻方物。
HCH_011_003_000048	冬十月丙子，加中書監袁昂中衛將軍。
HCH_011_003_000049	十一月甲午，撫軍將軍、開府儀同三司、領軍將軍始興王憺薨。
HCH_011_003_000050	辛丑，以太子詹事蕭淵藻爲領軍將軍。
HCH_011_003_000051	四年春正月辛卯，輿駕親祠南郊，大赦天下。
HCH_011_003_000052	應諸窮疾，咸加賑卹，並班下四方，時理獄訟。
HCH_011_003_000053	丙午，輿駕親祠明堂。
HCH_011_003_000054	二月庚午，老人星見。
HCH_011_003_000055	乙亥，躬耕籍田。
HCH_011_003_000056	詔曰：「夫耕籍之義大矣哉！粢盛由之而興，禮節因之以著，古者哲王咸用此作。眷言八政，致茲千畝，公卿百辟，恪恭其儀，九推畢禮，馨香靡替。兼以風雲叶律，氣象光華，屬覽休辰，思加獎勸。可班下遠近，廣辟良疇，公私畎畝，務盡地利。若欲附農而糧種有乏，亦加貸卹，每使優遍。孝悌力田賜爵一級。預耕之司，剋日勞酒。」
HCH_011_003_000057	三月壬寅，以鎮右將軍豫章王綜爲平北將軍、南兗州刺史。
HCH_011_003_000058	六月乙丑，分益州置信州，分交州置愛州，分廣州置成州、南定州、合州、建州，分霍州置義州。
HCH_011_003_000059	秋八月丁卯，老人星見。
HCH_011_003_000060	冬十月庚午，以中書監、中衛將軍袁昂爲尚書令，卽本號開府儀同三司。
HCH_011_003_000061	己卯，護軍將軍昌義之卒。
HCH_011_003_000062	十一月癸未朔，日有蝕之。
HCH_011_003_000063	太白晝見。
HCH_011_003_000064	甲辰，尚書左僕射王暕卒。
HCH_011_003_000065	十二月戊午，始鑄鐵錢。
HCH_011_003_000066	狼牙脩國遣使獻方物。
HCH_011_003_000067	五年春正月，以左光祿大夫、開府儀同三司南平王偉爲鎮衛大將軍，改領右光祿大夫，儀同三司如故。
HCH_011_003_000068	征西將軍、開府儀同三司、荊州刺史鄱陽王恢進號驃騎大將軍。
HCH_011_003_000069	太府卿夏侯亶爲中護軍。
HCH_011_003_000070	右光祿大夫王份爲左光祿大夫，加特進。
HCH_011_003_000071	辛卯，平北將軍、南兗州刺史豫章王綜進號鎮北將軍。
HCH_011_003_000072	平西將軍、雍州刺史晉安王綱進號安北將軍。
HCH_011_003_000073	二月庚午，特進、左光祿大夫王份卒。
HCH_011_003_000074	丁丑，老人星見。
HCH_011_003_000075	三月甲戌，分揚州、江州置東揚州。
HCH_011_003_000076	夏四月乙未，以雲麾將軍南康王績爲江州刺史。
HCH_011_003_000077	六月乙酉，龍鬬于曲阿王陂，因西行至建陵城。
HCH_011_003_000078	所經處樹木倒折，開地數十丈。
HCH_011_003_000079	戊子，以會稽太守武陵王紀爲東揚州刺史。
HCH_011_003_000080	庚子，以員外散騎常侍元樹爲平北將軍、北青、兗二州刺史，率衆北伐。
HCH_011_003_000081	秋七月辛未，賜北討義客位一階。
HCH_011_003_000082	八月庚寅，徐州刺史成景雋剋魏童城。
HCH_011_003_000083	九月戊申，又剋睢陵城。
HCH_011_003_000084	戊午，北兗州刺史趙景悅圍荊山。
HCH_011_003_000085	壬戌，宣毅將軍裴邃襲壽陽，入羅城，弗剋。
HCH_011_003_000086	冬十月戊寅，裴邃、元樹攻魏建陵城，破之。
HCH_011_003_000087	辛巳，又破曲木。
HCH_011_003_000088	掃虜將軍彭寶孫剋琅邪。
HCH_011_003_000089	甲申，又剋檀丘城。
HCH_011_003_000090	辛卯，裴邃破狄城。
HCH_011_003_000091	丙申，又剋甓城，遂進屯黎漿。
HCH_011_003_000092	壬寅，魏東海太守韋敬欣以司吾城降。
HCH_011_003_000093	定遠將軍太守□□曹世宗破魏曲陽城。
HCH_011_003_000094	甲辰，又剋秦墟。
HCH_011_003_000095	魏郿、潘溪守悉皆棄城走。
HCH_011_003_000096	十一月丙辰，彭寶孫剋東莞城。
HCH_011_003_000097	壬戌，裴邃攻壽陽之安城，剋之。
HCH_011_003_000098	丙寅，魏馬頭、安城並來降。
HCH_011_003_000099	十二月戊寅，魏荊山城降。
HCH_011_003_000100	乙巳，武勇將軍李國興攻平靜關，剋之。
HCH_011_003_000101	辛丑，信威長史楊法乾攻武陽關；壬寅，攻峴關：並剋之。
HCH_011_003_000102	六年春正月丙午，安北將軍晉安王綱遣長史柳津破魏南鄉郡，司馬董當門破魏晉城。
HCH_011_003_000103	庚戌，又破馬圈、彫陽二城。
HCH_011_003_000104	辛亥，輿駕親祠南郊，大赦天下。
HCH_011_003_000105	庚申，魏鎮東將軍、徐州刺史元法僧以彭城內附。
HCH_011_003_000106	己巳，雍州前軍剋魏新蔡郡。
HCH_011_003_000107	詔曰：「廟謨已定，王略方舉。侍中、領軍將軍西昌侯淵藻，可便親戎，以前啓行；鎮北將軍、南兗州刺史豫章王綜董馭雄桀，風馳次邁；其餘衆軍，計日差遣，初中後師，善得嚴辦。朕當六軍雲動，龍舟濟江。」
HCH_011_003_000108	癸酉，剋魏鄭城。
HCH_011_003_000109	甲戌，以魏鎮東將軍、徐州刺史元法僧爲司空。
HCH_011_003_000110	二月丁丑，老人星見。
HCH_011_003_000111	庚辰，南徐州刺史廬陵王續還朝，稟承戎略。
HCH_011_003_000112	乙未，趙景悅下魏龍亢城。
HCH_011_003_000113	三月丙午，歲星見南斗。
HCH_011_003_000114	賜新附民長復除，應諸罪失一無所問。
HCH_011_003_000115	己酉，行幸白下城，履行六軍頓所。
HCH_011_003_000116	乙丑，鎮北將軍、南兗州刺史豫章王綜權頓彭城，總督衆軍，並攝徐州府事。
HCH_011_003_000117	己巳，以魏假平東將軍元景隆爲衡州刺史，魏征虜將軍元景仲爲廣州刺史。
HCH_011_003_000118	夏五月己酉，築宿預堰，又修曹公堰於濟陰。
HCH_011_003_000119	太白晝見。
HCH_011_003_000120	壬子，遣中護軍夏侯亶督壽陽諸軍事，北伐。
HCH_011_003_000121	六月庚辰，豫章王綜奔于魏，魏復據彭城。
HCH_011_003_000122	秋七月壬戌，大赦天下。
HCH_011_003_000123	八月丙子，以散騎常侍曹仲宗兼領軍。
HCH_011_003_000124	壬午，老人星見。
HCH_011_003_000125	十二月戊子，卲陵王綸有罪，免官，削爵土。
HCH_011_003_000126	壬辰，京師地震。
HCH_011_003_000127	七年春正月辛丑朔，赦殊死以下。
HCH_011_003_000128	丁卯，滑國遣使獻方物。
HCH_011_003_000129	二月甲戌，北伐衆軍解嚴。
HCH_011_003_000130	河南遣使獻方物。
HCH_011_003_000131	丁亥，老人星見。
HCH_011_003_000132	三月乙卯，高麗國遣使獻方物。
HCH_011_003_000133	夏四月乙酉，太尉臨川王宏薨。
HCH_011_003_000134	南州津改置校尉，增加俸秩。
HCH_011_003_000135	詔在位羣臣，各舉所知，凡是清吏，咸使薦聞，州年舉二人，大郡一人。
HCH_011_003_000136	六月己卯，林邑國遣使獻方物。
HCH_011_003_000137	秋九月己酉，驃騎大將軍、開府儀同三司、荊州刺史鄱陽王恢薨。
HCH_011_003_000138	冬十月辛未，以丹陽尹、湘東王繹爲荊州刺史。
HCH_011_003_000139	十一月庚辰，大赦天下。
HCH_011_003_000140	是日，丁貴嬪薨。
HCH_011_003_000141	辛巳，夏侯亶、胡龍牙、元樹、曹世宗等衆軍剋壽陽城。
HCH_011_003_000142	丁亥，放魏揚州刺史李憲還北。
HCH_011_003_000143	以壽陽置豫州，合肥改爲南豫州。
HCH_011_003_000144	以中護軍夏侯亶爲豫、南豫二州刺史。
HCH_011_003_000145	平西將軍、郢州刺史元樹進號安西將軍。
HCH_011_003_000146	魏新野太守以郡降。
HCH_011_003_000147	大通元年春正月乙丑，以尚書左僕射徐勉爲尚書僕射、中衛將軍。
HCH_011_003_000148	詔曰：「朕思利兆民，惟日不足，氣象環回，每弘優簡。百官俸祿，本有定數，前代以來，皆多評准，頃者因循，未遑改革。自今已後，可長給見錢，依時卽出，勿令逋緩。凡散失官物，不問多少，並從原宥。惟事涉軍儲，取公私見物，不在此例。」
HCH_011_003_000149	辛未，輿駕親祠南郊。
HCH_011_003_000150	詔曰：「奉時昭事，虔薦蒼璧，思承天德，惠此下民。凡因事去土，流移他境者，並聽復宅業，蠲役五年。尤貧之家，勿收三調。孝悌力田賜爵一級。」
HCH_011_003_000151	是月，司州刺史夏侯夔進軍三關，所至皆剋。
HCH_011_003_000152	三月辛未，輿駕幸同泰寺捨身。
HCH_011_003_000153	甲戌，還宮，赦天下，改元。
HCH_011_003_000154	以左衛將軍蕭淵藻爲中護軍。
HCH_011_003_000155	林邑、師子國各遣使獻方物。
HCH_011_003_000156	夏五月丙寅，成景雋剋魏臨潼竹邑。
HCH_011_003_000157	秋八月壬辰，老人星見。
HCH_011_003_000158	冬十月庚戌，魏東豫州刺史元慶和以渦陽內屬。
HCH_011_003_000159	甲寅，曲赦東豫州。
HCH_011_003_000160	十一月丁卯，以中護軍蕭淵藻爲北討都督、征北大將軍，鎮渦陽。
HCH_011_003_000161	戊辰，加尚書令、中衛將軍、開府儀同三司袁昂中書監。
HCH_011_003_000162	以渦陽置西徐州。
HCH_011_003_000163	高麗國遣使獻方物。
HCH_011_003_000164	二年春正月庚申，司空元法僧以本官領中軍將軍。
HCH_011_003_000165	中書監、尚書令、中衛將軍、開府儀同三司袁昂進號中撫大將軍。
HCH_011_003_000166	衛尉卿蕭昂爲中領軍。
HCH_011_003_000167	乙酉，芮芮國遣使獻方物。
HCH_011_003_000168	二月甲午，老人星見。
HCH_011_003_000169	是月，築寒山堰。
HCH_011_003_000170	三月壬戌，以江州刺史南康王績爲安右將軍。
HCH_011_003_000171	夏四月辛丑，魏郢州刺史元願達以義陽內附，置北司州。
HCH_011_003_000172	時魏大亂，其北海王元顥、臨淮王元彧、汝南王元悅並來奔；其北青州刺史元世雋、南荊州刺史李志亦以地降。
HCH_011_003_000173	六月丁亥，魏臨淮王元彧求還本國，許之。
HCH_011_003_000174	冬十月丁亥，以魏北海王元顥爲魏主，遣東宮直閤將軍陳慶之衛送還北。
HCH_011_003_000175	魏豫州刺史鄧獻以地內屬。
HCH_011_003_000176	中大通元年正月辛酉，輿駕親祠南郊，大赦天下，孝悌力田賜爵一級。
HCH_011_003_000177	甲子，魏汝南王元悅求還本國，許之。
HCH_011_003_000178	辛巳，輿駕親祠明堂。
HCH_011_003_000179	二月甲申，以丹陽尹武陵王紀爲江州刺史。
HCH_011_003_000180	辛丑，芮芮國遣使獻方物。
HCH_011_003_000181	三月丙辰，以河南王阿羅真爲寧西將軍、西秦、河沙三州刺史。
HCH_011_003_000182	庚辰，以中護軍蕭淵藻爲中權將軍。
HCH_011_003_000183	夏四月癸未，以安右將軍南康王績爲護軍將軍。
HCH_011_003_000184	癸巳，陳慶之攻魏梁城，拔之，進屠考城，擒魏濟陰王元暉業。
HCH_011_003_000185	五月戊辰，剋大梁。
HCH_011_003_000186	癸酉，剋虎牢城。
HCH_011_003_000187	魏主元子攸棄洛陽，走河北。
HCH_011_003_000188	乙亥，元顥入洛陽。
HCH_011_003_000189	六月壬午，大赦天下。
HCH_011_003_000190	辛亥，魏淮陰太守晉鴻以湖陽城內屬。
HCH_011_003_000191	閏月己未，安右將軍、護軍南康王績薨。
HCH_011_003_000192	己卯，魏尒朱榮攻殺元顥，復據洛陽。
HCH_011_003_000193	秋九月辛巳，朱雀航華表災。
HCH_011_003_000194	以安北將軍羊侃爲青、冀二州刺史。
HCH_011_003_000195	癸巳，輿駕幸同泰寺，設四部無遮大會，因捨身，公卿以下，以錢一億萬奉贖。
HCH_011_003_000196	冬十月己酉，輿駕還宮，大赦，改元。
HCH_011_003_000197	十一月丙戌，加中撫大將軍、開府儀同三司袁昂中書監。
HCH_011_003_000198	加鎮衛大將軍、開府儀同三司南平王偉太子少傅。
HCH_011_003_000199	加金紫光祿大夫蕭琛、陸杲並特進。
HCH_011_003_000200	司空、中軍將軍元法僧進號車騎將軍。
HCH_011_003_000201	中權將軍蕭淵藻爲中護軍將軍。
HCH_011_003_000202	中領軍蕭昂爲領軍將軍。
HCH_011_003_000203	戊子，魏巴州刺史嚴始欣以城降。
HCH_011_003_000204	十二月丁巳，盤盤國遣使獻方物。
HCH_011_003_000205	二年春正月戊寅，以雍州刺史晉安王綱爲驃騎大將軍、揚州刺史，南徐州刺史廬陵王續爲平北將軍、雍州刺史。
HCH_011_003_000206	癸未，老人星見。
HCH_011_003_000207	夏四月庚申，大雨雹。
HCH_011_003_000208	壬申，以河南王佛輔爲寧西將軍、西秦、河二州刺史。
HCH_011_003_000209	六月丁巳，遣魏太保汝南王元悅還北爲魏主。
