HCH_011_017_000001	王珍國字德重，沛國相人也。
HCH_011_017_000002	父廣之，齊世良將，官至散騎常侍、車騎將軍。
HCH_011_017_000003	珍國起家冠軍行參軍，累遷虎賁中郎將、南譙太守，治有能名。
HCH_011_017_000004	時郡境苦饑，乃發米散財，以拯窮乏。
HCH_011_017_000005	齊高帝手敕云：「卿愛人治國，甚副吾意也。」
HCH_011_017_000006	永明初，遷桂陽內史，討捕盜賊，境內肅清。
HCH_011_017_000007	罷任還都，路經江州，刺史柳世隆臨渚餞別，見珍國還裝輕素，乃歎曰：「此真可謂良二千石也！」
HCH_011_017_000008	還爲大司馬中兵參軍。
HCH_011_017_000009	武帝雅相知賞，每歎曰：「晚代將家子弟，有如珍國者少矣。」
HCH_011_017_000010	復出爲安成內史。
HCH_011_017_000011	入爲越騎校尉，冠軍長史、鐘離太守。
HCH_011_017_000012	仍遷巴東、建平二郡太守。
HCH_011_017_000013	還爲遊擊將軍，以父憂去職。
HCH_011_017_000014	建武末，魏軍圍司州，明帝使徐州刺史裴叔業攻拔渦陽，以爲聲援，起珍國爲輔國將軍，率兵助焉。
HCH_011_017_000015	魏將楊大眼大衆奄至，叔業懼，棄軍走，珍國率其衆殿，故不至大敗。
HCH_011_017_000016	永泰元年，會稽太守王敬則反，珍國又率衆距之。
HCH_011_017_000017	敬則平，遷寧朔將軍、青、冀二州刺史，將軍如故。
HCH_011_017_000018	義師起，東昏召珍國以衆還京師，入頓建康城。
HCH_011_017_000019	義師至，使珍國出屯朱雀門，爲王茂軍所敗，乃入城。
HCH_011_017_000020	仍密遣郄纂奉明鏡獻誠於高祖，高祖斷金以報之。
HCH_011_017_000021	時城中咸思從義，莫敢先發，侍中、衛尉張稷都督衆軍，珍國潛結稷腹心張齊要稷，稷許之。
HCH_011_017_000022	十二月丙寅旦，珍國引稷於衛尉府，勒兵入自雲龍門，卽東昏於內殿斬之，與稷會尚書僕射王亮等於西鐘下，使中書舍人裴長穆等奉東昏首歸高祖。
HCH_011_017_000023	以功授右衛將軍，辭不拜；又授徐州刺史，固乞留京師。
HCH_011_017_000024	復賜金帛，珍國又固讓。
HCH_011_017_000025	敕答曰：「昔田子泰固辭絹穀。卿體國情深，良在可嘉。」
HCH_011_017_000026	後因侍宴，帝問曰：「卿明鏡尚存，昔金何在？」
HCH_011_017_000027	珍國答曰：「黃金謹在臣肘，不敢失墜。」
HCH_011_017_000028	復爲右衛將軍，加給事中，遷左衛將軍，加散騎常侍。
HCH_011_017_000029	天監初，封灄陽縣侯，邑千戶。
HCH_011_017_000030	除都官尚書，常侍如故。
HCH_011_017_000031	五年，魏任城王元澄寇鐘離，高祖遣珍國，因問討賊方略。
HCH_011_017_000032	珍國對曰：「臣常患魏衆少，不苦其多。」
HCH_011_017_000033	高祖壯其言，乃假節，與衆軍同討焉。
HCH_011_017_000034	魏軍退，班師。
HCH_011_017_000035	出爲使持節、都督梁秦二州諸軍事、征虜將軍、南秦梁二州刺史。
HCH_011_017_000036	會梁州長史夏侯道遷以州降魏，珍國步道出魏興，將襲之，不果，遂留鎮焉。
HCH_011_017_000037	以無功，累表請解，高祖弗許。
HCH_011_017_000038	改封宜陽縣侯，戶邑如前。
