HCH_011_020_000001	劉季連字惠續，彭城人也。
HCH_011_020_000002	父思考，以宋高祖族弟顯於宋世，位至金紫光祿大夫。
HCH_011_020_000003	季連有名譽，早歷清官。
HCH_011_020_000004	齊高帝受禪，悉誅宋室近屬，將及季連等，太宰褚淵素善之，固請乃免。
HCH_011_020_000005	建元中，季連爲尚書左丞。
HCH_011_020_000006	永明初，出爲江夏內史，累遷平南長沙內史，冠軍長史、廣陵太守，並行府州事。
HCH_011_020_000007	入爲給事黃門侍郎，轉太子中庶子。
HCH_011_020_000008	建武中，又出爲平西蕭遙欣長史、南郡太守。
HCH_011_020_000009	時明帝諸子幼弱，內親則仗遙欣兄弟，外親則倚后弟劉暄、內弟江祏。
HCH_011_020_000010	遙欣之鎮江陵也，意寄甚隆；而遙欣至州，多招賓客，厚自封殖，明帝甚惡之。
HCH_011_020_000011	季連族甥琅邪王會爲遙欣諮議參軍，美容貌，頗才辯，遙欣遇之甚厚。
HCH_011_020_000012	會多所慠忽，於公座與遙欣競侮季連，季連憾之，乃密表明帝，稱遙欣有異迹。
HCH_011_020_000013	明帝納焉，乃以遙欣爲雍州刺史。
HCH_011_020_000014	明帝心德季連，四年，以爲輔國將軍、益州刺史，令據遙欣上流。
HCH_011_020_000015	季連父，宋世爲益州，貪鄙無政績，州人猶以義故，善待季連。
HCH_011_020_000016	季連下車，存問故老，撫納新舊，見父時故吏，皆對之流涕。
HCH_011_020_000017	辟遂寧人龔愜爲府主簿。
HCH_011_020_000018	愜，龔穎之孫，累世有學行，故引焉。
HCH_011_020_000019	東昏卽位，永元元年，徵季連爲右衛將軍，道斷不至。
HCH_011_020_000020	季連聞東昏失德，京師多故，稍自驕矜。
HCH_011_020_000021	本以文吏知名，性忌而褊狹，至是遂嚴愎酷狠，土人始懷怨望。
HCH_011_020_000022	其年九月，季連因聚會，發人丁五千人，聲以講武，遂遣中兵參軍宋買率之以襲中水。
HCH_011_020_000023	穰人李託豫知之，設備守險，買與戰不利，還州，郡縣多叛亂矣。
HCH_011_020_000024	是月，新城人趙續伯殺五城令，逐始平太守。
HCH_011_020_000025	十月，晉原人樂寶稱、李難當殺其太守，寶稱自號南秦州刺史，難當益州刺史。
HCH_011_020_000026	十二月，季連遣參軍崔茂祖率衆二千討之，齎三日糧。
HCH_011_020_000027	值歲大寒，羣賊相聚，伐樹塞路，軍人水火無所得，大敗而還，死者十七八。
HCH_011_020_000028	明年正月，新城人帛養逐遂寧太守譙希淵。
HCH_011_020_000029	三月，巴西人雍道晞率羣賊萬餘逼巴西，去郡數里，道晞稱鎮西將軍，號建義。
HCH_011_020_000030	巴西太守魯休烈與涪令李膺嬰城自守，季連遣中兵參軍李奉伯率衆五千救之。
HCH_011_020_000031	奉伯至，與郡兵破擒道晞，斬之涪市。
HCH_011_020_000032	奉伯因獨進巴西之東鄉討餘賊。
HCH_011_020_000033	李膺止之曰：「卒惰將驕，乘勝履險，非良策也。不如小緩，更思後計。」
HCH_011_020_000034	奉伯不納，悉衆入山，大敗而出，遂奔還州。
HCH_011_020_000035	六月，江陽人程延期反，殺太守何法藏。
HCH_011_020_000036	魯休烈懼不自保，奔投巴東相蕭慧訓。
HCH_011_020_000037	十月，巴西人趙續伯又反，有衆二萬，出廣漢，乘佛輿，以五彩裹青石，誑百姓云：「天與我玉印，當王蜀。」
HCH_011_020_000038	愚人從之者甚衆。
HCH_011_020_000039	季連進討之，遣長史趙越常前驅。
HCH_011_020_000040	兵敗，季連復遣李奉伯由涪路討之。
HCH_011_020_000041	奉伯別軍自潺亭與大軍會於城，進攻其柵，大破之。
HCH_011_020_000042	時會稽人石文安字守休，隱居鄉里，專行禮讓，代季連爲尚書左丞，出爲江夏內史，又代季連入爲御史中丞，與季連相善。
HCH_011_020_000043	子仲淵字欽回，聞義師起，率鄉人以應高祖。
HCH_011_020_000044	天監初，拜郢州別駕，從高祖平京邑。
HCH_011_020_000045	明年春，遣左右陳建孫送季連弟通直郎子淵及季連二子使蜀，喻旨慰勞。
HCH_011_020_000046	季連受命，飭還裝。
HCH_011_020_000047	高祖以西臺將鄧元起爲益州刺史。
HCH_011_020_000048	元起，南郡人。
HCH_011_020_000049	季連爲南郡之時，素薄元起。
HCH_011_020_000050	典簽朱道琛者，嘗爲季連府都錄，無賴小人，有罪，季連欲殺之，逃叛以免。
HCH_011_020_000051	至是說元起曰：「益州亂離已久，公私府庫必多秏失，劉益州臨歸空竭，豈辦復能遠遣候遞。道琛請先使檢校，緣路奉迎；不然，萬里資糧，未易可得。」
HCH_011_020_000052	元起許之。
HCH_011_020_000053	道琛旣至，言語不恭，又歷造府州人士，見器物輒奪之，有不獲者，語曰：「會當屬人，何須苦惜。」
HCH_011_020_000054	於是軍府大懼，謂元起至必誅季連，禍及黨與，競言之於季連。
HCH_011_020_000055	季連亦以爲然；又惡昔之不禮元起也，益憤懣。
HCH_011_020_000056	司馬朱士略說季連，求爲巴西郡，留三子爲質，季連許之。
HCH_011_020_000057	頃之，季連遂召佐史，矯稱齊宣德皇后令，聚兵復反，收朱道琛殺之。
HCH_011_020_000058	書報朱士略，兼召李膺。
HCH_011_020_000059	膺、士略並不受使。
HCH_011_020_000060	使歸，元起收兵于巴西以待之，季連誅士略三子。
HCH_011_020_000061	天監元年六月，元起至巴西，季連遣其將李奉伯等拒戰。
HCH_011_020_000062	兵交，互有得失，久之，奉伯乃敗退還成都。
HCH_011_020_000063	季連驅略居人，閉城固守。
