HCH_011_038_000001	朱异字彥和，吳郡錢唐人也。
HCH_011_038_000002	父巽，以義烈知名，官至齊江夏王參軍、吳平令。
HCH_011_038_000003	异年數歲，外祖顧歡撫之，謂异祖昭之曰：「此兒非常器，當成卿門戶。」
HCH_011_038_000004	年十餘歲，好羣聚蒲博，頗爲鄉黨所患。
HCH_011_038_000005	旣長，乃折節從師，遍治《五經》，尤明《禮》、《易》，涉獵文史，兼通雜藝，博弈書算，皆其所長。
HCH_011_038_000006	年二十，詣都，尚書令沈約面試之，因戲异曰：「卿年少，何乃不廉？」
HCH_011_038_000007	异逡巡未達其旨。
HCH_011_038_000008	約乃曰：「天下唯有文義棋書，卿一時將去，可謂不廉也。」
HCH_011_038_000009	其年，上書言建康宜置獄司，比廷尉。
HCH_011_038_000010	敕付尚書詳議，從之。
HCH_011_038_000011	舊制，年二十五方得釋褐。
HCH_011_038_000012	時异適二十一，特敕擢爲揚州議曹從事史。
HCH_011_038_000013	尋有詔求異能之士，《五經》博士明山賓表薦异曰：「竊見錢唐朱异，年時尚少，德備老成。在獨無散逸之想，處暗有對賓之色，器宇弘深，神表峰峻。金山萬丈，緣陟未登；玉海千尋，窺映不測。加以珪璋新琢，錦組初構，觸響鏗鏘，值采便發。觀其信行，非惟十室所稀，若使負重遙途，必有千里之用。」
HCH_011_038_000014	高祖召見，使說《孝經》、《周易》義，甚悅之，謂左右曰：「朱异實異。」
HCH_011_038_000015	後見明山賓，謂曰：「卿所舉殊得其人。」
HCH_011_038_000016	仍召异直西省，俄兼太學博士。
HCH_011_038_000017	其年，高祖自講《孝經》，使异執讀。
HCH_011_038_000018	遷尚書儀曹郎，入兼中書通事舍人，累遷鴻臚卿，太子右衛率，尋加員外常侍。
HCH_011_038_000019	普通五年，大舉北伐，魏徐州刺史元法僧遣使請舉地內屬，詔有司議其虛實。
HCH_011_038_000020	异曰：「自王師北討，剋獲相繼，徐州地轉削弱，咸願歸罪法僧，法僧懼禍之至，其降必非偽也。」
HCH_011_038_000021	高祖仍遣异報法僧，並敕衆軍應接，受异節度。
HCH_011_038_000022	旣至，法僧遵承朝旨，如异策焉。
HCH_011_038_000023	中大通元年，遷散騎常侍。
HCH_011_038_000024	自周舍卒後，异代掌機謀，方鎮改換，朝儀國典，詔誥敕書，並兼掌之。
HCH_011_038_000025	每四方表疏，當局簿領，諮詢詳斷，填委於前。
HCH_011_038_000026	异屬辭落紙，覽事下議，縱橫敏贍，不暫停筆，頃刻之間，諸事便了。
HCH_011_038_000027	大同四年，遷右衛將軍。
HCH_011_038_000028	六年，异啓於儀賢堂奉述高祖《老子義》，敕許之。
HCH_011_038_000029	及就講，朝士及道俗聽者千餘人，爲一時之盛。
HCH_011_038_000030	時城西又開士林館以延學士，异與左丞賀琛遞日述高祖《禮記中庸義》，皇太子又召异於玄圃講《易》。
HCH_011_038_000031	八年，改加侍中。
HCH_011_038_000032	太清元年，遷左衛將軍，領步兵。
HCH_011_038_000033	二年，遷中領軍，舍人如故。
HCH_011_038_000034	高祖夢中原平，舉朝稱慶，旦以語异，异對曰：「此宇內方一之征。」
HCH_011_038_000035	及侯景歸降，敕召羣臣議，尚書僕射謝舉等以爲不可，高祖欲納之，未決；嘗夙興至武德閣，自言「我國家承平若此，今便受地，詎是事宜，脫致紛紜，悔無所及」。
HCH_011_038_000036	异探高祖微旨，應聲答曰：「聖明御宇，上應蒼玄，北土遺黎，誰不慕仰？爲無機會，未達其心。今侯景分魏國太半，輸誠送款，遠歸聖朝，豈非天誘其衷，人獎其計！原心審事，殊有可嘉。今若不容，恐絕後來之望。此誠易見，願陛下無疑。」
HCH_011_038_000037	高祖深納异言，又感前夢，遂納之。
HCH_011_038_000038	及貞陽敗沒，自魏遣使還，述魏相高澄欲更申和睦。
HCH_011_038_000039	敕有司定議，异又以和爲允，高祖果從之。
HCH_011_038_000040	其年六月，遣建康令謝挺、通直郎徐陵使北通好。
HCH_011_038_000041	是時，侯景鎮壽春，累啓絕和，及請追使。
HCH_011_038_000042	又致書與异，辭意甚切，异但述敕旨以報之。
HCH_011_038_000043	八月，景遂舉兵反，以討异爲名。
HCH_011_038_000044	募兵得三千人，及景至，仍以其衆守大司馬門。
HCH_011_038_000045	初，景謀反，合州刺史鄱陽王範、司州刺史羊鴉仁並累有啓聞，异以景孤立寄命，必不應爾，乃謂使者：「鄱陽王遂不許國家有一客！」
HCH_011_038_000046	並抑而不奏，故朝廷不爲之備。
HCH_011_038_000047	及寇至，城內文武咸尤之。
