HCH_011_048_000001	漢氏承秦燔書，大弘儒訓，太學生徒，動以萬數，郡國黌舍，悉皆充滿。
HCH_011_048_000002	學於山澤者，至或就爲列肆，其盛也如是。
HCH_011_048_000003	漢末喪亂，其道遂衰。
HCH_011_048_000004	魏正始以後，仍尚玄虛之學，爲儒者蓋寡。
HCH_011_048_000005	時荀顗、摯虞之徒，雖刪定新禮，改官職，未能易俗移風。
HCH_011_048_000006	自是中原橫潰，衣冠殄盡；江左草創，日不暇給；以迄于宋、齊。
HCH_011_048_000007	國學時或開置，而勸課未博，建之不及十年，蓋取文具，廢之多歷世祀，其棄也忽諸。
HCH_011_048_000008	鄉里莫或開館，公卿罕通經術。
HCH_011_048_000009	朝廷大儒，獨學而弗肯養衆；後生孤陋，擁經而無所講習。
HCH_011_048_000010	三德六藝，其廢久矣。
HCH_011_048_000011	高祖有天下，深愍之，詔求碩學，治五禮，定六律，改鬥曆，正權衡。
HCH_011_048_000012	天監四年，詔曰：「二漢登賢，莫非經術，服膺雅道，名立行成。魏、晉浮蕩，儒教淪歇，風節罔樹，抑此之由。朕日昃罷朝，思聞俊異，收士得人，實惟酬獎。可置《五經》博士各一人，廣開館宇，招內後進。」
HCH_011_048_000013	於是以平原明山賓、吳興沈峻、建平嚴植之、會稽賀瑒補博士，各主一館。
HCH_011_048_000014	館有數百生，給其餼廩。
HCH_011_048_000015	其射策通明者，卽除爲吏。
HCH_011_048_000016	十數月間，懷經負笈者雲會京師。
HCH_011_048_000017	又選遣學生如會稽雲門山，受業於廬江何胤。
HCH_011_048_000018	分遣博士祭酒，到州郡立學。
HCH_011_048_000019	七年，又詔曰：「建國君民，立教爲首，砥身礪行，由乎經術。朕肇基明命，光宅區宇，雖耕耘雅業，傍闡藝文，而成器未廣，志本猶闕。非以鎔範貴游，納諸軌度；思欲式敦讓齒，自家刑國。今聲訓所漸，戎夏同風。宜大啓痒斅，博延胄子，務彼十倫，弘此三德，使陶鈞遠被，微言載表。」
HCH_011_048_000020	於是皇太子、皇子、宗室、王侯始就業焉。
HCH_011_048_000021	高祖親屈輿駕，釋奠於先師先聖，申之以讌語，勞之以束帛，濟濟焉，洋洋焉，大道之行也如是。
HCH_011_048_000022	其伏曼容、何佟之、范縝，有舊名於世；爲時儒者，嚴植之、賀瑒等首膺茲選。
HCH_011_048_000023	今並綴爲《儒林傳》云。
HCH_011_048_000024	伏曼容字公儀，平昌安丘人。
HCH_011_048_000025	曾祖滔，晉著作郎。
HCH_011_048_000026	父胤之，宋司空主簿。
HCH_011_048_000027	曼容早孤，與母兄客居南海。
HCH_011_048_000028	少篤學，善《老》、《易》，倜儻好大言，常云：「何晏疑《易》中九事。以吾觀之，晏了不學也，故知平叔有所短。」
HCH_011_048_000029	聚徒教授以自業。
HCH_011_048_000030	爲驃騎行參軍。
HCH_011_048_000031	宋明帝好《周易》，集朝臣於清暑殿講，詔曼容執經。
HCH_011_048_000032	曼容素美風采，帝恒以方嵇叔夜，使吳人陸探微畫叔夜像以賜之。
HCH_011_048_000033	遷司徒參軍。
HCH_011_048_000034	袁粲爲丹陽尹，請爲江寧令，入拜尚書外兵郎。
HCH_011_048_000035	昇明末，爲輔國長史、南海太守。
HCH_011_048_000036	齊初，爲通直散騎侍郎。
HCH_011_048_000037	永明初，爲太子率更令，侍皇太子講。
HCH_011_048_000038	衛將軍王儉深相交好，令與河內司馬憲、吳郡陸澄共撰《喪服義》，旣成，又欲與之定禮樂。
HCH_011_048_000039	會儉薨，遷中書侍郎、大司馬諮議參軍，出爲武昌太守。
HCH_011_048_000040	建武中，入拜中散大夫。
HCH_011_048_000041	時明帝不重儒術，曼容宅在瓦官寺東，施高坐於聽事，有賓客輒升高坐爲講說，生徒常數十百人。
HCH_011_048_000042	梁臺建，以曼容舊儒，召拜司馬，出爲臨海太守。
HCH_011_048_000043	天監元年，卒官，時年八十二。
HCH_011_048_000044	爲《周易》、《毛詩》、《喪服集解》、《老》、《莊》、《論語義》。
HCH_011_048_000045	子𣈶芃，在《良吏傳》。
HCH_011_048_000046	何佟之字士威，廬江灊人，豫州刺史惲六世孫也。
HCH_011_048_000047	祖劭之，宋員外散騎常侍。
HCH_011_048_000048	父歆，齊奉朝請。
HCH_011_048_000049	佟之少好《三禮》，師心獨學，強力專精，手不輟卷，讀《禮》論二百篇，略皆上口。
HCH_011_048_000050	時太尉王儉爲時儒宗，雅相推重。
HCH_011_048_000051	起家揚州從事，仍爲總明館學士，頻遷司徒車騎參軍事、尚書祠部郎。
HCH_011_048_000052	齊建武中，爲鎮北記室參軍，侍皇太子講，領丹陽邑中正。
HCH_011_048_000053	時步兵校尉劉瓛、徵士吳苞皆已卒，京邑碩儒，唯佟之而已。
HCH_011_048_000054	佟之明習事數，當時國家吉凶禮則，皆取決焉，名重於世。
HCH_011_048_000055	歷步兵校尉、國子博士，尋遷驃騎諮議參軍，轉司馬。
HCH_011_048_000056	永元末，京師兵亂，佟之常集諸生講論，孜孜不怠。
HCH_011_048_000057	中興初，拜驍騎將軍。
HCH_011_048_000058	高祖踐阼，尊重儒術，以佟之爲尚書左丞。
HCH_011_048_000059	是時百度草創，佟之依《禮》定議，多所裨益。
HCH_011_048_000060	天監二年，卒官，年五十五。
HCH_011_048_000061	高祖甚悼惜，將贈之官；故事左丞無贈官者，特詔贈黃門侍郎，儒者榮之。
HCH_011_048_000062	所著文章、《禮義》百許篇。
HCH_011_048_000063	子：朝隱、朝晦。
HCH_011_048_000064	范縝字子真，南鄉舞陰人也。
