HCH_011_053_000001	昔漢宣帝以爲「政平訟理，其惟良二千石乎！」
HCH_011_053_000002	前史亦云：「今之郡守，古之諸侯也。」
HCH_011_053_000003	故長吏之職，號爲親民，是以導德齊禮，移風易俗，咸必由之。
HCH_011_053_000004	齊末昏亂，政移羣小，賦調雲起，徭役無度。
HCH_011_053_000005	守宰多倚附權門，互長貪虐，掊克聚斂，侵愁細民，天下搖動，無所厝其手足。
HCH_011_053_000006	高祖在田，知民疾苦，及梁臺建，仍下寬大之書，昏時雜調，咸悉除省，於是四海之內，始得息肩。
HCH_011_053_000007	逮踐皇極，躬覽庶事，日昃聽政，求民之瘼。
HCH_011_053_000008	乃命輶軒以省方俗，置肺石以達窮民，務加隱卹，舒其急病。
HCH_011_053_000009	元年，始去人貲，計丁爲布；身服浣濯之衣，御府無文飾，宮掖不過綾彩，無珠璣錦繡；太官撤牢饌，每日膳菜蔬，飲酒不過三盞：以儉先海內。
HCH_011_053_000010	每選長吏，務簡廉平，皆召見御前，親勗治道。
HCH_011_053_000011	始擢尚書殿中郎到溉爲建安內史，左民侍郎劉鬷爲晉安太守，溉等居官，並以廉潔著。
HCH_011_053_000012	又著令：小縣有能，遷爲大縣；大縣有能，遷爲二千石。
HCH_011_053_000013	於是山陰令丘仲孚治有異績，以爲長沙內史；武康令何遠清公，以爲宣城太守。
HCH_011_053_000014	剖符爲吏者，往往承風焉。
HCH_011_053_000015	若新野庾蓽諸任職者，以經術潤飾吏政，或所居流惠，或去後見思，蓋後來之良吏也。
HCH_011_053_000016	綴爲《良吏篇》云。
HCH_011_053_000017	庾蓽字休野，新野人也。
HCH_011_053_000018	父深之，宋應州刺史。
HCH_011_053_000019	蓽年十歲，遭父憂，居喪毀瘠，爲州黨所稱。
HCH_011_053_000020	弱冠，爲州迎主簿，舉秀才，累遷安西主簿、尚書殿中郎、驃騎功曹史。
HCH_011_053_000021	博涉羣書，有口辯。
HCH_011_053_000022	齊永明中，與魏和親，以蓽兼散騎常侍報使，還拜散騎侍郎，知東宮管記事。
HCH_011_053_000023	鬱林王卽位廢，掌中書詔誥，出爲荊州別駕。
HCH_011_053_000024	仍遷西中郎諮議參軍，復爲州別駕。
HCH_011_053_000025	前後綱紀，皆致富饒。
HCH_011_053_000026	蓽再爲之，清身率下，杜絕請託，布被蔬食，妻子不免饑寒。
HCH_011_053_000027	明帝聞而嘉焉，手敕褒美，州里榮之。
HCH_011_053_000028	遷司徒諮議參軍、通直散騎常侍。
HCH_011_053_000029	高祖平京邑，霸府建，引爲驃騎功曹參軍，遷尚書左丞。
HCH_011_053_000030	出爲輔國長史、會稽郡丞、行郡府事。
HCH_011_053_000031	時承凋弊之後，百姓凶荒，所在穀貴，米至數千，民多流散，蓽撫循甚有治理。
HCH_011_053_000032	唯守公祿，清節逾厲，至有經日不舉火。
HCH_011_053_000033	太守、襄陽王聞而饋之，蓽謝不受。
HCH_011_053_000034	天監元年，卒，停屍無以殮，柩不能歸。
HCH_011_053_000035	高祖聞之，詔賜絹百匹、米五十斛。
HCH_011_053_000036	初，蓽爲西楚望族，早歷顯官，鄉人樂藹有幹用，素與蓽不平，互相陵競。
HCH_011_053_000037	藹事齊豫章王嶷，嶷薨，藹仕不得志，自步兵校尉求助戍歸荊州，時蓽爲州別駕，益忽藹。
HCH_011_053_000038	及高祖踐阼，藹以西朝勳爲御史中丞，蓽始得會稽行事，旣恥之矣；會職事微有譴，高祖以藹其鄉人也，使宣旨誨之，蓽大憤，故發病卒。
HCH_011_053_000039	沈瑀字伯瑜，吳興武康人也。
HCH_011_053_000040	叔父昶，事宋建平王景素，景素謀反，昶先去之；及敗，坐繫獄，瑀詣臺陳請，得免罪，由是知名。
HCH_011_053_000041	起家州從事、奉朝請。
HCH_011_053_000042	嘗詣齊尚書右丞殷濔，濔與語及政事，甚器之，謂曰：「觀卿才幹，當居吾此職。」
HCH_011_053_000043	司徒、竟陵王子良聞瑀名，引爲府參軍，領揚州部傳從事。
HCH_011_053_000044	時建康令沈徽孚恃勢陵瑀，瑀以法繩之，衆憚其強。
HCH_011_053_000045	子良甚相知賞，雖家事皆以委瑀。
HCH_011_053_000046	子良薨，瑀復事刺史、始安王遙光。
HCH_011_053_000047	嘗被使上民丁，速而無怨。
HCH_011_053_000048	遙光謂同使曰：「爾何不學沈瑀所爲？」
HCH_011_053_000049	乃令專知州獄事。
HCH_011_053_000050	湖熟縣方山埭高峻，冬月，公私行侶以爲艱難，明帝使瑀行治之。
HCH_011_053_000051	瑀乃開四洪，斷行客就作，三日立辦。
