HCH_011_056_000001	侯景，字萬景，朔方人，或云雁門人。
HCH_011_056_000002	少而不羈，見憚鄉里。
HCH_011_056_000003	及長，驍勇有膂力，善騎射。
HCH_011_056_000004	以選爲北鎮戍兵，稍立功效。
HCH_011_056_000005	魏孝昌元年，有懷朔鎮兵鮮于脩禮，於定州作亂，攻沒郡縣；又有柔玄鎮兵吐斤洛周，率其黨與，復寇幽、冀，與脩禮相合，衆十餘萬。
HCH_011_056_000006	後脩禮見殺，部下潰散，懷朔鎮將葛榮因收集之，攻殺吐斤洛周，盡有其衆，謂之「葛賊」。
HCH_011_056_000007	四年，魏明帝殂，其后胡氏臨朝，天柱將軍尒朱榮自晉陽入弒胡氏，幷誅其親屬。
HCH_011_056_000008	景始以私衆見榮，榮甚奇景，卽委以軍事。
HCH_011_056_000009	會葛賊南逼，榮自討，命景先驅，至河內擊大破之，生擒葛榮，以功擢爲定州刺史、大行臺，封濮陽郡公。
HCH_011_056_000010	景自是威名遂著。
HCH_011_056_000011	頃之，齊神武帝爲魏相，又入洛誅尒朱氏，景復以衆降之，仍爲神武所用。
HCH_011_056_000012	景性殘忍酷虐，馭軍嚴整；然破掠所得財寶，皆班賜將士，故咸爲之用，所向多捷。
HCH_011_056_000013	總攬兵權，與神武相亞。
HCH_011_056_000014	魏以爲司徒、南道行臺，擁衆十萬，專制河南。
HCH_011_056_000015	及神武疾篤，謂子澄曰：「侯景狡猾多計，反覆難知，我死後，必不爲汝用。」
HCH_011_056_000016	乃爲書召景。
HCH_011_056_000017	景知之，慮及於禍，太清元年，乃遣其行臺郎中丁和來上表請降曰：丁和旣至，高祖召羣臣廷議。
HCH_011_056_000018	尚書僕射謝舉及百辟等議，皆云納侯景非宜，高祖不從是議而納景。
HCH_011_056_000019	及齊神武卒，其子澄嗣，是爲文襄帝。
HCH_011_056_000020	高祖乃下詔封景河南王、大將軍、使持節、董督河南南北諸軍事、大行臺，承制輒行，如鄧禹故事，給鼓吹一部。
HCH_011_056_000021	齊文襄遣大將軍慕容紹宗圍景於長社，景請西魏爲援，西魏遣其五城王元慶等率兵救之，紹宗乃退。
HCH_011_056_000022	景復請兵於司州刺史羊鴉仁，鴉仁遣長史鄧鴻率兵至汝水，元慶軍又夜遁。
HCH_011_056_000023	於是據懸瓠、項城，求遣刺史以鎮之。
HCH_011_056_000024	詔以羊鴉仁爲豫、司二州刺史，移鎮懸瓠；西陽太守羊思建爲殷州刺史，鎮項城。
HCH_011_056_000025	魏旣新喪元帥，景又舉河南內附，齊文襄慮景與西、南合從，方爲己患，乃以書喻景曰：十二月，景率軍圍譙城不下，退攻城父，拔之。
HCH_011_056_000026	又遣其行臺左丞王偉、左民郎中王則詣闕獻策，求諸元子弟立爲魏主，輔以北伐，許之。
HCH_011_056_000027	詔遣太子舍人元貞爲咸陽王，須渡江，許卽偽位，乘輿副御以資給之。
HCH_011_056_000028	齊文襄又遣慕容紹宗追景，景退入渦陽，馬尚有數千匹，甲卒數萬人，車萬餘輛，相持於渦北。
HCH_011_056_000029	景軍食盡，士卒並北人，不樂南渡，其將暴顯等各率所部降於紹宗。
HCH_011_056_000030	景軍潰散，乃與腹心數騎自峽石濟淮，稍收散卒，得馬步八百人，奔壽春，監州韋黯納之。
HCH_011_056_000031	景啓求貶削，優詔不許，仍以爲豫州牧，本官如故。
HCH_011_056_000032	景旣據壽春，遂懷反叛，屬城居民，悉召募爲軍士，輒停責市估及田租，百姓子女悉以配將卒。
HCH_011_056_000033	又啓求錦萬匹，爲軍人袍，領軍朱异議，以御府錦署止充頒賞遠近，不容以供邊城戎服，請送青布以給之。
HCH_011_056_000034	景得布，悉用爲袍衫，因尚青色。
HCH_011_056_000035	又以臺所給仗，多不能精，啓請東冶鍛工，欲更營造，敕並給之。
HCH_011_056_000036	景自渦陽敗後，多所徵求，朝廷含弘，未嘗拒絕。
HCH_011_056_000037	先是，豫州刺史貞陽侯淵明督衆軍圍彭城，兵敗沒于魏。
