HCH_012_013_000001	憲宗繼天凝道誠明仁敬崇文肅武宏德聖孝純皇帝，諱見深，英宗長子也。
HCH_012_013_000002	母貴妃周氏。
HCH_012_013_000003	初名見濬。
HCH_012_013_000004	英宗留瓦剌，皇太后命立為皇太子。
HCH_012_013_000005	景泰三年，廢為沂王。
HCH_012_013_000006	天順元年，復立為皇太子，改名見深。
HCH_012_013_000007	天順八年正月，英宗崩。
HCH_012_013_000008	乙亥，即皇帝位。
HCH_012_013_000009	以明年為成化元年，大赦天下。
HCH_012_013_000010	免明年田租三之一。
HCH_012_013_000011	浙江、江西、福建、陝西、臨清鎮守內外官，諸邊鎮守內官，正統間所無者悉罷之。
HCH_012_013_000012	下番使者、緝事官校皆召還。
HCH_012_013_000013	二月庚子，始以內批授官。
HCH_012_013_000014	三月甲寅朔，尊皇后為慈懿皇太后，貴妃周氏為皇太后。
HCH_012_013_000015	戊午，放宮人。
HCH_012_013_000016	丙寅，毀錦衣衞新獄。
HCH_012_013_000017	庚午，賜彭教等進士及第、出身有差。
HCH_012_013_000018	癸酉，詔內閣九卿考覈天下方面官。
HCH_012_013_000019	戊寅，復立團營。
HCH_012_013_000020	夏四月癸未朔，日當食，不見。
HCH_012_013_000021	五月丁巳，大風雨雹，敕羣臣修省。
HCH_012_013_000022	庚申，葬睿皇帝於裕陵。
HCH_012_013_000023	秋七月壬申，立吳氏為皇后。
HCH_012_013_000024	八月癸未，御經筵。
HCH_012_013_000025	甲申，命儒臣日講。
HCH_012_013_000026	癸卯，廢皇后吳氏。
HCH_012_013_000027	下太監牛玉於獄。
HCH_012_013_000028	冬十月壬辰，立王氏為皇后。
HCH_012_013_000029	甲辰，立武舉法。
HCH_012_013_000030	十二月甲辰，免京官雜犯罪。
HCH_012_013_000031	是年，兩畿、川、廣、荊、襄盜賊大起，道路不通。
HCH_012_013_000032	安南、烏斯藏入貢。
HCH_012_013_000033	成化元年春正月乙卯，享太廟。
HCH_012_013_000034	己未，大祀天地於南郊。
HCH_012_013_000035	甲子，都督同知趙輔為征夷將軍，充總兵官，僉都御史韓雍贊理軍務，討廣西叛瑤。
HCH_012_013_000036	二月戊子，祭社稷。
HCH_012_013_000037	甲午，耕耤田。
HCH_012_013_000038	三月庚戌，四川山都掌蠻亂。
HCH_012_013_000039	丁巳，釋奠於先師孔子。
HCH_012_013_000040	夏五月辛酉，大雨雹。
HCH_012_013_000041	壬戌，避正殿減饍，敕羣臣修省。
HCH_012_013_000042	秋七月己酉，免天下軍衞屯糧十之三。
HCH_012_013_000043	甲子，振兩畿、浙江、河南饑。
HCH_012_013_000044	八月丁丑，工部侍郎沈義、僉都御史吳琛振撫兩畿饑民。
HCH_012_013_000045	辛巳，瘞暴骸。
HCH_012_013_000046	庚寅，毛里孩犯延綏，總兵官房能敗之。
HCH_012_013_000047	冬十二月癸卯，撫寧伯朱永為靖虜將軍，充總兵官，太監唐慎監軍，工部尚書白圭提督軍務，討荊、襄賊。
HCH_012_013_000048	是月，韓雍大破大藤峽瑤，改名峽曰「斷藤」。
HCH_012_013_000049	是年，琉球、哈密、爪哇、烏斯藏入貢。
HCH_012_013_000050	二年春正月戊申，罷團營。
HCH_012_013_000051	乙卯，大祀天地於南郊。
HCH_012_013_000052	辛酉，英宗神主祔太廟。
HCH_012_013_000053	二月癸未，禮部侍郎鄒幹巡視畿內饑民。
HCH_012_013_000054	三月甲辰，賜羅倫等進士及第、出身有差。
HCH_012_013_000055	己酉，李賢父卒，乞終制，不許。
HCH_012_013_000056	乙卯，朱永大破荊、襄賊劉通於南漳。
HCH_012_013_000057	閏月癸酉，振南畿饑。
HCH_012_013_000058	乙未，朱永擊擒劉通，其黨石龍遁，轉掠四川。
HCH_012_013_000059	夏五月癸酉，修撰羅倫以論李賢起復謫福建市舶司提舉。
HCH_012_013_000060	己卯，禁侵損古帝王、忠臣、烈士、名賢陵墓。
HCH_012_013_000061	六月甲辰，趙輔師還。
HCH_012_013_000062	乙巳，免今年天下屯糧十之三。
HCH_012_013_000063	壬子，楊信為平虜將軍，充總兵官，太監裴當監督軍務，禦寇延綏。
HCH_012_013_000064	秋七月辛巳，封弟見治為忻王，見沛徽王。
HCH_012_013_000065	戊戌，毛里孩犯固原。
HCH_012_013_000066	八月丁巳，犯寧夏，都指揮焦政戰死。
HCH_012_013_000067	丁卯，諭祭于謙，復其子冕官。
HCH_012_013_000068	冬十月丁未，朱永擊擒石龍，賊平，進永爵為侯。
HCH_012_013_000069	十二月甲寅，李賢卒。
HCH_012_013_000070	丙辰，太常寺少卿兼翰林院侍讀學士劉定之入閣預機務。
HCH_012_013_000071	是月，斷藤峽賊復起。
HCH_012_013_000072	是年，哈密、琉球、安南、烏斯藏、瓦剌入貢。
HCH_012_013_000073	四年春正月甲戌，大祀天地於南郊。
HCH_012_013_000074	三月甲子，免湖廣被災秋糧。
HCH_012_013_000075	甲申，詔中外勢家毋得擅請田土。
HCH_012_013_000076	夏四月丁巳，錄囚。
HCH_012_013_000077	陳文卒。
HCH_012_013_000078	五月癸未，遣使錄天下囚。
HCH_012_013_000079	六月丙午，免江西被災秋糧。
HCH_012_013_000080	辛亥，開城賊滿俊反，陝西總兵官寧遠伯任壽、巡撫都御史陳价討之。
HCH_012_013_000081	甲寅，慈懿皇太后崩。
HCH_012_013_000082	秋七月癸酉，都督同知劉玉為平虜副將軍，充總兵官，太監劉祥監軍，副都御史項忠總督軍務，討滿俊。
HCH_012_013_000083	八月癸巳，京師地震。
HCH_012_013_000084	乙卯，朱永代劉玉為總兵官。
HCH_012_013_000085	是月，任壽、陳价、寧夏總兵官廣義伯吳琮及滿俊戰，敗績，都指揮蔣泰、申澄被殺。
HCH_012_013_000086	九月庚申，葬孝莊睿皇后於裕陵。
HCH_012_013_000087	辛酉，振陝西饑。
HCH_012_013_000088	壬申，以地震、星變下詔自責，敕羣臣修省。
HCH_012_013_000089	甲申，給事中董旻、御史胡深等九人請罷商輅及禮部尚書姚夔，下獄，杖之。
HCH_012_013_000090	冬十月乙未，項忠敗賊於石城，伏羌伯毛忠戰死。
HCH_012_013_000091	十一月，項忠擊擒滿俊，送京師，伏誅。
HCH_012_013_000092	壬戌，毛里孩犯遼東，指揮胡珍戰沒。
HCH_012_013_000093	十二月己酉，遼東總兵官趙勝奏：「十一月初六日，虜賊千餘攻指揮傅斌營，指揮胡珍率軍來援，被賊射死。」
HCH_012_013_000094	毛里孩犯延綏，都指揮僉事許寧擊敗之。
HCH_012_013_000095	是年，琉球、烏斯藏、哈密、日本、滿剌加入貢。
HCH_012_013_000096	五年春正月乙丑，大祀天地於南郊。
HCH_012_013_000097	三月辛丑，賜張昇等進士及第、出身有差。
HCH_012_013_000098	夏五月辛丑，禮部侍郎萬安兼翰林院學士，入閣預機務。
HCH_012_013_000099	六月癸丑朔，日有食之。
HCH_012_013_000100	辛酉，錄囚。
HCH_012_013_000101	秋八月辛酉，劉定之卒。
HCH_012_013_000102	冬十一月乙未，毛里孩犯延綏。
HCH_012_013_000103	是年冬，阿羅出入居河套。
HCH_012_013_000104	琉球、哈密、烏斯藏、滿剌加、安南、土魯番入貢。
HCH_012_013_000105	六年春正月己丑，大祀天地於南郊。
HCH_012_013_000106	己亥，大同總兵官楊信敗毛里孩於胡柴溝。
HCH_012_013_000107	二月辛未，大理寺少卿宋旻，侍郎曾翬、原傑、黃琛，副都御史滕昭巡視畿南、浙江、河南、四川、福建，考察官吏，訪軍民疾苦。
HCH_012_013_000108	其餘直省有巡撫等官者，命亦如之。
HCH_012_013_000109	丁丑，禱雨於郊壇。
HCH_012_013_000110	戊寅，振廣西饑。
HCH_012_013_000111	三月甲申，免湖廣、山東被災稅糧。
HCH_012_013_000112	壬寅，詔延綏屯田。
HCH_012_013_000113	朱永為平虜將軍，充總兵官，太監傅恭、顧恆監軍，王越參贊軍務，備阿羅出於延綏。
HCH_012_013_000114	夏五月丙申，振畿內、山東、河南饑。
HCH_012_013_000115	丁酉，王越敗阿羅出於延綏東路。
HCH_012_013_000116	六月戊申朔，日有食之。
HCH_012_013_000117	秋七月壬午，朱永敗阿羅出於雙山堡。
HCH_012_013_000118	丙戌，都御史項忠、侍郎葉盛振畿輔饑民。
HCH_012_013_000119	都督李昹撫治屯營。
HCH_012_013_000120	甲辰，總兵官房能敗阿羅出於開荒川。
HCH_012_013_000121	是月，免南畿、四川被災稅糧。
HCH_012_013_000122	八月辛亥，振山西饑。
HCH_012_013_000123	癸丑，以水旱相仍，下詔寬卹。
HCH_012_013_000124	冬十月，免畿內、河南、山東被災稅糧。
HCH_012_013_000125	十一月癸未，荊、襄流民作亂，項忠總督河南、湖廣、荊、襄軍務討之。
HCH_012_013_000126	是月，孛羅忽渡河與阿羅出合。
HCH_012_013_000127	十二月庚戌，遣使十四人分振畿輔。
HCH_012_013_000128	是年，琉球、哈密、烏斯藏入貢。
HCH_012_013_000129	七年春正月辛巳，命京官五品以上及給事中、御史各舉堪州縣者一人。
HCH_012_013_000130	丙戌，大祀天地於南郊。
HCH_012_013_000131	夏四月己巳，錄囚。
HCH_012_013_000132	五月辛巳，瘞京師暴骸。
HCH_012_013_000133	秋八月甲辰，振山東、浙江水災。
HCH_012_013_000134	閏九月己未，浙江潮溢，漂民居、鹽場，遣工部侍郎李顒往祭海神，修築堤岸。
HCH_012_013_000135	冬十月乙亥，王恕為刑部侍郎，總理河道。
HCH_012_013_000136	十一月甲寅，立皇子祐極為皇太子，大赦。
HCH_012_013_000137	己未，荊、襄賊平，流民復業者一百四十餘萬人。
HCH_012_013_000138	十二月甲戌，彗星見，下詔自責，敕羣臣修省，條時政得失。
HCH_012_013_000139	壬午，彗星入紫微垣，避正殿，撤樂，御奉天門聽政。
HCH_012_013_000140	癸未，召朱永還，王越總督延綏軍務。
HCH_012_013_000141	辛卯，減死罪以下。
HCH_012_013_000142	是年，癿加思蘭入居河套，與阿羅出合。
HCH_012_013_000143	安南黎灝攻占城，破之。
HCH_012_013_000144	琉球、安南入貢。
HCH_012_013_000145	八年春正月庚戌，大祀天地於南郊。
HCH_012_013_000146	癸亥，皇太子薨。
HCH_012_013_000147	是月，延綏參將錢亮禦毛里孩於安邊營，敗績，都指揮柏隆、陳英戰死。
HCH_012_013_000148	癿加思蘭犯固原、平涼。
HCH_012_013_000149	三月癸丑，賜吳寬等進士及第、出身有差。
