HCH_012_020_000001	神宗範天合道哲肅敦簡光文章武安仁止孝顯皇帝，諱翊鈞，穆宗第三子也。
HCH_012_020_000002	母貴妃李氏。
HCH_012_020_000003	隆慶二年，立為皇太子，時方六歲。
HCH_012_020_000004	性岐嶷，穆宗嘗馳馬宮中，諫曰：「陛下天下主，獨騎而騁，寧無銜橛憂。」
HCH_012_020_000005	穆宗喜，下馬勞之。
HCH_012_020_000006	陳皇后病居別宮，每晨隨貴妃候起居。
HCH_012_020_000007	后聞履聲輒喜，為強起。
HCH_012_020_000008	取經書問之，無不響答，貴妃亦喜。
HCH_012_020_000009	由是兩宮益和。
HCH_012_020_000010	六年五月，穆宗崩。
HCH_012_020_000011	六月乙卯朔，日有食之。
HCH_012_020_000012	甲子，即皇帝位。
HCH_012_020_000013	以明年為萬曆元年，詔赦天下。
HCH_012_020_000014	祀建文朝盡節諸臣於鄉，有苗裔者卹錄。
HCH_012_020_000015	庚午，罷高拱。
HCH_012_020_000016	丁丑，高儀卒。
HCH_012_020_000017	壬午，禮部尚書呂調陽兼文淵閣大學士，預機務。
HCH_012_020_000018	秋七月丁亥，初通漕運於密雲。
HCH_012_020_000019	庚寅，察京官。
HCH_012_020_000020	己亥，戒諭廷臣，詔曰：「近歲以來，士習澆漓，官方刓缺，詆老成為無用，矜便佞為有才。遂使朝廷威福之柄，徒為人臣報復之資。用是薄示懲戒，餘皆曲貸。諸臣宜祓除前愆，共維新政。若溺於故習，背公徇私，獲罪祖宗，朕不敢赦。」
HCH_012_020_000021	庚子，尊皇后曰仁聖皇太后，貴妃曰慈聖皇太后。
HCH_012_020_000022	八月戊午，祀大社大稷。
HCH_012_020_000023	九月甲午，葬莊皇帝於昭陵。
HCH_012_020_000024	冬十月己未，侍郎王遴、吳百朋、汪道昆分閱邊防。
HCH_012_020_000025	辛酉，停刑。
HCH_012_020_000026	十一月乙未，河工成。
HCH_012_020_000027	十二月辛酉，振榆林、延綏饑。
HCH_012_020_000028	甲戌，以大行未期，罷明年元夕燈火及宮中宴。
HCH_012_020_000029	萬曆元年春二月癸丑，御經筵。
HCH_012_020_000030	三月丙申，詔內外官舉將材。
HCH_012_020_000031	夏四月乙丑，潮、惠賊平。
HCH_012_020_000032	庚午，旱，諭百官修省。
HCH_012_020_000033	五月甲申，詔內外官慎刑獄。
HCH_012_020_000034	六月壬申，振淮安水災。
HCH_012_020_000035	秋七月，河決徐州。
HCH_012_020_000036	九月癸未，振荊州、承天及濟南災。
HCH_012_020_000037	丙戌，四川都掌蠻平。
HCH_012_020_000038	癸卯，停刑。
HCH_012_020_000039	冬十一月庚辰，命諸司立程限文簿，以防稽緩。
HCH_012_020_000040	十二月己未，振遼東饑。
HCH_012_020_000041	是年，暹羅、琉球入貢。
HCH_012_020_000042	二年春正月甲午，召見朝覲廉能官於皇極門。
HCH_012_020_000043	二月甲寅，振四川被寇諸縣。
HCH_012_020_000044	三月癸巳，賜孫繼皐等進士及第、出身有差。
HCH_012_020_000045	夏四月丙寅，詔內外官行久任之法。
