HCH_012_045_000001	福建《禹貢》揚州之域。
HCH_012_045_000002	元置福建道宣慰使司，治福州路。
HCH_012_045_000003	屬江浙行中書省。
HCH_012_045_000004	至正十六年正月改宣慰司爲行中書省。
HCH_012_045_000005	太祖吳元年十二月平陳友定。
HCH_012_045_000006	洪武二年五月仍置福建等處行中書省。
HCH_012_045_000007	七年二月置福州都衛。
HCH_012_045_000008	與行中書省同治。
HCH_012_045_000009	八年十月改福州都衛爲福建都指揮使司。
HCH_012_045_000010	九年六月改行中書省爲承宣布政使司。
HCH_012_045_000011	領府八，直隸州一，屬縣五十七。
HCH_012_045_000012	爲裏三千七百九十七。
HCH_012_045_000013	北至嶺，與浙江界。
HCH_012_045_000014	西至汀州，與江西界。
HCH_012_045_000015	南至詔安，與廣東界。
HCH_012_045_000016	東至海。
HCH_012_045_000017	距南京二千八百七十二里，京師六千一百三十三里。
HCH_012_045_000018	洪武二十六年編戶八十一萬五千五百二十七，口三百九十一萬六千八百六。
HCH_012_045_000019	弘治四年，戶五十萬六千三十九，口二百一十萬六千六十。
HCH_012_045_000020	萬曆六年，戶五十一萬五千三百七，口一百七十三萬八千七百九十三。
HCH_012_045_000021	福州府元福州路，屬福建道。
HCH_012_045_000022	太祖吳元年爲府。
HCH_012_045_000023	領縣九：閩倚。
HCH_012_045_000024	南有釣台山，亦曰南臺山。
HCH_012_045_000025	東南有鼓山。
HCH_012_045_000026	南有方山，一名甘果山，下有官母嶼，有巡檢司。
HCH_012_045_000027	東南濱海。
HCH_012_045_000028	南有閩江，亦曰建江，自南平縣流入府界。
HCH_012_045_000029	東南納羣川之水，至府西曰洪塘江，分二流，南出曰陶江，東出曰南臺江，至鼓山下復合爲一。
HCH_012_045_000030	又東南有馬頭江，自永福縣流入，曰西峽江，又東有東峽江流合焉，又東南至五虎門，入於海。
HCH_012_045_000031	東有閩安鎮巡檢司。
HCH_012_045_000032	侯官倚。
HCH_012_045_000033	西有旗山，有雪峯山，有建江，又有西禪浦。
HCH_012_045_000034	西南有陽崎、吳山、鳳岡、澤苗、延澤、仙阪等六浦，皆建江支分，仍合正流入海。
HCH_012_045_000035	西北有懷安縣，洪武十二年移入郭內，與閩、侯官同治，萬曆八年九月省。
HCH_012_045_000036	西北有竹崎、又有五縣寨二巡檢司。
HCH_012_045_000037	長樂府東少南。
HCH_012_045_000038	東濱海，有海堤。
HCH_012_045_000039	北有馬頭江。
HCH_012_045_000040	又東有守禦梅花千戶所，洪武二十一年二月置。
HCH_012_045_000041	東北有石樑蕉山、東南有松下鎮二巡檢司。
HCH_012_045_000042	又東有小祉山巡檢司，後移治大祉澳。
HCH_012_045_000043	福清府南少東。
HCH_012_045_000044	元福清州。
HCH_012_045_000045	洪武二年二月降爲縣。
HCH_012_045_000046	東南際海，有鹽場，海中有海壇山，又有小練山。
HCH_012_045_000047	南有龍江，又有逕江。
HCH_012_045_000048	東南有海口，江皆匯流入海。
HCH_012_045_000049	又東有鎮東衛，東南有守禦萬安千戶所，俱洪武二十一年二月置。
HCH_012_045_000050	又有澤郎山、有牛頭門、又南有壁頭山三巡檢司。
HCH_012_045_000051	又東有海口鎮巡檢司，洪武二十年移於長樂縣之松下鎮。
HCH_012_045_000052	連江府東北。
HCH_012_045_000053	東北濱海，海中有北茭鎮巡檢司。
HCH_012_045_000054	南有連江，東入海。
HCH_012_045_000055	東北有守禦定海千戶所，洪武二十一年二月置。
HCH_012_045_000056	羅源府東北。
HCH_012_045_000057	東濱海。
HCH_012_045_000058	西有羅川，南流分三派入海。
HCH_012_045_000059	南有應德鎮。
HCH_012_045_000060	古田府西北。
HCH_012_045_000061	建江在縣南，自南平縣流入，經城南，有大溪流合焉，謂之水口。
HCH_012_045_000062	又東南逕模天嶺下，江流至此始出險就平，東入閩清縣界。
HCH_012_045_000063	東有杉洋鎮，出銀坑，有巡檢司，後廢。
HCH_012_045_000064	又西南有谷口鎮、西北有西溪鎮二巡檢司，尋廢。
HCH_012_045_000065	閩清府西北。
HCH_012_045_000066	西南有大帽山。
HCH_012_045_000067	北有建江，西南有梅溪流合焉。
HCH_012_045_000068	東有青窯鎮巡檢司，廢。
HCH_012_045_000069	永福府西南。
HCH_012_045_000070	西南有高蓋山，又南有陳山。
HCH_012_045_000071	東有東溪，匯諸山溪之水，下流會於福清之龍江而入海。
HCH_012_045_000072	又有漈門巡檢司，後移於嵩口埕，尋復故。
HCH_012_045_000073	興化府元興化路，屬福建道宣慰司。
HCH_012_045_000074	洪武元年爲府。
HCH_012_045_000075	領縣二。
HCH_012_045_000076	北距布政司二百八十里。
HCH_012_045_000077	莆田倚。
HCH_012_045_000078	東南濱海，海中有湄洲嶼，又有南日山，俱東與琉球國相望。
HCH_012_045_000079	又南有木蘭溪，北有延壽溪，東北有荻蘆溪，又有通應港，俱會流入海。
HCH_012_045_000080	又西北有興化縣，正統十三年四月省。
HCH_012_045_000081	東有平海衛，東南有守禦莆禧千戶所，俱洪武二十一年二月置。
HCH_012_045_000082	東有嵌頭、西北有大洋寨、東南有吉了三巡檢。
HCH_012_045_000083	東有衝沁巡檢司，本治尋陽，後徙興福。
HCH_012_045_000084	又有青山巡檢司，本治武盛裏南哨，後徙奉國裏。
HCH_012_045_000085	東南有南日山巡檢司，後徙新安。
HCH_012_045_000086	東北有迎仙寨巡檢司，後移鼓樓山。
HCH_012_045_000087	東有峙頭、東南有小峙二巡檢司，後廢。
HCH_012_045_000088	仙遊府西。
HCH_012_045_000089	北有二飛山。
HCH_012_045_000090	東北有何嶺。
HCH_012_045_000091	南臨九鯉湖，湖在萬山中，下流入莆田縣界，合於延壽溪。
HCH_012_045_000092	西有三會溪，即木蘭溪上源。
HCH_012_045_000093	西有白嶺巡檢司，後遷於文殊寨。
HCH_012_045_000094	南有楓亭市、西有潭邊市二巡檢司，後廢。
HCH_012_045_000095	建寧府元建寧路，屬福建道宣慰司。
HCH_012_045_000096	洪武元年爲府。
HCH_012_045_000097	領縣八。
HCH_012_045_000098	四年正月置建寧都衛於此。
HCH_012_045_000099	八年十月改爲福建行都指揮使司。
HCH_012_045_000100	東南距布政司五百二十五里。
HCH_012_045_000101	建安倚。
HCH_012_045_000102	東北有鳳凰山，產茶。
HCH_012_045_000103	東有東溪，即建江，自浙江慶元縣流經此，又西合於西溪。
HCH_012_045_000104	又東南有壽嶺巡檢司。
HCH_012_045_000105	甌寧倚。
HCH_012_045_000106	西有西溪，源出崇安縣，東會諸溪之水，流入縣境，又東合於東溪，南入延平府界。
