HCH_012_078_000001	賦役之法，唐租庸調猶為近古。
HCH_012_078_000002	自楊炎作兩稅法，簡而易行，歷代相沿，至明不改。
HCH_012_078_000003	太祖為吳王，賦稅十取一，役法計田出夫。
HCH_012_078_000004	縣上、中、下三等，以賦十萬、六萬、三萬石下為差。
HCH_012_078_000005	府三等，以賦二十萬上下、十萬石下為差。
HCH_012_078_000006	即位之初，定賦役法，一以黃冊為準。
HCH_012_078_000007	冊有丁有田，丁有役，田有租。
HCH_012_078_000008	租曰夏稅，曰秋糧，凡二等。
HCH_012_078_000009	夏稅無過八月，秋糧無過明年二月。
HCH_012_078_000010	丁曰成丁，曰未成丁，凡二等。
HCH_012_078_000011	民始生，籍其名曰不成丁，年十六曰成丁。
HCH_012_078_000012	成丁而役，六十而免。
HCH_012_078_000013	又有職役優免者，役曰裏甲，曰均徭，曰雜泛，凡三等。
HCH_012_078_000014	以戶計曰甲役，以丁計曰徭役，上命非時曰雜役，皆有力役，有僱役。
HCH_012_078_000015	府州縣驗冊丁口多寡，事產厚薄，以均適其力。
HCH_012_078_000016	兩稅，洪武時，夏稅曰米麥，曰錢鈔，曰絹。
HCH_012_078_000017	秋糧曰米，曰錢鈔，曰絹。
HCH_012_078_000018	弘治時，會計之數，夏稅曰大小米麥，曰麥荍，曰絲綿並荒絲，曰稅絲，曰絲綿折絹，曰稅絲折絹，曰本色絲，曰農桑絲折絹，曰農桑零絲，曰人丁絲折絹，曰改科絹，曰棉花折布，曰薴布，曰土薴，曰紅花，曰麻布，曰鈔，曰租鈔，曰稅鈔，曰原額小絹，曰幣帛絹，曰本色絹，曰絹，曰折色絲。
HCH_012_078_000019	秋糧曰米，曰租鈔，曰賃鈔，曰山租鈔，曰租絲，曰租絹，曰粗租麻布，曰課程棉布，曰租薴布，曰牛租米穀，曰地畝棉花絨，曰棗子易米，曰棗株課米，曰課程薴麻折米，曰棉布，曰魚課米，曰改科絲折米。
HCH_012_078_000020	萬歷時，小有所增損，大略以米麥為主，而絲絹與鈔次之。
HCH_012_078_000021	夏稅之米惟江西、湖廣、廣東、廣西，麥荍惟貴州，農桑絲遍天下，惟不及川、廣、雲、貴，餘各視其地產。
HCH_012_078_000022	太祖初立國即下令，凡民田五畝至十畝者，栽桑、麻、木棉各半畝，十畝以上倍之。
HCH_012_078_000023	麻畝徵八兩，木棉畝四兩。
HCH_012_078_000024	栽桑以四年起科。
HCH_012_078_000025	不種桑，出絹一疋。
HCH_012_078_000026	不種麻及木棉，出麻布、棉布各一疋。
HCH_012_078_000027	此農桑絲絹所由起也。
HCH_012_078_000028	洪武九年，天下稅糧，令民以銀、鈔、錢、絹代輸。
HCH_012_078_000029	銀一兩、錢千文、鈔一貫，皆折輸米一石，小麥則減直十之二。
HCH_012_078_000030	棉薴一疋，折米六斗，麥七斗。
HCH_012_078_000031	麻布一疋，折米四斗，麥五斗。
HCH_012_078_000032	絲絹等各以輕重為損益，願人粟者聽。
HCH_012_078_000033	十七年，雲南以金、銀、貝、布、漆、丹砂、水銀代秋租。
HCH_012_078_000034	於是謂米麥為本色，而諸折納稅糧者，謂之折色。
HCH_012_078_000035	越二年，又令戶部侍郎楊靖會計天下倉儲存糧，二年外並收折色，惟北方諸布政司需糧餉邊，仍使輸粟。
HCH_012_078_000036	三十年諭戶部曰：「行人高稹言，陝西困逋賦。其議自二十八年以前，天下逋租，咸許任土所產，折收布、絹、棉花及金、銀等物，著為令。」
HCH_012_078_000037	於是戶部定：鈔一錠，折米一石；金一兩，十石；銀一兩，二石；絹一疋，石有二斗；棉布一疋，一石；薴布一疋，七斗；棉花一斤，二斗。
HCH_012_078_000038	帝曰：「折收逋賦，蓋欲蘇民困也。今賦重若此，將愈困民，豈恤之之意哉。金、銀每兩折米加一倍。鈔止二貫五百文折一石。餘從所議。」
HCH_012_078_000039	永樂中，既得交阯，以絹，漆，蘇木，翠羽，紙扇，沉、速、安息諸香代租賦。
HCH_012_078_000040	廣東瓊州黎人、肇慶瑤人內附，輸賦比內地。
HCH_012_078_000041	天下本色稅糧三千餘萬石，絲鈔等二千餘萬。
HCH_012_078_000042	計是時，宇內富庶，賦入盈羨，米粟自輸京師數百萬石外，府縣倉廩蓄積甚豐，至紅腐不可食。
HCH_012_078_000043	歲歉，有司往往先發粟振貸，然後以聞。
HCH_012_078_000044	雖歲貢銀三十萬兩有奇，而民間交易用銀，仍有厲禁。
HCH_012_078_000045	至正統元年，副都御史周銓言：「行在各衛官俸支米南京，道遠費多，輒以米易貨，貴買賤售，十不及一。朝廷虛糜廩祿，各官不得實惠。請於南畿、浙江、江西、湖廣不通舟楫地，折收布、絹、白金，解京充俸。」
HCH_012_078_000046	江西巡撫趙新亦以為言，戶部尚書黃福復條以請。
HCH_012_078_000047	帝以問行在戶部尚書胡濙。
HCH_012_078_000048	濙對以太祖嘗折納稅糧於陝西、浙江，民以為便。
HCH_012_078_000049	遂仿其制，米麥一石，折銀二錢五分。
HCH_012_078_000050	南畿、浙江、江西、湖廣、福建、廣東、廣西米麥共四百餘萬石，折銀百萬餘兩，入內承運庫，謂之金花銀。
HCH_012_078_000051	其後概行於天下。
HCH_012_078_000052	自起運兌軍外，糧四石收銀一兩解京，以為永例。
HCH_012_078_000053	諸方賦入折銀，而倉廩之積漸少矣。
HCH_012_078_000054	初，太祖定天下官、民田賦，凡官田畝稅五升三合五勺，民田減二升，重租田八升五合五勺，沒官田一斗二升。
HCH_012_078_000055	惟蘇、鬆、嘉、湖，怒其為張士誠守，乃籍諸豪族及富民田以為官田，按私租簿為稅額。
HCH_012_078_000056	而司農卿楊憲又以浙西地膏腴，增其賦，畝加二倍。
HCH_012_078_000057	故浙西官、民田視他方倍蓰，畝稅有二三石者。
HCH_012_078_000058	大抵蘇最重，鬆、嘉、湖次之，常、杭又次之。
HCH_012_078_000059	洪武十三年命戶部裁其額，畝科七斗五升至四斗四升者減十之二，四斗三升至三斗六升者俱止徵三斗五升，其以下者仍舊。
HCH_012_078_000060	時蘇州一府，秋糧二百七十四萬六千餘石，自民糧十五萬石外，皆官田糧。
HCH_012_078_000061	官糧歲額與浙江通省埒，其重猶如此。
HCH_012_078_000062	建文二年詔曰：「江、浙賦獨重，而蘇、鬆準私租起科，特以懲一時頑民，豈可為定則以重困一方。宜悉與減免，畝不得過一斗。」
HCH_012_078_000063	成祖盡革建文政，浙西之賦復重。
HCH_012_078_000064	宣宗即位，廣西布政使周幹巡視蘇、常、嘉、湖諸府還，言：「諸府民多逃亡，詢之耆老，皆云重賦所致。如吳江、崑山民田租，舊畝五升，小民佃種富民田，畝輸私租一石。後因事故入官，輒如私租例盡取之。十分取八，民猶不堪，況盡取乎。盡取，則民必凍餒，欲不逃亡，不可得也。仁和、海寧、崑山海水陷官、民田千九百餘頃，逮今十有餘年，猶徵其租。田沒於海，租從何出？請將沒官田及公、侯還官田租，俱視彼處官田起科，畝稅六斗。海水淪陷田，悉除其稅，則田無荒蕪之患，而細民獲安生矣。」
HCH_012_078_000065	帝命部議行之。
HCH_012_078_000066	宣德五年二月詔：「舊額官田租，畝一斗至四斗者各減十之二，四斗一升至一石以上者減十之三。著為令。」
HCH_012_078_000067	於是江南巡撫周忱與蘇州知府況鐘，曲計減蘇糧七十餘萬，他府以為差，而東南民力少紓矣。
HCH_012_078_000068	忱又令松江官田依民田起科，戶部劾以變亂成法。
HCH_012_078_000069	宣宗雖不罪，亦不能從。
HCH_012_078_000070	而朝廷數下詔書，蠲除租賦。
HCH_012_078_000071	持籌者輒私戒有司，勿以詔書為辭。
HCH_012_078_000072	帝與尚書胡濙言：「計臣壅遏膏澤」，然不深罪也。
HCH_012_078_000073	正統元年令蘇、鬆、浙江等處官田，準民田起科，秋糧四斗一升至二石以上者減作三斗，二斗一升以上至四斗者減作二斗，一斗一升至二斗者減作一斗。
HCH_012_078_000074	蓋宣德末，蘇州逋糧至七百九十萬石，民困極矣。
HCH_012_078_000075	至是，乃獲少蘇。
HCH_012_078_000076	英宗復闢之初，令鎮守浙江尚書孫原貞等定杭、嘉、湖則例，以起科重者徵米宜少，起科輕者徵米宜多。
HCH_012_078_000077	乃定官田畝科一石以下，民田七斗以下者，每石歲徵平米一石三斗；官民田四斗以下者，每石歲徵平米一石五斗；官田二斗以下，民田二斗七升以下者，每石歲徵平米一石七斗；官田八升以下，民田七升以下者，每石歲徵平米二石二斗。
HCH_012_078_000078	凡重者輕之，輕者重之，欲使科則適均，而畝科一石之稅未嘗減云。
HCH_012_078_000079	嘉靖二年，御史黎貫言：「國初夏秋二稅，麥四百七十餘萬石，今少九萬；米二千四百七十餘萬石，今少二百五十餘萬。而宗室之蕃，官吏之冗，內官之眾，軍士之增，悉取給其中。賦入則日損，支費則日加。請核祖宗賦額及經費多寡之數，一一區畫，則知賦入有限，而浮費不容不節矣。」
HCH_012_078_000080	於是戶部議：「令天下官吏考滿遷秩，必嚴核任內租稅，徵解足數，方許給由交代。仍乞朝廷躬行節儉，以先天下。」
HCH_012_078_000081	帝納之。
HCH_012_078_000082	既而諭德顧鼎臣條上錢糧積弊四事：一曰察理田糧舊額。
HCH_012_078_000083	請責州縣官，於農隙時，令裏甲等仿洪武、正統間魚鱗、風旗之式，編造圖冊，細列元額田糧、字圩、則號、條段、坍荒、成熟步口數目，官為覆勘，分別界址，履畝檢踏丈量，具開墾改正豁除之數。
HCH_012_078_000084	刊刻成書，收貯官庫，給散里中，永為稽考。
HCH_012_078_000085	仍斟酌先年巡撫周忱、王恕簡便可行事例，立為定規。
HCH_012_078_000086	取每歲實徵、起運、存留、加耗、本色、折色並處補、暫徵、帶徵、停徵等件數目，會計已定，張榜曉諭。
HCH_012_078_000087	庶吏胥不得售其奸欺，而小民免賠累科擾之患。
HCH_012_078_000088	一曰催徵歲辦錢糧。
HCH_012_078_000089	成、弘以前，裏甲催徵，糧戶上納，糧長收解，州縣臨收。
HCH_012_078_000090	糧長不敢多收斛面，糧戶不敢攙雜水穀糠粃，兌糧官軍不敢阻難多索，公私兩便。
HCH_012_078_000091	近者，有司不復比較經催裏甲負糧人戶，但立限敲撲糧長，令下鄉追徵。
HCH_012_078_000092	豪強者則大斛倍收，多方索取，所至雞犬為空。
HCH_012_078_000093	孱弱者為勢豪所淩，耽延欺賴，不免變產補納。
HCH_012_078_000094	至或舊役侵欠，責償新僉，一人逋負，株連親屬，無辜之民死於箠楚囹圄者幾數百人。
HCH_012_078_000095	且往時每區糧長不過正、副二名，近多至十人以上。
HCH_012_078_000096	其實收掌管糧之數少，而科斂打點使用年例之數多。
HCH_012_078_000097	州縣一年之間，輒破中人百家之產，害莫大焉。
HCH_012_078_000098	宜令戶部議定事例，轉行所司，審編糧長務遵舊規。
HCH_012_078_000099	如州縣官多僉糧長，縱容下鄉，及不委裏甲催辦，輒酷刑限比糧長者，罪之。
HCH_012_078_000100	致人命多死者，以故勘論。
HCH_012_078_000101	其二則議遣官綜理及復預備倉糧也。
HCH_012_078_000102	疏下，戶部言：「所陳俱切時弊，令所司舉行。」
HCH_012_078_000103	遷延數載如故。
HCH_012_078_000104	糧長者，太祖時，令田多者為之，督其鄉賦稅。
HCH_012_078_000105	歲七月，州縣委官偕詣京，領勘合以行。
