HCH_012_080_000001	煮海之利，歷代皆官領之。
HCH_012_080_000002	太祖初起，即立鹽法，置局設官，令商人販鬻，二十取一，以資軍餉。
HCH_012_080_000003	既而倍徵之，用胡深言，復初制。
HCH_012_080_000004	丙午歲，始置兩淮鹽官。
HCH_012_080_000005	吳元年置兩浙。
HCH_012_080_000006	洪武初，諸產鹽地次第設官。
HCH_012_080_000007	都轉運鹽使司六：曰兩淮，曰兩浙，曰長蘆，曰山東，曰福建，曰河東。
HCH_012_080_000008	鹽課提舉司七：曰廣東，曰海北，曰四川，曰雲南；雲南提舉司凡四，曰黑鹽井，白鹽井，安寧鹽井，五井。
HCH_012_080_000009	又陝西靈州鹽課司一。
HCH_012_080_000010	兩淮所轄分司三，曰泰州，曰淮安，曰通州；批驗所二，曰儀真，曰淮安；鹽場三十，各鹽課司一。
HCH_012_080_000011	洪武時，歲辦大引鹽三十五萬二千餘引。
HCH_012_080_000012	弘治時，改辦小引鹽，倍之。
HCH_012_080_000013	萬歷時同。
HCH_012_080_000014	鹽行直隸之應天、甯國、太平、揚州、鳳陽，廬州、安慶、池州、淮安九府，滁、和二州，江西、湖廣二布政司，河南之河南、汝寧、南陽三府及陳州。
HCH_012_080_000015	正統中，貴州亦食淮鹽。
HCH_012_080_000016	成化十八年，湖廣衡州、永州改行海北鹽。
HCH_012_080_000017	正德二年，江西贛州、南安、吉安改行廣東鹽。
HCH_012_080_000018	所輸邊，甘肅、延綏、寧夏、宣府、大同、遼東、固原、山西神池諸堡。
HCH_012_080_000019	上供光祿寺、神宮監、內官監。
HCH_012_080_000020	歲入太倉餘鹽銀六十萬兩。
HCH_012_080_000021	兩浙所轄分司四，曰嘉興，曰松江，曰寧、紹，曰溫、台；批驗所四，曰杭州，曰紹興，曰嘉興，曰溫州；鹽場三十五，各鹽課司一。
HCH_012_080_000022	洪武時，歲辦大引鹽二十二萬四百餘引。
HCH_012_080_000023	弘治時，改辦小引鹽，倍之。
HCH_012_080_000024	萬歷時同。
HCH_012_080_000025	鹽行浙江，直隸之松江、蘇州、常州、鎮江、微州五府及廣德州，江西之廣信府。
HCH_012_080_000026	所輸邊，甘肅、延綏、寧夏、固原、山西神池諸堡。
HCH_012_080_000027	歲入太倉餘鹽銀十四萬兩。
HCH_012_080_000028	明初，置北平河間鹽運司，後改稱河間長蘆。
HCH_012_080_000029	所轄分司二，曰滄州，曰青州；批驗所二，曰長蘆，曰小直沽；鹽場二十四，各鹽課司一。
HCH_012_080_000030	洪武時，歲辦大引鹽六萬三幹一百餘引。
HCH_012_080_000031	弘治時，改辦小引鹽十八萬八百餘引。
HCH_012_080_000032	萬歷時同。
HCH_012_080_000033	鹽行北直隸，河南之彰德、衛輝二府。
HCH_012_080_000034	所輸邊，宣府、大同、薊州。
HCH_012_080_000035	上供郊廟百神祭祀、內府羞膳及給百官有司。
HCH_012_080_000036	歲入太倉餘鹽銀十二萬兩。
HCH_012_080_000037	山東所轄分司二，曰膠萊，曰濱樂；批驗所一，曰濼口；鹽場十九，各鹽課司一。
HCH_012_080_000038	洪武時，歲辦大引鹽十四萬三千三百餘引。
HCH_012_080_000039	弘治時，改辦小引鹽，倍之。
HCH_012_080_000040	萬歷時，九萬六千一百餘引。
HCH_012_080_000041	鹽行山東，直隸徐、邳、宿三州，河南開封府，後開封改食河東鹽。
HCH_012_080_000042	所輸邊，遼東及山西神池諸堡。
HCH_012_080_000043	歲入太倉餘鹽銀五萬兩。
HCH_012_080_000044	福建所轄鹽場七，各鹽課司一。
HCH_012_080_000045	洪武時，歲辦大引鹽十萬四千五百餘引。
HCH_012_080_000046	弘治時，增七百餘引。
HCH_012_080_000047	萬歷時，減千引。
HCH_012_080_000048	其引曰依山，曰附海。
HCH_012_080_000049	依山納折色。
HCH_012_080_000050	附海行本色，神宗時亦改折色。
HCH_012_080_000051	鹽行境內。
HCH_012_080_000052	歲入太倉銀二萬二千餘兩。
HCH_012_080_000053	河東所轄解鹽，初設東場分司於安邑，成祖時，增設西場於解州，尋復並於東。
HCH_012_080_000054	正統六年復置西場分司。
HCH_012_080_000055	弘治二年增置中場分司。
HCH_012_080_000056	洪武時，歲辦小引鹽三十萬四千引。
HCH_012_080_000057	弘治時，增入萬引。
HCH_012_080_000058	萬曆中，又增二十萬引。
HCH_012_080_000059	鹽行陝西之西安、漢中、延安、鳳翔四府，河南之歸德、懷慶、河南、汝寧、南陽五府及汝州，山西之平陽、潞安二府，澤、沁、遼三州。
HCH_012_080_000060	地有兩見者，鹽得兼行。
HCH_012_080_000061	隆慶中，延安改食靈州池鹽。
HCH_012_080_000062	崇禎中，鳳翔、漢中二府亦改食靈州鹽。
HCH_012_080_000063	歲入太倉銀四千餘兩，給宣府鎮及大同代府祿糧，抵補山西民糧銀，共十九萬兩有奇。
HCH_012_080_000064	陝西靈州有大小鹽池，又有漳縣鹽井、西和鹽井。
HCH_012_080_000065	洪武時，歲辦鹽，西和十三萬一千五百斤有奇，漳縣五十一萬五千六百斤有奇，靈州二百八十六萬七千四百斤有奇。
HCH_012_080_000066	弘治時同。
HCH_012_080_000067	萬歷時，三處共辦千二百五十三萬七千六百餘斤。
HCH_012_080_000068	鹽行陝西之鞏昌、臨洮二府及河州。
HCH_012_080_000069	歲解寧夏、延綏、固原餉銀三萬六千餘兩。
HCH_012_080_000070	廣東所轄鹽場十四，海北所轄鹽場十五，各鹽課司一。
HCH_012_080_000071	洪武時，歲辦大引鹽，廣東四萬六千八百餘引，海北二萬七千餘引。
HCH_012_080_000072	弘治時，廣東如舊，海北萬九千四百餘引。
HCH_012_080_000073	萬歷時，廣東小引生鹽三萬二百餘引，小引熟鹽三萬四千六百餘引；海北小引正耗鹽一萬二千四百餘引。
HCH_012_080_000074	鹽有生有熟，熟貴生賤。
HCH_012_080_000075	廣東鹽行廣州、肇慶、惠州、韶州、南雄、潮州六府。
HCH_012_080_000076	海北鹽行廣東之雷州、高州、廉州、瓊州四府，湖廣之桂陽、郴二州，廣西之桂林、柳州、梧州、潯州、慶遠、南寧、平樂、太平、思明、鎮安十府，田、龍、泗城、奉議、利五州。
HCH_012_080_000077	歲入太倉鹽課銀萬一千餘兩。
HCH_012_080_000078	四川鹽井轄鹽課司十七。
HCH_012_080_000079	洪武時，歲辦鹽一千一十二萬七千餘斤。
HCH_012_080_000080	弘治時，辦二千一十七萬六千餘斤。
HCH_012_080_000081	萬曆中，九百八十六萬一千餘斤。
HCH_012_080_000082	鹽行四川之成都、敘州、順慶、保寧、夔州五府，潼川、嘉定、廣安、雅、廣元五州縣。
HCH_012_080_000083	歲解陝西鎮鹽課銀七萬一千餘兩。
HCH_012_080_000084	雲南黑鹽井轄鹽課司三，白鹽井、安寧鹽井各轄鹽課司一，五井轄鹽課司七。
HCH_012_080_000085	洪武時，歲辦大引鹽萬七千八百餘引。
HCH_012_080_000086	弘治時，各井多寡不一。
HCH_012_080_000087	萬歷時與洪武同。
HCH_012_080_000088	鹽行境內。
HCH_012_080_000089	歲入太倉鹽課銀三萬五千餘兩。
HCH_012_080_000090	成祖時，嘗設交阯提舉司，其後交阯失，乃罷。
HCH_012_080_000091	遼東鹽場不設官，軍餘煎辦，召商易粟以給軍。
HCH_012_080_000092	凡大引四百斤，小引二百斤。
HCH_012_080_000093	鹽所產不同：解州之鹽風水所結，寧夏之鹽刮地得之，淮、浙之鹽熬波，川、滇之鹽汲井，閩、粵之鹽積鹵，淮南之鹽煎，淮北之鹽曬，山東之鹽有煎有曬，此其大較也。
HCH_012_080_000094	有明鹽法，莫善於開中。
HCH_012_080_000095	洪武三年，山西行省言：「大同糧儲，自陵縣運至太和嶺，路遠費煩。請令商人於大同倉入米一石，太原倉入米一石三斗，給淮鹽一小引。商人鬻畢，即以原給引目赴所在官司繳之。如此則轉運費省而邊儲充。」
HCH_012_080_000096	帝從之。
HCH_012_080_000097	召商輸糧而與之鹽，謂之開中。
HCH_012_080_000098	其後各行省邊境，多召商中鹽以為軍儲。
HCH_012_080_000099	鹽法邊計，相輔而行。
HCH_012_080_000100	四年定中鹽例，輸米臨濠、開封、陳橋、襄陽、安陸、荊州、歸州、大同、太原、孟津、北平、河南府、陳州、北通州諸倉，計道里近遠，自五石至一石有差。
HCH_012_080_000101	先後增減，則例不一，率視時緩急，米直高下，中納者利否。
HCH_012_080_000102	道遠地險，則減而輕之。
HCH_012_080_000103	編置勘合及底簿，發各布政司及都司、衛所。
HCH_012_080_000104	商納糧畢，書所納糧及應支鹽數，齎赴各轉運提舉司照數支鹽。
HCH_012_080_000105	轉運諸司亦有底簿比照，勘合相符，則如數給與。
HCH_012_080_000106	鬻鹽有定所，刊諸銅版，犯私鹽者罪至死，偽造引者如之，鹽與引離，即以私鹽論。
HCH_012_080_000107	成祖即位，以北京諸衛糧乏，悉停天下中鹽，專於京衛開中。
HCH_012_080_000108	惟云南金齒衛、楚雄府，四川鹽井衛，陝西甘州衛，開中如故。
HCH_012_080_000109	不數年，京衛糧米充羨，而大軍徵安南多費，甘肅軍糧不敷，百姓疲轉運。
HCH_012_080_000110	迨安南新附，餉益難繼，於是諸所復召商中鹽，他邊地復以次及矣。
HCH_012_080_000111	仁宗立，以鈔法不通，議所以斂之之道。
HCH_012_080_000112	戶部尚書夏原吉請令有鈔之家中鹽，遂定各鹽司中鹽則例，滄州引三百貫，河東、山東半之，福建、廣東百貫。
HCH_012_080_000113	宣德元年停中鈔例。
HCH_012_080_000114	三年，原吉以北京官吏、軍、匠糧餉不支，條上預備策，言：「中鹽舊則太重，商賈少至，請更定之。」
HCH_012_080_000115	乃定每引自二斗五升至一斗五升有差，召商納米北京。
HCH_012_080_000116	戶部尚書郭敦言：「中鹽則例已減，而商來者少，請以十分為率，六分支與納米京倉者，四分支與遼東、永平、山海、甘肅、大同、宣府、萬全已納米者。他處中納悉停之。」
HCH_012_080_000117	又言：「洪武中，中鹽客商年久物故，代支者多虛冒，請按引給鈔十錠。」
HCH_012_080_000118	帝皆從之，而命倍給其鈔。
HCH_012_080_000119	甘肅、寧夏、大同、宣府、獨石、永平道險遠，趨中者少，許寓居官員及軍餘有糧之家納米豆中鹽。
HCH_012_080_000120	正統三年，寧夏總兵官史昭以邊軍缺馬，而延慶、平涼官吏軍民多養馬，乃奏請納馬中鹽。
HCH_012_080_000121	上馬一匹與鹽百引，次馬八十引。
HCH_012_080_000122	既而定邊諸衛遞增二十引。
HCH_012_080_000123	其後河州中納者，上馬二十五引，中減五引；松潘中納者，上馬三十五引，中減五引。
HCH_012_080_000124	久之，復如初制。
HCH_012_080_000125	中馬之始，驗馬乃掣鹽，既而納銀於官以市馬，銀入布政司，宗祿、屯糧、修邊、振濟輾轉支銷，銀盡而馬不至，而邊儲亦自此告匱矣。
HCH_012_080_000126	於是召商中淮、浙、長廬鹽以納之，令甘肅中鹽者，淮鹽十七，浙鹽十三。
HCH_012_080_000127	淮鹽惟納米麥，浙鹽兼收豌豆、青稞。
HCH_012_080_000128	因淮鹽直貴，商多趨之，故令淮、浙兼中也。
HCH_012_080_000129	明初仍宋、元舊制，所以優恤灶戶者甚厚，給草場以供樵採，堪耕者許開墾，仍免其雜役，又給工本米，引一石。
HCH_012_080_000130	置倉於場，歲撥附近州縣倉儲及兌軍餘米以待給，兼支錢鈔，以米價為準。
HCH_012_080_000131	尋定鈔數，淮、浙引二貫五百文，河間、廣東、海北、山東、福建、四川引二貫。
HCH_012_080_000132	灶戶雜犯死罪以上止予杖，計日煎鹽以贖。
HCH_012_080_000133	後設總催，多朘削灶戶。
HCH_012_080_000134	至正統時，灶戶貧困，逋逃者多，松江所負課六十餘萬。
HCH_012_080_000135	民訴於朝，命直隸巡撫周忱兼理鹽課。
HCH_012_080_000136	忱條上鑄鐵釜、恤鹵丁、選總催、嚴私販四事，且請於每年正課外，帶徵逋課。
HCH_012_080_000137	帝從其請。
HCH_012_080_000138	命分逋課為六，以六載畢徵。
HCH_012_080_000139	當是時，商人有自永樂中候支鹽，祖孫相代不得者。
HCH_012_080_000140	乃議仿洪武中例，而加鈔錠以償之，願守支者聽。
HCH_012_080_000141	又以商人守支年久，雖減輕開中，少有上納者，議他鹽司如舊制，而淮、浙、長蘆以十分為率，八分給守支商，曰常股，二分收貯於官，曰存積，遇邊警，始召商中納。
HCH_012_080_000142	常股、存積之名由此始。
HCH_012_080_000143	凡中常股者價輕，中存積者價重，然人甚苦守支，爭趨存積，而常股壅矣。
HCH_012_080_000144	景帝時，邊圉多故，存積增至六分。
HCH_012_080_000145	中納邊糧，兼納穀草、秋青草，秋青草三當穀草二。
HCH_012_080_000146	廣東之鹽，例不出境，商人率市守關吏，越市廣西。
HCH_012_080_000147	巡撫葉盛以為任之則廢法，禁之則病商，請令入米餉邊，乃許出境，公私交利焉。
HCH_012_080_000148	成化初，歲洊災，京儲不足，召商於淮、徐、德州水次倉中鹽。
HCH_012_080_000149	舊例中鹽，戶部出榜召商，無徑奏者。
HCH_012_080_000150	富人呂銘等託勢要奏中兩淮存積鹽，中旨允之。
HCH_012_080_000151	戶部尚書馬昂不能執正，鹽法之壞自此始。
HCH_012_080_000152	勢豪多攙中，商人既失利，江南、北軍民因造遮洋大船，列械販鹽。
HCH_012_080_000153	乃為重法，私販、窩隱俱論死，家屬徙邊衛，夾帶越境者充軍。
HCH_012_080_000154	然不能遏止也。
HCH_012_080_000155	十九年頗減存積之數，常股七分，而存積三分。
HCH_012_080_000156	然商人樂有見鹽，報中存積者爭至，遂仍增至六分。
HCH_012_080_000157	淮、浙鹽猶不能給，乃配支長廬、山東以給之。
HCH_012_080_000158	一人兼支數處，道遠不及親赴，邊商輒貿引於近地富人。
HCH_012_080_000159	自是有邊商、內商之分。
HCH_012_080_000160	內商之鹽不能速獲，邊商之引又不賤售，報中寢怠，存積之滯遂與常股等。
HCH_012_080_000161	憲宗末年，閹宦竊勢，奏討淮、浙鹽無算，兩淮積欠至五百餘萬引，商引壅滯。
HCH_012_080_000162	至孝宗時，而買補餘鹽之議興矣。
HCH_012_080_000163	餘鹽者，灶戶正課外所餘之鹽也。
HCH_012_080_000164	洪武初制，商支鹽有定場，毋許越場買補；勤灶有餘鹽送場司，二百斤為一引，給米一石。
HCH_012_080_000165	其鹽召商開中，不拘資次給與。
HCH_012_080_000166	成化後，令商收買，而勸借米麥以振貧灶。
HCH_012_080_000167	至是清理兩淮鹽法，侍郎李嗣請令商人買餘鹽補官引，而免其勸借，且停各邊開中，俟逋課完日，官為賣鹽，三分價直，二充邊儲，而留其一以補商人未交鹽價。
HCH_012_080_000168	由是以餘鹽補充正課，而鹽法一小變。
HCH_012_080_000169	明初，各邊開中商人，招民墾種，築臺堡自相保聚，邊方菽粟無甚貴之時。
HCH_012_080_000170	成化間，始有折納銀者，然未嘗著為令也。
HCH_012_080_000171	弘治五年，商人困守支，戶部尚書葉淇請召商納銀運司，類解太倉，分給各邊。
HCH_012_080_000172	每引輸銀三四錢有差，視國初中米直加倍，而商無守支之苦，一時太倉銀累至百餘萬。
HCH_012_080_000173	然赴邊開中之法廢，商屯撤業，菠粟翔貴，邊儲日虛矣。
HCH_012_080_000174	武宗之初，以鹽法日壞，令大臣王瓊、張憲等分道清理，而慶雲侯周壽、壽甯侯張鶴各令家人奏買長蘆、兩淮鹽引。
HCH_012_080_000175	戶部尚書韓文執不可，中旨許之。
HCH_012_080_000176	織造太監崔杲又奏乞長蘆鹽一萬二千引，戶部以半予之。
HCH_012_080_000177	帝欲全予，大學士劉健等力爭，李東陽語尤切。
HCH_012_080_000178	帝不悅。
HCH_012_080_000179	健等復疏爭，乃從部議。
HCH_012_080_000180	權要開中既多，又許買餘鹽，一引有用至十餘年者。
HCH_012_080_000181	正德二年始申截舊引角之令，立限追繳，而每引增納紙價及振濟米麥。
HCH_012_080_000182	引價重而課壅如故矣。
HCH_012_080_000183	先是成化初，都御史韓雍於肇慶、梧州、清遠、南雄立抽鹽廠，官鹽一引，抽銀五分，許帶餘鹽四引，引抽銀一錢。
HCH_012_080_000184	都御史秦紘許增帶餘鹽六引，抽銀六錢。
HCH_012_080_000185	及是增至九錢，而不復抽官引。
HCH_012_080_000186	引目積滯，私鹽通行，乃用戶部郎中丁致祥請，復紘舊法。
HCH_012_080_000187	而他處商人夾帶餘鹽，掣割納價，惟多至三百斤者始罪之。
HCH_012_080_000188	淮、浙、長蘆引鹽，常股四分，以給各邊主兵及工役振濟之需；存積六分，非國家大事，邊境有警，未嘗妄開。
HCH_012_080_000189	開必邊臣奏討，經部覆允，未有商人擅請及專請淮鹽者。
HCH_012_080_000190	弘治間，存積鹽甚多。
HCH_012_080_000191	正德時，權幸遂奏開殘鹽，改存積、常股皆為正課，且皆折銀。
HCH_012_080_000192	邊臣緩急無備，而勢要佔中賣窩，價增數倍。
HCH_012_080_000193	商人引納銀八錢，無所獲利，多不願中，課日耗絀。
HCH_012_080_000194	奸黠者夾帶影射，弊端百出。
HCH_012_080_000195	鹽臣承中璫風旨，復列零鹽、所鹽諸目以假之。
HCH_012_080_000196	世宗登極詔，首命裁革。
HCH_012_080_000197	未幾，商人逯俊等夤緣近幸，以增價為名，奏買殘餘等鹽。
HCH_012_080_000198	戶部尚書秦金執不允，帝特令中兩淮額鹽三十萬引於宣府。
HCH_012_080_000199	金言：「奸人佔中淮鹽，賣窩罔利，使山東、長蘆等鹽別無搭配，積之無用。虧國用，誤邊儲，莫此為甚。」
HCH_012_080_000200	御史高世魁亦爭之。
HCH_012_080_000201	詔減淮引十萬，分兩浙、長蘆鹽給之。
HCH_012_080_000202	金復言：「宣、大俱重鎮，不宜令奸商自擇便利，但中宣府。」
HCH_012_080_000203	帝可之。
HCH_012_080_000204	已而俊等請以十六人中宣府，十一人中大同，竟從其請。
HCH_012_080_000205	嘉靖五年從給事中管律奏，乃復常股存積四六分之制。
HCH_012_080_000206	然是時餘鹽盛行，正鹽守支日久，願中者少；餘鹽第領勘合，即時支賣，願中者多。
HCH_012_080_000207	自弘治時以餘鹽補正課，初以償逋課，後令商人納價輸部濟邊。
HCH_012_080_000208	至嘉靖時，延綏用兵，遼左缺餉，盡發兩淮餘鹽七萬九千餘引於二邊開中。
HCH_012_080_000209	自是餘鹽行。
HCH_012_080_000210	其始尚無定額，未幾，兩淮增引一百四十餘萬，每引增餘鹽二百六十五斤。
HCH_012_080_000211	引價，淮南納銀一兩九錢，淮北一兩五錢，又設處置、科罰名色，以苛斂商財。
HCH_012_080_000212	於是正鹽未派，先估餘鹽，商灶俱困。
HCH_012_080_000213	奸黠者藉口官買餘鹽，夾販私煎。
HCH_012_080_000214	法禁無所施，鹽法大壞。
HCH_012_080_000215	十三年，給事中管懷理言：「鹽法之壞，其弊有六。開中不時，米價騰貴，召糴之難也。勢豪大家，專擅利權，報中之難也。官司科罰，吏胥侵索，輸納之難也。下場挨掣，動以數年，守支之難也。定價太昂，息不償本，取贏之難也。私鹽四出，官鹽不行，市易之難也。有此六難，正課壅矣，而司計者因設餘鹽以佐之。餘鹽利厚，商固樂從，然不以開邊而以解部，雖歲入距萬，無益軍需。嘗考祖宗時，商人中鹽納價甚輕，而灶戶煎鹽工本甚厚，今鹽價十倍於前，而工本不能十一，何以禁私鹽使不行也？故欲通鹽法，必先處餘鹽，欲處餘鹽，必多減正價。大抵正鹽賤，則私販自息。今宜定價，每引正鹽銀五錢，餘鹽二錢五分，不必解赴太倉，俱令開中關支，餘鹽以盡收為度。正鹽價輕，既利於商；餘鹽收盡，又利於灶。未有商灶俱利，而國課不充者也。」
HCH_012_080_000216	事下所司，戶部覆，以為餘鹽銀仍解部如故，而邊餉益虛矣。
HCH_012_080_000217	至二十年，帝以變亂鹽法由餘鹽，敕罷之。
HCH_012_080_000218	淮、浙、長蘆悉復舊法，夾帶者割沒入官，應變賣者以時估為準。
HCH_012_080_000219	御史吳瓊又請各邊中鹽者皆輸本色。
HCH_012_080_000220	然令甫下，吏部尚書許訁贊即請復開餘鹽以足邊用。
HCH_012_080_000221	戶部覆從之，餘鹽復行矣。
HCH_012_080_000222	先是，十六年令兩浙僻邑，官商不行之處，山商每百斤納銀八分，給票行鹽。
HCH_012_080_000223	其後多侵奪正引，官商課缺，引壅二百萬，候掣必五六載。
HCH_012_080_000224	於是有預徵、執抵、季掣之法。
HCH_012_080_000225	預徵者，先期輸課，不得私為去留。
HCH_012_080_000226	執抵者，執現在運鹽水程，復持一引以抵一引。
HCH_012_080_000227	季掣，則以納課先後為序，春不得遲於夏，夏不得超於春也。
HCH_012_080_000228	然票商納稅即掣賣，預徵諸法徒厲引商而已。
HCH_012_080_000229	靈州鹽池，自史昭中馬之議行，邊餉虧缺，甘肅米直石銀五兩，戶部因奏停中馬，召商納米中鹽。
HCH_012_080_000230	二十七年令開中者止納本色糧草。
HCH_012_080_000231	三十二年令河東以六十二萬引為額，合正餘鹽為一，而革餘鹽名。
