HCH_012_092_000001	明初，垛集令行，民出一丁為軍，衛所無缺伍，且有羨丁。
HCH_012_092_000002	未幾，大都督府言，起吳元年十月，至洪武三年十一月，軍士逃亡者四萬七千九百餘。
HCH_012_092_000003	於是下追捕之令，立法懲戒。
HCH_012_092_000004	小旗逃所隸三人，降為軍。
HCH_012_092_000005	上至總旗、百戶、千戶，皆視逃軍多寡，奪俸降革。
HCH_012_092_000006	其從徵在外者，罰尤嚴。
HCH_012_092_000007	十六年，命五軍府檄外衛所，速逮缺伍士卒，給事中潘庸等分行清理之。
HCH_012_092_000008	明年，從兵部尚書俞綸言，京衛軍戶絕者，毋冒取同姓及同姓之親，令有司核實發補，府衛毋特遣人。
HCH_012_092_000009	二十一年，詔衛所核實軍伍，有匿己子以養子代者，不許。
HCH_012_092_000010	其秋，令衛所著軍士姓名、鄉貫為籍，具載丁口以便取補。
HCH_012_092_000011	又置軍籍勘合，分給內外，軍士遇點閱以為驗。
HCH_012_092_000012	成祖即位，遣給事等官分閱天下軍，重定垛集軍更代法。
HCH_012_092_000013	初，三丁已上，垛正軍一，別有貼戶，正軍死，貼戶丁補。
HCH_012_092_000014	至是，令正軍、貼戶更代，貼戶單丁者免；當軍家蠲其一丁徭。
HCH_012_092_000015	洪熙元年，興州左屯衛軍範濟極言勾軍之擾。
HCH_012_092_000016	富峪衛百戶錢興奏言：「祖本涿鹿衛軍，死，父繼，以功授百戶。臣已襲父職，而本衛猶以臣祖為逃軍，屢行勾取。」
HCH_012_092_000017	帝謂尚書張本曰：「軍伍不清，弊多類此。」
HCH_012_092_000018	已而宣宗立，軍弊益滋，黠者往往匿其籍，或誣攘良民充伍。
HCH_012_092_000019	帝諭兵部曰：「朝廷於軍民，如舟車任載，不可偏重。有司宜審實毋混。」
HCH_012_092_000020	乃分遣吏部侍郎黃宗載等清理天下軍衛。
HCH_012_092_000021	三年敕給事、御史清軍，定十一條例，榜示天下。
HCH_012_092_000022	明年復增為二十二條。
HCH_012_092_000023	五年，從尚書張本請，令天下官吏、軍旗公勘自洪、永來勾軍之無蹤者，豁免之。
HCH_012_092_000024	六年，令勾軍有親老疾獨子者，編之近地，餘丁赴工逋亡者例發口外，改為罰工一年，示優恤焉。
HCH_012_092_000025	八年，免蘇州衛抑配軍百五十九人，已食糧止令終其身者，千二百三十九人。
