HCH_012_104_000001	英宗九子。
HCH_012_104_000002	憲宗外，庶三子見湜未封，殤。
HCH_012_104_000003	其得封者七王，曰德莊王見潾，曰許悼王見淳，曰秀懷王見澍，曰崇簡王見澤，曰吉簡王見浚，曰忻穆王見治，曰徽莊王見沛。
HCH_012_104_000004	憲宗十四子。
HCH_012_104_000005	孝宗外，悼恭太子及他皇子俱未名殤。
HCH_012_104_000006	其得封者十王，曰興獻王祐杬，曰岐惠王祐棆，曰益端王祐檳，曰衡恭王祐楎，曰雍靖王祐橒，曰壽定王祐榰，曰汝定王祐梈，曰涇簡王祐橓，曰榮莊王祐樞，曰申懿王祐楷。
HCH_012_104_000007	世宗八子。
HCH_012_104_000008	穆宗外，哀沖、莊敬二太子及他皇子俱殤。
HCH_012_104_000009	其得封者一王，曰景恭王載圳。
HCH_012_104_000010	穆宗四子。
HCH_012_104_000011	神宗外，憲懷太子及他皇子殤。
HCH_012_104_000012	其得封者一王，曰潞簡王翊鏐。
HCH_012_104_000013	神宗八子。
HCH_012_104_000014	光宗外，三子未封。
HCH_012_104_000015	其得封者四王，曰福恭王常洵，曰瑞王常浩，曰惠王常潤，曰桂端王常瀛。
HCH_012_104_000016	莊烈帝七子。
HCH_012_104_000017	獻愍太子慈烺外，嫡第二子，庶第五子、第六子、第七子俱殤。
HCH_012_104_000018	其封而未建藩邸者二王，曰定哀王慈炯，曰永悼王慈炤。
