HCH_012_116_000001	明制，皇子封親王，授金冊金寶，歲祿萬石，府置官屬。
HCH_012_116_000002	護衛甲士少者三千人，多者至萬九千人，隸籍兵部。
HCH_012_116_000003	冕服車旗邸第，下天子一等。
HCH_012_116_000004	公侯大臣伏而拜謁，無敢鈞禮。
HCH_012_116_000005	親王嫡長子，年及十歲，則授金冊金寶，立為王世子，長孫立為世孫，冠服視一品。
HCH_012_116_000006	諸子年十歲，則授塗金銀冊銀寶，封為郡王。
HCH_012_116_000007	嫡長子為郡王世子，嫡長孫則授長孫，冠服視二品。
HCH_012_116_000008	諸子授鎮國將軍，孫輔國將軍，曾孫奉國將軍，四世孫鎮國中尉，五世孫輔國中尉，六世以下皆奉國中尉。
HCH_012_116_000009	其生也請名，其長也請婚，祿之終身，喪葬予費，親親之誼篤矣。
HCH_012_116_000010	考二百餘年之間，宗姓實繁，賢愚雜出。
HCH_012_116_000011	今據所紀載，自太祖時追封祔廟十五王以及列朝所封者，著於篇。
HCH_012_116_000012	而郡王以下有行義事實可采者，世系亦得附見焉。
HCH_012_116_000013	秦王樉汧陽王誠洌晉王棡慶成王濟炫西河王奇溯新堞周王橚鎮平王有爌博平王安㳚南陵王睦楧鎮國中尉睦㮮鎮國將軍安𣵿鎮國中尉勤熨楚王楨武岡王顯槐齊王榑潭王梓趙王杞魯王檀歸善王當沍輔國將軍當濆奉國將軍健根安丘王當澻壽金林熙祖，二子。
HCH_012_116_000014	長仁祖，次壽春王，俱王太后生。
HCH_012_116_000015	壽春王四子，長霍丘王，次下蔡王，次安豐王，次蒙城王。
HCH_012_116_000016	霍丘王一子，寶應王。
HCH_012_116_000017	安豐王四子，六安王、來安王、都梁王、英山王。
HCH_012_116_000018	下蔡、蒙城及寶應、六安諸王先卒，皆無後。
HCH_012_116_000019	洪武元年追封，二年定從祀禮，祔享祖廟東西廡。
HCH_012_116_000020	壽春、霍丘、安豐、蒙城四王，皆以王妃配食。
HCH_012_116_000021	蒙城王妃田氏早寡，有節行，太祖甚重之。
HCH_012_116_000022	十王、四妃墓在鳳陽白塔祠，官歲祀焉。
HCH_012_116_000023	仁祖，四子。
HCH_012_116_000024	長南昌王，次盱眙王，次臨淮王，次太祖，俱陳太后生。
HCH_012_116_000025	南昌王二子，長山陽王，無後，次文正。
HCH_012_116_000026	盱眙王一子，昭信王，無後。
HCH_012_116_000027	臨淮王無子。
HCH_012_116_000028	太祖起兵時，諸王皆前卒，獨文正在。
HCH_012_116_000029	洪武初，諸王皆追封從祀。
HCH_012_116_000030	文正以罪謫死。
HCH_012_116_000031	子守謙，封靖江王，自有傳。
