HCH_012_122_000001	郭子興，其先曹州人。
HCH_012_122_000002	父郭公，少以日者術遊定遠，言禍福輒中。
HCH_012_122_000003	邑富人有瞽女無所歸，郭公乃娶之，家日益饒。
HCH_012_122_000004	生三子，子興其仲出。
HCH_012_122_000005	始生，郭公卜之吉。
HCH_012_122_000006	及長，任俠，喜賓客。
HCH_012_122_000007	會元政亂，子興散家資，椎牛釃酒，與壯士結納。
HCH_012_122_000008	至正十二年春，集少年數千人，襲據濠州。
HCH_012_122_000009	太祖往從之。
HCH_012_122_000010	門者疑其諜，執以告子興。
HCH_012_122_000011	子興奇太祖狀貌，解縛與語，收帳下。
HCH_012_122_000012	為十夫長，數從戰有功。
HCH_012_122_000013	子興喜，其次妻小張夫人亦指目太祖曰：「此異人也。」
HCH_012_122_000014	乃妻以所撫馬公女，是為孝慈高皇后。
HCH_012_122_000015	始，子興同起事者孫德崖等四人，與子興而五，各稱元帥不相下。
HCH_012_122_000016	四人者粗而戇，日剽掠，子興意輕之。
HCH_012_122_000017	四人不悅，合謀傾子興。
HCH_012_122_000018	子興以是多家居不視事。
HCH_012_122_000019	太祖乘閑說曰：「彼日益合，我益離，久之必為所制。」
HCH_012_122_000020	子興不能從也。
HCH_012_122_000021	元師破徐州，徐帥彭大、趙均用帥餘眾奔濠。
HCH_012_122_000022	德崖等以其故盜魁有名，乃共推奉之，使居己上。
HCH_012_122_000023	大有智數，子興與相厚而薄均用。
HCH_012_122_000024	於是德崖等譖諸均用曰：「子興知有彭將軍耳，不知有將軍也。」
HCH_012_122_000025	均用怒，乘間執子興，幽諸德崖家。
HCH_012_122_000026	太祖自他部歸，大驚，急帥子興二子訴於大。
HCH_012_122_000027	大曰：「吾在，孰敢魚肉而翁者！」
HCH_012_122_000028	與太祖偕詣德崖家，破械出子興，挾之歸。
HCH_012_122_000029	元師圍濠州，乃釋故憾，共城守五閱月。
HCH_012_122_000030	圍解，大、均用皆自稱王，而子興及德崖等為元帥如故。
HCH_012_122_000031	未幾，大死，子早住領其眾。
HCH_012_122_000032	均用專狠益甚，挾子興攻盱眙、泗州，將害之。
HCH_012_122_000033	太祖已取滁，乃遣人說均用曰：「大王窮迫時，郭公開門延納，德至厚也。大王不能報，反聽細人言圖之，自剪羽翼，失豪傑心，竊為大王不取。且其部曲猶眾，殺之得無悔乎？」
HCH_012_122_000034	均用聞太祖兵甚盛，心憚之，太祖又使人賂其左右，子興用是得免，乃將其所部萬餘就太祖于滁。
HCH_012_122_000035	子興為人梟悍善鬥，而性悻直少容。
HCH_012_122_000036	方事急，輒從太祖謀議，親信如左右手。
HCH_012_122_000037	事解，即信讒疏太祖。
HCH_012_122_000038	太祖左右任事者悉召之去，稍奪太祖兵柄。
HCH_012_122_000039	太祖事子興愈謹。
HCH_012_122_000040	將士有所獻，孝慈皇后輒以貽子興妻。
HCH_012_122_000041	子興至滁，欲據以自王。
HCH_012_122_000042	太祖曰：「滁四面皆山，舟楫商旅不通，非可旦夕安者也。」
HCH_012_122_000043	子興乃已。
HCH_012_122_000044	及取和州，子興命太祖統諸將守其地。
HCH_012_122_000045	德崖饑，就食和境，求駐軍城中，太祖納之。
HCH_012_122_000046	有讒於子興者。
HCH_012_122_000047	子興夜至和，太祖來謁，子興怒甚，不與語。
HCH_012_122_000048	太祖曰：「德崖嘗困公，宜為備。」
HCH_012_122_000049	子興默然。
HCH_012_122_000050	德崖聞子興至，謀引去。
HCH_012_122_000051	前營已發，德崖方留視後軍，而其軍與子興軍鬥，多死者。
HCH_012_122_000052	子興執德崖，太祖亦為德崖軍所執。
HCH_012_122_000053	子興聞之，大驚，立遣徐達往代太祖，縱德崖還。
HCH_012_122_000054	德崖軍釋太祖，達亦脫歸。
HCH_012_122_000055	子興憾德崖甚，將甘心焉，以太祖故強釋之，邑邑不樂。
HCH_012_122_000056	未幾，發病卒，歸葬滁州。
HCH_012_122_000057	子興三子。
HCH_012_122_000058	長子前戰死，次天敘、天爵。
HCH_012_122_000059	子興死，韓林兒檄天敘為都元帥，張天祐及太祖副之。
HCH_012_122_000060	天祐，子興婦弟也。
HCH_012_122_000061	太祖渡江，天敘、天祐引兵攻集慶，陳野先叛，俱被殺。
HCH_012_122_000062	林兒復以天爵為中書右丞。
HCH_012_122_000063	已而太祖為平章政事。
HCH_012_122_000064	天爵失職怨望，久之謀不利於太祖，誅死，子興後遂絕。
