HCH_012_127_000001	李善長，字百室，定遠人。
HCH_012_127_000002	少讀書有智計，習法家言，策事多中。
HCH_012_127_000003	太祖略地滁陽，善長迎謁。
HCH_012_127_000004	知其為里中長者，禮之，留掌書記。
HCH_012_127_000005	嘗從容問曰：「四方戰鬥，何時定乎？」
HCH_012_127_000006	對曰：「秦亂，漢高起布衣，豁達大度，知人善任，不嗜殺人，五載成帝業。今元綱既紊，天下土崩瓦解。公濠產，距沛不遠。山川王氣，公當受之。法其所為，天下不足定也。」
HCH_012_127_000007	太祖稱善。
HCH_012_127_000008	從下滁州，為參謀，預機畫，主饋餉，甚見親信。
HCH_012_127_000009	太祖威名日盛，諸將來歸者，善長察其材，言之太祖。
HCH_012_127_000010	復為太祖布款誠，使皆得自安。
HCH_012_127_000011	有以事力相齟齬者，委曲為調護。
HCH_012_127_000012	郭子興中流言，疑太祖，稍奪其兵柄。
HCH_012_127_000013	又欲奪善長自輔，善長固謝弗往。
HCH_012_127_000014	太祖深倚之。
HCH_012_127_000015	太祖軍和陽，自將擊雞籠山寨，少留兵佐善長居守。
HCH_012_127_000016	元將諜知來襲，設伏敗之，太祖以為能。
HCH_012_127_000017	太祖得巢湖水師，善長力贊渡江。
HCH_012_127_000018	既拔採石，趨太平，善長預書榜禁戢士卒。
HCH_012_127_000019	城下，即揭之通衢，肅然無敢犯者。
HCH_012_127_000020	太祖為太平興國翼大元帥，以為帥府都事。
HCH_012_127_000021	從克集慶。
HCH_012_127_000022	將取鎮江，太祖慮諸將不戢下，乃佯怒欲置諸法，善長力救得解。
HCH_012_127_000023	鎮江下，民不知有兵。
HCH_012_127_000024	太祖為江南行中書省平章，以為參議。
HCH_012_127_000025	時宋思顏、李夢庚、郭景祥等俱為省僚，而軍機進退，賞罰章程，多決於善長。
HCH_012_127_000026	改樞密院為大都督府，命兼領府司馬，進行省參知政事。
HCH_012_127_000027	太祖為吳王，拜右相國。
HCH_012_127_000028	善長明習故事，裁決如流，又嫻於辭命。
HCH_012_127_000029	太祖有所招納，輒令為書。
HCH_012_127_000030	前後自將征討，皆命居守，將吏帖服，居民安堵，轉調兵餉無乏。
HCH_012_127_000031	嘗請榷兩淮鹽，立茶法，皆斟酌元制，去其弊政。
HCH_012_127_000032	既復製錢法，開鐵冶，定魚稅，國用益饒，而民不困。
HCH_012_127_000033	吳元年九月論平吳功，封善長宣國公。
HCH_012_127_000034	改官制，尚左，以為左相國。
HCH_012_127_000035	太祖初渡江，頗用重典，一日，謂善長：「法有連坐三條，不已甚乎？」
HCH_012_127_000036	善長因請自大逆而外皆除之，遂命與中丞劉基等裁定律令，頒示中外。
HCH_012_127_000037	太祖即帝位，追帝祖考及冊立後妃太子諸王，皆以善長充大禮使。
HCH_012_127_000038	置東宮官屬，以善長兼太子少師，授銀青榮祿大夫、上柱國，錄軍國重事，餘如故。
HCH_012_127_000039	已，帥禮官定郊社宗廟禮。
HCH_012_127_000040	帝幸汴梁，善長留守，一切聽便宜行事。
HCH_012_127_000041	尋奏定六部官制，議官民喪服及朝賀東宮儀。
HCH_012_127_000042	奉命監修《元史》，編《祖訓錄》、《大明集禮》諸書。
HCH_012_127_000043	定天下岳瀆神祗封號，封建諸王，爵賞功臣，事無巨細，悉委善長與諸儒臣謀議行之。
HCH_012_127_000044	洪武三年大封功臣。
HCH_012_127_000045	帝謂：「善長雖無汗馬勞，然事朕久，給軍食，功甚大，宜進封大國。」
HCH_012_127_000046	乃授開國輔運推誠守正文臣、特進光祿大夫、左柱國、太師、中書左丞相，封韓國公，歲祿四千石，子孫世襲。
HCH_012_127_000047	予鐵券，免二死，子免一死。
HCH_012_127_000048	時封公者，徐達、常遇春子茂、李文忠、馮勝、鄧愈及善長六人。
HCH_012_127_000049	而善長位第一，制詞比之蕭何，褒稱甚至。
HCH_012_127_000050	善長外寬和，內多忮刻。
HCH_012_127_000051	參議李飲冰、楊希聖，稍侵善長權，即按其罪奏黜之。
HCH_012_127_000052	與中丞劉基爭法而訽。
HCH_012_127_000053	基不自安，請告歸。
HCH_012_127_000054	太祖所任張昶、楊憲、汪廣洋、胡惟庸皆獲罪，善長事寄如故。
