HCH_012_137_000001	劉三吾安然吳伯宗吳沈桂彥良宋訥趙俶李叔正劉崧羅復仁劉三吾，茶陵人。
HCH_012_137_000002	初名如孫，以字行。
HCH_012_137_000003	兄耕孫、燾孫皆仕元。
HCH_012_137_000004	耕孫，寧國路推官，死長槍賊難。
HCH_012_137_000005	燾孫，常寧州學正，死僚寇。
HCH_012_137_000006	三吾避兵廣西，行省承制授靜江路儒學副提舉。
HCH_012_137_000007	明兵下廣西，乃歸茶陵。
HCH_012_137_000008	洪武十八年，以茹常薦召至，年七十三矣，奏對稱旨，授左贊善，累遷翰林學士。
HCH_012_137_000009	時天下初平，典章闕略。
HCH_012_137_000010	帝銳意制作，宿儒雕謝，得三吾晚，悅之。
HCH_012_137_000011	一切禮制及三場取士法多所刊定。
HCH_012_137_000012	三吾博學，善屬文。
HCH_012_137_000013	帝制《大誥》及《洪範註》成，皆命為序。
HCH_012_137_000014	敕修《省躬錄》、《書傳會選》、《寰宇通志》、《禮制集要》諸書，皆總其事，賜賚甚厚。
HCH_012_137_000015	帝嘗曰：「朕觀奎壁間嘗有黑氣，今消矣，文運其興乎。卿等宜有所述作，以稱朕意。」
HCH_012_137_000016	帝制詩，時令屬和。
HCH_012_137_000017	嘗賜以朝鮮玳瑁筆。
HCH_012_137_000018	朝參，命列侍衛前；燕享，賜坐殿中。
HCH_012_137_000019	與汪睿、朱善稱「三老。」
HCH_012_137_000020	既而三吾年日益老，才力日益減，往往忤意，禮遇亦漸輕。
HCH_012_137_000021	二十三年，授晉世子經，吏部侍郎侯庸劾其怠職。
HCH_012_137_000022	降國子博士，尋還職。
HCH_012_137_000023	三吾為人慷慨，不設城府，自號「坦坦翁」。
HCH_012_137_000024	至臨大節，屹乎不可奪。
HCH_012_137_000025	懿文太子薨，帝御東閣門，召對群臣，慟哭。
HCH_012_137_000026	三吾進曰：「皇孫世嫡承統，禮也。」
HCH_012_137_000027	太孫之立由此。
HCH_012_137_000028	戶部尚書趙勉者，三吾婿也，坐贓死。
HCH_012_137_000029	三吾引退。
HCH_012_137_000030	許之。
HCH_012_137_000031	未幾，復為學士。
HCH_012_137_000032	三十年偕紀善白信蹈等主考會試。
HCH_012_137_000033	榜發，泰和宋琮第一，北士無預者。
HCH_012_137_000034	於是諸生言三吾等南人，私其鄉。
HCH_012_137_000035	帝怒，命侍講張信等覆閱，不稱旨。
HCH_012_137_000036	或言信等故以陋卷呈，三吾等實屬之。
HCH_012_137_000037	帝益怒，信蹈等論死，三吾以老戍邊，琮亦遣戍。
HCH_012_137_000038	帝親賜策問，更擢六十一人，皆北士。
HCH_012_137_000039	時謂之「南北榜」，又曰「春夏榜」雲。
HCH_012_137_000040	建文初，三吾召還，久之，卒。
HCH_012_137_000041	琮起刑部檢校。
HCH_012_137_000042	鄉人楊士奇輩貴顯，琮無所攀援。
HCH_012_137_000043	宣德中猶以檢討掌助教事，卒官。
HCH_012_137_000044	汪睿，字仲魯，婺源人。
HCH_012_137_000045	元末與弟同集眾保鄉邑，助復饒州。
HCH_012_137_000046	授浮梁州同知，不就。
HCH_012_137_000047	胡大海克休寧，睿兄弟來附，設星源翼分院於婺源，以同為院判。
HCH_012_137_000048	睿歸田裏。
HCH_012_137_000049	庚子秋，同將兵爭鄱陽，不克，棄妻孥，亡之浙西。
HCH_012_137_000050	幕府疑之，檄睿入應天為質。
HCH_012_137_000051	已，聞同為張士誠所殺，乃授睿安慶稅令。
HCH_012_137_000052	未幾，征參贊川蜀軍事。
HCH_012_137_000053	以疾辭去。
HCH_012_137_000054	洪武十七年，復召見，命講《西伯戡黎》篇，授左春坊左司直。
HCH_012_137_000055	常命續《薰風自南來》詩及他應制，皆稱旨。
HCH_012_137_000056	請春夏停決死罪，體天地生物之仁，從之。
HCH_012_137_000057	逾年，疾作，請假歸。
HCH_012_137_000058	睿敦實閑靜，不妄言笑，及進講，遇事輒言。
HCH_012_137_000059	帝嘗以「善人」呼之。
HCH_012_137_000060	朱善，字備萬，豐城人。
HCH_012_137_000061	九歲通經史大義，能屬文。
HCH_012_137_000062	元末兵亂，隱山中，事繼母以孝聞。
HCH_012_137_000063	洪武初，為南昌教授。
HCH_012_137_000064	八年，廷對第一，授修撰。
HCH_012_137_000065	逾年，奏對失旨，改典籍，放還鄉。
HCH_012_137_000066	復召為翰林待詔。
HCH_012_137_000067	上疏論婚姻律曰：「民間姑舅及兩姨子女，法不得為婚。仇家詆訟，或已聘見絕，或既婚復離，甚至兒女成行，有司逼奪。按舊律：尊長卑幼相與為婚者有禁。蓋謂母之姊妹，與己之身，是為姑舅兩姨，不可以卑幼上匹尊屬。若姑舅兩姨子女，無尊卑之嫌。成周時，王朝相與為婚者，不過齊、宋、陳、杞。故稱異姓大國曰「伯舅」，小國曰「叔舅」。列國齊、宋、魯、秦、晉，亦各自為甥舅之國。後世，晉王、謝，唐崔、盧，潘、楊之睦，朱、陳之好，皆世為婚媾。溫嶠以舅子娶姑女，呂滎公夫人張氏即其母申國夫人姊女。古人如此甚多，願下群臣議，馳其禁。」
HCH_012_137_000068	帝許之。
HCH_012_137_000069	十八年擢文淵閣大學士。
HCH_012_137_000070	嘗講《家人卦》、《心箴》，帝大悅。
HCH_012_137_000071	未幾，請告歸。
HCH_012_137_000072	卒年七十二。
HCH_012_137_000073	著有《詩經解頤》、《史輯》傳於世。
HCH_012_137_000074	正德中，謚文恪。
HCH_012_137_000075	安然，祥符人，徙居潁州。
HCH_012_137_000076	元季以左丞守萊州。
HCH_012_137_000077	明兵下山東，率眾歸附。
HCH_012_137_000078	累官山東參政。
HCH_012_137_000079	撫綏流移，俸余悉給公用，帝聞而嘉之。
HCH_012_137_000080	洪武二年，召為工部尚書，出為河南參政，歷浙江布政使，入為御史臺右大夫。
HCH_012_137_000081	十三年改左中丞，坐事免。
HCH_012_137_000082	未幾，召為四輔官。
HCH_012_137_000083	先是，胡惟庸謀反伏誅，帝以歷代丞相多擅權，遂罷中書省，分其職於六部。
HCH_012_137_000084	既又念密勿論思不可無人，乃建四輔官，以四時為號，詔天下舉賢才。
HCH_012_137_000085	戶部尚書範敏薦耆儒王本、杜佑、龔斅，杜斅、趙民望、吳源等。
HCH_012_137_000086	召至，告於太廟，以本、佑、龔斅為春官；杜斅、民望、源為夏官。
HCH_012_137_000087	秋、冬闕，命本等攝之。
HCH_012_137_000088	位都督次，屢賜敕諭，隆以坐論之禮，命協贊政事，均調四時。
HCH_012_137_000089	會立冬，朔風釀寒。
HCH_012_137_000090	帝以為順冬令，乃本等功，賜敕嘉勉。
HCH_012_137_000091	又月分三旬，人各司之，以雨昜時若，驗其稱職與否。
HCH_012_137_000092	刑官議獄，四輔及諫院覆核奏行，有疑讞，四輔官封駁。
HCH_012_137_000093	居無何，斅等四人相繼致仕，召然代之。
HCH_012_137_000094	本後坐事誅。
HCH_012_137_000095	諸人皆老儒，起田家，惇樸無他長。
HCH_012_137_000096	獨然久歷中外，練達庶務，眷註特隆。
HCH_012_137_000097	十四年八月卒。
HCH_012_137_000098	帝念然來歸之誠，親制文祭之。
HCH_012_137_000099	繼然為四輔者，李幹、何顯周。
HCH_012_137_000100	幹出為知府，佑、顯周俱罷去，是官遂廢不復設。
HCH_012_137_000101	本，不詳其籍裏。
HCH_012_137_000102	佑，安邑人。
HCH_012_137_000103	嘗三主本布政司鄉試，稱得人。
HCH_012_137_000104	龔斅，鉛出人。
HCH_012_137_000105	以行誼重於鄉。
HCH_012_137_000106	致仕後，復起為國子司業，歷祭酒。
HCH_012_137_000107	坐放諸生假不奏聞，免。
HCH_012_137_000108	杜斅，字致道，壺關人。
HCH_012_137_000109	舉元鄉試第一，歷官臺州學正。
HCH_012_137_000110	歸家教授。
HCH_012_137_000111	通《易》、《詩》、《書》三經。
HCH_012_137_000112	源，莆田人。
HCH_012_137_000113	亦再征為國子司業，卒於官。
HCH_012_137_000114	民望，槁城人。
HCH_012_137_000115	幹，絳州人。
HCH_012_137_000116	顯周，內黃人。
HCH_012_137_000117	吳伯宗，名祐，以字行，金谿人。
HCH_012_137_000118	洪武四年，廷試第一。
HCH_012_137_000119	時開科之始，帝親制策問。
HCH_012_137_000120	得伯宗甚喜，賜冠帶袍笏，授禮部員外郎，與修《大明日曆》。
HCH_012_137_000121	胡惟庸用事，欲人附己，伯宗不為屈。
HCH_012_137_000122	惟庸銜之，坐事謫居鳳陽。
HCH_012_137_000123	上書論時政，因言惟庸專恣不法，不宜獨任，久之必為國患。
HCH_012_137_000124	辭甚愷切。
HCH_012_137_000125	帝得奏，召還，賜衣鈔。
HCH_012_137_000126	奉使安南，稱旨。
HCH_012_137_000127	除國子助教，命進講東宮。
HCH_012_137_000128	首陳正心誠意之說。
HCH_012_137_000129	改翰林典籍。
HCH_012_137_000130	帝制十題命賦，援筆立就，詞旨雅潔。
HCH_012_137_000131	賜織金錦衣。
HCH_012_137_000132	除太常司丞，辭。
HCH_012_137_000133	改國子司業，又辭。
HCH_012_137_000134	忤旨，貶金縣教諭。
HCH_012_137_000135	未至，詔還為翰林檢討。
HCH_012_137_000136	十五年進武英殿大學士。
HCH_012_137_000137	明年冬，坐弟仲實為三河知縣薦舉不實，詞連伯宗，降檢討。
HCH_012_137_000138	伯宗為人溫厚，然內剛，不茍弇阿，故屢躓。
HCH_012_137_000139	逾年，卒於官。
HCH_012_137_000140	伯宗成進士，考試官則宋濂、鮑恂也。
HCH_012_137_000141	恂，字仲孚，崇德人。
HCH_012_137_000142	受《易》於臨川吳澄。
HCH_012_137_000143	好古力行，著《大易傳義》，學者稱之。
HCH_012_137_000144	元至正中，以薦授溫州路學正。
HCH_012_137_000145	尋召入翰林，不就。
HCH_012_137_000146	洪武四年，初科舉取士，召為同考官。
HCH_012_137_000147	試已，辭去。
HCH_012_137_000148	十五年與吉安余詮、高郵張長年、登州張紳，皆以明經老成為禮部主事劉庸所薦，召至京。
HCH_012_137_000149	恂年八十餘，長年、詮亦皆逾七十矣。
HCH_012_137_000150	賜坐顧問。
HCH_012_137_000151	翌日並命為文華殿大學士，皆以老疾固辭，遂放還。
HCH_012_137_000152	紳後至，以為鄠縣教諭，尋召為右僉都御史，終浙江左布政使。
HCH_012_137_000153	其明年以耆儒征者，曰全思誠，字希賢，上海人，亦授文華殿大學士。
HCH_012_137_000154	又明年請老，賜敕致仕。
HCH_012_137_000155	伯宗之使安南也，以名德為交人所重。
HCH_012_137_000156	其後，襄陽任亨泰亦舉洪武二十一年進士第一，以禮部尚書使安南，交人以為榮。
HCH_012_137_000157	前後使安南者，並稱吳、任雲。
HCH_012_137_000158	亨泰為禮部尚書時，日照民江伯兒以母病殺其三歲子祀岱嶽。
HCH_012_137_000159	有司以聞。
HCH_012_137_000160	帝怒其滅絕倫理，杖百，戍海南。
HCH_012_137_000161	因命亨泰定旌表孝行事例。
HCH_012_137_000162	亨泰議曰：「人子事親，居則致其敬，養則致其樂，有疾則謹其醫藥。臥冰割股，事非恒經。割股不已，致於割肝，割肝不已，至於殺子。違道傷生，莫此為甚。墮宗絕祀，尤不孝之大者，宜嚴行戒諭。倘愚昧無知，亦聽其所為，不在旌表之例。」
HCH_012_137_000163	詔曰「可」。
HCH_012_137_000164	明年，議秦王喪禮，因定凡世子襲爵之禮。
HCH_012_137_000165	會討龍州趙宗壽，命偕御史嚴震直使安南，諭以謹邊方，無納逋逃。
HCH_012_137_000166	時帝以安南篡弒，絕其貢使。
HCH_012_137_000167	至是聞詔使至，震恐。
HCH_012_137_000168	亨泰為書，述朝廷用兵之故以安慰之，交人大悅。
HCH_012_137_000169	使還，以私市蠻人為仆，降御史。
HCH_012_137_000170	未幾，思明土官與安南爭界，詞復連亨泰，坐免官。
HCH_012_137_000171	吳沈，字浚仲，蘭溪人。
HCH_012_137_000172	元國子博士師道子也，以學行聞。
HCH_012_137_000173	太祖下婺州，召沈及同郡許元、葉瓚玉、胡翰、汪仲山、李公常、金信、徐孳、童冀、戴良、吳履、孫履、張起敬會食省中，日令二人進講經史。
HCH_012_137_000174	已，命沈為郡學訓導。
HCH_012_137_000175	洪武初，郡以儒士舉，誤上其名曰信仲，授翰林院待制。
HCH_012_137_000176	沈謂修撰王厘曰：「名誤不更，是欺罔也。」
HCH_012_137_000177	將白於朝。
HCH_012_137_000178	厘言：「恐觸上怒」。
HCH_012_137_000179	沈不從，牒請改正。
HCH_012_137_000180	帝喜曰：「誠愨人也。」
HCH_012_137_000181	遂眷遇之，召侍左右。
HCH_012_137_000182	以事降編修。
HCH_012_137_000183	給事中鄭相同言：「故事啟事東宮，惟東宮官屬稱臣，朝臣則否。今一體稱臣，於禮未安。」
HCH_012_137_000184	沈駁之曰：「東宮，國之大本。尊東宮，所以尊主上也。相同言非是。」
HCH_012_137_000185	帝從之。
HCH_012_137_000186	尋以奏對失旨，降翰林院典籍。
HCH_012_137_000187	已，擢東閣大學士。
HCH_012_137_000188	初，帝謂沈曰：「聖賢立教有三：曰敬天，曰忠君，曰孝親。散在經卷，未易會其要領。爾等以三事編輯。」
HCH_012_137_000189	至是書成，賜名《精誠錄》，命沈撰序。
HCH_012_137_000190	居一年，降翰林侍書，改國子博士，以老歸。
HCH_012_137_000191	沈嘗著辯，言「孔子封王為非禮」。
HCH_012_137_000192	後布政使夏寅、祭酒丘浚皆沿其說。
HCH_012_137_000193	至嘉靖九年，更定祀典，改稱「至聖先師」，實自沈發之也。
HCH_012_137_000194	桂彥良，名德偁，以字行，慈谿人。
HCH_012_137_000195	元鄉貢進士，為平江路學教授，罷歸。
HCH_012_137_000196	張士誠、方國珍交辟，不就。
HCH_012_137_000197	洪武六年，征詣公車，授太子正字。
HCH_012_137_000198	帝嘗出禦制詩文，彥良就禦座前朗誦，聲徹殿外，左右驚愕，帝嘉其樸直。
HCH_012_137_000199	時選國子生蔣學等為給事中，舉人張唯等為編修，肄業文華堂。
HCH_012_137_000200	命彥良及宋濂、孔克表為之師。
HCH_012_137_000201	嘗從容有所咨問，彥良對必以正。
HCH_012_137_000202	帝每稱善，書其語揭便殿。
HCH_012_137_000203	七年冬至，詞臣撰南郊祝文用「予」、「我」字。
HCH_012_137_000204	帝以為不敬。
