HCH_012_140_000001	魏觀陶垕仲劉仕貆王宗顯王觀道同盧熙青文勝魏觀，字杞山，蒲圻人。
HCH_012_140_000002	元季隱居蒲山。
HCH_012_140_000003	太祖下武昌，聘授國子助教，再遷浙江按察司僉事。
HCH_012_140_000004	吳元年，遷兩淮都轉運使。
HCH_012_140_000005	入為起居註。
HCH_012_140_000006	奉命偕吳琳以幣帛求遺賢於四方。
HCH_012_140_000007	洪武元年，建大本堂，命侍太子說書及授諸王經。
HCH_012_140_000008	未幾，又命偕文原吉、詹同、吳輔、趙壽等分行天下，訪求遺才，所舉多擢用。
HCH_012_140_000009	三年，轉太常卿，考訂諸祀典。
HCH_012_140_000010	稱旨，改侍讀學士，尋遷祭酒。
HCH_012_140_000011	明年坐考祀孔子禮不以時奏，謫知龍南縣，旋召為禮部主事。
HCH_012_140_000012	五年，廷臣薦觀才，出知蘇州府。
HCH_012_140_000013	前守陳寧苛刻，人呼「陳烙鐵」。
HCH_012_140_000014	觀盡改寧所為，以明教化、正風俗為治。
HCH_012_140_000015	建黌舍。
HCH_012_140_000016	聘周南老、王行、徐用誠，與教授貢潁之定學儀；王彜、高啟、張羽訂經史；耆民周壽誼、楊茂、林文友行鄉飲酒禮。
HCH_012_140_000017	政化大行，課績為天下最。
HCH_012_140_000018	明年擢四川行省參知政事。
HCH_012_140_000019	未行，以部民乞留，命還任。
HCH_012_140_000020	初，張士誠以蘇州舊治為宮，遷府治於都水行司。
HCH_012_140_000021	觀以其地湫隘，還治舊基。
HCH_012_140_000022	又浚錦帆涇，興水利。
HCH_012_140_000023	或譖觀興既滅之基。
HCH_012_140_000024	帝使御史張度廉其事，遂被誅。
HCH_012_140_000025	帝亦尋悔，命歸葬。
HCH_012_140_000026	陶垕仲，名鑄，以字行，鄞人。
HCH_012_140_000027	洪武十六年，以國子生擢監察御史。
HCH_012_140_000028	糾彈不避權貴。
HCH_012_140_000029	劾刑部尚書開濟至死，直聲動天下。
HCH_012_140_000030	未幾，擢福建按察使。
HCH_012_140_000031	誅贓吏數十人，興學勸士，撫恤軍民。
HCH_012_140_000032	帝下詔褒異。
HCH_012_140_000033	布政使薛大方貪暴，垕仲劾奏之。
HCH_012_140_000034	大方辭相連，並逮至京。
HCH_012_140_000035	訊實，坐大方罪，詔垕仲還官。
HCH_012_140_000036	垕仲言：「臣父昔為方氏部曲，以故官例徙鳳陽。臣幼弱，依兄撫養，至於有成。今兄亦為鳳陽軍吏。臣叨聖恩，備位司憲。欲推祿養報生育恩，使父母兄弟得復聚處，實戴聖天子孝治天下至意。」
HCH_012_140_000037	帝特許迎養，去徙籍。
HCH_012_140_000038	垕仲清介自持，祿入悉以贍賓客。
HCH_012_140_000039	未幾，卒官。
HCH_012_140_000040	時廣西僉事王佑，泰和人。
HCH_012_140_000041	按察使尋適嘗咨以政體。
HCH_012_140_000042	佑曰：「蠻方之人瀆倫傷化，不及此時明禮法、示勸懲，後難治」適從之，廣西稱治。
HCH_012_140_000043	蜀平，徙佑知重慶州。
HCH_012_140_000044	招徠撫輯，甚得民和。
HCH_012_140_000045	坐事免官，卒。
HCH_012_140_000046	劉仕貆，字伯貞，安福人。
HCH_012_140_000047	父闬，元末隱居不仕。
HCH_012_140_000048	仕貆少受父學。
HCH_012_140_000049	紅巾賊亂，掠其鄉，母張氏率群婦女沈茨潭死。
HCH_012_140_000050	賊械仕貆，久之得釋。
HCH_012_140_000051	洪武初，以供役為安福丞張禧所辱，仕貆憤，益力學。
HCH_012_140_000052	十五年應「賢良」舉，對策稱旨，授廣東按察司僉事，分司瓊州。
HCH_012_140_000053	瓊俗善蠱。
HCH_012_140_000054	上官至，輒致所產珍貨為贄。
HCH_012_140_000055	受則喜，不受則懼按治，蠱殺之。
HCH_012_140_000056	仕瓊者多為所汙。
HCH_012_140_000057	仕貆廉且惠，輕徭理枉，大得民和。
HCH_012_140_000058	雖卻其贄，夷人不忍害也。
HCH_012_140_000059	辱仕貆者張禧，適調丞瓊山，以屬吏謁，大慚怖。
HCH_012_140_000060	仁貆待之與他吏等。
HCH_012_140_000061	未幾，朝議省僉事官，例降東莞河泊使。
HCH_012_140_000062	渡河遇風，歿於水。
HCH_012_140_000063	同僚張仕祥葬之鴉磯。
HCH_012_140_000064	後有王溥者，桂林人。
HCH_012_140_000065	洪武末為廣東參政，亦以廉名。
HCH_012_140_000066	其弟自家來省，屬吏與同舟，贈以布袍。
HCH_012_140_000067	溥命還之，曰：「一衣雖微，不可不慎，此汙行辱身之漸也。」
HCH_012_140_000068	糧運由海道多漂沒，溥至庾嶺，相度形勢，命有司鑿石填塹，修治橋梁，易以車運。
HCH_012_140_000069	民甚便之。
HCH_012_140_000070	居官數年，笥無重衣，庖無兼饌。
HCH_012_140_000071	以誣逮下詔獄，僚屬饋贐皆不受，曰：「吾豈以患難易其心哉！」
HCH_012_140_000072	事白得歸，卒。
HCH_012_140_000073	時有徐均者，陽春主簿也。
HCH_012_140_000074	地僻，土豪得盤踞為奸。
HCH_012_140_000075	邑長至，輒餌以厚賂。
HCH_012_140_000076	從而把持之。
HCH_012_140_000077	均至，吏白：「應往視莫大老。」
HCH_012_140_000078	莫大老者，洞主也。
HCH_012_140_000079	均曰：「此非王民邪？不來且誅！」
HCH_012_140_000080	出雙劍示之。
HCH_012_140_000081	大老恐，入謁。
HCH_012_140_000082	均廉得其不法事，系之獄。
HCH_012_140_000083	詰朝，以兩瓜及安石榴數枚為饋，皆黃金美珠也。
HCH_012_140_000084	均不視，械送府。
HCH_012_140_000085	府官受賕縱之歸，復致前饋。
HCH_012_140_000086	均怒，欲捕治之，而府檄調均攝陽江，陽江大治。
HCH_012_140_000087	以憂去官。
HCH_012_140_000088	王宗顯，和州人，僑居嚴州。
HCH_012_140_000089	胡大海克嚴，禮致幕中。
HCH_012_140_000090	太祖征婺州，大海以宗顯見。
HCH_012_140_000091	太祖曰：「我鄉里也。」
HCH_012_140_000092	命至婺覘敵。
HCH_012_140_000093	宗顯潛得城中虛實及諸將短長，還白太祖。
HCH_012_140_000094	太祖喜曰：「我得婺，以爾為知府。」
HCH_012_140_000095	既而元樞密同僉寧安慶與守將帖木烈思貳，遣都事縋城請降，開東門納兵，與宗顯所刺事合。
HCH_012_140_000096	改婺州為寧越府，以宗顯知府事。
HCH_012_140_000097	宗顯故儒者，博涉經史。
HCH_012_140_000098	開郡學，聘葉儀、宋濂為《五經》師；戴良為學正；吳沈、徐源等為訓導。
HCH_012_140_000099	自兵興，學校久廢，至是始聞弦誦聲。
HCH_012_140_000100	未幾，卒官。
HCH_012_140_000101	太祖之下婺也，又以王興宗為金華知縣。
HCH_012_140_000102	興宗，故隸人也，李善長、李文忠皆以為不可。
