HCH_012_150_000001	郁新趙羾金忠李慶師逵古樸陳壽劉季篪劉辰楊砥虞謙湯宗郁新，字敦本，臨淮人。
HCH_012_150_000002	洪武中，以人才征，授戶部度支主事。
HCH_012_150_000003	遷郎中。
HCH_012_150_000004	逾年，擢本部右侍郎。
HCH_012_150_000005	嘗問天下戶口田賦，地理險易，應答無遺，帝稱其才。
HCH_012_150_000006	尋進尚書。
HCH_012_150_000007	時親王歲祿米五萬石，新定議減五之四，並定郡王以下祿有差。
HCH_012_150_000008	又以邊餉不繼，定召商開中法，令商輸粟塞下，按引支鹽，邊儲以足。
HCH_012_150_000009	夏原吉為戶部主事，新重之，諸曹事悉委任焉。
HCH_012_150_000010	建文二年引疾歸。
HCH_012_150_000011	成祖即位，召掌戶部事，以古樸為侍郎佐之。
HCH_012_150_000012	永樂元年，河南蝗，有司不以聞，新劾治之。
HCH_012_150_000013	初，轉漕北京，新言：「自淮抵河，多淺灘跌坡，運舟艱阻。請別用淺船載三百石者，自淮河、沙河運至陳州潁溪口跌坡下，復用淺船載二百石者運至跌坡上，別用大船運入黃河。至八柳樹諸處，令河南車夫陸運入衛河，轉輸北京。」
HCH_012_150_000014	從之。
HCH_012_150_000015	又言：「湖廣屯田所產不一，請皆得輸官。粟谷、縻黍、大麥、蕎穄二石，準米一石。稻谷、秫二石五鬥，穇稗三石，各準米一石。豆、麥、芝麻與米等。」
HCH_012_150_000016	著為令。
HCH_012_150_000017	二年，議公、侯、伯、駙馬、儀賓祿，二百石以上者，請如文武官例，米鈔兼給。
HCH_012_150_000018	三年，以士卒勞困，議減屯田歲收不如額者十之四五，又議改納米北京贖罪者於南京倉。
HCH_012_150_000019	皆允行。
HCH_012_150_000020	是年八月卒於官。
HCH_012_150_000021	帝嘆曰：「新理邦賦十三年，量計出入，今誰可代者？」
HCH_012_150_000022	輟朝一日，賜葬祭，而召夏原吉還理部事。
HCH_012_150_000023	新長於綜理，密而不繁。
HCH_012_150_000024	其所規畫，後不能易。
HCH_012_150_000025	趙羾，字雲翰，夏人，徙祥符。
HCH_012_150_000026	洪武中，由鄉舉入太學，授兵部職方司主事。
HCH_012_150_000027	圖天下要害厄塞，並屯戍所宜以進。
HCH_012_150_000028	帝以為才，遷員外郎。
HCH_012_150_000029	建文初，遷浙江參政，建策捕海寇，有功。
HCH_012_150_000030	永樂二年，使交阯，還奏稱旨。
HCH_012_150_000031	擢刑部侍郎，改工部，再改禮部。
HCH_012_150_000032	五年進尚書，賜宴華蓋殿，撤膳羞遺其母。
HCH_012_150_000033	初，羾每以事為言者所劾，帝不問。
HCH_012_150_000034	九年秋，朝鮮使臣將歸，例有賜賚，羾不以奏。
HCH_012_150_000035	帝怒曰：「是且使朕失遠人心。」
HCH_012_150_000036	遂下之獄。
HCH_012_150_000037	尋得釋，使督建隆慶、保安、永寧諸州縣，撫綏新集，民安其業。
HCH_012_150_000038	十五年丁母艱。
HCH_012_150_000039	起復，改兵部尚書，專理塞外兵事。
HCH_012_150_000040	帝北征，轉餉有方。
HCH_012_150_000041	仁宗嗣位，改南京刑部。
HCH_012_150_000042	宣德五年，御史張楷劾羾及侍郎俞士吉怠縱。
HCH_012_150_000043	召至，命致仕。
HCH_012_150_000044	羾性精敏，歷事五朝，位列卿，自奉如寒素。
HCH_012_150_000045	正統元年卒，年七十三。
HCH_012_150_000046	金忠，鄞人。
HCH_012_150_000047	少讀書，善《易》卜。
HCH_012_150_000048	兄戍通州亡，忠補戍。
HCH_012_150_000049	貧不能行，相者袁珙資之。
HCH_012_150_000050	既至，編卒伍。
HCH_012_150_000051	賣卜北平市，多中。
HCH_012_150_000052	市人傳以為神。
HCH_012_150_000053	僧道衍稱於成祖。
HCH_012_150_000054	成祖將起兵，托疾召忠卜，得鑄印乘軒之卦。
HCH_012_150_000055	曰：「此象貴不可言。」
HCH_012_150_000056	自是出入燕府中，常以所占勸舉大事。
HCH_012_150_000057	成祖深信之。
HCH_012_150_000058	燕兵起，自署官屬，授忠王府紀善，守通州。
HCH_012_150_000059	南兵數攻城不克。
