HCH_012_153_000001	宋禮，字大本，河南永寧人。
HCH_012_153_000002	洪武中，以國子生擢山西按察司僉事，左遷戶部主事。
HCH_012_153_000003	建文初，薦授陜西按察僉事，復坐事左遷刑部員外郎。
HCH_012_153_000004	成祖即位，命署禮部事，以敏練擢禮部侍郎。
HCH_012_153_000005	永樂二年拜工部尚書。
HCH_012_153_000006	嘗請給山東屯田牛種，又請犯罪無力準工者徙北京為民，並報可。
HCH_012_153_000007	七年丁母憂，詔留視事。
HCH_012_153_000008	九年命開會通河。
HCH_012_153_000009	會通河者，元至元中，以壽張尹韓仲暉言，自東平安民山鑿河至臨清，引汶絕濟，屬之衛河，為轉漕道，名曰「會通」。
HCH_012_153_000010	然岸狹水淺，不任重載，故終元世海運為多。
HCH_012_153_000011	明初輸餉遼東、北平，亦專用海運。
HCH_012_153_000012	洪武二十四年，河決原武，絕安山湖，會通遂淤。
HCH_012_153_000013	永樂初，建北京，河海兼運。
HCH_012_153_000014	海運險遠多失亡，而河運則由江、淮達陽武，發山西、河南丁夫，陸免百七十里入衛河，歷八遞運所，民苦其勞。
HCH_012_153_000015	至是濟寧州同知潘叔正上言：「舊會通河四百五十餘里，淤者乃三之一，浚之便。」
HCH_012_153_000016	於是命禮及刑部侍郎金純、都督周長往治之。
HCH_012_153_000017	禮以會通之源，必資汶水。
HCH_012_153_000018	乃用汶上老人白英策，築堽城及戴村壩，橫亙五里，遏汶流，使無南入洸而北歸海。
HCH_012_153_000019	匯諸泉之水，盡出汶上，至南旺，中分之為二道，南流接徐、沛者十之四，北流達臨清者十之六。
HCH_012_153_000020	南旺地勢高，決其水，南北皆註，所謂水脊也。
HCH_012_153_000021	因相地置閘，以時蓄泄。
HCH_012_153_000022	自分水北至臨清，地降九十尺，置閘十有七，而達於衛；南至沽頭，地降百十有六尺，置閘二十有一，而達於淮。
HCH_012_153_000023	凡發山東及徐州、應天、鎮江民三十萬，蠲租一百一十萬石有奇，二十旬而工成。
HCH_012_153_000024	又奏浚沙河入馬常泊，以益汶。
HCH_012_153_000025	語詳《河渠志》。
HCH_012_153_000026	是年，帝復用工部侍郎張信言，使興安伯徐亨、工部侍郎蔣廷瓚會金純，浚祥符魚王口至中灤下，復舊黃河道，以殺水勢，使河不病漕，命禮兼董之。
HCH_012_153_000027	八月還京師，論功第一，受上賞。
HCH_012_153_000028	潘叔正亦賜衣鈔。
