HCH_012_155_000001	宋晟薛祿劉榮朱榮費瓛譚廣陳懷蔣貴任禮趙安趙輔劉聚宋晟，字景陽，定遠人。
HCH_012_155_000002	父朝用，兄國興，並從渡江，皆積功至元帥。
HCH_012_155_000003	攻集慶，國興戰歿，晟嗣其職。
HCH_012_155_000004	既而朝用請老，晟方從鄧愈克徽州，召還，襲父官。
HCH_012_155_000005	累進都指揮同知，歷鎮江西、大同、陜西。
HCH_012_155_000006	洪武十二年坐法降涼州衛指揮使。
HCH_012_155_000007	十七年五月討西番叛酋，至亦集乃路，擒元海道千戶也先帖木兒、國公吳把都剌赤等，俘獲萬八千人，送酋長京師，簡其精銳千人補卒伍，余悉放遣。
HCH_012_155_000008	召還，復為都指揮，進右軍都督僉事，仍鎮涼州。
HCH_012_155_000009	二十四年充總兵官，與都督劉真討哈梅裏。
HCH_012_155_000010	其地去肅州千餘里。
HCH_012_155_000011	晟令軍中多具糧糗，倍道疾馳，乘夜至城下。
HCH_012_155_000012	質明，金鼓聲震地，闔城股栗，遂克之。
HCH_012_155_000013	擒其王子別兒怯帖木兒，及偽國公以下三十餘人，收其部落輜重以歸。
HCH_012_155_000014	自是番戎慴服，兵威極於西域。
HCH_012_155_000015	明年五月從藍玉征罕東，徇阿真川，土酋哈昝等遁去。
HCH_012_155_000016	師還，調中軍都督僉事。
HCH_012_155_000017	二十八年六月，從總兵官周興出開原，至忽剌江。
HCH_012_155_000018	部長西陽哈遁，追至甫答迷城，俘人畜而還。
HCH_012_155_000019	明年拜征南右副將軍，討廣西帡幪諸寨苗，擒斬七千餘人。
HCH_012_155_000020	又明年，總羽林八衛兵討平五開、龍裏苗。
HCH_012_155_000021	三十一年出鎮開平，從燕王出塞，還城萬全諸衛。
HCH_012_155_000022	建文改元，仍鎮甘肅。
HCH_012_155_000023	成祖即位，入朝，進後軍左都督，拜平羌將軍，遣還鎮。
HCH_012_155_000024	永樂三年招降把都帖木兒、倫都兒灰等部落五千人，獲馬駝牛羊萬六千。
HCH_012_155_000025	封西寧侯，祿千一百石，世指揮使。
HCH_012_155_000026	晟凡四鎮涼州，前後二十餘年，威信著絕域。
HCH_012_155_000027	帝以晟舊臣，有大將材，專任以邊事，所奏請輒報可。
HCH_012_155_000028	御史劾晟自專。
HCH_012_155_000029	帝曰：「任人不專則不能成功，況大將統制一邊，寧能盡拘文法。」
HCH_012_155_000030	即敕晟以便宜從事。
HCH_012_155_000031	晟嘗請入朝。
HCH_012_155_000032	報曰：「西北邊務，一以委卿，非召命，毋輒來。」
HCH_012_155_000033	尋命營河西牧地，及圖出塞方略。
HCH_012_155_000034	會病卒，五年七月也。
HCH_012_155_000035	晟三子。
HCH_012_155_000036	長瑄，建文中為府軍右衛指揮使，戰靈璧，先登，斬數級，力鬥死。
HCH_012_155_000037	瑄弟琥，尚成祖女安成公主，得嗣侯，予世券。
HCH_012_155_000038	八年佩前將軍印，鎮甘肅。
HCH_012_155_000039	十年與李彬捕叛酋老的罕，俘斬甚眾。
HCH_012_155_000040	召還。
HCH_012_155_000041	洪熙元年坐不敬奪爵，並削駙馬都尉官。
HCH_012_155_000042	宣德中復都尉。
HCH_012_155_000043	琥既廢，弟瑛嗣。
HCH_012_155_000044	瑛尚鹹寧公主。
HCH_012_155_000045	正統中，歷掌左軍前府事。
HCH_012_155_000046	瓦剌也先入寇，瑛充總兵官，督大同守將朱冕、石亨等戰陽和，全軍敗沒，瑛及冕皆戰死。
HCH_012_155_000047	贈鄆國公，謚忠順。
HCH_012_155_000048	子傑嗣。
HCH_012_155_000049	景泰中典禁兵宿衛，以謹慎稱。
HCH_012_155_000050	卒，子誠嗣。
HCH_012_155_000051	署右府事，復佩平羌將軍印，鎮甘肅。
HCH_012_155_000052	誠有材武，嘗出獵至涼州，遇寇掠牛馬北去。
HCH_012_155_000053	誠三矢殪三人，寇驚散，盡驅所掠還。
HCH_012_155_000054	九傳至孫裕德，死流寇難。
HCH_012_155_000055	薛祿，膠人。
HCH_012_155_000056	行六，軍中呼曰「薛六」。
HCH_012_155_000057	既貴，乃更名「祿」。
HCH_012_155_000058	祿以卒伍從燕起兵，首奪九門。
HCH_012_155_000059	真定之戰，左副將軍李堅迎鬥。
HCH_012_155_000060	鋒始交，祿持槊刺堅墜馬，擒之。
HCH_012_155_000061	擢指揮僉事。
