HCH_012_156_000001	吳允誠薛斌吳成金忠李英毛勝焦禮毛忠和勇羅秉忠吳允誠，蒙古人。
HCH_012_156_000002	名把都帖木兒，居甘肅塞外塔溝地，官至平章。
HCH_012_156_000003	永樂三年，與其黨倫都兒灰率妻子及部落五千、馬駝萬六千，因宋晟來歸。
HCH_012_156_000004	帝以蒙古人多同名，當賜姓別之。
HCH_012_156_000005	尚書劉俊請如洪武故事，編為勘合。
HCH_012_156_000006	允誠得賜姓名，授右軍都督僉事。
HCH_012_156_000007	倫都兒灰亦賜姓名柴秉誠，授後軍都督僉事。
HCH_012_156_000008	余授官賜冠帶，給畜產鈔幣有差。
HCH_012_156_000009	使領所部居涼州耕牧。
HCH_012_156_000010	晟以招徠功，封西寧侯。
HCH_012_156_000011	自是降附者益眾，邊境日安，由允誠始。
HCH_012_156_000012	七年往亦集乃覘敵，擒哈剌等二十餘人，進都督同知。
HCH_012_156_000013	明年從出塞，敗本雅失里，進右都督。
HCH_012_156_000014	尋進左都督。
HCH_012_156_000015	與中官王安追闊脫赤，至把力河獲之。
HCH_012_156_000016	封恭順伯，食祿千二百石，予世券。
HCH_012_156_000017	允誠三子：答蘭、管者、克勤。
HCH_012_156_000018	允誠與二子從軍，留其妻及管者居涼州。
HCH_012_156_000019	番人虎保等誘脅允誠眾，欲叛去。
HCH_012_156_000020	允誠妻與管者謀，召部將都指揮保住、卜顏不花等擒其黨，誅之。
HCH_012_156_000021	帝喜，降敕獎之，賜縑鈔羊米甚厚，授管者指揮僉事。
HCH_012_156_000022	保住賜姓名楊效誠，授指揮僉事。
HCH_012_156_000023	韃靼可汗鬼力赤遇弒，其下多潰。
HCH_012_156_000024	答蘭與別立哥請出塞自效，有功。
HCH_012_156_000025	別立哥者，秉誠子也。
HCH_012_156_000026	帝征瓦剌，允誠父子皆從。
HCH_012_156_000027	師還，命仍居涼州備邊。
HCH_012_156_000028	允誠卒，贈國公，謚忠壯。
HCH_012_156_000029	命答蘭更名克忠，襲其爵。
HCH_012_156_000030	再征阿魯臺，從行。
HCH_012_156_000031	三征阿魯臺，復從。
HCH_012_156_000032	兄弟皆有功。
HCH_012_156_000033	洪熙元年以戚里恩，克忠進侯。
HCH_012_156_000034	時管者已積功至都指揮同知，亦封廣義伯。
HCH_012_156_000035	克忠嘗充副總兵巡邊。
HCH_012_156_000036	正統九年統兵出喜峰口，征兀良哈，有功，加太子太保。
HCH_012_156_000037	土木之變，克忠與其弟都督克勤子瑾為後拒。
HCH_012_156_000038	寇突至，驟戰不勝。
HCH_012_156_000039	敵兵據山上，飛矢石如雨，官軍死傷略盡。
HCH_012_156_000040	克忠下馬射，矢竭，猶殺數人，與克勤俱歿於陣。
HCH_012_156_000041	贈邠國公，謚忠勇。
HCH_012_156_000042	克勤贈遵化伯，謚僖敏。
HCH_012_156_000043	瑾被執，逃歸，嗣侯。
HCH_012_156_000044	英宗嘗欲使瑾守甘肅，辭曰：「臣，外人，若用臣守邊，恐外裔輕中國。」
HCH_012_156_000045	帝善其言，乃止。
HCH_012_156_000046	曹欽反，瑾與從弟琮聞變，椎長安門上告。
HCH_012_156_000047	門閉，欽攻不得入，遂縱火。
HCH_012_156_000048	瑾將五六騎與欽力戰死。
HCH_012_156_000049	贈涼國公，謚忠壯，予世券。
HCH_012_156_000050	三傳至曾孫繼爵。
HCH_012_156_000051	嘗守備南京。
HCH_012_156_000052	傳子汝胤孫惟英，與繼爵皆總督京營戎政。
HCH_012_156_000053	崇禎末，都城陷，汝胤弟勛衛汝征偕妻女投繯死。
HCH_012_156_000054	管者卒，子玘嗣。
HCH_012_156_000055	管者妻早奴亦有智略，嘗親入朝獻良馬。
HCH_012_156_000056	朝廷多其忠。
HCH_012_156_000057	玘卒，管者弟克勤子琮嗣，鎮守寧夏。
HCH_012_156_000058	成化四年，滿四反。
HCH_012_156_000059	琮坐激變，且臨陣先退，下獄論死。
HCH_012_156_000060	謫戍邊，爵除。
HCH_012_156_000061	薛斌，蒙古人，本名脫歡。
HCH_012_156_000062	父薛臺，洪武中歸附，賜姓薛，累官燕山右護衛指揮僉事。
HCH_012_156_000063	斌嗣職，從起兵，累遷都督僉事。
HCH_012_156_000064	從北征有功，進都督同知。
HCH_012_156_000065	永樂十八年封永順伯，祿九百石，世指揮使。
HCH_012_156_000066	斌卒，子壽童方五歲。
HCH_012_156_000067	從父貴引見仁宗，立命嗣伯，賜名綬。
HCH_012_156_000068	長，驍勇善戰。
HCH_012_156_000069	正統十四年秋，與成國公朱勇等遇敵於鷂兒嶺。
HCH_012_156_000070	軍敗，弦斷矢盡，猶持空弓擊敵。
HCH_012_156_000071	敵怒，支解之。
HCH_012_156_000072	既而知其本蒙古人也，曰：「此吾同類，宜勇健若此。」
HCH_012_156_000073	相與哭之。
HCH_012_156_000074	謚武毅。
HCH_012_156_000075	子輔，孫勛，並得嗣伯。
HCH_012_156_000076	勛子璽乃嗣指揮使，如券文。
HCH_012_156_000077	貴，本名脫火赤，斌之弟。
HCH_012_156_000078	以舍人從燕王起兵，屢脫王於險。
HCH_012_156_000079	積官都指揮使。
HCH_012_156_000080	再從北征，進都督僉事。
HCH_012_156_000081	永樂二十年封安順伯，祿九百石。
HCH_012_156_000082	宣德元年進侯，加祿三百石，予世券。
HCH_012_156_000083	卒，贈濱國公，謚忠勇。
HCH_012_156_000084	無子，從子山嗣為指揮使。
HCH_012_156_000085	天順改元，以復辟恩，命山子忠嗣伯。
HCH_012_156_000086	卒，子珤嗣。
HCH_012_156_000087	弘治中卒，子昂降襲指揮使。
HCH_012_156_000088	李賢，初名醜驢，韃靼人。
HCH_012_156_000089	元工部尚書。
HCH_012_156_000090	洪武二十一年來歸，通譯書。
HCH_012_156_000091	太祖賜姓名，授燕府紀善。
