HCH_012_157_000001	金純，字德修，泗州人。
HCH_012_157_000002	洪武中國子監生。
HCH_012_157_000003	以吏部尚書杜澤薦，授吏部文選司郎中。
HCH_012_157_000004	三十一年出為江西布政司右參政。
HCH_012_157_000005	成祖即位，以蹇義薦，召為刑部右侍郎。
HCH_012_157_000006	時將營北京，命采木湖廣。
HCH_012_157_000007	永樂七年從巡北京。
HCH_012_157_000008	八年從北征，遷左侍郎。
HCH_012_157_000009	九年命與宋禮同治會通河，又同徐亨、蔣廷瓚浚魚王口黃河故道。
HCH_012_157_000010	初，太祖用兵梁、晉間，使大將軍徐達開塌場口，通河於泗。
HCH_012_157_000011	又開濟寧西耐牢坡引曹、鄆河水，以通中原之運。
HCH_012_157_000012	其後故道浸塞，至是純疏治之。
HCH_012_157_000013	自開封北引水達鄆城，入塌場，出穀亭北十里為永通、廣運二閘。
HCH_012_157_000014	十四年改禮部左侍郎。
HCH_012_157_000015	越二月，進尚書。
HCH_012_157_000016	十五年從巡北京。
HCH_012_157_000017	十九年同給事中葛紹祖巡撫四川。
HCH_012_157_000018	仁宗即位，改工部。
HCH_012_157_000019	居數月，又改刑部。
HCH_012_157_000020	明年兼太子賓客。
HCH_012_157_000021	宣德三年，純有疾，帝命醫視療。
HCH_012_157_000022	稍間，免其朝參，俾護疾視事。
HCH_012_157_000023	會暑，敕法司理滯囚。
HCH_012_157_000024	純數從朝貴飲，為言官所劾。
HCH_012_157_000025	帝怒曰：「純以疾不朝而燕於私，可乎？」
HCH_012_157_000026	命系錦衣獄。
HCH_012_157_000027	既念純老臣，釋之，落太子賓客。
HCH_012_157_000028	八月予致仕去。
HCH_012_157_000029	純在刑部，仁宗嘗諭純：「法司近尚羅織，言者輒以誹謗得罪，甚無謂。自今告誹謗者勿論。」
HCH_012_157_000030	純亦務寬大，每誡屬吏不得妄椎擊人。
HCH_012_157_000031	故當純時，獄無瘐死者。
HCH_012_157_000032	正統五年卒。
HCH_012_157_000033	贈山陽伯。
HCH_012_157_000034	張本，字致中，東阿人。
HCH_012_157_000035	洪武中，自國子生授江都知縣。
HCH_012_157_000036	燕兵至揚州，御史王彬據城抗，為守將所縛。
HCH_012_157_000037	本率父老迎降。
HCH_012_157_000038	成祖以滁、泰二知州房吉、田慶成率先歸附，命與本並為揚州知府，偕見任知府譚友德同涖府事。
HCH_012_157_000039	尋擢本江西布政司右參政。
HCH_012_157_000040	永樂四年召為工部左侍郎。
HCH_012_157_000041	坐事免官，冠帶辦事。
HCH_012_157_000042	明年五月復官。
HCH_012_157_000043	尋以奏牘書銜誤左為右，為給事中所劾。
HCH_012_157_000044	帝命改授本部右侍郎而宥其罪。
HCH_012_157_000045	七年，皇太子監國，奏為刑部右侍郎。
HCH_012_157_000046	善摘奸。
HCH_012_157_000047	命督北河運。
HCH_012_157_000048	躬自相視，立程度，舟行得無滯。
HCH_012_157_000049	會疾作，太子賜之狐裘冠鈔，遣醫馳視。
HCH_012_157_000050	十九年將北征，命本及王彰分往兩直隸、山東、山西、河南，督有司造車挽運。
HCH_012_157_000051	明年即命本督北征餉。
HCH_012_157_000052	仁宗即位，拜南京兵部尚書兼掌都察院事。
HCH_012_157_000053	召見，言時政得失，且請嚴飭武備。
HCH_012_157_000054	帝嘉納之，遂留行在兵部。
HCH_012_157_000055	宣德初，工部侍郎蔡信乞征軍匠家口隸錦衣衛。
HCH_012_157_000056	本言：「軍匠二萬六千人，屬二百四十五衛所，為匠者暫役其一丁。若盡取以來，家以三四丁計之，數近十萬。軍伍既缺，人情驚駭，不可。」
HCH_012_157_000057	帝善本言。
HCH_012_157_000058	征漢庶人，從調兵食。
HCH_012_157_000059	庶人就擒，命撫輯其眾，而錄其餘黨。
HCH_012_157_000060	還以軍政久敝，奸人用貸脫籍，而援平民實伍，言於帝。
HCH_012_157_000061	擇廷臣四出厘正之。
HCH_012_157_000062	時馬大孳息，畿內軍民為畜牧所困。
HCH_012_157_000063	本請分牧于山東、河南及大名諸府。
HCH_012_157_000064	山東、河南養馬自此始。
HCH_012_157_000065	晉王濟熿坐不軌奪爵，本奉命散其護衛軍于邊鎮。
HCH_012_157_000066	四年命兼太子賓客。
HCH_012_157_000067	戶部以官田租減，度支不給，請減外官俸及生員軍士月給。
HCH_012_157_000068	帝以軍士艱，不聽減。
HCH_012_157_000069	餘下廷議，本等持不可，乃止。
HCH_012_157_000070	陽武侯薛祿城獨石諸戍成，本往計守禦之宜。
HCH_012_157_000071	還奏稱旨，命兼掌戶部。
HCH_012_157_000072	本慮邊食不足，而諸邊比歲稔，請出絲麻布帛輸邊易穀，多者三四十萬石，少者亦十萬石，儲偫頓充。
HCH_012_157_000073	六年病卒，賜賻三萬緡，葬祭甚厚。
HCH_012_157_000074	本廉介有執持，尚刻少恕。
HCH_012_157_000075	錄高煦黨，脅從者多不免。
HCH_012_157_000076	成祖宴近臣，銀器各一案，因以賜之。
HCH_012_157_000077	獨本案設陶器，諭曰：「卿號『窮張』，銀器無所用。」
HCH_012_157_000078	本頓首謝，其為上知如此。
HCH_012_157_000079	郭敦，字仲厚，堂邑人。
HCH_012_157_000080	洪武中，以鄉舉入太學，授戶部主事。
HCH_012_157_000081	遷衢州知府，多惠政。
HCH_012_157_000082	衢俗，貧者死不葬，輒焚其屍。
HCH_012_157_000083	敦為厲禁，且立義阡，俗遂革。
HCH_012_157_000084	禁民聚淫祠。
HCH_012_157_000085	敦疾，民勸弛其禁，弗聽，疾亦瘳。
HCH_012_157_000086	在衢七年。
HCH_012_157_000087	永樂初，坐累征，耆老數百人伏闕乞留，不得。
HCH_012_157_000088	後廷臣言敦廉正，召補監察御史。
HCH_012_157_000089	遷河南左參政，調陝西。
HCH_012_157_000090	十六年春，胡濙言敦有大臣體，擢禮部右侍郎兼太僕寺卿，偕給事中陶衎巡撫順天。
HCH_012_157_000091	二十年督北征餉。
HCH_012_157_000092	仁宗即位，以大行喪不齋宿，降太僕卿。
HCH_012_157_000093	旋進戶部左侍郎，兼詹事府少詹事。
HCH_012_157_000094	宣德二年進尚書。
HCH_012_157_000095	陝西旱，命與隆平侯張信整飭庶務當行者，同三司官計議奏行。
