HCH_012_166_000001	韓觀山雲蕭授方瑛李震王信彭倫歐磐張祐韓觀，字彥賓，虹人，高陽忠壯侯成子也。
HCH_012_166_000002	以舍人宿衛，忠謹為太祖所知，授桂林右衛指揮僉事。
HCH_012_166_000003	洪武十九年討平柳州、融縣諸蠻，累遷廣西都指揮使。
HCH_012_166_000004	二十二年平富川蠻，設靈亭千戶所。
HCH_012_166_000005	二十五年平賓州上林蠻。
HCH_012_166_000006	二十七年會湖廣兵討全州、灌陽諸瑤，斬千四百餘人。
HCH_012_166_000007	明年捕擒宜山諸縣蠻，斬其偽王及萬戶以下二千八百餘人。
HCH_012_166_000008	以征南左副將軍從都督楊文討龍州土官趙宗壽，宗壽伏罪。
HCH_012_166_000009	移兵征南丹、奉議及都康、向武、富勞、上林、思恩、都亮諸蠻，先後斬獲萬餘級。
HCH_012_166_000010	觀生長兵間，有勇略。
HCH_012_166_000011	性鷙悍，誅罰無所假。
HCH_012_166_000012	下令如山，人莫敢犯。
HCH_012_166_000013	初，群蠻所在蜂起，剽郡縣，殺守吏，勢甚熾。
HCH_012_166_000014	將士畏觀法，爭死鬥。
HCH_012_166_000015	觀得賊必處以極刑。
HCH_012_166_000016	間縱一二，使歸告諸蠻，諸蠻膽落。
HCH_012_166_000017	由是境內得安。
HCH_012_166_000018	二十九年召還，進都督同知。
HCH_012_166_000019	明年復從楊文討平吉州及五開叛苗，與顧成討平水西諸蠻堡，還理左府事。
HCH_012_166_000020	建文元年練兵德州，禦燕師無功。
HCH_012_166_000021	成祖即位，委任如故。
HCH_012_166_000022	命往江西練軍城守，兼節制廣東、福建、湖廣三都司。
HCH_012_166_000023	廬陵民嘯聚山澤。
HCH_012_166_000024	帝不欲用兵，遣行人許子謨賫敕招諭，命觀臨撫之。
HCH_012_166_000025	觀至，眾皆復業，賜璽書褒勞。
HCH_012_166_000026	命佩征南將軍印，鎮廣西，節制兩廣官軍。
HCH_012_166_000027	帝知觀嗜殺，賜璽書戒之曰：「蠻民易叛難服，殺愈多愈不治。卿往鎮，務綏懷之，毋專殺戮。」
HCH_012_166_000028	會群蠻復叛，帝遣員外郎李宗輔賫敕招之。
HCH_012_166_000029	觀大陳兵示將發狀，而遣使與宗輔俱。
HCH_012_166_000030	桂林蠻復業者六千家，惟思恩蠻未附。
HCH_012_166_000031	而慶遠、柳、潯諸蠻方殺掠吏民，乃上章請討。
HCH_012_166_000032	永樂元年與指揮葛森等擊斬理定諸縣山賊千一百八十有奇，擒其酋五十餘人，斬以徇。
HCH_012_166_000033	還所掠男女於民，而撫輯其逃散者。
HCH_012_166_000034	明年遣都指揮朱輝諭降宜山、忻城諸山寨。
HCH_012_166_000035	荔波瑤震恐，乞為編戶。
HCH_012_166_000036	帝屬觀撫之，八十餘洞皆歸附。
HCH_012_166_000037	明年，潯、桂、柳三府蠻作亂，已撫復叛，遣朱輝以偏師破之。
HCH_012_166_000038	蠻大懼。
HCH_012_166_000039	會朝廷遣郎中徐子良至，遂來降，歸所掠人畜器械。
HCH_012_166_000040	四年大發兵討安南，詔觀畫方略，轉粟二十萬石餉軍。
HCH_012_166_000041	已，復命偕大理卿陳洽選土兵三萬會太平，仍令觀偵安南賊中動靜。
HCH_012_166_000042	尋從大兵發憑祥，抵坡壘關，以所部營關下，伐木治橋梁，給軍食。
HCH_012_166_000043	安南平，命措置交阯緣途諸堡，而柳、潯諸蠻乘觀出，復叛。
HCH_012_166_000044	五年，觀旋師抵柳州。
HCH_012_166_000045	賊望風遁匿，觀請俟秋涼深入，且請濟師。
HCH_012_166_000046	帝使使發湖廣、廣東、貴州三都司兵，又敕新城侯張輔遣都督朱廣、方政以征交阯兵協討。
HCH_012_166_000047	十月，諸軍皆集，分道進剿。
HCH_012_166_000048	觀自以貴州、兩廣兵由柳州攻馬平、來賓、遷江、賓州、上林、羅城、融縣，皆破之。
HCH_012_166_000049	會兵象州，復進武宣、東鄉、桂林、貴平、永福。
HCH_012_166_000050	斬首萬餘級，擒萬三千餘人，群蠻復定。
HCH_012_166_000051	捷聞，帝嘉勞之。
HCH_012_166_000052	九年拜征夷副將軍，仍佩故印，總兵鎮交阯。
HCH_012_166_000053	明年復命轉粟給張輔軍。
HCH_012_166_000054	輔再出師定交阯，觀皆主饋運，不為將，故功不著。
HCH_012_166_000055	觀在廣西久，威震南中，蠻人惴惴奉命。
HCH_012_166_000056	繼之者，自山雲外，皆不能及。
HCH_012_166_000057	十二年九月卒，無子。
HCH_012_166_000058	宣德二年，保定伯梁銘奏求觀南京故宅。
HCH_012_166_000059	帝許之。
HCH_012_166_000060	既聞觀妻居其中，曰：「觀，功臣地，雖歿，豈可奪之？」
HCH_012_166_000061	遂不許。
HCH_012_166_000062	令有司以他宅賜銘。
HCH_012_166_000063	山雲，徐人。
HCH_012_166_000064	父青，以百戶從成祖起兵，積功至都督僉事。
HCH_012_166_000065	雲貌魁梧，多智略。
HCH_012_166_000066	初襲金吾左衛指揮使。
HCH_012_166_000067	數從出塞，有功。
