HCH_012_178_000001	項忠，字藎臣，嘉興人。
HCH_012_178_000002	正統七年進士。
HCH_012_178_000003	授刑部主事，進員外郎。
HCH_012_178_000004	從英宗陷於瓦剌，令飼馬，乘間挾二馬南奔。
HCH_012_178_000005	馬疲，棄之，徒跣行七晝夜，始達宣府。
HCH_012_178_000006	景泰中，由郎中遷廣東副使。
HCH_012_178_000007	按行高州，諜報賊攜男女數百剽村落。
HCH_012_178_000008	忠曰：「賊無攜家理，必被掠良民也。」
HCH_012_178_000009	戒諸將毋妄殺。
HCH_012_178_000010	已，訊所俘獲，果然，盡釋之。
HCH_012_178_000011	從征瀧水瑤有功，增俸一秩。
HCH_012_178_000012	天順初，歷陜西按察使。
HCH_012_178_000013	母憂歸，部民詣闕乞留，詔起復。
HCH_012_178_000014	時陜西連歲災傷，忠發廩振，且請輕罪納米，民賴以濟。
HCH_012_178_000015	七年以大理卿召，民乞留如前，遂改右副都御史，巡撫其地。
HCH_012_178_000016	洮、岷羌叛，忠疏言：「羌誌在劫掠，盡誅則傷仁，遽撫則不威，請聽臣便宜從事。」
HCH_012_178_000017	報可。
HCH_012_178_000018	乃發兵據險，揚聲進討，眾盡降。
HCH_012_178_000019	西安水泉鹵不可飲，為開龍首渠及皂河，引水入城。
HCH_012_178_000020	又疏鄭、白二渠，溉涇陽、三原、醴泉、高陵、臨潼五縣田七萬餘頃，民祠祀之。
HCH_012_178_000021	陜西數苦兵。
HCH_012_178_000022	成化元年上言：「三邊大將遇敵逗留，雖雲才怯，亦由權輕。士卒畏敵不畏將，是以戰無成功。宜許以軍法從事。廟堂舉將才，逾年不聞有一人應詔。陜西風土強勁，古多名將，豈無其人？但格於不能答策耳。今天下學校生徒善答策者百不一二，奈何責之武人。」
HCH_012_178_000023	帝善其言，而所司守故事不能用。
HCH_012_178_000024	毛裏孩寇延綏，詔忠偕彰武伯楊信禦之，無功。
HCH_012_178_000025	明年，信議大舉搜河套，敕忠提督軍務。
HCH_012_178_000026	忠方赴延綏，而寇復陷開城，深入靜寧、隆德六州縣，大掠而去。
HCH_012_178_000027	兵部劾忠，帝特宥之，搜套師亦不出。
HCH_012_178_000028	又明年，召理院事。
HCH_012_178_000029	四年，滿俊反。
HCH_012_178_000030	滿俊者，亦名滿四。
HCH_012_178_000031	其祖巴丹，自明初率所部歸附，世以千戶畜牧為雄長。
HCH_012_178_000032	仍故俗，無科徭。
HCH_012_178_000033	其地在開城縣之固原裏，接邊境。
HCH_012_178_000034	俊獷悍，素藏匿奸盜，出邊抄掠。
HCH_012_178_000035	會有獄連俊，有司跡逋至其家，多要求。
HCH_012_178_000036	俊怒，遂激眾為亂。
HCH_012_178_000037	守臣遣俊侄指揮璹往捕。
HCH_012_178_000038	俊殺其從者，劫璹叛，入據石城。
HCH_012_178_000039	石城，即唐吐番石堡。
HCH_012_178_000040	城稱險固，非數萬人不能克者也。
HCH_012_178_000041	山上有城寨，四面峭壁，中鑿五石井以貯水，惟一徑可緣而上。
HCH_012_178_000042	俊自稱招賢王，有眾四千。
HCH_012_178_000043	都指揮邢端等禦之，敗績。
HCH_012_178_000044	不再月，眾至二萬，關中震動。
HCH_012_178_000045	乃命忠總督軍務，與監督軍務太監劉祥、總兵官都督劉玉帥京營及陜西四鎮兵討之。
HCH_012_178_000046	師未行，而巡撫陳價等先以兵三萬進討，復大敗。
HCH_012_178_000047	賊因官軍器甲，勢益張。
HCH_012_178_000048	朝議欲益兵。
HCH_012_178_000049	忠慮京軍脆弱不足恃，且更遣大將撓事權，因上言：「臣等調兵三萬三千餘人，足以滅賊。今秋深草寒，若更調他軍，恐往復需時，賊得遠遁。且邊兵不能久留，益兵非便。」
