HCH_012_185_000001	李敏賈俊黃紱張悅似鐘曾鑒梁璟徐恪李介黃珂王鴻儒叢蘭吳世忠李敏，字公勉，襄城人。
HCH_012_185_000002	景泰五年進士。
HCH_012_185_000003	授御史。
HCH_012_185_000004	天順初，奉敕撫定貴州蠻。
HCH_012_185_000005	還，巡按畿內。
HCH_012_185_000006	以薊州餉道經海口，多覆溺，建議別開三河達薊州，以避其險，軍民利之。
HCH_012_185_000007	成化初，用薦超遷浙江按察使。
HCH_012_185_000008	再任湖廣。
HCH_012_185_000009	歷山西、四川左、右布政使。
HCH_012_185_000010	十三年擢右副都御史，巡撫大同。
HCH_012_185_000011	敵騎出沒塞下，掩殺守墩軍，敏伏壯士突擒之。
HCH_012_185_000012	修治垣塹，敵不敢犯。
HCH_012_185_000013	十五年召為兵部右侍郎。
HCH_012_185_000014	逾四年，病歸。
HCH_012_185_000015	河南大饑，條上救荒數事。
HCH_012_185_000016	詔以左副都御史巡撫保定諸府。
HCH_012_185_000017	二十一年改督漕運，尋召拜戶部尚書。
HCH_012_185_000018	先是，敏在大同，見山東、河南轉餉至者，道遠耗費，乃會計歲支外，悉令輸銀。
HCH_012_185_000019	民輕賫易達，而將士得以其贏治軍裝，交便之。
HCH_012_185_000020	至是，並請畿輔、山西、陜西州縣歲輸糧各邊者，每糧一石征銀一兩，以十九輸邊，依時值折軍餉，有餘則召糴以備軍興。
HCH_012_185_000021	帝從之。
HCH_012_185_000022	自是北方二稅皆折銀，由敏始也。
HCH_012_185_000023	崇文門宣課司稅，多為勢要所侵漁。
HCH_012_185_000024	敏因馬文升言請增設御史主事監視。
HCH_012_185_000025	御史陳瑤斥敏聚斂，敏再疏求去。
HCH_012_185_000026	帝慰留之。
HCH_012_185_000027	貴戚請隙地及鷹房、牧馬場千頃，敏執不可，事得寢。
HCH_012_185_000028	當憲宗末，中官、佞幸多賜莊田。
HCH_012_185_000029	既得罪，率辭而歸之官，罪重者奪之。
HCH_012_185_000030	然不以賦民。
HCH_012_185_000031	敏請召佃，畝科銀三分，帝從之，然他莊田如故也。
HCH_012_185_000032	會京師大水，敏乃極陳其害，言：「今畿輔皇莊五，為地萬二千八百餘頃；勛戚、中官莊三百三十有二，為地三萬三千一百餘頃。官校招無賴為莊頭，豪奪畜產，戕殺人，汙婦女，民心痛傷。災異所由生。皇莊始正統間，諸王未封，相閑地立莊。王之藩，地仍歸官，其後乃沿襲。普天之下，莫非王土，何必皇莊。請盡革莊戶，賦民耕。畝概征銀三分，充各宮用度。無皇莊之名，而有足用之效。至權要莊田，亦請擇佃戶領之，有司收其課，聽諸家領取。悅民心，感和氣，無切於此。」
HCH_012_185_000033	時不能用。
HCH_012_185_000034	南京御史與守備太監蔣琮相訐，御史鹹逮謫，而琮居職如故。
HCH_012_185_000035	敏再疏力爭，皆不聽。
