HCH_012_194_000001	喬宇孫交林俊金獻民秦金趙璜鄒文盛梁材劉麟蔣瑤王廷相喬宇，字希大，山西樂平人。
HCH_012_194_000002	祖毅，工部左侍郎。
HCH_012_194_000003	父鳳，職方郎中。
HCH_012_194_000004	皆以清節顯。
HCH_012_194_000005	宇登成化二十年進士，授禮部主事。
HCH_012_194_000006	弘治初，王恕為吏部，調之文選，三遷至郎中。
HCH_012_194_000007	門無私謁。
HCH_012_194_000008	擢太常少卿。
HCH_012_194_000009	武宗嗣位，遣祀中鎮、西海。
HCH_012_194_000010	還朝，條上道中所見軍民困苦六事。
HCH_012_194_000011	已，遷光祿卿，歷戶部左、右侍郎。
HCH_012_194_000012	劉瑾敗，大臣多以黨附見劾，宇獨無所染。
HCH_012_194_000013	拜南京禮部尚書。
HCH_012_194_000014	乾清宮災，率同列言視朝不勤，經筵久輟，國本未建，義子猥多，番僧處禁寺，優伶侍起居，立皇店，留邊兵，習戰鬥，土木繁興，織造不息，凡十事。
HCH_012_194_000015	帝不省。
HCH_012_194_000016	久之，改兵部，參贊機務。
HCH_012_194_000017	以帝遠遊塞上，而監國無人，請早建儲貳。
HCH_012_194_000018	帝將自擊寇，宇復率同列諫。
HCH_012_194_000019	皆不報。
HCH_012_194_000020	未幾，寧王宸濠反，揚言旦夕下南京。
HCH_012_194_000021	宇嚴為警備，而談笑自如。
HCH_012_194_000022	時攜客燕城外，密察地險易，置戍守。
HCH_012_194_000023	綜理周密，內外宴然。
HCH_012_194_000024	指揮楊銳有才略，署為安慶守備。
HCH_012_194_000025	鎮守中官劉郎與濠通，為預伏死士。
HCH_012_194_000026	宇刺得其情，詰郎用事者，郎懼不敢動。
HCH_012_194_000027	宇乃大索城中，斬所伏壯士三百人，懸首江上。
HCH_012_194_000028	宸濠失內應，且知有備，不敢東。
HCH_012_194_000029	攻安慶，銳固守不得下。
HCH_012_194_000030	未幾敗。
HCH_012_194_000031	帝至南京，詔百官戎服朝明年正旦。
HCH_012_194_000032	宇不可，率諸臣朝服賀。
HCH_012_194_000033	江彬索城門諸鑰，都督府問宇。
HCH_012_194_000034	宇曰：「守備者，所以謹非常。禁門鎖鑰，孰敢索？亦孰敢予？雖天子詔不可得。」
HCH_012_194_000035	都督府以宇言復，乃已。
HCH_012_194_000036	彬矯旨有所求，日數十至，宇必廷白之，彬亦稍稍止。
HCH_012_194_000037	彬欲譖去宇。
HCH_012_194_000038	守備太監王偉者，初為帝伴讀，帝信之，每從中調護，故彬謀不行。
HCH_012_194_000039	帝駐南京九月，宇倡諸臣三請回鑾，又自伏闕請。
HCH_012_194_000040	駕旋，扈至揚州。
HCH_012_194_000041	明年加太子太保。
HCH_012_194_000042	論保障功，復加少保。
HCH_012_194_000043	世宗即位，召為吏部尚書。
HCH_012_194_000044	宇自為選郎，有人倫鑒，及是銓政一清。
HCH_012_194_000045	帝求治銳甚。
HCH_012_194_000046	宇與林俊、鼓澤、孫交，皆海內重望，帝亦委任之。
HCH_012_194_000047	凡為權幸所黜者，皆起列庶位，天下欣欣望治。
HCH_012_194_000048	帝性剛，好自用，宇所執漸不見聽。
HCH_012_194_000049	興府需次官六十三人，乞遷敘。
HCH_012_194_000050	宇言此輩虛隸名籍，與見供事者不同。
HCH_012_194_000051	黜罰之有差，皆怨宇。
HCH_012_194_000052	帝欲封駙馬都尉崔元為侯，外戚蔣輪、邵喜為伯，宇不可。
HCH_012_194_000053	無何，詔進壽寧侯張鶴齡為公，封後父陳萬言為伯，授萬言子紹祖尚寶丞。
HCH_012_194_000054	宇言：「累朝太后戚屬無生封公者，張巒亦歿後贈，今奈何以父贈為子封。萬言封伯視巒更驟，而子授尚寶非制。願陛下守典章，以垂萬世。」
HCH_012_194_000055	帝並不從。
HCH_012_194_000056	史道訐楊廷和，宇言道挾私，遂下之詔獄。
HCH_012_194_000057	曹嘉助道劾宇，宇求罷，帝命鴻臚趨視事。
HCH_012_194_000058	宇遇事不可，無不力爭，而爭「大禮」尤切。
HCH_012_194_000059	帝欲加興獻帝皇號，宇言加皇於本生之親，則幹正統，非所以重宗廟，正名分。
HCH_012_194_000060	及禮官請稱獻帝為本生考，帝改稱本生皇考，又詔建獻帝廟於大內，宇等復連章諫。
HCH_012_194_000061	特旨用席書為禮部尚書，宇又偕九卿言：「陛下罷汪俊，用席書；謫馬明衡、季本、陳逅，召張璁、桂萼、霍韜。舉措乖違，人心駭愕。夫以一二人邪說，廢天下萬世公議，內離骨肉，外間君臣，名為效忠，實累聖德。且書不繇廷推，特出內降，此祖宗來所未有。乞令俊與書各仍舊職，宥明衡等，止璁、萼毋召。」
HCH_012_194_000062	尋復請罷璁、萼、書，而出爭「大禮」者呂柟、鄒守益於獄。
HCH_012_194_000063	會璁、萼至京，詔皆用為學士。
HCH_012_194_000064	宇等又言：「內降恩澤，先朝率施於佞幸小人。若士大夫一預其間，即不為清議所齒。況學士最清華，而俾萼等居之，誰復肯與同列哉？」
HCH_012_194_000065	帝怒，切責。
HCH_012_194_000066	宇遂乞休，許之。
HCH_012_194_000067	馳傳給夫廩，猶如故事。
HCH_012_194_000068	御史許中、劉隅等請留宇，帝曰：「朕非不用宇，宇自以疾求去耳。」
HCH_012_194_000069	後《明倫大典》成，追論前議，奪官。
HCH_012_194_000070	楊一清卒，宇渡江吊之。
HCH_012_194_000071	南都父老皆出迎，舉手加額曰：「活我者，公也。」
HCH_012_194_000072	宇幼從父京師，學於楊一清。
HCH_012_194_000073	成進士後，復從李東陽遊。
HCH_012_194_000074	詩文雄雋，兼通篆籀。
HCH_012_194_000075	性好山水，嘗陟太華絕頂。
HCH_012_194_000076	遇虎，仆夫皆驚仆，宇端坐不動，虎徐帖尾去。
HCH_012_194_000077	家居淡泊，服御若寒士。
HCH_012_194_000078	身歿，二妾劉、許皆從死。
HCH_012_194_000079	穆宗即位，復官，贈少傅，謚莊簡。
HCH_012_194_000080	孫交，字誌同，陸安人。
HCH_012_194_000081	成化十七年進士。
HCH_012_194_000082	授南京兵部主事，為尚書王恕所知。
HCH_012_194_000083	弘治初，怒入吏部，薦授稽勛員外郎，歷文選郎中。
HCH_012_194_000084	居吏部十四年，於善類多所推引。
HCH_012_194_000085	遷太常少卿，提督四夷館。
HCH_012_194_000086	大同有警，命經略黃花鎮諸邊。
HCH_012_194_000087	增垣塹，廣樹藝，制敵騎馳突。
HCH_012_194_000088	永樂時，歲遣隆慶諸衛軍采薪炭。
HCH_012_194_000089	其後罷之，令歲輸銀二萬兩，軍重困。
HCH_012_194_000090	交奏免之。
HCH_012_194_000091	正德初，擢光祿卿。
HCH_012_194_000092	三年進戶部右侍郎，提督倉場，改吏部。
HCH_012_194_000093	尚書張彩附劉瑾，交數規切。
HCH_012_194_000094	彩怒，調之南京。
HCH_012_194_000095	瑾敗，召拜戶部尚書。
HCH_012_194_000096	時征討流寇，調度煩急，仍歲兇，正賦不足，交區畫適宜。
HCH_012_194_000097	四方告饑，輒請蠲租遣振，以故民不至甚敝，而小人用事者皆不便之。
HCH_012_194_000098	帝欲以太平倉賜幸臣裴德，雲南鎮守中官張倫請采銀礦，南京織造中官吳經奏費乏，交皆力爭。
HCH_012_194_000099	八年六月，中旨與禮部尚書傅珪並致仕。
HCH_012_194_000100	言官多請留，不報。
HCH_012_194_000101	世宗在潛邸知交名，甫即位，召復故官。
HCH_012_194_000102	首請帝日讀《祖訓》，言動悉取準則，經筵日講寒暑勿輟。
HCH_012_194_000103	帝褒納焉。
HCH_012_194_000104	或議遷顯陵天壽山，交言：「山陵事重，太祖欲遷仁祖於鐘山，慮泄靈氣而止，具載《皇陵碑》。」
HCH_012_194_000105	事乃止。
HCH_012_194_000106	武宗侈汰之後，庫藏殫虛。
HCH_012_194_000107	交裁冗食，定經制，宿弊為清。
HCH_012_194_000108	然事涉中官者，帝亦不能盡從也。
HCH_012_194_000109	嘗會廷臣議發內帑給軍廩官俸，已報可，為中官梁諫等所沮。
HCH_012_194_000110	交言：「宮府異同，令出復反，非新政所宜。」
HCH_012_194_000111	不聽。
HCH_012_194_000112	中官監督倉場者，初止數人，正德中增至五十五人。
HCH_012_194_000113	以交言罷撤過半，其後復漸增。
HCH_012_194_000114	帝已罷三十七人，交欲盡去之，並臨清、徐、淮諸倉，一切勿遣。
HCH_012_194_000115	帝令自今毋更加而已。
HCH_012_194_000116	守珠池中官，詔毋得預守土事，而安川夤緣復故。
HCH_012_194_000117	交劾川，命如前詔。
HCH_012_194_000118	正德中，上林苑內臣至九十九人，侵奪公私地無算。
HCH_012_194_000119	帝即位，命留十八人，如弘治時。
HCH_012_194_000120	已復傳奉至六十二人，交乞汰如初，且盡歸侵奪地。
HCH_012_194_000121	報許。
HCH_012_194_000122	又論禦馬監內臣宜如祖制，毋監收芻豆，並令戶部通知馬數，杜其侵耗。
