HCH_012_195_000001	王守仁，字伯安，餘姚人。
HCH_012_195_000002	父華，字德輝，成化十七年進士第一。
HCH_012_195_000003	授修撰。
HCH_012_195_000004	弘治中，累官學士、少詹事。
HCH_012_195_000005	華有器度，在講幄最久，孝宗甚眷之。
HCH_012_195_000006	李廣貴幸，華講大學衍義，至唐李輔國與張后表裏用事，指陳甚切。
HCH_012_195_000007	帝命中官賜食勞焉。
HCH_012_195_000008	正德初，進禮部左侍郎。
HCH_012_195_000009	以守仁忤劉瑾，出為南京吏部尚書，坐事罷。
HCH_012_195_000010	旋以會典小誤，降右侍郎。
HCH_012_195_000011	瑾敗，乃復故，無何卒。
HCH_012_195_000012	華性孝，母岑年踰百歲卒。
HCH_012_195_000013	華已年七十餘，猶寢苫蔬食，士論多之。
HCH_012_195_000014	守仁娠十四月而生。
HCH_012_195_000015	祖母夢神人自雲中送兒下，因名雲。
HCH_012_195_000016	五歲不能言，異人拊之，更名守仁，乃言。
HCH_012_195_000017	年十五，訪客居庸、山海關。
HCH_012_195_000018	時闌出塞，縱觀山川形勝。
HCH_012_195_000019	弱冠舉鄉試，學大進。
HCH_012_195_000020	顧益好言兵，且善射。
HCH_012_195_000021	登弘治十二年進士。
HCH_012_195_000022	使治前威寧伯王越葬，還而朝議方急西北邊，守仁條八事上之。
HCH_012_195_000023	尋授刑部主事。
HCH_012_195_000024	決囚江北，引疾歸。
HCH_012_195_000025	起補兵部主事。
HCH_012_195_000026	正德元年冬，劉瑾逮南京給事中御史戴銑等二十餘人。
HCH_012_195_000027	守仁抗章救，瑾怒，廷杖四十，謫貴州龍場驛丞。
HCH_012_195_000028	龍場萬山叢薄，苗、僚雜居。
HCH_012_195_000029	守仁因俗化導，夷人喜，相率伐木為屋，以棲守仁。
HCH_012_195_000030	瑾誅，量移廬陵知縣。
HCH_012_195_000031	入覲，遷南京刑部主事，吏部尚書楊一清改之驗封。
HCH_012_195_000032	屢遷考功郎中，擢南京太僕少卿，就遷鴻臚卿。
HCH_012_195_000033	兵部尚書王瓊素奇守仁才。
HCH_012_195_000034	十一年八月擢右僉都御史，巡撫南、贛。
HCH_012_195_000035	當是時，南中盜賊蜂起。
HCH_012_195_000036	謝志山據橫水、左溪、桶岡，池仲容據浰頭，皆稱王，與大庾陳曰能、樂昌高快馬、郴州龔福全等攻剽府縣。
HCH_012_195_000037	而福建大帽山賊詹師富等又起。
HCH_012_195_000038	前巡撫文森托疾避去。
HCH_012_195_000039	志山合樂昌賊掠大庾，攻南康、贛州，贛縣主簿吳玭戰死。
HCH_012_195_000040	守仁至，知左右多賊耳目，乃呼老黠隸詰之。
HCH_012_195_000041	隸戰栗不敢隱，因貰其罪，令詗賊，賊動靜無勿知。
HCH_012_195_000042	於是檄福建、廣東會兵，先討大帽山賊。
HCH_012_195_000043	明年正月，督副使楊璋等破賊長富村，逼之象湖山，指揮覃桓、縣丞紀鏞戰死。
HCH_012_195_000044	守仁親率銳卒屯上杭。
HCH_012_195_000045	佯退師，出不意搗之，連破四十餘寨，俘斬七千有奇，指揮王鎧等擒師富。
HCH_012_195_000046	疏言權輕，無以令將士，請給旗牌，提督軍務，得便宜從事。
HCH_012_195_000047	尚書王瓊奏從其請。
HCH_012_195_000048	乃更兵制：二十五人為伍，伍有小甲；二伍為隊，隊有總甲；四隊為哨，哨有長，協哨二佐之；二哨為營，營有官，參謀二佐之；三營為陣，陣有偏將；二陣為軍，軍有副將。
HCH_012_195_000049	皆臨事委，不命於朝；副將以下，得遞相罰治。
HCH_012_195_000050	其年七月進兵大庾。
HCH_012_195_000051	志山乘間急攻南安，知府季斅擊敗之。
HCH_012_195_000052	副使楊璋等亦生縶曰能以歸。
HCH_012_195_000053	遂議討橫水、左溪。
HCH_012_195_000054	十月，都指揮許清、贛州知府邢珣、寧都知縣王天與各一軍會橫水，斅及守備郟文、汀州知府唐淳、縣丞舒富各一軍會左溪，吉安知府伍文定、程鄉知縣張戩遏其奔軼。
HCH_012_195_000055	守仁自駐南康，去橫水三十里，先遣四百人伏賊巢左右，進軍逼之。
HCH_012_195_000056	賊方迎戰，兩山舉幟。
HCH_012_195_000057	賊大驚，謂官軍已盡犁其巢，遂潰。
HCH_012_195_000058	乘勝克橫水，志山及其黨蕭貴模等皆走桶岡。
HCH_012_195_000059	左溪亦破。
HCH_012_195_000060	守仁以桶岡險固，移營近地，諭以禍福。
HCH_012_195_000061	賊首藍廷鳳等方震恐，見使至大喜，期仲冬朔降，而珣、文定已冒雨奪險入。
HCH_012_195_000062	賊阻水陣，珣直前搏戰，文定與戩自右出，賊倉卒敗走，遇淳兵又敗。
HCH_012_195_000063	諸軍破桶岡，志山、貴模、廷鳳面縛降。
HCH_012_195_000064	凡破巢八十有四，俘斬六千有奇。
HCH_012_195_000065	時湖廣巡撫秦金亦破福全。
HCH_012_195_000066	其黨千人突至，諸將擒斬之。
HCH_012_195_000067	乃設崇義縣於橫水，控諸瑤。
HCH_012_195_000068	還至贛州，議討浰頭賊。
HCH_012_195_000069	初，守仁之平師富也，龍川賊盧珂、鄭志高、陳英咸請降。
HCH_012_195_000070	及征橫水，浰頭賊將黃金巢亦以五百人降，獨仲容未下。
HCH_012_195_000071	橫水破，仲容始遣弟仲安來歸，而嚴為戰守備。
HCH_012_195_000072	詭言珂、志高，讐也，將襲我，故為備。
HCH_012_195_000073	守仁佯杖繫珂等，而陰使珂弟集兵待，遂下令散兵。
HCH_012_195_000074	歲首大張燈樂，仲容信且疑。
HCH_012_195_000075	守仁賜以節物，誘入謝。
HCH_012_195_000076	仲容率九十三人營教場，而自以數人入謁。
HCH_012_195_000077	守仁呵之曰：「若皆吾民，屯於外，疑我乎？」
HCH_012_195_000078	悉引入祥符宮，厚飲食之。
HCH_012_195_000079	賊大喜過望，益自安。
HCH_012_195_000080	守仁留仲容觀燈樂。
HCH_012_195_000081	正月三日大享，伏甲士於門，諸賊入，以次悉擒戮之。
HCH_012_195_000082	自將抵賊巢，連破上、中、下三浰，斬馘二千有奇。
HCH_012_195_000083	餘賊奔九連山。
HCH_012_195_000084	山橫亙數百里，陡絕不可攻。
HCH_012_195_000085	乃簡壯士七百人衣賊衣，奔崖下，賊招之上。
HCH_012_195_000086	官軍進攻，內外合擊，擒斬無遺。
HCH_012_195_000087	乃於下浰立和平縣，置戍而歸。
HCH_012_195_000088	自是境內大定。
HCH_012_195_000089	初，朝議賊勢強，發廣東、湖廣兵合剿。
HCH_012_195_000090	守仁上疏止之，不及。
HCH_012_195_000091	桶岡既滅，湖廣兵始至。
HCH_012_195_000092	及平浰頭，廣東尚未承檄。
HCH_012_195_000093	守仁所將皆文吏及偏裨小校，平數十年巨寇，遠近驚為神。
HCH_012_195_000094	進右副都御史，予世襲錦衣衞百戶，再進副千戶。
HCH_012_195_000095	十四年六月命勘福建叛軍。
HCH_012_195_000096	行至豐城而寧王宸濠反，知縣顧佖以告。
HCH_012_195_000097	守仁急趨吉安，與伍文定徵調兵食，治器械舟楫，傳檄暴宸濠罪，俾守令各率吏士勤王。
HCH_012_195_000098	都御史王懋中，編修鄒守益，副使羅循、羅欽德，郎中曾直，御史張鰲山、周魯，評事羅僑，同知郭祥鵬，進士郭持平，降謫驛丞王思、李中，咸赴守仁軍。
HCH_012_195_000099	御史謝源、伍希儒自廣東還，守仁留之紀功。
HCH_012_195_000100	因集眾議曰：「賊若出長江順流東下，則南都不可保。吾欲以計撓之，少遲旬日無患矣。」
HCH_012_195_000101	乃多遣間諜，檄府縣言：「都督許泰、郤永將邊兵，都督劉暉、桂勇將京兵，各四萬，水陸並進。南贛王守仁、湖廣秦金、兩廣楊旦各率所部合十六萬，直擣南昌，所至有司缺供者，以軍法論。」
HCH_012_195_000102	又為蠟書遺偽相李士實、劉養正，敍其歸國之誠，令從臾早發兵東下，而縱諜洩之。
HCH_012_195_000103	宸濠果疑。
HCH_012_195_000104	與士實、養正謀，則皆勸之疾趨南京即大位，宸濠益大疑。
HCH_012_195_000105	十餘日詗知中外兵不至，乃悟守仁紿之。
HCH_012_195_000106	七月壬辰朔留宜春王拱樤居守，而劫其眾六萬人，襲下九江、南康，出大江，薄安慶。
HCH_012_195_000107	守仁聞南昌兵少則大喜，趨樟樹鎮。
HCH_012_195_000108	知府臨江戴德孺、袁州徐璉、贛州邢珣，都指揮余恩，通判瑞州胡堯元童琦、撫州鄒琥、安吉談儲，推官王暐、徐文英，知縣新淦李美、泰和李楫、萬安王冕、寧都王天與，各以兵來會，合八萬人，號三十萬。
HCH_012_195_000109	或請救安慶，守仁曰：「不然。今九江、南康已為賊守，我越南昌與相持江上，二郡兵絕我後，是腹背受敵也。不如直搗南昌。賊精銳悉出，守備虛。我軍新集氣銳，攻必破。賊聞南昌破，必解圍自救。逆擊之湖中，蔑不勝矣。」
HCH_012_195_000110	眾曰「善」。
HCH_012_195_000111	己酉次豐城，以文定為前鋒，先遣奉新知縣劉守緒襲其伏兵。
HCH_012_195_000112	庚戌夜半，文定兵抵廣潤門，守兵駭散。
HCH_012_195_000113	辛亥黎明，諸軍梯絙登，縛拱樤等，宮人多焚死。
HCH_012_195_000114	軍士頗殺掠，守仁戮犯令者十餘人，宥脅從，安士民，慰諭宗室，人心乃悅。
HCH_012_195_000115	居二日，遣文定、珣、璉、德孺各將精兵分道進，而使堯元等設伏。
HCH_012_195_000116	宸濠果自安慶還兵。
HCH_012_195_000117	乙卯遇於黃家渡。
HCH_012_195_000118	文定當其前鋒，賊趨利。
HCH_012_195_000119	珣繞出賊背貫其中，文定、恩乘之，璉、德孺張兩翼分賊勢，堯元等伏發，賊大潰，退保八字腦。
HCH_012_195_000120	宸濠懼，盡發南康、九江兵。
HCH_012_195_000121	守仁遣知府撫州陳槐、饒州林城取九江，建昌曾璵、廣信周朝佐取南康。
HCH_012_195_000122	丙辰復戰，官軍卻，守仁斬先卻者。
HCH_012_195_000123	諸軍殊死戰，賊復大敗，退保樵舍，聯舟為方陣，盡出金寶犒士。
HCH_012_195_000124	明日，宸濠方晨朝其羣臣，官軍奄至。
HCH_012_195_000125	以小舟載薪，乘風縱火，焚其副舟，妃婁氏以下皆投水死。
HCH_012_195_000126	宸濠舟膠淺，倉卒易舟遁，王冕所部兵追執之。
HCH_012_195_000127	士實、養正及降賊按察使楊璋等皆就擒。
HCH_012_195_000128	南康、九江亦下。
HCH_012_195_000129	凡三十五日而賊平。
HCH_012_195_000130	京師聞變，諸大臣震懼。
HCH_012_195_000131	王瓊大言曰：「王伯安居南昌上游，必擒賊。」
HCH_012_195_000132	至是，果奏捷。
HCH_012_195_000133	帝時已親征，自稱威武大將軍，率京邊驍卒數萬南下。
HCH_012_195_000134	命安邊伯許泰為副將軍，偕提督軍務太監張忠、平賊將軍左都督劉暉將京軍數千，泝江而上，抵南昌。
HCH_012_195_000135	諸嬖倖故與宸濠通，守仁初上宸濠反書，因言：「覬覦者非特一寧王，請黜奸諛以回天下豪傑心。」
HCH_012_195_000136	諸嬖倖皆恨。
HCH_012_195_000137	宸濠既平，則相與媢功。
HCH_012_195_000138	且懼守仁見天子發其罪，競為蜚語，謂守仁先與通謀，慮事不成，乃起兵。
HCH_012_195_000139	又欲令縱宸濠湖中，待帝自擒。
HCH_012_195_000140	守仁乘忠、泰未至，先俘宸濠，發南昌。
HCH_012_195_000141	忠、泰以威武大將軍檄邀之廣信。
HCH_012_195_000142	守仁不與，間道趨玉山，上書請獻俘，止帝南征。
HCH_012_195_000143	帝不許。
HCH_012_195_000144	至錢唐遇太監張永。
HCH_012_195_000145	永提督贊畫機密軍務，在忠、泰輩上，而故與楊一清善，除劉瑾，天下稱之。
HCH_012_195_000146	守仁夜見永，頌其賢，因極言江西困敝，不堪六師擾。
HCH_012_195_000147	永深然之，曰：「永此來，為調護聖躬，非邀功也。公大勛，永知之，但事不可直情耳。」
HCH_012_195_000148	守仁乃以宸濠付永，而身至京口，欲朝行在。
HCH_012_195_000149	聞巡撫江西命，乃還南昌。
HCH_012_195_000150	忠、泰已先至，恨失宸濠。
HCH_012_195_000151	故縱京軍犯守仁，或呼名嫚罵。
HCH_012_195_000152	守仁不為動，撫之愈厚。
HCH_012_195_000153	病予藥，死予棺，遭喪於道，必停車慰問良久始去。
HCH_012_195_000154	京軍謂王都堂愛我，無復犯者。
HCH_012_195_000155	忠、泰言：「寧府富厚甲天下，今所蓄安在？」
HCH_012_195_000156	守仁曰：「宸濠異時盡以輸京師要人，約內應，籍可按也。」
HCH_012_195_000157	忠、泰故嘗納宸濠賄者，氣懾不敢復言。
HCH_012_195_000158	已，輕守仁文士，強之射。
HCH_012_195_000159	徐起，三發三中。
HCH_012_195_000160	京軍皆歡呼，忠、泰益沮。
HCH_012_195_000161	會冬至，守仁命居民巷祭，已，上塚哭。
HCH_012_195_000162	時新喪亂，悲號震野。
HCH_012_195_000163	京軍離家久，聞之無不泣下思歸者。
HCH_012_195_000164	忠、泰不得已班師。
HCH_012_195_000165	比見帝，與紀功給事中祝續、御史章綸讒毀百端，獨永時時左右之。
HCH_012_195_000166	忠揚言帝前曰：「守仁必反，試召之，必不至。」
HCH_012_195_000167	忠、泰屢矯旨召守仁。
HCH_012_195_000168	守仁得永密信，不赴。
HCH_012_195_000169	及是知出帝意，立馳至。
HCH_012_195_000170	忠、泰計沮，不令見帝。
HCH_012_195_000171	守仁乃入九華山，日晏坐僧寺。
HCH_012_195_000172	帝覘知之，曰：「王守仁學道人，聞召即至，何謂反？」
HCH_012_195_000173	乃遣還鎮，令更上捷音。
HCH_012_195_000174	守仁乃易前奏，言奉威武大將軍方略討平叛亂，而盡入諸嬖倖名，江彬等乃無言。
HCH_012_195_000175	當是時，讒邪搆煽，禍變叵測，微守仁，東南事幾殆。
HCH_012_195_000176	世宗深知之。
HCH_012_195_000177	甫即位，趣召入朝受封。
HCH_012_195_000178	而大學士楊廷和與王瓊不相能。
HCH_012_195_000179	守仁前後平賊，率歸功瓊，廷和不喜，大臣亦多忌其功。
HCH_012_195_000180	會有言國哀未畢，不宜舉宴行賞者，因拜守仁南京兵部尚書。
HCH_012_195_000181	守仁不赴，請歸省。
HCH_012_195_000182	已，論功封特進光祿大夫、柱國、新建伯，世襲，歲祿一千石。
HCH_012_195_000183	然不予鐵券，歲祿亦不給。
HCH_012_195_000184	諸同事有功者，惟吉安守伍文定至大官，當上賞。
HCH_012_195_000185	其他皆名示遷，而陰絀之，廢斥無存者。
HCH_012_195_000186	守仁憤甚。
HCH_012_195_000187	時已丁父憂，屢疏辭爵，乞錄諸臣功，咸報寢。
HCH_012_195_000188	免喪，亦不召。
HCH_012_195_000189	久之，所善席書及門人方獻夫、黃綰以議禮得幸，言於張璁、桂萼，將召用，而費宏故銜守仁，復沮之。
HCH_012_195_000190	屢推兵部尚書，三邊總督，提督團營，皆弗果用。
HCH_012_195_000191	嘉靖六年，思恩、田州土酋盧蘇、王受反。
HCH_012_195_000192	總督姚鏌不能定，乃詔守仁以原官兼左都御史，總督兩廣兼巡撫。
HCH_012_195_000193	綰因上書訟守仁功，請賜鐵券歲祿，並敍討賊諸臣，帝咸報可。
HCH_012_195_000194	守仁在道，疏陳用兵之非，且言：「思恩未設流官，土酋歲出兵三千，聽官征調。既設流官，我反歲遣兵數千防戍。是流官之設，無益可知。且田州隣交阯，深山絕谷，悉瑤、僮盤據，必仍設土官，斯可藉其兵力為屏蔽。若改土為流，則邊鄙之患，我自當之，後必有悔。」
HCH_012_195_000195	章下兵部，尚書王時中條其不合者五，帝令守仁更議。
HCH_012_195_000196	十二月，守仁抵潯州，會巡按御史石金定計招撫。
HCH_012_195_000197	悉散遣諸軍，留永順、保靖土兵數千，解甲休息。
HCH_012_195_000198	蘇、受初求撫不得，聞守仁至益懼，至是則大喜。
HCH_012_195_000199	守仁赴南寧，二人遣使乞降，守仁令詣軍門。
HCH_012_195_000200	二人竊議曰：「王公素多詐，恐紿我。」
HCH_012_195_000201	陳兵入見。
HCH_012_195_000202	守仁數二人罪，杖而釋之。
HCH_012_195_000203	親入營，撫其眾七萬。
HCH_012_195_000204	奏聞於朝，陳用兵十害，招撫十善。
HCH_012_195_000205	因請復設流官，量割田州地，別立一州，以岑猛次子邦相為吏目，署州事，俟有功擢知州。
HCH_012_195_000206	而於田州置十九巡檢司，以蘇、受等任之，並受約束於流官知府。
HCH_012_195_000207	帝皆從之。
HCH_012_195_000208	斷藤峽瑤賊，上連八寨。
HCH_012_195_000209	下通仙臺、花相諸洞蠻，盤亙三百餘里，郡邑罹害者數十年。
HCH_012_195_000210	守仁欲討之，故留南寧。
HCH_012_195_000211	罷湖廣兵，示不再用。
HCH_012_195_000212	伺賊不備，進破牛腸、六寺等十餘寨，峽賊悉平。
HCH_012_195_000213	遂循橫石江而下，攻克仙臺、花相、白竹、古陶、羅鳳諸賊。
HCH_012_195_000214	令布政使林富率蘇、受兵直抵八寨，破石門，副將沈希儀邀斬軼賊，盡平八寨。
HCH_012_195_000215	始，帝以蘇、受之撫，遣行人奉璽書奬諭。
HCH_012_195_000216	及奏斷藤峽捷，則以手詔問閣臣楊一清等，謂守仁自誇大，且及其生平學術。
HCH_012_195_000217	一清等不知所對。
HCH_012_195_000218	守仁之起由璁、萼薦，萼故不善守仁，以璁強之。
HCH_012_195_000219	後萼長吏部，璁入內閣，積不相下。
HCH_012_195_000220	萼暴貴喜功名，風守仁取交阯，守仁辭不應。
HCH_012_195_000221	一清雅知守仁，而黃綰嘗上疏欲令守仁入輔，毀一清，一清亦不能無移憾。
HCH_012_195_000222	萼遂顯詆守仁征撫交失，賞格不行。
HCH_012_195_000223	獻夫及霍韜不平，上疏爭之，言：「諸瑤為患積年，初嘗用兵數十萬，僅得一田州，旋復召寇。守仁片言馳諭，思、田稽首。至八寨、斷藤峽賊，阻深巖絕岡，國初以來未有輕議剿者，今一舉蕩平，若拉枯朽。議者乃言守仁受命征思、田，不受命征八寨。夫大夫出疆，有可以安國家，利社稷，專之可也。況守仁固承詔得便宜從事者乎？守仁討平叛藩，忌者誣以初同賊謀，又誣其輦載金帛。當時大臣楊廷和、喬宇飾成其事，至今未白。夫忠如守仁，有功如守仁，一屈於江西，再屈於兩廣。臣恐勞臣灰心，將士解體，後此疆圉有事，誰復為陛下任之！」
HCH_012_195_000224	帝報聞而已。
HCH_012_195_000225	守仁已病甚，疏乞骸骨，舉鄖陽巡撫林富自代，不俟命竟歸。
HCH_012_195_000226	行至南安卒，年五十七。
HCH_012_195_000227	喪過江西，軍民無不縞素哭送者。
HCH_012_195_000228	守仁天姿異敏。
HCH_012_195_000229	年十七謁上饒婁諒，與論朱子格物大指。
HCH_012_195_000230	還家，日端坐，講讀五經，不苟言笑。
HCH_012_195_000231	游九華歸，築室陽明洞中。
HCH_012_195_000232	泛濫二氏學，數年無所得。
HCH_012_195_000233	謫龍場，窮荒無書，日繹舊聞。
HCH_012_195_000234	忽悟格物致知，當自求諸心，不當求諸事物，喟然曰：「道在是矣。」
HCH_012_195_000235	遂篤信不疑。
HCH_012_195_000236	其為教，專以致良知為主。
HCH_012_195_000237	謂宋周、程二子後，惟象山陸氏簡易直捷，有以接孟氏之傳。
HCH_012_195_000238	而朱子集註、或問之類，乃中年未定之說。
HCH_012_195_000239	學者翕然從之，世遂有「陽明學」云。
HCH_012_195_000240	守仁既卒，桂萼奏其擅離職守。
HCH_012_195_000241	帝大怒，下廷臣議。
HCH_012_195_000242	萼等言：「守仁事不師古，言不稱師。欲立異以為高，則非朱熹格物致知之論；知眾論之不予，則為朱熹晚年定論之書。號召門徒，互相倡和。才美者樂其任意，庸鄙者借其虛聲。傳習轉訛，背謬彌甚。但討捕軬賊，擒獲叛藩，功有足錄，宜免追奪伯爵以章大信，禁邪說以正人心。」
HCH_012_195_000243	帝乃下詔停世襲，卹典俱不行。
HCH_012_195_000244	隆慶初，廷臣多頌其功。
HCH_012_195_000245	詔贈新建侯，諡文成。
HCH_012_195_000246	二年予世襲伯爵。
HCH_012_195_000247	既又有請以守仁與薛瑄、陳獻章同從祀文廟者。
HCH_012_195_000248	帝獨允禮臣議，以瑄配。
HCH_012_195_000249	及萬曆十二年，御史詹事講申前請。
HCH_012_195_000250	大學士申時行等言：「守仁言致知出大學，良知出孟子。陳獻章主靜，沿宋儒周敦頤、程顥。且孝友出處如獻章，氣節文章功業如守仁，不可謂禪，誠宜崇祀。」
HCH_012_195_000251	且言胡居仁純心篤行，眾論所歸，亦宜並祀。
HCH_012_195_000252	帝皆從之。
HCH_012_195_000253	終明之世，從祀者止守仁等四人。
HCH_012_195_000254	始守仁無子，育弟子正憲為後。
HCH_012_195_000255	晚年，生子正億，二歲而孤。
HCH_012_195_000256	既長，襲錦衣副千戶。
HCH_012_195_000257	隆慶初，襲新建伯。
HCH_012_195_000258	萬曆五年卒。
HCH_012_195_000259	子承勛嗣，督漕運二十年。
HCH_012_195_000260	子先進，無子，將以弟先達子業弘繼。
HCH_012_195_000261	先達妻曰：「伯無子，爵自傳吾夫。由父及子，爵安往？」
HCH_012_195_000262	先進怒，因育族子業洵為後。
HCH_012_195_000263	及承勛卒，先進未襲死。
HCH_012_195_000264	業洵自以非嫡嗣，終當歸爵先達，且虞其爭，乃謗先達為乞養，而別推承勛弟子先通當嗣，屢爭於朝，數十年不決。
HCH_012_195_000265	崇禎時，先達子業弘復與先通疏辨。
HCH_012_195_000266	而業洵兄業浩時為總督，所司懼忤業浩，竟以先通嗣。
HCH_012_195_000267	業弘憤，持疏入禁門訴。
HCH_012_195_000268	自刎不殊，執下獄，尋釋。
HCH_012_195_000269	先通襲伯四年，流賊陷京師，被殺。
HCH_012_195_000270	守仁弟子盈天下，其有傳者不復載。
HCH_012_195_000271	惟冀元亨嘗與守仁共患難。
HCH_012_195_000272	冀元亨，字惟乾，武陵人。
HCH_012_195_000273	篤信守仁學。
HCH_012_195_000274	舉正德十一年鄉試。
HCH_012_195_000275	從守仁於贛，守仁屬以教子。
