HCH_012_231_000001	顧憲成顧允成錢一本於孔兼史孟麟薛敷教安希範劉元珍葉茂才顧憲成，字叔時，無錫人。
HCH_012_231_000002	萬歷四年，舉鄉試第一。
HCH_012_231_000003	八年成進士，授戶部主事。
HCH_012_231_000004	大學士張居正病，朝士群為之禱，憲成不可。
HCH_012_231_000005	同官代之署名，憲成手削去之。
HCH_012_231_000006	居正卒，改吏部主事。
HCH_012_231_000007	請告歸三年，補驗封主事。
HCH_012_231_000008	十五年，大計京朝官，都御史辛自修掌計事。
HCH_012_231_000009	工部尚書何起鳴在拾遺中，自修坐是失執政意。
HCH_012_231_000010	給事中陳與郊承風旨並論起鳴、自修，實以攻自修而庇起鳴。
HCH_012_231_000011	於是二人並罷，並責御史糾起鳴者四人。
HCH_012_231_000012	憲成不平，上疏語侵執政，被旨切責，謫桂陽州判官。
HCH_012_231_000013	稍遷處州推官。
HCH_012_231_000014	丁母憂，服除，補泉州推官。
HCH_012_231_000015	舉公廉第一。
HCH_012_231_000016	擢吏部考功主事，歷員外郎。
HCH_012_231_000017	會有詔三皇子並封王。
HCH_012_231_000018	憲成偕同官上疏曰：皇上因《祖訓》立嫡之條，欲暫令三皇子並封王，以待有嫡立嫡，無嫡立長。
HCH_012_231_000019	臣等伏而思之，「待」之一言，有大不可者。
HCH_012_231_000020	太子，天下本。
HCH_012_231_000021	豫定太子，所以固本。
HCH_012_231_000022	是故有嫡立嫡，無嫡立長，就見在論是也，待將來則非也。
HCH_012_231_000023	我朝建儲家法，東宮不待嫡，元子不並封。
HCH_012_231_000024	廷臣言甚詳，皇上概弗省，豈皇上創見有加列聖之上乎？
HCH_012_231_000025	有天下者稱天子，天子之元子稱太子。
HCH_012_231_000026	天子系乎天，君與天一體也；太子系乎父，父子一體也。
HCH_012_231_000027	主鬯承祧，於是乎在，不可得而爵。
HCH_012_231_000028	今欲並封三王，元子之封何所系乎？
HCH_012_231_000029	無所系，則難乎其為名；有所系，則難乎其為實。
HCH_012_231_000030	皇上以為權宜雲耳。
HCH_012_231_000031	夫權宜者，不得已而行之也。
HCH_012_231_000032	元子為太子，諸子為藩王，於理順，於分稱，於情安，有何不得已而然乎？
HCH_012_231_000033	耦尊鈞大，逼所由生。
HCH_012_231_000034	皇上以《祖訓》為法，子孫以皇上為法。
HCH_012_231_000035	皇上不難創其所無，後世詎難襲其所有？
HCH_012_231_000036	自是而往，幸皆有嫡可也，不然，是無東宮也。
HCH_012_231_000037	又幸而如皇上之英明可也，不然，凡皇子皆東宮也，無乃啟萬世之大患乎？
HCH_012_231_000038	皇后與皇上共承宗祧，期於宗祧得人而已。
HCH_012_231_000039	皇上之元子諸子，即皇后之元子諸子。
HCH_012_231_000040	恭妃、皇貴妃不得而私之，統於尊也。
HCH_012_231_000041	豈必如輔臣王錫爵之請，須拜皇后為母，而後稱子哉？
HCH_012_231_000042	況始者奉旨，少待二三年而已，俄改二十年，又改於二十一年，然猶可以歲月期也。
HCH_012_231_000043	今曰「待嫡」，是未可以歲月期也。
HCH_012_231_000044	命方布而忽更，意屢遷而愈緩。
HCH_012_231_000045	自並封命下，叩閽上封事者不可勝數，至裏巷小民亦聚族而竊議，是孰使之然哉？
HCH_012_231_000046	人心之公也。
HCH_012_231_000047	而皇上猶責輔臣以擔當。
HCH_012_231_000048	錫爵夙夜趣召，乃排群議而順上旨，豈所謂擔當？
HCH_012_231_000049	必積誠感悟納皇上於無過之地，乃真擔當耳。
HCH_012_231_000050	不然，皇上且不能如天下何，而況錫爵哉！
HCH_012_231_000051	皇上神明天縱，非溺寵狎昵之比。
HCH_012_231_000052	而不諒者，見影而疑形，聞響而疑聲，即臣等亦有不能為皇上解者。
HCH_012_231_000053	皇上盛德大業，比隆三五。
HCH_012_231_000054	而乃來此意外之紛紛，不亦惜乎！
HCH_012_231_000055	伏乞令皇元子早正儲位，皇第三子、皇第五子各就王爵。
HCH_012_231_000056	父父子子，君君臣臣，兄兄弟弟。
HCH_012_231_000057	宗廟之福，社稷之慶，悉在是矣。
HCH_012_231_000058	憲成又遺書錫爵，反覆辨論。
HCH_012_231_000059	其後並封議遂寢。
HCH_012_231_000060	二十一年京察。
HCH_012_231_000061	吏部尚書孫籥、考功郎中趙南星盡黜執政私人，憲成實左右之。
HCH_012_231_000062	及南星被斥，憲成疏請同罷，不報。
HCH_012_231_000063	尋遷文選郎中。
HCH_012_231_000064	所推舉率與執政牴牾。
HCH_012_231_000065	先是，吏部缺尚書，錫爵欲用羅萬化，憲成不可，乃用陳有年。
HCH_012_231_000066	後廷推閣臣，萬化復不與。
HCH_012_231_000067	錫爵等皆恚，萬化乃獲推，會帝報罷而止。
HCH_012_231_000068	及是，錫爵將謝政，廷推代者。
HCH_012_231_000069	憲成舉故大學士王家屏，忤帝意，削籍歸。
HCH_012_231_000070	事具有年傳。
HCH_012_231_000071	憲成既廢，名益高，中外推薦無慮百十疏，帝悉不報。
HCH_012_231_000072	至三十六年，始起南京光祿少卿，力辭不就。
HCH_012_231_000073	四十年，卒於家。
HCH_012_231_000074	天啟初，贈太常卿。
HCH_012_231_000075	魏忠賢亂政，其黨石三畏追論之，遂削奪。
HCH_012_231_000076	崇禎初，贈吏部右侍郎，謚端文。
HCH_012_231_000077	憲成姿性絕人，幼即有誌聖學。
HCH_012_231_000078	暨削籍裏居，益覃精研究，力辟王守仁「無善無惡心之體」之說。
HCH_012_231_000079	邑故有東林書院，宋楊時講道處也，憲成與弟允成倡修之，常州知府歐陽東鳳與無錫知縣林宰為之營構。
HCH_012_231_000080	落成，偕同誌高攀龍、錢一本、薛敷教、史孟麟、於孔兼輩講學其中，學者稱涇陽先生。
HCH_012_231_000081	當是時，士大夫抱道忤時者，率退處林野，聞風響附，學舍至不能容。
HCH_012_231_000082	憲成嘗曰：「官輦轂，誌不在君父，官封疆，誌不在民生，居水邊林下，誌不在世道，君子無取焉。」
HCH_012_231_000083	故其講習之余，往往諷議朝政，裁量人物。
HCH_012_231_000084	朝士慕其風者，多遙相應和。
HCH_012_231_000085	由是東林名大著，而忌者亦多。
HCH_012_231_000086	既而淮撫李三才被論，憲成貽書葉向高、孫丕揚為延譽。
HCH_012_231_000087	御史吳亮刻之邸抄中，攻三才者大嘩。
HCH_012_231_000088	而其時於玉立、黃正賓輩附麗其間，頗有輕浮好事名。
HCH_012_231_000089	徐兆魁之徒遂以東林為口實。
HCH_012_231_000090	兆魁騰疏攻憲成，恣意誣詆。
HCH_012_231_000091	謂滸墅有小河，東林專其稅為書院費；關使至，東林輒以書招之，即不赴，亦必致厚饋；講學所至，仆從如雲，縣令館谷供億，非二百金不辦；會時必談時政，郡邑行事偶相左，必令改圖；及受黃正賓賄。
HCH_012_231_000092	其言絕無左驗。
HCH_012_231_000093	光祿丞吳炯上言為一致辨，因言：「憲成貽書救三才，誠為出位，臣嘗咎之，憲成亦自悔。今憲成被誣，天下將以講學為戒，絕口不談孔、孟之道，國家正氣從此而損，非細事也。」
HCH_012_231_000094	疏入，不報。
HCH_012_231_000095	嗣後攻擊者不絕，比憲成歿，攻者猶未止。
HCH_012_231_000096	凡救三才者，爭辛亥京察者，衛國本者，發韓敬科場弊者，請行勘熊廷弼者，抗論張差梃擊者，最後爭移宮、紅丸者，忤魏忠賢者，率指目為東林，抨擊無虛日。
HCH_012_231_000097	借魏忠賢毒焰，一網盡去之。
HCH_012_231_000098	殺戮禁錮，善類為一空。
HCH_012_231_000099	崇禎立，始漸收用。
HCH_012_231_000100	而朋黨勢已成，小人卒大熾，禍中於國，迄明亡而後已。
HCH_012_231_000101	歐陽東鳳，字千仞，潛江人。
HCH_012_231_000102	年十四喪父，哀毀骨立。
